geo,male_service_workers_percent_of_male_labour_force,time
dza,53.8,2001
dza,53.4,2003
dza,53.8,2004
asm,51.9,1990
aia,53.6,1999
aia,64.4,2001
atg,63.1,2001
arg,59.7,1990
arg,58.3,1991
arg,58.6,1992
arg,61.2,1993
arg,62.0,1994
arg,64.3,1995
arg,65.9,1996
arg,64.2,1997
arg,64.5,1998
arg,66.3,1999
arg,67.5,2000
arg,68.6,2001
arg,70.5,2002
arg,68.3,2003
arg,66.9,2004
arg,65.6,2005
arg,65.5,2006
arm,55.4,2001
arm,30.3,2002
arm,29.3,2003
arm,30.5,2004
arm,32.8,2005
arm,32.9,2006
abw,71.3,1994
abw,73.5,1997
aus,52.7,1980
aus,53.6,1981
aus,54.2,1982
aus,55.5,1983
aus,56.2,1984
aus,57.7,1985
aus,58.3,1986
aus,58.9,1987
aus,58.2,1988
aus,58.5,1989
aus,59.4,1990
aus,61.7,1991
aus,61.6,1992
aus,61.2,1993
aus,61.4,1994
aus,62.5,1995
aus,62.8,1996
aus,63.0,1997
aus,63.5,1998
aus,64.0,1999
aus,63.2,2000
aus,64.3,2001
aus,64.4,2002
aus,64.8,2003
aus,64.5,2004
aus,64.5,2005
aus,64.1,2006
aus,64.2,2007
aut,42.3,1983
aut,42.6,1984
aut,42.9,1985
aut,43.5,1986
aut,43.3,1987
aut,43.7,1988
aut,44.1,1989
aut,44.3,1990
aut,44.7,1991
aut,46.3,1992
aut,46.2,1993
aut,49.4,1994
aut,49.9,1995
aut,50.8,1996
aut,52.0,1997
aut,51.0,1998
aut,50.9,1999
aut,50.9,2000
aut,51.9,2001
aut,51.4,2002
aut,51.3,2003
aut,55.2,2004
aut,54.4,2005
aut,53.9,2006
aut,55.1,2007
aze,48.3,1999
aze,49.7,2000
aze,48.5,2001
aze,43.8,2002
aze,46.0,2003
aze,43.9,2004
aze,43.7,2005
aze,43.7,2006
aze,43.5,2007
bhs,69.5,1986
bhs,70.1,1989
bhs,67.1,1991
bhs,67.1,1992
bhs,71.8,1993
bhs,71.1,1994
bhs,70.2,1995
bhs,68.9,1996
bhs,71.3,1997
bhs,69.3,1998
bhs,66.2,1999
bhs,65.5,2001
bhs,65.8,2002
bhs,68.7,2003
bhs,65.5,2004
bhs,63.5,2005
bhs,64.8,2006
bhs,66.2,2007
bhr,57.2,1981
bhr,57.8,1982
bhr,64.0,1991
bhr,63.4,2001
bgd,25.1,1984
bgd,26.5,1985
bgd,27.6,1986
bgd,23.9,1989
bgd,25.3,1991
bgd,33.7,1996
bgd,30.3,2000
bgd,37.9,2003
bgd,43.0,2005
brb,66.6,1981
brb,63.9,1982
brb,64.8,1983
brb,64.3,1984
brb,62.7,1985
brb,64.4,1986
brb,63.7,1987
brb,62.5,1988
brb,55.4,1989
brb,55.8,1990
brb,60.0,1991
brb,56.9,1992
brb,60.7,1993
brb,59.1,1994
brb,59.6,1995
brb,57.2,1996
brb,57.0,1997
brb,56.2,1998
brb,56.0,1999
brb,57.4,2000
brb,58.2,2001
brb,58.8,2002
brb,59.5,2003
brb,61.8,2004
bel,53.3,1980
bel,54.7,1981
bel,55.8,1982
bel,56.6,1983
bel,57.2,1984
bel,57.8,1985
bel,58.4,1986
bel,59.0,1987
bel,55.8,1993
bel,56.1,1994
bel,56.6,1995
bel,57.0,1996
bel,57.6,1997
bel,57.7,1998
bel,59.7,1999
bel,60.5,2000
bel,61.3,2001
bel,62.2,2002
bel,62.8,2003
bel,62.0,2004
bel,61.9,2005
bel,61.3,2006
blz,40.8,1993
blz,43.3,1994
blz,41.9,1995
blz,40.3,1996
blz,39.7,1997
blz,44.1,1998
blz,43.5,1999
blz,49.7,2005
bmu,64.7,2000
btn,43.7,2005
bol,26.7,1980
bol,27.7,1981
bol,29.4,1982
bol,28.2,1983
bol,28.9,1984
bol,29.6,1985
bol,33.1,1986
bol,32.8,1987
bol,32.9,1988
bol,62.0,1989
bol,62.8,1990
bol,57.6,1991
bol,54.5,1992
bol,58.9,1993
bol,57.2,1994
bol,58.0,1995
bol,54.8,1996
bol,53.3,1997
bol,57.6,1999
bol,54.8,2000
bol,34.6,2001
bol,33.1,2002
bwa,27.4,1985
bwa,49.7,1996
bwa,45.5,1998
bwa,50.6,2000
bwa,51.4,2001
bwa,43.3,2003
bwa,45.5,2005
bra,36.4,1981
bra,37.2,1982
bra,38.0,1983
bra,38.2,1984
bra,39.4,1985
bra,39.4,1986
bra,41.1,1987
bra,41.6,1988
bra,42.7,1989
bra,48.8,2000
bra,48.6,2002
bra,49.1,2003
bra,48.3,2004
bra,48.7,2005
bra,49.6,2006
vgb,62.1,1991
brn,69.3,2001
bgr,51.0,2003
bgr,51.0,2004
bgr,50.3,2005
bgr,50.0,2006
bgr,49.2,2007
khm,23.1,1998
khm,20.2,2000
khm,20.2,2001
cmr,25.5,2001
can,56.0,1980
can,55.9,1981
can,58.0,1982
can,59.1,1983
can,58.7,1984
can,59.2,1985
can,59.8,1986
can,60.0,1987
can,59.8,1988
can,59.7,1989
can,60.5,1990
can,61.9,1991
can,62.9,1992
can,63.5,1993
can,63.4,1994
can,63.4,1995
can,63.6,1996
can,63.6,1997
can,63.4,1998
can,63.5,1999
can,63.3,2000
can,63.9,2001
can,63.9,2002
can,64.1,2003
can,64.1,2004
can,64.2,2005
can,64.5,2006
can,65.0,2007
cym,64.0,1991
cym,57.3,2005
cym,59.2,2006
cym,61.1,2007
tcd,15.8,1993
chl,51.1,1980
chl,51.5,1981
chl,56.7,1982
chl,57.2,1983
chl,55.2,1984
chl,49.2,1985
chl,47.8,1986
chl,45.8,1987
chl,44.2,1988
chl,43.5,1989
chl,43.8,1991
chl,45.9,1993
chl,47.8,1995
chl,47.2,1997
chl,51.8,1999
chl,52.6,2001
chl,56.6,2002
chl,52.6,2003
chl,52.7,2004
chl,53.8,2005
chl,53.4,2006
chl,53.4,2007
col,59.1,1980
col,64.5,1985
col,65.3,1986
col,63.6,1987
col,63.9,1988
col,64.2,1989
col,63.4,1990
col,64.1,1991
col,62.7,1992
col,62.2,1994
col,61.9,1995
col,64.5,1996
col,66.0,1997
col,67.7,1998
col,70.6,1999
col,68.1,2000
col,48.3,2001
col,47.6,2002
col,49.1,2003
col,49.5,2004
col,47.6,2005
col,49.7,2006
col,50.8,2007
cri,40.1,1980
cri,40.8,1981
cri,39.7,1982
cri,41.7,1983
cri,41.2,1984
cri,42.5,1985
cri,40.9,1986
cri,37.7,1987
cri,39.0,1988
cri,38.7,1989
cri,39.2,1990
cri,39.3,1991
cri,40.5,1992
cri,42.3,1993
cri,43.2,1994
cri,45.4,1995
cri,45.3,1996
cri,45.7,1997
cri,46.7,1998
cri,46.4,1999
cri,46.9,2000
cri,51.0,2001
cri,50.9,2002
cri,52.0,2003
cri,52.5,2004
cri,52.3,2005
cri,53.6,2006
cri,54.2,2007
hrv,45.3,1996
hrv,46.4,1997
hrv,47.4,1998
hrv,46.1,1999
hrv,49.9,2000
hrv,47.3,2001
hrv,47.1,2002
hrv,45.2,2003
hrv,45.5,2004
hrv,46.8,2005
hrv,47.4,2006
hrv,47.8,2007
cub,41.8,1995
cub,41.9,1996
cub,41.9,1997
cub,49.2,1998
cub,43.9,1999
cub,43.8,2000
cub,48.8,2001
cub,48.7,2002
cub,48.6,2003
cub,50.0,2004
cub,51.0,2005
cub,52.4,2006
cub,53.5,2007
cyp,45.6,1980
cyp,47.0,1981
cyp,48.0,1982
cyp,49.0,1983
cyp,49.4,1984
cyp,50.4,1985
cyp,51.3,1986
cyp,52.3,1987
cyp,52.9,1988
cyp,54.0,1989
cyp,54.8,1990
cyp,55.0,1991
cyp,55.6,1992
cyp,56.3,1993
cyp,56.9,1994
cyp,57.6,1995
cyp,59.2,1999
cyp,58.5,2000
cyp,61.4,2001
cyp,60.9,2002
cyp,60.8,2003
cyp,59.4,2004
cyp,59.0,2005
cyp,61.4,2006
cyp,60.1,2007
cze,38.6,1993
cze,40.3,1994
cze,41.0,1995
cze,41.5,1996
cze,41.5,1997
cze,42.3,1998
cze,43.1,1999
cze,43.9,2000
cze,44.2,2001
cze,44.5,2002
cze,44.9,2003
cze,45.4,2004
cze,45.5,2005
cze,45.3,2006
cze,45.3,2007
dnk,48.2,1981
dnk,50.1,1983
dnk,54.4,1984
dnk,53.0,1985
dnk,53.7,1986
dnk,53.8,1987
dnk,55.3,1988
dnk,55.0,1989
dnk,54.8,1990
dnk,54.8,1991
dnk,55.5,1992
dnk,56.7,1993
dnk,57.0,1994
dnk,56.0,1995
dnk,57.1,1996
dnk,57.6,1997
dnk,57.0,1998
dnk,57.9,1999
dnk,57.9,2000
dnk,59.0,2001
dnk,60.3,2002
dnk,60.8,2003
dnk,61.0,2004
dnk,60.8,2005
dnk,61.3,2006
dnk,63.0,2007
dma,29.4,1989
dma,30.7,1991
dma,40.0,1997
dma,42.5,1999
dma,43.9,2001
dom,45.1,1996
dom,45.5,1997
dom,51.1,2000
dom,53.6,2003
dom,51.9,2004
dom,53.4,2005
ecu,61.6,1992
ecu,59.5,1993
ecu,64.3,1996
ecu,63.6,1997
ecu,60.6,1999
ecu,59.3,2000
ecu,59.8,2001
ecu,61.3,2002
ecu,61.1,2004
ecu,61.6,2005
ecu,61.0,2006
egy,33.2,1980
egy,33.3,1981
egy,34.7,1982
egy,35.1,1983
egy,35.9,1984
egy,40.2,1989
egy,40.9,1990
egy,43.7,1991
egy,40.9,1992
egy,42.4,1993
