geo,population_aged_0_4_years_total_number,time
afg,1433000,1950
afg,1492000,1955
afg,1662000,1960
afg,1871000,1965
afg,2128000,1970
afg,2423000,1975
afg,2560000,1980
afg,2293000,1985
afg,2377000,1990
afg,3463000,1995
afg,3928000,2000
afg,4554000,2005
afg,5166000,2010
afg,5972000,2015
afg,6735000,2020
afg,7338000,2025
afg,7766000,2030
afg,8023000,2035
afg,8190000,2040
afg,8325000,2045
afg,8432000,2050
alb,173000,1950
alb,219000,1955
alb,280000,1960
alb,316000,1965
alb,322000,1970
alb,336000,1975
alb,344000,1980
alb,361000,1985
alb,389000,1990
alb,331000,1995
alb,290000,2000
alb,222000,2005
alb,223000,2010
alb,237000,2015
alb,243000,2020
alb,228000,2025
alb,202000,2030
alb,184000,2035
alb,181000,2040
alb,182000,2045
alb,177000,2050
dza,1390000,1950
dza,1627000,1955
dza,1960000,1960
dza,2326000,1965
dza,2674000,1970
dza,3005000,1975
dza,3359000,1980
dza,3841000,1985
dza,3837000,1990
dza,3637000,1995
dza,3019000,2000
dza,3156000,2005
dza,3436000,2010
dza,3608000,2015
dza,3573000,2020
dza,3343000,2025
dza,3081000,2030
dza,2950000,2035
dza,2958000,2040
dza,3037000,2045
dza,3030000,2050
ago,703000,1950
ago,833000,1955
ago,945000,1960
ago,1057000,1965
ago,1167000,1970
ago,1296000,1975
ago,1530000,1980
ago,1839000,1985
ago,2114000,1990
ago,2470000,1995
ago,2665000,2000
ago,3065000,2005
ago,3243000,2010
ago,3607000,2015
ago,3879000,2020
ago,4065000,2025
ago,4169000,2030
ago,4240000,2035
ago,4312000,2040
ago,4376000,2045
ago,4404000,2050
arg,1947000,1950
arg,2139000,1955
arg,2266000,1960
arg,2348000,1965
arg,2456000,1970
arg,2768000,1975
arg,3297000,1980
arg,3225000,1985
arg,3342000,1990
arg,3452000,1995
arg,3430000,2000
arg,3321000,2005
arg,3401000,2010
arg,3414000,2015
arg,3360000,2020
arg,3264000,2025
arg,3155000,2030
arg,3045000,2035
arg,3042000,2040
arg,3020000,2045
arg,2972000,2050
arm,150000,1950
arm,235000,1955
arm,317000,1960
arm,346000,1965
arm,292000,1970
arm,301000,1975
arm,331000,1980
arm,378000,1985
arm,389000,1990
arm,289000,1995
arm,197000,2000
arm,209000,2005
arm,227000,2010
arm,233000,2015
arm,216000,2020
arm,191000,2025
arm,176000,2030
arm,173000,2035
arm,174000,2040
arm,171000,2045
arm,161000,2050
abw,7000,1950
abw,8000,1955
abw,8000,1960
abw,8000,1965
abw,7000,1970
abw,6000,1975
abw,5000,1980
abw,7000,1985
abw,6000,1990
abw,7000,1995
abw,7000,2000
abw,6000,2005
abw,6000,2010
abw,6000,2015
abw,6000,2020
abw,7000,2025
abw,6000,2030
abw,6000,2035
abw,6000,2040
abw,6000,2045
abw,6000,2050
aus,885000,1950
aus,985000,1955
aus,1092000,1960
aus,1184000,1965
aus,1208000,1970
aus,1254000,1975
aus,1132000,1980
aus,1196000,1985
aus,1260000,1990
aus,1299000,1995
aus,1275000,2000
aus,1285000,2005
aus,1356000,2010
aus,1394000,2015
aus,1429000,2020
aus,1459000,2025
aus,1473000,2030
aus,1486000,2035
aus,1514000,2040
aus,1552000,2045
aus,1586000,2050
aut,516000,1950
aut,485000,1955
aut,566000,1960
aut,640000,1965
aut,610000,1970
aut,501000,1975
aut,431000,1980
aut,450000,1985
aut,438000,1990
aut,459000,1995
aut,413000,2000
aut,398000,2005
aut,386000,2010
aut,384000,2015
aut,392000,2020
aut,396000,2025
aut,393000,2030
aut,384000,2035
aut,382000,2040
aut,388000,2045
aut,400000,2050
aze,300000,1950
aze,485000,1955
aze,724000,1960
aze,836000,1965
aze,753000,1970
aze,699000,1975
aze,706000,1980
aze,808000,1985
aze,942000,1990
aze,899000,1995
aze,699000,2000
aze,669000,2005
aze,786000,2010
aze,823000,2015
aze,772000,2020
aze,682000,2025
aze,622000,2030
aze,617000,2035
aze,632000,2040
aze,624000,2045
aze,590000,2050
bhs,12000,1950
bhs,14000,1955
bhs,19000,1960
bhs,26000,1965
bhs,27000,1970
bhs,27000,1975
bhs,26000,1980
bhs,29000,1985
bhs,28000,1990
bhs,31000,1995
bhs,31000,2000
bhs,28000,2005
bhs,28000,2010
bhs,28000,2015
bhs,28000,2020
bhs,28000,2025
bhs,27000,2030
bhs,27000,2035
bhs,26000,2040
