geo,population_aged_40_59_years_male_percent,time
afg,14.33,1950
afg,13.94,1955
afg,13.62,1960
afg,13.39,1965
afg,13.22,1970
afg,13.08,1975
afg,12.99,1980
afg,12.83,1985
afg,12.78,1990
afg,12.35,1995
afg,12.01,2000
afg,11.82,2005
afg,11.82,2010
afg,12.03,2015
afg,12.32,2020
afg,12.79,2025
afg,13.45,2030
afg,14.38,2035
afg,15.53,2040
afg,16.72,2045
afg,17.86,2050
alb,14.29,1950
alb,14.82,1955
alb,14.34,1960
alb,13.62,1965
alb,13.98,1970
alb,14.4,1975
alb,15.53,1980
alb,16.18,1985
alb,16.78,1990
alb,18.83,1995
alb,21.04,2000
alb,23.04,2005
alb,23.98,2010
alb,23.5,2015
alb,21.95,2020
alb,22.27,2025
alb,24.63,2030
alb,27.82,2035
alb,30.16,2040
alb,28.98,2045
alb,26.58,2050
dza,15.86,1950
dza,15.22,1955
dza,14.0,1960
dza,12.66,1965
dza,11.45,1970
dza,11.68,1975
dza,12.31,1980
dza,11.51,1985
dza,11.3,1990
dza,12.23,1995
dza,13.92,2000
dza,16.57,2005
dza,19.21,2010
dza,21.25,2015
dza,23.66,2020
dza,26.18,2025
dza,28.06,2030
dza,28.93,2035
dza,27.77,2040
dza,26.1,2045
dza,25.18,2050
ago,14.52,1950
ago,14.35,1955
ago,14.08,1960
ago,13.63,1965
ago,13.27,1970
ago,12.82,1975
ago,12.32,1980
ago,11.78,1985
ago,11.21,1990
ago,11.07,1995
ago,11.2,2000
ago,11.43,2005
ago,11.83,2010
ago,12.09,2015
ago,12.57,2020
ago,13.29,2025
ago,14.32,2030
ago,15.62,2035
ago,16.81,2040
ago,18.17,2045
ago,19.27,2050
arg,21.48,1950
arg,21.75,1955
arg,21.78,1960
arg,21.92,1965
arg,22.02,1970
arg,21.56,1975
arg,20.6,1980
arg,19.95,1985
arg,19.78,1990
arg,20.1,1995
arg,20.71,2000
arg,21.23,2005
arg,21.42,2010
arg,21.95,2015
arg,23.42,2020
arg,24.51,2025
arg,25.65,2030
arg,26.47,2035
arg,26.32,2040
arg,26.21,2045
arg,26.15,2050
arm,16.51,1950
arm,15.01,1955
arm,12.35,1960
arm,11.12,1965
arm,14.23,1970
arm,16.61,1975
arm,20.28,1980
arm,19.25,1985
arm,17.62,1990
arm,18.78,1995
arm,20.19,2000
arm,24.06,2005
arm,24.36,2010
arm,22.54,2015
arm,20.61,2020
arm,21.5,2025
arm,25.65,2030
arm,28.68,2035
arm,28.56,2040
arm,27.18,2045
arm,25.31,2050
abw,12.5,1950
abw,15.79,1955
abw,17.39,1960
abw,14.81,1965
abw,14.81,1970
abw,16.67,1975
abw,19.35,1980
abw,20.0,1985
abw,25.0,1990
abw,25.0,1995
abw,27.27,2000
abw,30.61,2005
abw,34.0,2010
abw,34.62,2015
abw,30.19,2020
abw,27.45,2025
abw,24.53,2030
abw,25.49,2035
abw,26.42,2040
abw,26.42,2045
abw,28.0,2050
aus,23.14,1950
aus,23.14,1955
aus,22.88,1960
aus,22.98,1965
aus,22.55,1970
aus,21.54,1975
aus,21.23,1980
aus,21.29,1985
aus,22.68,1990
aus,24.48,1995
aus,26.42,2000
aus,27.48,2005
aus,27.19,2010
aus,27.04,2015
aus,26.12,2020
aus,25.46,2025
aus,25.24,2030
aus,25.06,2035
aus,25.11,2040
aus,24.79,2045
aus,24.57,2050
aut,27.8,1950
aut,27.82,1955
aut,24.34,1960
aut,22.23,1965
aut,21.35,1970
aut,21.17,1975
aut,23.46,1980
aut,24.7,1985
aut,24.97,1990
aut,25.48,1995
aut,27.06,2000
aut,28.74,2005
aut,30.6,2010
aut,31.15,2015
aut,29.95,2020
aut,28.2,2025
aut,26.63,2030
aut,26.43,2035
aut,26.26,2040
aut,25.41,2045
aut,24.55,2050
aze,17.02,1950
aze,15.74,1955
aze,12.51,1960
aze,11.0,1965
aze,12.81,1970
