geo,lung_cancer_deaths_per_100000_women,time
bgr,5.75,1971
bgr,6.48,1972
bgr,6.42,1973
bgr,6.21,1974
bgr,5.72,1975
bgr,5.93,1976
bgr,6.3,1977
bgr,5.46,1978
bgr,6.34,1979
bgr,5.69,1980
bgr,5.7,1981
bgr,5.27,1982
bgr,6.34,1983
bgr,6.71,1984
bgr,6.94,1985
bgr,6.45,1986
bgr,6.58,1987
bgr,6.26,1988
bgr,6.11,1989
bgr,5.84,1990
bgr,7.03,1991
bgr,6.3,1992
bgr,6.74,1993
bgr,6.58,1994
bgr,7.17,1995
bgr,6.83,1996
bgr,6.15,1997
bgr,6.42,1998
bgr,6.84,1999
bgr,6.56,2000
bgr,6.22,2001
bgr,6.28,2002
bfa,2.1,2002
bdi,2.1,2002
khm,4.5,2002
cmr,0.3,2002
can,2.86,1950
can,3.28,1951
can,3.55,1952
can,3.35,1953
can,3.35,1954
can,4.18,1955
can,3.56,1956
can,3.45,1957
can,3.4,1958
can,3.58,1959
can,3.52,1960
can,3.91,1961
can,4.52,1962
can,4.28,1963
can,4.59,1964
can,5.03,1965
can,5.18,1966
can,5.64,1967
can,5.81,1968
can,5.95,1969
can,6.3,1970
can,6.49,1971
can,7.85,1972
can,8.23,1973
can,8.9,1974
can,9.32,1975
can,9.52,1976
can,10.8,1977
can,11.49,1978
can,12.55,1979
can,13.07,1980
can,13.89,1981
can,14.92,1982
can,15.25,1983
can,16.84,1984
can,18.13,1985
can,18.24,1986
can,19.23,1987
can,20.05,1988
can,20.07,1989
can,20.51,1990
can,21.98,1991
can,22.12,1992
can,23.3,1993
can,23.5,1994
can,22.77,1995
can,24.57,1996
can,23.33,1997
can,24.86,1998
can,24.88,1999
can,24.67,2000
can,24.4,2001
can,25.05,2002
cpv,0.6,2002
caf,0.7,2002
tcd,0.7,2002
chl,4.18,1955
chl,3.77,1956
chl,4.25,1957
chl,4.16,1958
chl,3.89,1959
chl,4.45,1960
chl,4.52,1961
chl,4.34,1962
chl,4.77,1963
chl,4.47,1964
chl,4.38,1965
chl,4.77,1966
chl,5.24,1967
chl,4.36,1968
chl,5.12,1969
chl,5.01,1970
chl,5.11,1971
chl,4.35,1972
chl,4.44,1973
chl,4.63,1974
chl,4.7,1975
chl,5.27,1976
chl,5.2,1977
chl,4.51,1978
chl,5.87,1979
chl,5.56,1980
chl,5.29,1981
chl,5.41,1982
chl,5.48,1983
chl,5.76,1984
chl,5.93,1985
chl,5.92,1986
chl,5.87,1987
chl,5.56,1988
chl,6.09,1989
chl,6.17,1990
chl,6.13,1991
chl,6.32,1992
chl,7.02,1993
chl,6.36,1994
chl,6.75,1995
chl,7.12,1996
chl,7.32,1997
chl,6.65,1998
chl,6.87,1999
chl,6.92,2000
chl,7.4,2001
chl,7.32,2002
chn,16.3,2002
col,2.42,1953
col,2.4,1954
col,2.34,1955
col,2.1,1956
col,2.26,1957
col,2.26,1958
col,2.09,1959
col,1.9,1960
col,2.41,1961
col,2.62,1962
col,2.39,1963
col,2.5,1964
col,2.82,1965
col,3.09,1966
col,2.98,1967
col,2.58,1968
col,2.58,1969
col,3.35,1972
col,3.4,1974
col,3.54,1975
col,4.04,1976
col,4.2,1977
col,5.14,1984
col,5.8,1985
col,5.62,1986
col,6.12,1987
col,5.79,1988
col,6.15,1989
col,5.87,1990
col,6.74,1991
col,6.7,1992
col,6.57,1993
col,6.19,1994
col,6.63,1995
col,6.97,1996
col,7.01,1997
col,6.35,1998
col,7.16,1999
col,6.88,2001
col,7.18,2002
com,2.1,2002
cod,0.6,2002
cog,0.5,2002
cri,1.99,1961
cri,2.19,1962
cri,2.94,1963
cri,3.83,1964
cri,1.72,1965
cri,2.34,1966
cri,3.14,1967
cri,3.54,1968
cri,3.36,1969
cri,3.32,1970
cri,4.02,1971
cri,4.03,1972
cri,2.4,1973
cri,4.72,1974
cri,5.06,1975
cri,3.75,1976
cri,4.31,1977
cri,4.46,1978
cri,3.77,1979
cri,5.1,1980
cri,6.05,1981
cri,6.19,1982
cri,4.28,1983
cri,5.19,1984
cri,5.39,1985
cri,4.73,1986
cri,6.16,1987
cri,4.35,1988
cri,6.87,1989
cri,4.65,1990
cri,4.76,1991
cri,4.51,1992
cri,5.01,1993
cri,4.5,1994
cri,4.91,1995
cri,5.09,1996
cri,5.76,1997
cri,3.82,1998
cri,4.88,1999
cri,5.34,2000
cri,4.37,2001
cri,3.69,2002
civ,1.2,2002
hrv,6.54,1985
hrv,8.32,1986
hrv,7.83,1987
hrv,7.97,1988
hrv,8.63,1989
hrv,8.51,1990
hrv,8.78,1991
hrv,8.61,1992
hrv,7.31,1993
hrv,8.04,1994
hrv,7.57,1995
hrv,9.01,1996
hrv,8.48,1997
hrv,9.93,1998
hrv,8.8,1999
hrv,10.39,2000
hrv,9.61,2001
hrv,10.21,2002
cub,13.88,1964
cub,12.79,1968
cub,11.58,1969
cub,14.87,1970
cub,13.67,1971
cub,13.93,1972
cub,14.75,1973
cub,13.38,1974
cub,13.22,1975
cub,13.11,1976
cub,13.12,1977
cub,11.36,1978
cub,12.62,1979
cub,12.18,1980
cub,11.83,1981
cub,12.22,1982
cub,13.0,1983
cub,13.49,1984
cub,13.09,1985
cub,13.39,1986
cub,13.31,1987
cub,13.6,1988
cub,13.71,1989
cub,13.37,1990
cub,13.13,1991
cub,14.24,1992
cub,13.53,1993
cub,12.12,1994
cub,12.75,1995
cub,13.31,1996
cub,13.94,1997
