geo,female_salaried_workers_percent_of_female_labour_force,time
dza,57.7,2001
dza,65.8,2003
dza,49.8,2004
asm,98.5,1990
aia,82.9,1999
aia,66.1,2001
atg,82.5,1991
arg,70.2,1990
arg,71.4,1991
arg,72.5,1992
arg,71.3,1993
arg,72.1,1994
arg,74.9,1995
arg,74.3,1996
arg,75.0,1997
arg,75.5,1998
arg,75.9,1999
arg,76.4,2000
arg,76.1,2001
arg,78.1,2002
arg,78.6,2003
arg,78.6,2004
arg,79.0,2005
arg,80.2,2006
abw,95.2,1991
abw,93.9,1994
aus,86.6,1980
aus,87.1,1981
aus,87.2,1982
aus,87.3,1983
aus,87.8,1984
aus,87.3,1985
aus,86.8,1986
aus,87.2,1987
aus,87.1,1988
aus,87.8,1989
aus,87.8,1990
aus,87.4,1991
aus,87.2,1992
aus,86.9,1993
aus,87.4,1994
aus,87.9,1995
aus,88.1,1996
aus,87.8,1997
aus,88.6,1998
aus,88.9,1999
aus,89.3,2000
aus,89.7,2001
aus,89.6,2002
aus,90.0,2003
aus,90.2,2004
aus,90.2,2005
aus,90.7,2006
aus,91.0,2007
aut,86.3,1994
aut,85.8,1995
aut,86.2,1996
aut,86.8,1997
aut,86.9,1998
aut,87.4,1999
aut,87.8,2000
aut,87.9,2001
aut,88.3,2002
aut,88.7,2003
aut,89.7,2004
aut,89.1,2005
aut,88.7,2006
aut,87.7,2007
aze,52.6,2003
aze,33.2,2004
aze,33.8,2005
aze,33.8,2006
aze,32.7,2007
bhs,88.5,1993
bhs,88.3,1994
bhs,87.5,1995
bhs,85.7,1996
bhs,89.1,1997
bhs,89.0,1998
bhs,88.2,1999
bhs,89.8,2001
bhs,89.1,2002
bhs,89.1,2003
bhs,87.4,2004
bgd,8.7,1996
bgd,8.3,2000
bgd,13.3,2003
bgd,11.7,2005
brb,90.7,1990
brb,91.2,1991
brb,90.6,1992
brb,89.8,1993
brb,90.0,1994
brb,90.2,1995
brb,89.2,1996
brb,91.1,1997
brb,90.4,1998
brb,90.3,1999
brb,91.8,2000
brb,90.6,2001
brb,90.5,2002
brb,91.1,2003
brb,89.5,2004
bel,82.5,1980
bel,82.3,1981
bel,82.2,1982
bel,81.8,1983
bel,81.8,1984
bel,81.9,1985
bel,82.0,1986
bel,82.1,1987
bel,82.5,1988
bel,82.4,1989
bel,82.5,1990
bel,82.3,1991
bel,82.3,1992
bel,81.9,1993
bel,82.1,1994
bel,82.1,1995
bel,82.4,1996
bel,82.9,1997
bel,83.5,1998
bel,84.1,1999
bel,87.7,2005
bel,88.2,2006
blz,76.3,1993
blz,75.2,1994
blz,74.7,1995
blz,75.1,1996
blz,70.6,1997
blz,72.3,1998
blz,71.5,1999
blz,73.9,2005
btn,18.0,2005
bol,45.3,1989
bol,48.4,1990
bol,46.8,1991
bol,45.5,1992
bol,47.3,1993
bol,43.8,1994
bol,42.0,1995
bol,39.9,1996
bol,39.1,1997
bol,37.3,1999
bol,43.4,2000
bol,27.9,2001
bol,26.5,2002
bih,73.1,2006
bwa,36.1,1984
bwa,64.9,1994
bwa,74.8,1998
bwa,67.9,2000
bwa,81.9,2001
bwa,71.9,2003
bra,68.0,1990
bra,60.0,1992
bra,60.4,1993
bra,60.2,1995
bra,63.3,1996
bra,59.9,1997
bra,60.4,1998
bra,59.4,1999
bra,64.9,2001
bra,64.4,2002
