geo,female_salaried_workers_percent_of_female_labour_force,time
bra,64.8,2003
bra,65.5,2004
bra,64.8,2005
bra,66.0,2006
vgb,91.9,1991
brn,96.1,1991
bgr,87.3,2001
bgr,88.2,2003
bgr,88.3,2004
bgr,88.8,2005
bgr,89.9,2006
bgr,90.6,2007
bfa,0.9,1985
bfa,1.4,1994
khm,12.1,2000
khm,13.6,2001
cmr,5.7,1996
cmr,8.7,2001
can,92.1,1980
can,92.4,1981
can,92.0,1982
can,91.8,1983
can,91.6,1984
can,90.9,1985
can,92.0,1986
can,90.1,1987
can,90.0,1988
can,90.2,1989
can,89.9,1990
can,89.8,1991
can,89.5,1992
can,88.8,1993
can,88.3,1994
can,88.3,1995
can,87.5,1996
can,86.7,1997
can,86.7,1998
can,87.1,1999
can,87.7,2000
can,88.8,2001
can,88.6,2002
can,88.7,2003
can,88.8,2004
can,88.6,2005
can,88.7,2006
can,88.6,2007
cpv,33.0,2000
cym,93.4,2006
cym,94.7,2007
tcd,0.8,1993
chl,77.0,1990
chl,77.3,1992
chl,77.1,1994
chl,75.2,1996
chl,74.3,1997
chl,72.7,1998
chl,74.2,1999
chl,74.9,2000
chl,73.3,2001
chl,73.2,2002
chl,73.2,2003
chl,71.9,2004
chl,74.6,2005
chl,73.7,2006
chl,74.4,2007
col,70.5,1991
col,71.7,1992
col,72.8,1993
col,73.9,1994
col,71.0,1995
col,71.5,1996
col,70.0,1997
col,67.3,1998
col,65.4,1999
col,65.4,2000
col,52.2,2001
col,52.1,2002
col,51.5,2003
col,51.1,2004
col,52.1,2005
col,53.0,2006
col,56.1,2007
cri,80.4,1987
cri,79.0,1988
cri,78.6,1989
cri,77.7,1990
cri,74.9,1991
cri,78.6,1992
cri,76.1,1993
cri,76.2,1994
cri,75.7,1995
cri,77.7,1996
cri,74.3,1997
cri,75.8,1998
cri,74.7,1999
cri,76.6,2000
cri,71.3,2001
cri,71.1,2003
cri,70.6,2004
cri,73.1,2005
cri,73.7,2006
cri,76.1,2007
hrv,72.2,1996
hrv,75.0,1997
hrv,76.8,1998
hrv,76.7,1999
hrv,78.0,2000
hrv,79.1,2001
hrv,78.9,2002
hrv,77.0,2003
hrv,77.5,2004
hrv,75.7,2005
hrv,78.7,2006
hrv,79.8,2007
cub,91.9,1995
cub,92.5,1996
cub,92.2,1997
cub,91.9,1998
cub,91.3,1999
cub,91.5,2000
cub,91.4,2001
cub,91.7,2002
cub,91.3,2003
cub,91.6,2004
cub,91.8,2005
cub,92.0,2006
cub,93.5,2007
cyp,84.2,1999
cyp,83.3,2000
cyp,84.0,2001
cyp,84.1,2002
cyp,84.3,2003
cyp,84.2,2004
cyp,83.9,2005
cyp,85.1,2006
cyp,86.8,2007
cze,90.2,1993
cze,90.7,1994
cze,90.0,1995
cze,90.3,1996
cze,90.5,1997
cze,89.7,1998
cze,89.4,1999
cze,88.9,2000
cze,89.1,2001
cze,88.8,2002
cze,88.0,2003
cze,88.6,2004
cze,89.3,2005
cze,88.9,2006
cze,89.2,2007
dnk,90.1,1983
dnk,93.8,1995
dnk,93.9,1996
dnk,94.5,1997
dnk,94.3,1998
dnk,94.4,1999
dnk,94.6,2000
dnk,95.1,2001
dnk,94.8,2002
dnk,94.7,2003
dnk,94.8,2004
dnk,94.7,2005
dnk,94.3,2006
dnk,94.6,2007
dji,78.7,1991
dma,70.4,1991
dma,70.9,1997
dma,66.1,1999
dma,75.6,2001
dom,68.9,1991
dom,63.1,1992
dom,66.7,1993
dom,69.6,1994
dom,69.5,1995
dom,70.3,1996
dom,66.6,1997
dom,64.4,1998
dom,65.1,1999
dom,69.7,2000
dom,67.7,2001
dom,67.3,2002
dom,69.4,2003
dom,69.9,2004
dom,66.5,2005
ecu,46.8,1988
ecu,46.6,1989
ecu,44.8,1990
ecu,43.7,1991
ecu,42.4,1992
ecu,41.5,1993
ecu,43.7,1994
ecu,43.6,1995
ecu,43.7,1996
ecu,46.1,1997
ecu,42.9,1998
ecu,57.0,1999
ecu,57.7,2000
ecu,54.9,2001
ecu,55.1,2002
ecu,52.3,2004
ecu,56.9,2005
ecu,54.5,2006
egy,49.5,1993
egy,49.3,1994
egy,52.9,1995
egy,55.5,1997
egy,60.7,1998
egy,64.4,1999
egy,57.2,2000
egy,64.8,2001
egy,67.9,2002
egy,56.5,2003
egy,49.3,2004
egy,50.8,2005
egy,53.7,2006
slv,49.8,1993
slv,50.4,1994
slv,41.5,1995
slv,39.7,1996
slv,40.7,1997
slv,53.5,1998
slv,54.2,1999
slv,41.2,2000
slv,40.0,2001
slv,40.8,2002
slv,42.3,2003
slv,41.3,2004
slv,40.5,2005
slv,42.5,2006
gnq,6.0,1983
eri,75.6,1996
est,97.3,1989
est,96.7,1990
est,96.3,1991
est,95.3,1992
est,94.0,1993
est,93.7,1994
est,95.2,1995
est,95.0,1996
est,94.4,1997
est,93.9,1998
est,93.9,1999
est,93.6,2000
est,94.5,2001
est,94.6,2002
est,94.1,2003
est,93.8,2004
est,94.9,2005
est,95.3,2006
est,94.6,2007
eth,6.4,1999
eth,45.9,2004
eth,6.2,2005
eth,42.7,2006
fji,56.6,2005
fin,84.6,1980
fin,85.3,1981
fin,85.9,1982
fin,86.4,1983
fin,86.6,1984
fin,87.7,1985
fin,88.3,1986
fin,88.0,1987
fin,88.7,1988
fin,88.4,1989
fin,88.7,1990
fin,89.1,1991
fin,89.3,1992
fin,89.2,1993
fin,88.9,1994
fin,89.5,1995
fin,89.5,1996
fin,89.8,1997
fin,89.9,1998
fin,90.5,1999
fin,90.8,2000
fin,91.1,2001
fin,91.2,2002
fin,91.1,2003
fin,91.4,2004
fin,91.5,2005
fin,91.5,2006
fin,91.8,2007
fra,85.4,1980
fra,85.5,1981
fra,85.7,1982
fra,86.0,1983
fra,86.4,1984
fra,86.8,1985
fra,87.2,1986
fra,87.5,1987
fra,87.8,1988
fra,88.4,1989
fra,89.0,1990
fra,89.6,1991
fra,90.2,1992
fra,90.8,1993
fra,91.2,1994
fra,91.7,1995
fra,92.1,1996
fra,92.5,1997
fra,92.7,1998
fra,92.9,1999
fra,93.1,2000
fra,93.3,2001
fra,93.2,2002
fra,91.9,2003
fra,92.4,2004
fra,92.5,2005
fra,92.3,2006
fra,92.7,2007
gab,29.2,1993
geo,43.5,1998
geo,41.6,1999
geo,36.9,2000
geo,35.0,2001
geo,35.9,2002
geo,34.4,2003
geo,34.6,2004
geo,34.5,2005
deu,87.8,1980
deu,88.2,1981
deu,88.4,1982
deu,88.5,1983
deu,86.6,1984
deu,88.2,1985
deu,88.4,1986
deu,88.6,1987
deu,87.9,1988
deu,88.4,1989
deu,90.8,1990
deu,92.2,1991
deu,92.0,1992
deu,91.8,1993
deu,91.6,1994
deu,91.6,1995
deu,92.0,1996
deu,91.9,1997
deu,91.6,1998
deu,92.2,1999
deu,92.1,2000
deu,91.6,2001
deu,91.7,2002
deu,91.6,2003
deu,91.1,2004
deu,90.6,2005
deu,90.8,2006
deu,90.8,2007
grc,43.9,1981
grc,46.4,1982
grc,44.6,1983
grc,45.1,1984
grc,46.0,1985
grc,46.2,1986
grc,46.6,1987
grc,48.7,1988
grc,50.1,1989
grc,51.9,1990
grc,54.6,1991
grc,54.1,1992
grc,55.0,1993
grc,54.8,1994
grc,56.2,1995
grc,56.3,1996
grc,57.6,1997
grc,58.7,1998
grc,60.7,1999
grc,61.0,2000
grc,63.9,2001
grc,64.3,2002
grc,64.5,2003
grc,68.0,2004
grc,68.0,2005
grc,67.9,2006
grc,68.9,2007
grd,83.6,1991
grd,73.0,1996
grd,75.2,1998
gtm,67.8,1994
gtm,42.9,1998
gtm,42.4,2000
gtm,25.6,2002
guy,52.9,1992
hti,21.2,1990
hnd,48.9,1990
hnd,52.7,1991
hnd,54.9,1992
hnd,54.7,1994
hnd,51.2,1995
hnd,47.8,1996
hnd,47.7,1997
hnd,47.6,1998
hnd,44.4,1999
hnd,48.2,2001
hnd,47.5,2002
hnd,45.3,2003
hnd,50.0,2004
hnd,52.6,2005
hkg,94.7,1993
hkg,94.7,1994
hkg,94.8,1995
hkg,95.0,1996
hkg,95.1,1997
hkg,95.2,1998
hkg,94.6,1999
hkg,95.0,2000
hkg,94.2,2001
hkg,93.5,2002
hkg,93.3,2003
hkg,93.0,2004
hkg,93.3,2005
hkg,93.4,2006
hkg,94.0,2007
hun,88.9,1992
hun,90.3,1993
hun,90.4,1994
hun,90.1,1995
hun,90.2,1996
hun,90.3,1997
hun,91.1,1998
hun,88.9,1999
hun,89.6,2000
hun,89.8,2001
hun,90.1,2002
hun,90.8,2003
hun,89.9,2004
hun,90.2,2005
hun,90.9,2006
hun,90.8,2007
isl,88.0,1991
isl,88.3,1992
isl,89.3,1993
isl,89.7,1994
isl,89.1,1995
isl,88.5,1996
isl,88.6,1997
isl,88.8,1998
isl,89.2,1999
isl,89.0,2000
isl,90.3,2001
isl,91.2,2002
isl,91.7,2003
isl,91.3,2004
isl,92.1,2005
isl,92.1,2006
isl,91.9,2007
idn,28.8,2002
idn,27.6,2003
idn,28.5,2004
idn,31.4,2005
idn,32.0,2006
idn,30.7,2007
irn,53.7,1996
irn,41.5,2005
irn,42.2,2007
irl,88.8,1985
irl,89.5,1986
irl,89.3,1987
irl,89.3,1988
irl,89.2,1989
irl,89.1,1990
irl,89.9,1991
irl,89.6,1992
irl,89.3,1993
irl,90.0,1994
irl,90.3,1995
irl,90.5,1996
irl,90.6,1997
irl,90.4,1998
irl,90.9,1999
irl,91.0,2000
irl,92.0,2001
irl,92.3,2002
irl,92.2,2003
irl,92.1,2004
irl,92.6,2005
irl,93.3,2006
irl,92.9,2007
gbm,92.3,2001
isr,89.9,1995
isr,89.7,1996
isr,90.3,1997
isr,90.7,1998
isr,90.2,1999
isr,90.7,2000
isr,91.5,2001
isr,91.4,2002
isr,91.2,2003
isr,91.6,2004
isr,91.8,2005
isr,91.4,2006
isr,91.8,2007
ita,72.9,1980
ita,73.5,1981
ita,74.0,1982
ita,73.3,1983
ita,72.7,1984
ita,73.6,1985
ita,73.4,1986
ita,73.9,1987
ita,74.4,1988
ita,75.2,1989
ita,75.9,1990
ita,76.2,1991
ita,76.4,1992
ita,75.7,1993
ita,75.8,1994
ita,76.2,1995
ita,76.4,1996
ita,76.8,1997
ita,77.0,1998
ita,77.4,1999
ita,78.0,2000
ita,78.4,2001
ita,78.8,2002
ita,78.9,2003
ita,77.8,2004
ita,79.4,2005
ita,79.5,2006
ita,80.0,2007
jam,61.3,1991
jam,61.7,1992
jam,63.4,1993
jam,63.9,1994
jam,65.3,1995
jam,65.0,1996
jam,65.4,1997
jam,65.5,1998
jam,64.7,1999
jam,64.8,2000
jam,65.3,2001
jam,67.7,2002
jam,67.5,2003
jam,65.8,2004
jam,66.7,2005
jam,66.1,2006
jpn,63.2,1980
jpn,64.3,1981
jpn,64.5,1982
jpn,65.7,1983
jpn,66.5,1984
jpn,67.2,1985
jpn,68.1,1986
jpn,68.4,1987
jpn,69.3,1988
jpn,70.7,1989
jpn,72.3,1990
jpn,74.0,1991
jpn,75.4,1992
jpn,77.0,1993
jpn,77.8,1994
jpn,78.3,1995
jpn,79.3,1996
jpn,79.8,1997
jpn,80.0,1998
jpn,80.4,1999
jpn,81.4,2000
jpn,82.5,2001
jpn,83.3,2002
jpn,83.8,2003
jpn,84.2,2004
jpn,84.7,2005
jpn,85.9,2006
jpn,86.4,2007
kaz,54.1,2001
kaz,56.3,2002
kaz,57.7,2003
kaz,60.2,2004
kor,39.2,1980
kor,39.0,1981
kor,39.9,1982
kor,42.6,1983
kor,46.1,1984
kor,48.2,1985
kor,48.0,1986
kor,50.2,1987
kor,51.2,1988
kor,55.2,1989
kor,56.8,1990
kor,57.5,1991
kor,57.5,1992
kor,57.4,1993
kor,58.5,1994
kor,59.1,1995
kor,59.5,1996
kor,59.8,1997
kor,58.1,1998
kor,59.6,1999
kor,61.5,2000
kor,62.4,2001
kor,63.5,2002
kor,65.5,2003
kor,66.6,2004
kor,67.1,2005
kor,67.7,2006
kor,68.8,2007
kgz,44.1,2002
kgz,46.4,2003
kgz,48.7,2004
kgz,49.9,2005
kgz,51.7,2006
lao,5.4,1995
lva,87.4,1996
lva,81.7,1997
lva,83.9,1998
lva,84.8,1999
lva,86.6,2000
lva,87.2,2001
lva,88.2,2002
lva,89.0,2003
lva,88.2,2004
lva,90.4,2005
lva,90.2,2006
lva,91.8,2007
lso,38.2,1987
lso,43.7,1997
lso,29.9,1999
ltu,80.7,1997
ltu,82.9,1998
ltu,83.1,1999
ltu,82.7,2000
ltu,84.7,2001
ltu,83.1,2002
ltu,82.9,2003
ltu,83.8,2004
ltu,85.4,2005
ltu,86.2,2006
ltu,89.0,2007
mac,93.0,1996
mac,93.8,1997
mac,94.1,1998
mac,93.1,1999
mac,92.0,2000
mac,92.7,2001
mac,93.5,2002
mac,93.0,2003
mac,92.4,2004
mac,93.5,2005
mac,93.8,2006
mac,94.6,2007
mdg,10.5,1993
mdg,12.0,2003
mdg,10.8,2005
mwi,3.9,1987
mys,70.8,1991
mys,72.9,1995
mys,71.8,1996
mys,73.9,1997
mys,74.9,1998
mys,75.5,1999
mys,76.4,2000
mys,76.8,2001
mys,77.3,2002
mys,77.5,2003
mys,76.7,2004
mys,78.5,2005
mys,78.1,2006
mys,77.3,2007
mdv,37.1,1990
mdv,43.9,1995
mdv,28.8,2000
mli,1.8,1994
mli,11.4,2004
mlt,91.2,2001
mlt,94.4,2002
mlt,91.7,2003
mlt,93.5,2004
mlt,94.1,2005
mlt,94.2,2006
mlt,93.0,2007
mhl,67.7,1999
mus,91.1,1990
mus,85.5,1995
mus,90.9,2000
mus,84.9,2004
mus,84.1,2005
mus,83.9,2006
mus,83.2,2007
mex,79.6,1990
mex,61.6,1991
mex,60.7,1992
mex,58.4,1993
mex,57.4,1994
mex,59.1,1995
mex,60.9,1996
mex,58.6,1997
mex,61.5,1998
mex,62.0,1999
mex,64.6,2000
mex,64.3,2001
mex,63.2,2002
mex,63.1,2003
mex,62.7,2004
mex,64.5,2005
mex,65.3,2006
mex,65.1,2007
mng,43.6,2000
mng,41.8,2003
mne,85.4,2005
msr,87.4,1991
mar,52.7,1994
mar,28.3,1999
mar,73.7,2000
mar,76.3,2001
mar,33.4,2002
mar,33.6,2003
mar,31.4,2004
mar,31.6,2005
mar,33.4,2006
nam,43.4,1994
nam,52.6,1997
nam,56.1,2000
nam,54.9,2001
nam,68.8,2004
npl,12.8,2001
nld,89.6,1995
nld,89.6,1996
nld,89.6,1997
nld,90.2,1998
nld,90.6,1999
nld,89.8,2000
nld,89.6,2001
nld,89.7,2002
nld,89.9,2003
nld,89.2,2004
nld,89.2,2005
nld,89.5,2006
nld,89.6,2007
ant,90.9,1991
ant,93.5,1992
ant,89.8,1993
ant,90.6,1994
ant,91.5,1995
ant,91.8,1996
ant,92.2,1997
ant,91.2,1998
ant,92.0,2000
ncl,89.1,1996
nzl,91.5,1981
nzl,87.3,1986
nzl,87.3,1987
nzl,87.0,1988
nzl,86.6,1989
nzl,86.5,1990
nzl,85.2,1991
nzl,84.8,1992
nzl,84.8,1993
nzl,84.4,1994
nzl,84.3,1995
nzl,84.9,1996
nzl,85.9,1997
nzl,85.7,1998
nzl,85.1,1999
nzl,85.1,2000
nzl,86.0,2001
nzl,86.7,2002
nzl,86.8,2003
nzl,86.4,2004
nzl,86.6,2005
nzl,87.3,2006
nzl,87.2,2007
nic,51.3,1993
nic,56.9,1995
nic,57.8,1996
nic,57.9,1997
nic,56.3,1998
nic,57.3,1999
nic,51.8,2000
nic,59.4,2001
nic,57.4,2002
nic,48.4,2003
nic,50.6,2004
nic,50.5,2005
nic,51.7,2006
nor,89.5,1980
nor,89.8,1981
nor,90.3,1982
nor,91.1,1983
nor,91.2,1984
nor,92.0,1985
nor,91.1,1986
nor,92.2,1987
nor,91.6,1988
nor,92.3,1989
nor,92.5,1990
nor,93.2,1991
nor,93.4,1992
nor,93.3,1993
nor,93.6,1994
nor,93.8,1995
nor,94.4,1996
nor,94.8,1997
nor,94.6,1998
nor,95.0,1999
nor,95.0,2000
nor,94.9,2001
nor,95.4,2002
nor,95.4,2003
nor,95.6,2004
nor,95.4,2005
nor,95.1,2006
nor,95.3,2007
omn,91.3,1993
omn,92.0,1996
omn,87.8,2000
pak,24.8,1995
pak,24.8,1996
pak,33.1,1997
pak,24.9,1998
pak,24.9,1999
pak,33.1,2000
pak,33.1,2001
pak,37.1,2002
pak,37.1,2003
pak,31.2,2004
pak,31.2,2005
pak,25.7,2006
pak,24.6,2007
pan,83.4,1982
pan,84.7,1983
pan,84.3,1984
pan,83.2,1985
pan,84.3,1986
pan,81.6,1987
pan,78.1,1988
pan,80.1,1989
pan,83.5,1992
pan,84.0,1993
pan,83.0,1994
pan,80.4,1995
pan,79.8,1996
pan,79.0,1997
pan,77.3,1998
pan,77.0,1999
pan,79.3,2000
pan,79.3,2001
pan,75.3,2002
pan,74.9,2003
pan,74.8,2004
pan,71.9,2005
pan,72.4,2006
pan,74.6,2007
pry,66.8,1990
pry,65.9,1991
pry,68.7,1992
pry,68.0,1993
pry,59.7,1994
pry,54.8,1996
pry,47.4,1997
pry,47.1,1998
pry,47.3,1999
pry,45.4,2000
pry,45.1,2001
pry,45.5,2002
pry,45.7,2003
pry,46.8,2007
per,52.8,1990
per,55.2,1991
per,52.8,1992
per,54.7,1993
per,52.9,1994
per,53.6,1995
per,36.1,1996
per,32.7,1997
per,36.2,1998
per,35.7,1999
per,32.6,2000
per,33.2,2001
per,48.9,2002
per,46.3,2003
per,46.2,2004
per,46.2,2005
per,48.2,2006
per,48.8,2007
phl,49.2,1998
phl,49.9,1999
phl,49.5,2000
phl,47.9,2001
phl,47.5,2002
phl,50.1,2003
phl,50.5,2004
phl,49.7,2005
phl,50.0,2006
phl,51.0,2007
pol,71.0,1992
pol,70.1,1993
pol,70.8,1994
pol,72.3,1995
pol,72.5,1996
pol,73.7,1997
pol,75.0,1998
pol,75.9,1999
pol,75.2,2000
pol,74.3,2001
pol,74.6,2002
pol,75.7,2003
pol,75.9,2004
pol,76.9,2005
pol,78.2,2006
pol,79.1,2007
prt,75.8,1992
prt,74.9,1993
prt,73.9,1994
prt,74.4,1995
prt,73.5,1996
prt,72.5,1997
prt,72.4,1998
prt,73.4,1999
prt,73.7,2000
prt,74.2,2001
prt,74.6,2002
prt,74.7,2003
prt,76.0,2004
prt,76.1,2005
prt,77.0,2006
prt,77.3,2007
pri,91.8,1991
pri,92.2,1992
pri,92.5,1993
pri,93.0,1994
pri,92.3,1995
pri,92.2,1996
pri,92.2,1997
pri,92.3,1998
pri,92.5,1999
pri,92.7,2000
pri,92.9,2001
pri,91.7,2002
pri,92.4,2003
pri,91.8,2004
pri,92.0,2005
pri,91.4,2006
pri,90.8,2007
qat,99.9,1997
qat,99.9,2004
mda,65.8,1999
mda,61.9,2000
mda,59.0,2001
mda,58.9,2002
mda,65.0,2003
mda,64.6,2004
mda,64.1,2005
mda,68.8,2006
mda,69.7,2007
rou,67.9,1990
rou,63.3,1991
rou,57.4,1992
rou,57.7,1993
rou,56.0,1994
rou,53.5,1995
rou,57.2,1996
rou,56.2,1997
rou,55.7,1998
rou,54.5,1999
rou,53.7,2000
rou,53.6,2001
rou,60.1,2002
rou,61.5,2003
rou,66.1,2004
rou,65.2,2005
rou,67.1,2006
rou,66.6,2007
rus,94.4,1992
rus,94.7,1993
rus,94.5,1994
rus,94.4,1995
rus,94.7,1996
rus,96.1,1997
rus,96.3,1998
rus,89.3,1999
rus,90.3,2000
rus,92.3,2001
rus,92.6,2002
rus,93.3,2003
rus,93.1,2004
rus,92.7,2005
rus,93.1,2006
rus,93.3,2007
rwa,3.3,1996
kna,83.7,1991
kna,88.7,2001
lca,73.5,1993
lca,71.7,1994
lca,72.3,1995
lca,68.4,1996
lca,72.3,1997
lca,72.4,1998
lca,72.4,1999
lca,70.6,2000
vct,79.4,1991
smr,82.6,1995
smr,83.5,1996
smr,84.3,1997
smr,85.4,1998
smr,86.4,1999
smr,90.8,2001
smr,91.0,2002
smr,91.2,2003
smr,91.9,2004
smr,91.9,2005
smr,92.3,2006
smr,92.9,2007
stp,68.9,1991
sen,7.5,1991
srb,74.0,2004
srb,73.9,2005
srb,77.6,2006
srb,76.8,2007
syc,85.9,1987
sle,3.7,2004
sgp,89.8,1986
sgp,89.3,1987
sgp,91.1,1988
sgp,91.3,1989
sgp,92.4,1991
sgp,92.5,1992
sgp,92.9,1993
sgp,92.4,1994
sgp,93.5,1995
sgp,91.9,1996
sgp,91.8,1997
sgp,91.7,1998
sgp,90.5,1999
sgp,94.2,2000
sgp,90.6,2001
sgp,90.6,2002
sgp,90.5,2003
sgp,90.4,2004
sgp,89.9,2006
sgp,89.9,2007
svk,96.6,1994
svk,96.2,1995
svk,96.5,1996
svk,96.1,1997
svk,95.8,1998
svk,95.3,1999
svk,95.1,2000
svk,94.9,2001
svk,95.0,2002
svk,93.6,2003
svk,92.5,2004
svk,92.4,2005
svk,92.0,2006
svk,91.9,2007
svn,87.8,1993
svn,85.4,1994
svn,85.8,1995
svn,86.8,1996
svn,83.7,1997
svn,84.0,1998
svn,84.6,1999
svn,86.9,2000
svn,86.1,2001
svn,87.0,2002
svn,89.0,2003
svn,87.1,2004
svn,87.6,2005
svn,86.2,2006
svn,85.8,2007
zaf,80.0,2001
zaf,79.3,2002
zaf,81.1,2003
zaf,80.0,2004
zaf,80.8,2007
esp,64.5,1980
esp,64.4,1981
esp,65.5,1982
esp,65.2,1983
esp,65.8,1984
esp,66.5,1985
esp,68.0,1986
esp,68.0,1987
esp,69.1,1988
esp,71.5,1989
esp,73.4,1990
esp,74.5,1991
esp,74.2,1992
esp,75.0,1993
esp,76.1,1994
esp,76.5,1995
esp,77.7,1996
esp,79.5,1997
esp,80.1,1998
esp,82.1,1999
esp,83.3,2000
esp,83.7,2001
esp,84.8,2002
esp,85.4,2003
esp,85.6,2004
esp,85.4,2005
esp,86.1,2006
esp,86.5,2007
lka,61.8,1997
lka,55.2,1998
lka,57.1,1999
lka,55.5,2000
lka,60.1,2001
lka,58.2,2002
lka,59.6,2003
lka,60.6,2004
lka,58.6,2005
lka,54.8,2006
lka,55.1,2007
sur,84.7,1995
sur,85.9,1996
sur,83.3,1997
sur,86.8,1998
swz,67.4,1997
swe,95.1,1980
swe,95.1,1981
swe,95.0,1982
swe,95.1,1983
swe,95.3,1984
swe,95.3,1985
swe,95.4,1986
swe,94.6,1987
swe,94.7,1988
swe,94.6,1989
swe,94.8,1990
swe,95.0,1991
swe,94.9,1992
swe,94.2,1993
swe,93.7,1994
swe,93.7,1995
swe,94.1,1996
swe,94.1,1997
swe,94.0,1998
swe,93.9,1999
swe,94.3,2000
swe,94.4,2001
swe,94.7,2002
swe,94.9,2003
swe,94.8,2004
swe,94.7,2005
swe,94.6,2006
swe,94.2,2007
che,86.0,1991
che,85.4,1992
che,84.7,1993
che,85.3,1994
che,85.8,1995
che,84.4,1996
che,83.8,1997
che,84.4,1998
che,84.6,1999
che,84.8,2000
che,85.6,2001
che,85.8,2002
che,85.3,2003
che,86.8,2004
che,86.6,2005
che,86.5,2006
che,86.0,2007
syr,46.6,2001
tza,4.0,2001
tza,6.1,2006
tha,25.4,1987
tha,24.5,1988
tha,24.5,1989
tha,25.6,1990
tha,28.0,1991
tha,28.2,1992
tha,31.4,1993
tha,31.7,1994
tha,32.4,1995
tha,34.2,1996
tha,35.2,1997
tha,35.3,1998
tha,37.5,1999
tha,38.8,2000
tha,39.9,2001
tha,39.3,2002
tha,40.2,2003
tha,42.9,2004
tha,42.7,2005
tha,42.9,2006
tha,42.4,2007
mkd,80.1,1998
mkd,77.7,1999
mkd,75.7,2000
mkd,69.8,2001
mkd,71.5,2002
mkd,74.2,2003
mkd,80.5,2004
mkd,75.9,2005
mkd,74.4,2006
mkd,76.9,2007
ton,40.2,1996
tto,73.6,1987
tto,73.3,1988
tto,74.7,1989
tto,77.3,1990
tto,77.1,1991
tto,77.0,1992
tto,76.2,1993
tto,75.9,1994
tto,77.1,1995
tto,78.5,1996
tto,77.6,1997
tto,80.1,1998
tto,79.4,1999
tto,80.1,2000
tto,80.0,2001
tto,82.4,2002
tto,82.6,2003
tto,84.0,2004
tto,83.0,2005
tun,58.6,1989
tun,69.1,1994
tur,22.7,1988
tur,20.7,1989
tur,21.6,1990
tur,20.1,1991
tur,23.3,1992
tur,27.7,1993
