geo,gdpperworking_hour_us_inflation_adjusted,time
arg,11.66,1980
arg,10.67,1981
arg,10.0,1982
arg,10.37,1983
arg,10.43,1984
arg,9.66,1985
arg,10.52,1986
arg,10.43,1987
arg,10.15,1988
arg,9.43,1989
arg,9.36,1990
arg,10.17,1991
arg,11.05,1992
arg,11.67,1993
arg,12.36,1994
arg,11.65,1995
arg,12.19,1996
arg,13.24,1997
arg,13.73,1998
arg,13.2,1999
arg,12.93,2000
arg,12.16,2001
arg,12.18,2002
arg,12.48,2003
arg,12.77,2004
arg,13.01,2005
aus,18.26,1980
aus,18.58,1981
aus,18.67,1982
aus,19.17,1983
aus,19.72,1984
aus,20.2,1985
aus,19.99,1986
aus,20.35,1987
aus,20.27,1988
aus,20.35,1989
aus,20.34,1990
aus,20.96,1991
aus,21.93,1992
aus,22.43,1993
aus,22.67,1994
aus,22.76,1995
aus,23.47,1996
aus,24.28,1997
aus,25.06,1998
aus,25.84,1999
aus,25.39,2000
aus,26.44,2001
aus,27.07,2002
aus,27.51,2003
aus,27.69,2004
aus,27.74,2005
aus,27.94,2006
aut,17.24,1980
aut,17.19,1981
aut,17.83,1982
aut,18.58,1983
aut,18.73,1984
aut,19.25,1985
aut,19.51,1986
aut,19.83,1987
aut,20.44,1988
aut,21.15,1989
aut,21.71,1990
aut,22.1,1991
aut,22.26,1992
aut,22.47,1993
aut,23.4,1994
aut,24.76,1995
aut,24.98,1996
aut,26.92,1997
aut,27.66,1998
aut,28.74,1999
aut,29.68,2000
aut,29.81,2001
aut,30.23,2002
aut,30.17,2003
aut,31.19,2004
aut,31.06,2005
aut,31.75,2006
brb,12.22,1991
brb,12.11,1992
brb,12.14,1993
brb,11.38,1994
brb,11.05,1995
brb,10.68,1996
brb,10.93,1997
brb,11.22,1998
brb,10.93,1999
brb,10.73,2000
brb,10.23,2001
brb,10.46,2002
brb,10.59,2003
brb,10.89,2004
brb,11.09,2005
bel,21.74,1980
bel,22.17,1981
bel,22.98,1982
bel,23.2,1983
bel,23.51,1984
bel,23.53,1985
bel,23.92,1986
bel,24.47,1987
bel,25.22,1988
bel,25.91,1989
bel,26.24,1990
bel,27.16,1991
bel,27.9,1992
bel,28.48,1993
bel,29.49,1994
bel,29.21,1995
bel,29.96,1996
bel,30.57,1997
bel,30.57,1998
bel,31.31,1999
bel,31.89,2000
bel,31.73,2001
bel,32.21,2002
bel,32.58,2003
bel,33.76,2004
bel,33.46,2005
bel,34.01,2006
bra,7.63,1980
bra,7.08,1981
bra,6.81,1982
bra,6.59,1983
bra,6.68,1984
bra,6.64,1985
bra,7.2,1986
bra,7.26,1987
bra,7.07,1988
bra,7.17,1989
bra,6.76,1990
bra,6.79,1991
bra,6.75,1992
bra,7.05,1993
bra,7.39,1994
