aid_received_total_us_inflation_adjusted,geo,time
108800000,afg,1960
223000000,afg,1961
111000000,afg,1962
225100000,afg,1963
290600000,afg,1964
363600000,afg,1965
335900000,afg,1966
254700000,afg,1967
179100000,afg,1968
160000000,afg,1969
155800000,afg,1970
228900000,afg,1971
265700000,afg,1972
237700000,afg,1973
198700000,afg,1974
247600000,afg,1975
247400000,afg,1976
280800000,afg,1977
235400000,afg,1978
269700000,afg,1979
74950000,afg,1980
58450000,afg,1981
25140000,afg,1982
39560000,afg,1983
19250000,afg,1984
43860000,afg,1985
6840000,afg,1986
78340000,afg,1987
119700000,afg,1988
249000000,afg,1989
185000000,afg,1990
758600000,afg,1991
294300000,afg,1992
335800000,afg,1993
329500000,afg,1994
282200000,afg,1995
226000000,afg,1996
343500000,afg,1997
247200000,afg,1998
209500000,afg,1999
222700000,afg,2000
704400000,afg,2001
1907000000,afg,2002
2038000000,afg,2003
2694000000,afg,2004
3205000000,afg,2005
3252000000,afg,2006
5127000000,afg,2007
4857000000,afg,2008
6331000000,afg,2009
6426000000,afg,2010
9110000,alb,1988
18150000,alb,1989
16390000,alb,1990
479100000,alb,1991
584800000,alb,1992
410800000,alb,1993
228000000,alb,1994
230700000,alb,1995
296900000,alb,1996
242500000,alb,1997
391100000,alb,1998
728200000,alb,1999
499400000,alb,2000
430900000,alb,2001
457200000,alb,2002
469200000,alb,2003
355700000,alb,2004
370700000,alb,2005
358800000,alb,2006
312400000,alb,2007
347200000,alb,2008
349400000,alb,2009
340700000,alb,2010
3405000000,dza,1960
4073000000,dza,1961
3406000000,dza,1962
2276000000,dza,1963
1738000000,dza,1964
1128000000,dza,1965
913500000,dza,1966
783200000,dza,1967
853100000,dza,1968
906400000,dza,1969
845800000,dza,1970
805100000,dza,1971
622700000,dza,1972
589700000,dza,1973
555500000,dza,1974
827200000,dza,1975
478500000,dza,1976
403100000,dza,1977
501800000,dza,1978
245300000,dza,1979
444900000,dza,1980
447500000,dza,1981
386300000,dza,1982
261400000,dza,1983
373400000,dza,1984
523300000,dza,1985
369000000,dza,1986
393600000,dza,1987
297700000,dza,1988
287000000,dza,1989
504300000,dza,1990
324200000,dza,1991
525900000,dza,1992
498700000,dza,1993
448100000,dza,1994
382800000,dza,1995
402500000,dza,1996
363300000,dza,1997
616200000,dza,1998
208300000,dza,1999
326300000,dza,2000
338500000,dza,2001
307000000,dza,2002
315600000,dza,2003
375000000,dza,2004
401900000,dza,2005
268200000,dza,2006
398200000,dza,2007
304600000,dza,2008
309300000,dza,2009
198300000,dza,2010
-390000,ago,1960
282400000,ago,1961
240000,ago,1963
12340000,ago,1965
30260000,ago,1966
185200000,ago,1967
80000,ago,1968
-1020000,ago,1969
-450000,ago,1970
-90000,ago,1971
630000,ago,1972
950000,ago,1973
1670000,ago,1974
17850000,ago,1975
61840000,ago,1976
156800000,ago,1977
129500000,ago,1978
110500000,ago,1979
114700000,ago,1980
142900000,ago,1981
153600000,ago,1982
203600000,ago,1983
265200000,ago,1984
251200000,ago,1985
289800000,ago,1986
249400000,ago,1987
276300000,ago,1988
302400000,ago,1989
413400000,ago,1990
419500000,ago,1991
481900000,ago,1992
449200000,ago,1993
659000000,ago,1994
567500000,ago,1995
628700000,ago,1996
534500000,ago,1997
506300000,ago,1998
580800000,ago,1999
473600000,ago,2000
459500000,ago,2001
609200000,ago,2002
630900000,ago,2003
1362000000,ago,2004
476900000,ago,2005
184000000,ago,2006
257000000,ago,2007
358800000,ago,2008
243800000,ago,2009
238200000,ago,2010
50000,atg,1973
15210000,atg,1974
8530000,atg,1975
12080000,atg,1976
