gnipercapita_atlasmethod_current_us,geo,time
3770,arg,2004
4990,arg,2005
6170,arg,2006
7340,arg,2007
8630,arg,2008
9260,arg,2009
10600,arg,2010
11920,arg,2011
13140,arg,2012
14220,arg,2013
14160,arg,2014
14100,arg,2015
310,arm,1992
330,arm,1993
400,arm,1994
450,arm,1995
520,arm,1996
560,arm,1997
590,arm,1998
610,arm,1999
660,arm,2000
710,arm,2001
800,arm,2002
950,arm,2003
1160,arm,2004
1520,arm,2005
1990,arm,2006
2710,arm,2007
3520,arm,2008
3250,arm,2009
3370,arm,2010
3420,arm,2011
3680,arm,2012
3780,arm,2013
3780,arm,2014
3780,arm,2015
1290,atg,1979
1620,atg,1980
1810,atg,1981
1850,atg,1982
2050,atg,1983
2440,atg,1984
2840,atg,1985
3130,atg,1986
3960,atg,1987
5050,atg,1988
5430,atg,1989
5740,atg,1990
6160,atg,1991
6370,atg,1992
6810,atg,1993
7180,atg,1994
6920,atg,1995
7130,atg,1996
7620,atg,1997
7730,atg,1998
8000,atg,1999
8620,atg,2000
8890,atg,2001
9290,atg,2002
10140,atg,2003
10990,atg,2004
11920,atg,2005
13400,atg,2006
14750,atg,2007
14990,atg,2008
13420,atg,2009
12620,atg,2010
12370,atg,2011
12850,atg,2012
13050,atg,2013
13360,atg,2014
13680,atg,2015
1870,aus,1962
1970,aus,1963
2110,aus,1964
2270,aus,1965
2350,aus,1966
2540,aus,1967
2730,aus,1968
2980,aus,1969
3270,aus,1970
3470,aus,1971
3890,aus,1972
4650,aus,1973
5950,aus,1974
7220,aus,1975
7870,aus,1976
8090,aus,1977
8470,aus,1978
9600,aus,1979
10830,aus,1980
11870,aus,1981
12080,aus,1982
11590,aus,1983
12030,aus,1984
12020,aus,1985
12310,aus,1986
12560,aus,1987
14130,aus,1988
15600,aus,1989
17340,aus,1990
18220,aus,1991
18530,aus,1992
18900,aus,1993
18870,aus,1994
19300,aus,1995
20500,aus,1996
21960,aus,1997
21770,aus,1998
21430,aus,1999
21110,aus,2000
20110,aus,2001
19960,aus,2002
21110,aus,2003
25500,aus,2004
30320,aus,2005
34160,aus,2006
37330,aus,2007
42380,aus,2008
44000,aus,2009
46490,aus,2010
50060,aus,2011
59760,aus,2012
65410,aus,2013
64680,aus,2014
63960,aus,2015
1060,aut,1962
1140,aut,1963
1240,aut,1964
1340,aut,1965
1470,aut,1966
1560,aut,1967
1680,aut,1968
1850,aut,1969
2100,aut,1970
2330,aut,1971
2750,aut,1972
3560,aut,1973
4640,aut,1974
5520,aut,1975
5960,aut,1976
6630,aut,1977
7510,aut,1978
9580,aut,1979
11420,aut,1980
11130,aut,1981
10350,aut,1982
9570,aut,1983
9240,aut,1984
9330,aut,1985
10780,aut,1986
13760,aut,1987
18010,aut,1988
19230,aut,1989
20560,aut,1990
21730,aut,1991
24430,aut,1992
24780,aut,1993
26040,aut,1994
28090,aut,1995
30050,aut,1996
29550,aut,1997
27920,aut,1998
27210,aut,1999
26690,aut,2000
25270,aut,2001
24950,aut,2002
27940,aut,2003
33620,aut,2004
38500,aut,2005
41260,aut,2006
44200,aut,2007
48790,aut,2008
48710,aut,2009
49340,aut,2010
50420,aut,2011
50310,aut,2012
50390,aut,2013
50470,aut,2014
50550,aut,2015
590,aze,1993
440,aze,1994
400,aze,1995
400,aze,1996
450,aze,1997
510,aze,1998
570,aze,1999
610,aze,2000
660,aze,2001
720,aze,2002
820,aze,2003
950,aze,2004
1270,aze,2005
1890,aze,2006
2710,aze,2007
3870,aze,2008
4800,aze,2009
5370,aze,2010
5530,aze,2011
6290,aze,2012
7350,aze,2013
7590,aze,2014
7838,aze,2015
70,bdi,1962
80,bdi,1963
80,bdi,1964
70,bdi,1965
60,bdi,1966
60,bdi,1967
50,bdi,1968
50,bdi,1969
70,bdi,1970
70,bdi,1971
70,bdi,1972
80,bdi,1973
100,bdi,1974
110,bdi,1975
120,bdi,1976
140,bdi,1977
150,bdi,1978
180,bdi,1979
220,bdi,1980
250,bdi,1981
240,bdi,1982
230,bdi,1983
220,bdi,1984
240,bdi,1985
240,bdi,1986
250,bdi,1987
250,bdi,1988
220,bdi,1989
210,bdi,1990
210,bdi,1991
200,bdi,1992
170,bdi,1993
160,bdi,1994
150,bdi,1995
140,bdi,1996
140,bdi,1997
140,bdi,1998
130,bdi,1999
130,bdi,2000
120,bdi,2001
120,bdi,2002
110,bdi,2003
120,bdi,2004
130,bdi,2005
140,bdi,2006
160,bdi,2007
170,bdi,2008
180,bdi,2009
200,bdi,2010
220,bdi,2011
240,bdi,2012
250,bdi,2013
270,bdi,2014
292,bdi,2015
1450,bel,1962
1530,bel,1963
1670,bel,1964
1800,bel,1965
1950,bel,1966
2100,bel,1967
2270,bel,1968
2510,bel,1969
2820,bel,1970
3100,bel,1971
3650,bel,1972
4700,bel,1973
6020,bel,1974
6930,bel,1975
7610,bel,1976
8250,bel,1977
9590,bel,1978
11770,bel,1979
14020,bel,1980
13240,bel,1981
11220,bel,1982
9460,bel,1983
8890,bel,1984
8850,bel,1985
10200,bel,1986
13140,bel,1987
17060,bel,1988
18090,bel,1989
19370,bel,1990
20650,bel,1991
23240,bel,1992
23480,bel,1993
25170,bel,1994
27160,bel,1995
28700,bel,1996
28590,bel,1997
26650,bel,1998
26140,bel,1999
25980,bel,2000
24490,bel,2001
24050,bel,2002
27060,bel,2003
32860,bel,2004
37630,bel,2005
39890,bel,2006
42640,bel,2007
46530,bel,2008
45980,bel,2009
47200,bel,2010
47130,bel,2011
46900,bel,2012
46340,bel,2013
47030,bel,2014
47730,bel,2015
90,ben,1962
100,ben,1963
110,ben,1964
110,ben,1965
110,ben,1966
120,ben,1967
120,ben,1968
120,ben,1969
120,ben,1970
120,ben,1971
130,ben,1972
160,ben,1973
190,ben,1974
200,ben,1975
210,ben,1976
230,ben,1977
250,ben,1978
310,ben,1979
390,ben,1980
410,ben,1981
360,ben,1982
290,ben,1983
270,ben,1984
260,ben,1985
270,ben,1986
310,ben,1987
360,ben,1988
340,ben,1989
360,ben,1990
380,ben,1991
360,ben,1992
380,ben,1993
330,ben,1994
350,ben,1995
340,ben,1996
370,ben,1997
370,ben,1998
360,ben,1999
360,ben,2000
360,ben,2001
350,ben,2002
400,ben,2003
470,ben,2004
530,ben,2005
560,ben,2006
600,ben,2007
670,ben,2008
710,ben,2009
710,ben,2010
720,ben,2011
750,ben,2012
790,ben,2013
810,ben,2014
831,ben,2015
80,bfa,1962
80,bfa,1963
80,bfa,1964
80,bfa,1965
80,bfa,1966
90,bfa,1967
90,bfa,1968
90,bfa,1969
90,bfa,1970
90,bfa,1971
90,bfa,1972
110,bfa,1973
140,bfa,1974
160,bfa,1975
170,bfa,1976
170,bfa,1977
200,bfa,1978
250,bfa,1979
300,bfa,1980
300,bfa,1981
280,bfa,1982
240,bfa,1983
210,bfa,1984
210,bfa,1985
240,bfa,1986
270,bfa,1987
330,bfa,1988
330,bfa,1989
330,bfa,1990
360,bfa,1991
320,bfa,1992
280,bfa,1993
230,bfa,1994
230,bfa,1995
250,bfa,1996
250,bfa,1997
250,bfa,1998
260,bfa,1999
250,bfa,2000
240,bfa,2001
240,bfa,2002
280,bfa,2003
340,bfa,2004
410,bfa,2005
430,bfa,2006
460,bfa,2007
520,bfa,2008
550,bfa,2009
610,bfa,2010
610,bfa,2011
640,bfa,2012
650,bfa,2013
710,bfa,2014
776,bfa,2015
120,bgd,1973
160,bgd,1974
210,bgd,1975
200,bgd,1976
170,bgd,1977
160,bgd,1978
190,bgd,1979
220,bgd,1980
260,bgd,1981
240,bgd,1982
220,bgd,1983
210,bgd,1984
220,bgd,1985
240,bgd,1986
270,bgd,1987
290,bgd,1988
290,bgd,1989
300,bgd,1990
310,bgd,1991
320,bgd,1992
320,bgd,1993
320,bgd,1994
330,bgd,1995
360,bgd,1996
390,bgd,1997
400,bgd,1998
410,bgd,1999
420,bgd,2000
430,bgd,2001
420,bgd,2002
450,bgd,2003
490,bgd,2004
540,bgd,2005
560,bgd,2006
590,bgd,2007
650,bgd,2008
710,bgd,2009
780,bgd,2010
870,bgd,2011
950,bgd,2012
1010,bgd,2013
1080,bgd,2014
1155,bgd,2015
2390,bgr,1982
2130,bgr,1983
2040,bgr,1984
1970,bgr,1985
2200,bgr,1986
2750,bgr,1987
3140,bgr,1988
2850,bgr,1989
2260,bgr,1990
1620,bgr,1991
1430,bgr,1992
1250,bgr,1993
1240,bgr,1994
1360,bgr,1995
1310,bgr,1996
1330,bgr,1997
1390,bgr,1998
1490,bgr,1999
1680,bgr,2000
1790,bgr,2001
1950,bgr,2002
2350,bgr,2003
3020,bgr,2004
3700,bgr,2005
4150,bgr,2006
4720,bgr,2007
5940,bgr,2008
6420,bgr,2009
6630,bgr,2010
6870,bgr,2011
7070,bgr,2012
7280,bgr,2013
7420,bgr,2014
7563,bgr,2015
8310,bhr,1982
8730,bhr,1983
9210,bhr,1984
8090,bhr,1985
7450,bhr,1986
7830,bhr,1987
7570,bhr,1988
7310,bhr,1989
7220,bhr,1990
9800,bhr,1991
9890,bhr,1992
10040,bhr,1993
9690,bhr,1994
10380,bhr,1995
10770,bhr,1996
10260,bhr,1997
10000,bhr,1998
9810,bhr,1999
10900,bhr,2000
11540,bhr,2001
12260,bhr,2002
13240,bhr,2003
14970,bhr,2004
16970,bhr,2005
18220,bhr,2006
19840,bhr,2007
20840,bhr,2008
18650,bhr,2009
18660,bhr,2010
17860,bhr,2011
19470,bhr,2012
21050,bhr,2013
22760,bhr,2014
24600,bhr,2015
1550,bhs,1962
1650,bhs,1963
1760,bhs,1964
1900,bhs,1965
2040,bhs,1966
2230,bhs,1967
2450,bhs,1968
2760,bhs,1969
2920,bhs,1970
3110,bhs,1971
3190,bhs,1972
3740,bhs,1973
3840,bhs,1974
4640,bhs,1975
4930,bhs,1976
5740,bhs,1977
6340,bhs,1978
7390,bhs,1979
7290,bhs,1980
7500,bhs,1981
7440,bhs,1982
6860,bhs,1983
7250,bhs,1984
8210,bhs,1985
9600,bhs,1986
11180,bhs,1987
13090,bhs,1988
14660,bhs,1989
14040,bhs,1990
13470,bhs,1991
13630,bhs,1992
13350,bhs,1993
13680,bhs,1994
14260,bhs,1995
15940,bhs,1996
13660,bhs,1997
15790,bhs,1998
19020,bhs,1999
20330,bhs,2000
20870,bhs,2001
21230,bhs,2002
21640,bhs,2003
22780,bhs,2004
23510,bhs,2005
23610,bhs,2006
23860,bhs,2007
23800,bhs,2008
22280,bhs,2009
21660,bhs,2010
21290,bhs,2011
21430,bhs,2012
21190,bhs,2013
20980,bhs,2014
20770,bhs,2015
750,bih,1996
1000,bih,1997
1310,bih,1998
1380,bih,1999
1470,bih,2000
1590,bih,2001
1740,bih,2002
2020,bih,2003
2520,bih,2004
2970,bih,2005
3300,bih,2006
3780,bih,2007
4540,bih,2008
4750,bih,2009
4690,bih,2010
4690,bih,2011
4610,bih,2012
4790,bih,2013
4780,bih,2014
4770,bih,2015
1670,blr,1992
1590,blr,1993
1460,blr,1994
1370,blr,1995
1450,blr,1996
1530,blr,1997
1550,blr,1998
1400,blr,1999
1380,blr,2000
1300,blr,2001
1380,blr,2002
1630,blr,2003
2180,blr,2004
2820,blr,2005
3520,blr,2006
4310,blr,2007
5470,blr,2008
5590,blr,2009
5990,blr,2010
6130,blr,2011
6400,blr,2012
6780,blr,2013
7340,blr,2014
7946,blr,2015
330,blz,1962
340,blz,1963
350,blz,1964
370,blz,1965
390,blz,1966
420,blz,1967
420,blz,1968
420,blz,1969
420,blz,1970
450,blz,1971
520,blz,1972
600,blz,1973
730,blz,1974
840,blz,1975
800,blz,1976
850,blz,1977
930,blz,1978
1120,blz,1979
1430,blz,1980
1420,blz,1981
1270,blz,1982
1130,blz,1983
1130,blz,1984
1180,blz,1985
1340,blz,1986
1580,blz,1987
1820,blz,1988
2020,blz,1989
2230,blz,1990
2380,blz,1991
2660,blz,1992
2780,blz,1993
2790,blz,1994
2860,blz,1995
2890,blz,1996
2890,blz,1997
2790,blz,1998
2870,blz,1999
3150,blz,2000
3140,blz,2001
3230,blz,2002
3450,blz,2003
3600,blz,2004
3680,blz,2005
3780,blz,2006
3740,blz,2007
3940,blz,2008
4130,blz,2009
3970,blz,2010
4140,blz,2011
4260,blz,2012
4350,blz,2013
4442,blz,2014
4536,blz,2015
2170,bmu,1962
2160,bmu,1963
2360,bmu,1964
2460,bmu,1965
2830,bmu,1966
3210,bmu,1967
3240,bmu,1968
3340,bmu,1969
3570,bmu,1970
4010,bmu,1971
4550,bmu,1972
5430,bmu,1973
6490,bmu,1974
7570,bmu,1975
8290,bmu,1976
8960,bmu,1977
9680,bmu,1978
10700,bmu,1979
12790,bmu,1980
14120,bmu,1981
13710,bmu,1982
14820,bmu,1983
16510,bmu,1984
17870,bmu,1985
21170,bmu,1986
24040,bmu,1987
26620,bmu,1988
26500,bmu,1989
27060,bmu,1990
27400,bmu,1991
29000,bmu,1992
30890,bmu,1993
31730,bmu,1994
34290,bmu,1995
117600,bmu,2007
120500,bmu,2008
111600,bmu,2009
110400,bmu,2010
107500,bmu,2011
106100,bmu,2012
106100,bmu,2013
106200,bmu,2014
106300,bmu,2015
240,bol,1970
250,bol,1971
290,bol,1972
310,bol,1973
390,bol,1974
490,bol,1975
580,bol,1976
620,bol,1977
700,bol,1978
810,bol,1979
870,bol,1980
1030,bol,1981
860,bol,1982
870,bol,1983
850,bol,1984
820,bol,1985
740,bol,1986
720,bol,1987
710,bol,1988
720,bol,1989
720,bol,1990
740,bol,1991
770,bol,1992
800,bol,1993
820,bol,1994
850,bol,1995
910,bol,1996
960,bol,1997
1000,bol,1998
980,bol,1999
990,bol,2000
960,bol,2001
930,bol,2002
920,bol,2003
970,bol,2004
1030,bol,2005
1120,bol,2006
1240,bol,2007
1490,bol,2008
1640,bol,2009
1810,bol,2010
2010,bol,2011
2280,bol,2012
2620,bol,2013
2910,bol,2014
3232,bol,2015
230,bra,1962
250,bra,1963
270,bra,1964
280,bra,1965
270,bra,1966
310,bra,1967
370,bra,1968
410,bra,1969
440,bra,1970
500,bra,1971
590,bra,1972
750,bra,1973
970,bra,1974
1170,bra,1975
1350,bra,1976
1470,bra,1977
1660,bra,1978
1950,bra,1979
2180,bra,1980
2070,bra,1981
1990,bra,1982
1710,bra,1983
1610,bra,1984
1560,bra,1985
1780,bra,1986
2030,bra,1987
2240,bra,1988
2740,bra,1989
2710,bra,1990
2860,bra,1991
2770,bra,1992
2730,bra,1993
2980,bra,1994
3680,bra,1995
4460,bra,1996
5030,bra,1997
4820,bra,1998
4100,bra,1999
3850,bra,2000
3290,bra,2001
3040,bra,2002
2920,bra,2003
3280,bra,2004
3900,bra,2005
4710,bra,2006
5980,bra,2007
7330,bra,2008
7990,bra,2009
9640,bra,2010
11010,bra,2011
12160,bra,2012
12310,bra,2013
11530,bra,2014
10800,bra,2015
440,brb,1962
430,brb,1963
460,brb,1964
530,brb,1965
540,brb,1966
600,brb,1967
630,brb,1968
670,brb,1969
750,brb,1970
830,brb,1971
930,brb,1972
1120,brb,1973
1350,brb,1974
1660,brb,1975
1790,brb,1976
1960,brb,1977
2270,brb,1978
2740,brb,1979
3240,brb,1980
3610,brb,1981
3660,brb,1982
3730,brb,1983
4130,brb,1984
4420,brb,1985
5070,brb,1986
5650,brb,1987
6330,brb,1988
6750,brb,1989
6790,brb,1990
7170,brb,1991
7530,brb,1992
7690,brb,1993
8110,brb,1994
8430,brb,1995
8720,brb,1996
9310,brb,1997
9750,brb,1998
10250,brb,1999
11000,brb,2000
10830,brb,2001
10930,brb,2002
11590,brb,2003
12630,brb,2004
13620,brb,2005
14660,brb,2006
15530,brb,2007
15780,brb,2008
15760,brb,2009
15800,brb,2010
15780,brb,2011
14960,brb,2012
12170,brn,1989
12550,brn,1990
13680,brn,1991
15270,brn,1992
15130,brn,1993
15190,brn,1994
15790,brn,1995
16330,brn,1996
16330,brn,1997
14530,brn,1998
14140,brn,1999
14800,brn,2000
16210,brn,2001
17310,brn,2002
18000,brn,2003
20200,brn,2004
23290,brn,2005
27730,brn,2006
30970,brn,2007
34030,brn,2008
32190,brn,2009
37320,brn,2012
280,btn,1982
270,btn,1983
300,btn,1984
300,btn,1985
350,btn,1986
490,btn,1987
540,btn,1988
560,btn,1989
580,btn,1990
500,btn,1991
480,btn,1992
450,btn,1993
490,btn,1994
510,btn,1995
560,btn,1996
610,btn,1997
580,btn,1998
620,btn,1999
780,btn,2000
820,btn,2001
860,btn,2002
950,btn,2003
1070,btn,2004
1220,btn,2005
1340,btn,2006
1630,btn,2007
1750,btn,2008
1830,btn,2009
1990,btn,2010
2170,btn,2011
2320,btn,2012
2330,btn,2013
2390,btn,2014
2452,btn,2015
70,bwa,1962
80,bwa,1963
80,bwa,1964
90,bwa,1965
90,bwa,1966
100,bwa,1967
110,bwa,1968
130,bwa,1969
150,bwa,1970
180,bwa,1971
230,bwa,1972
310,bwa,1973
400,bwa,1974
470,bwa,1975
490,bwa,1976
530,bwa,1977
620,bwa,1978
800,bwa,1979
1000,bwa,1980
1210,bwa,1981
1160,bwa,1982
1050,bwa,1983
980,bwa,1984
970,bwa,1985
1050,bwa,1986
1230,bwa,1987
1830,bwa,1988
2160,bwa,1989
2540,bwa,1990
2870,bwa,1991
3050,bwa,1992
3100,bwa,1993
2750,bwa,1994
3040,bwa,1995
2970,bwa,1996
3110,bwa,1997
3010,bwa,1998
2970,bwa,1999
3000,bwa,2000
3100,bwa,2001
2790,bwa,2002
3230,bwa,2003
3770,bwa,2004
4760,bwa,2005
5270,bwa,2006
5570,bwa,2007
5650,bwa,2008
5180,bwa,2009
5480,bwa,2010
6510,bwa,2011
7180,bwa,2012
7500,bwa,2013
7240,bwa,2014
6989,bwa,2015
80,caf,1962
80,caf,1963
80,caf,1964
90,caf,1965
90,caf,1966
100,caf,1967
100,caf,1968
110,caf,1969
110,caf,1970
110,caf,1971
120,caf,1972
140,caf,1973
160,caf,1974
180,caf,1975
200,caf,1976
240,caf,1977
270,caf,1978
300,caf,1979
340,caf,1980
340,caf,1981
330,caf,1982
260,caf,1983
270,caf,1984
280,caf,1985
330,caf,1986
400,caf,1987
470,caf,1988
470,caf,1989
460,caf,1990
460,caf,1991
450,caf,1992
430,caf,1993
360,caf,1994
340,caf,1995
290,caf,1996
290,caf,1997
270,caf,1998
270,caf,1999
250,caf,2000
250,caf,2001
250,caf,2002
260,caf,2003
300,caf,2004
340,caf,2005
350,caf,2006
380,caf,2007
420,caf,2008
450,caf,2009
470,caf,2010
480,caf,2011
480,caf,2012
310,caf,2013
330,caf,2014
351,caf,2015
2340,can,1962
2360,can,1963
2470,can,1964
2670,can,1965
2920,can,1966
3080,can,1967
3370,can,1968
3680,can,1969
4080,can,1970
4450,can,1971
5040,can,1972
6050,can,1973
7180,can,1974
7980,can,1975
8680,can,1976
9030,can,1977
9690,can,1978
10530,can,1979
11510,can,1980
12280,can,1981
11820,can,1982
12090,can,1983
13000,can,1984
13760,can,1985
14380,can,1986
16110,can,1987
18430,can,1988
19660,can,1989
20430,can,1990
20730,can,1991
21140,can,1992
20990,can,1993
20660,can,1994
20670,can,1995
20640,can,1996
21130,can,1997
20760,can,1998
21250,can,1999
22530,can,2000
22870,can,2001
23330,can,2002
25210,can,2003
29220,can,2004
33950,can,2005
37610,can,2006
41230,can,2007
44650,can,2008
43060,can,2009
44450,can,2010
47090,can,2011
51020,can,2012
52570,can,2013
51690,can,2014
50820,can,2015
19100,che,1982
17730,che,1983
17960,che,1984
18060,che,1985
20340,che,1986
25630,che,1987
33620,che,1988
35220,che,1989
36900,che,1990
37510,che,1991
40880,che,1992
40780,che,1993
41860,che,1994
45400,che,1995
48350,che,1996
48040,che,1997
44960,che,1998
43130,che,1999
43490,che,2000
40950,che,2001
39730,che,2002
45630,che,2003
53810,che,2004
61550,che,2005
63900,che,2006
62680,che,2007
63020,che,2008
70230,che,2009
77360,che,2010
79320,che,2011
84410,che,2012
90670,che,2013
97390,che,2014
104600,che,2015
42430,chanisl,2000
41270,chanisl,2001
40370,chanisl,2002
42780,chanisl,2003
49540,chanisl,2004
55320,chanisl,2005
59810,chanisl,2006
65430,chanisl,2007
600,chl,1962
640,chl,1963
660,chl,1964
650,chl,1965
740,chl,1966
760,chl,1967
780,chl,1968
810,chl,1969
860,chl,1970
1030,chl,1971
1110,chl,1972
1320,chl,1973
1620,chl,1974
1120,chl,1975
980,chl,1976
1070,chl,1977
1310,chl,1978
1740,chl,1979
2230,chl,1980
2640,chl,1981
2180,chl,1982
1780,chl,1983
1600,chl,1984
1410,chl,1985
1410,chl,1986
1560,chl,1987
1830,chl,1988
2100,chl,1989
2260,chl,1990
2510,chl,1991
3050,chl,1992
3380,chl,1993
3670,chl,1994
4400,chl,1995
5020,chl,1996
5480,chl,1997
5350,chl,1998
5000,chl,1999
5020,chl,2000
4850,chl,2001
4630,chl,2002
4650,chl,2003
5310,chl,2004
6340,chl,2005
7360,chl,2006
8740,chl,2007
10140,chl,2008
10030,chl,2009
10800,chl,2010
12350,chl,2011
14350,chl,2012
15270,chl,2013
14910,chl,2014
14560,chl,2015
70,chn,1962
80,chn,1963
90,chn,1964
100,chn,1965
110,chn,1966
100,chn,1967
90,chn,1968
110,chn,1969
120,chn,1970
120,chn,1971
130,chn,1972
160,chn,1973
180,chn,1974
200,chn,1975
180,chn,1976
190,chn,1977
190,chn,1978
210,chn,1979
220,chn,1980
220,chn,1981
220,chn,1982
220,chn,1983
250,chn,1984
290,chn,1985
310,chn,1986
320,chn,1987
330,chn,1988
320,chn,1989
330,chn,1990
350,chn,1991
390,chn,1992
420,chn,1993
470,chn,1994
540,chn,1995
650,chn,1996
750,chn,1997
800,chn,1998
850,chn,1999
930,chn,2000
1010,chn,2001
1100,chn,2002
1270,chn,2003
1500,chn,2004
1750,chn,2005
2050,chn,2006
2490,chn,2007
3070,chn,2008
3650,chn,2009
4300,chn,2010
5000,chn,2011
5870,chn,2012
6740,chn,2013
7380,chn,2014
8081,chn,2015
170,civ,1962
190,civ,1963
220,civ,1964
210,civ,1965
230,civ,1966
230,civ,1967
260,civ,1968
280,civ,1969
290,civ,1970
300,civ,1971
310,civ,1972
370,civ,1973
460,civ,1974
580,civ,1975
660,civ,1976
760,civ,1977
930,civ,1978
1100,civ,1979
1130,civ,1980
1100,civ,1981
930,civ,1982
700,civ,1983
640,civ,1984
620,civ,1985
720,civ,1986
800,civ,1987
890,civ,1988
810,civ,1989
760,civ,1990
740,civ,1991
760,civ,1992
740,civ,1993
670,civ,1994
690,civ,1995
710,civ,1996
760,civ,1997
750,civ,1998
730,civ,1999
640,civ,2000
590,civ,2001
570,civ,2002
620,civ,2003
780,civ,2004
940,civ,2005
950,civ,2006
980,civ,2007
1090,civ,2008
1180,civ,2009
1210,civ,2010
1150,civ,2011
1260,civ,2012
1360,civ,2013
1460,civ,2014
1567,civ,2015
110,cmr,1967
130,cmr,1968
150,cmr,1969
160,cmr,1970
170,cmr,1971
180,cmr,1972
200,cmr,1973
270,cmr,1974
340,cmr,1975
330,cmr,1976
330,cmr,1977
500,cmr,1978
600,cmr,1979
610,cmr,1980
810,cmr,1981
820,cmr,1982
760,cmr,1983
760,cmr,1984
780,cmr,1985
900,cmr,1986
1010,cmr,1987
1100,cmr,1988
1040,cmr,1989
920,cmr,1990
870,cmr,1991
870,cmr,1992
870,cmr,1993
790,cmr,1994
730,cmr,1995
650,cmr,1996
640,cmr,1997
630,cmr,1998
630,cmr,1999
600,cmr,2000
580,cmr,2001
570,cmr,2002
660,cmr,2003
800,cmr,2004
900,cmr,2005
960,cmr,2006
990,cmr,2007
1090,cmr,2008
1160,cmr,2009
1170,cmr,2010
1210,cmr,2011
1230,cmr,2012
1290,cmr,2013
1360,cmr,2014
1434,cmr,2015
150,cog,1962
150,cog,1963
160,cog,1964
170,cog,1965
170,cog,1966
190,cog,1967
200,cog,1968
210,cog,1969
220,cog,1970
230,cog,1971
270,cog,1972
340,cog,1973
420,cog,1974
500,cog,1975
480,cog,1976
440,cog,1977
480,cog,1978
600,cog,1979
820,cog,1980
1080,cog,1981
1210,cog,1982
1060,cog,1983
1050,cog,1984
980,cog,1985
970,cog,1986
1040,cog,1987
920,cog,1988
930,cog,1989
920,cog,1990
950,cog,1991
1050,cog,1992
790,cog,1993
680,cog,1994
430,cog,1995
470,cog,1996
590,cog,1997
580,cog,1998
490,cog,1999
570,cog,2000
640,cog,2001
680,cog,2002
710,cog,2003
790,cog,2004
980,cog,2005
1230,cog,2006
1410,cog,2007
1870,cog,2008
1980,cog,2009
2230,cog,2010
2230,cog,2011
2510,cog,2012
2620,cog,2013
2710,cog,2014
2803,cog,2015
270,col,1962
280,col,1963
300,col,1964
300,col,1965
310,col,1966
290,col,1967
300,col,1968
310,col,1969
320,col,1970
340,col,1971
380,col,1972
450,col,1973
530,col,1974
580,col,1975
610,col,1976
670,col,1977
830,col,1978
