gnipercapita_atlasmethod_current_us,geo,time
3970,and,1972
4990,and,1973
6300,and,1974
7300,and,1975
7570,and,1976
7880,and,1977
8570,and,1978
10360,and,1979
12550,and,1980
12410,and,1981
10780,and,1982
8890,and,1983
8050,and,1984
7640,and,1985
8700,and,1986
11020,and,1987
14080,and,1988
15360,and,1989
16880,and,1990
18260,and,1991
20140,and,1992
18730,and,1993
17880,and,1994
17840,and,1995
18990,and,1996
20190,and,1997
19410,and,1998
19250,and,1999
19930,and,2000
21000,and,2001
22590,and,2002
27150,and,2003
33610,and,2004
40040,and,2005
42740,and,2006
44250,and,2007
43760,and,2008
44180,and,2009
41670,and,2010
40580,and,2011
41010,and,2012
43270,and,2013
45660,and,2014
48170,and,2015
220,afg,2004
250,afg,2005
280,afg,2006
340,afg,2007
370,afg,2008
470,afg,2009
520,afg,2010
570,afg,2011
690,afg,2012
690,afg,2013
670,afg,2014
651,afg,2015
750,ago,1987
750,ago,1988
520,ago,1989
550,ago,1990
820,ago,1991
430,ago,1992
280,ago,1993
180,ago,1994
300,ago,1995
350,ago,1996
440,ago,1997
430,ago,1998
360,ago,1999
390,ago,2000
430,ago,2001
590,ago,2002
670,ago,2003
880,ago,2004
1170,ago,2005
1620,ago,2006
2350,ago,2007
3010,ago,2008
3490,ago,2009
3550,ago,2010
3690,ago,2011
4150,ago,2012
4730,ago,2013
4850,ago,2014
4973,ago,2015
720,alb,1986
760,alb,1987
760,alb,1988
790,alb,1989
680,alb,1990
420,alb,1991
300,alb,1992
320,alb,1993
400,alb,1994
660,alb,1995
900,alb,1996
790,alb,1997
870,alb,1998
970,alb,1999
1170,alb,2000
1340,alb,2001
1410,alb,2002
1690,alb,2003
2160,alb,2004
2690,alb,2005
3120,alb,2006
3530,alb,2007
4080,alb,2008
4280,alb,2009
4360,alb,2010
4390,alb,2011
4370,alb,2012
4510,alb,2013
4460,alb,2014
4411,alb,2015
32820,are,2001
31710,are,2002
33560,are,2003
37000,are,2004
38390,are,2005
40360,are,2006
40670,are,2007
41020,are,2008
36060,are,2009
34140,are,2010
35150,are,2011
39450,are,2012
43860,are,2013
45200,are,2014
46580,are,2015
1110,arg,1964
1230,arg,1965
1340,arg,1966
1230,arg,1967
1210,arg,1968
1300,arg,1969
1320,arg,1970
1470,arg,1971
1460,arg,1972
1810,arg,1973
2460,arg,1974
2700,arg,1975
2340,arg,1976
2200,arg,1977
2170,arg,1978
2600,arg,1979
2940,arg,1980
2810,arg,1981
2570,arg,1982
2800,arg,1983
2820,arg,1984
2650,arg,1985
3010,arg,1986
3600,arg,1987
3900,arg,1988
2910,arg,1989
3170,arg,1990
3950,arg,1991
6280,arg,1992
7070,arg,1993
7540,arg,1994
7330,arg,1995
7700,arg,1996
8110,arg,1997
7990,arg,1998
7540,arg,1999
7440,arg,2000
6960,arg,2001
4020,arg,2002
3640,arg,2003
