geo,population_aged_5_9_years_male_percent,time
afg,13.38,1950
afg,13.98,1955
afg,13.48,1960
afg,13.73,1965
afg,14.0,1970
afg,14.28,1975
afg,14.48,1980
afg,14.6,1985
afg,14.82,1990
afg,14.99,1995
afg,15.18,2000
afg,15.27,2005
afg,15.03,2010
afg,14.45,2015
afg,14.32,2020
afg,14.14,2025
afg,13.77,2030
afg,13.16,2035
afg,12.39,2040
afg,11.63,2045
afg,10.96,2050
alb,12.81,1950
alb,12.23,1955
alb,13.35,1960
alb,14.78,1965
alb,14.72,1970
alb,13.25,1975
alb,11.9,1980
alb,11.66,1985
alb,10.91,1990
alb,11.41,1995
alb,10.75,2000
alb,9.604,2005
alb,7.225,2010
alb,7.107,2015
alb,7.439,2020
alb,7.503,2025
alb,7.01,2030
alb,6.25,2035
alb,5.704,2040
alb,5.699,2045
alb,5.839,2050
dza,12.5,1950
dza,13.11,1955
dza,14.13,1960
dza,15.39,1965
dza,16.63,1970
dza,16.21,1975
dza,15.25,1980
dza,15.07,1985
dza,15.18,1990
dza,13.61,1995
dza,11.97,2000
dza,9.238,2005
dza,8.976,2010
dza,9.092,2015
dza,8.955,2020
dza,8.414,2025
dza,7.564,2030
dza,6.762,2035
dza,6.311,2040
dza,6.19,2045
dza,6.255,2050
ago,13.14,1950
ago,13.0,1955
ago,14.04,1960
ago,14.49,1965
ago,14.88,1970
ago,14.97,1975
ago,14.85,1980
ago,15.24,1985
ago,15.38,1990
ago,15.52,1995
ago,15.63,2000
ago,14.9,2005
ago,15.09,2010
ago,14.15,2015
ago,14.0,2020
ago,13.56,2025
ago,12.92,2030
ago,12.17,2035
ago,11.44,2040
ago,10.82,2045
ago,10.28,2050
arg,9.821,1950
arg,10.21,1955
arg,10.28,1960
arg,10.16,1965
arg,9.862,1970
arg,9.628,1975
arg,10.04,1980
arg,11.2,1985
arg,10.23,1990
arg,9.934,1995
arg,9.665,2000
arg,9.113,2005
arg,8.458,2010
arg,8.279,2015
arg,7.985,2020
arg,7.593,2025
arg,7.166,2030
arg,6.771,2035
arg,6.412,2040
arg,6.303,2045
arg,6.185,2050
arm,7.944,1950
arm,10.05,1955
arm,13.79,1960
arm,15.61,1965
arm,14.96,1970
arm,11.31,1975
arm,10.27,1980
arm,10.18,1985
arm,10.87,1990
arm,11.39,1995
arm,9.751,2000
arm,7.273,2005
arm,7.703,2010
arm,8.265,2015
arm,8.35,2020
arm,7.636,2025
arm,6.716,2030
arm,6.208,2035
arm,6.106,2040
arm,6.177,2045
arm,6.137,2050
abw,18.75,1950
abw,15.79,1955
abw,17.39,1960
abw,14.81,1965
abw,14.81,1970
abw,10.0,1975
abw,6.452,1980
abw,6.667,1985
abw,9.375,1990
abw,7.5,1995
abw,9.091,2000
abw,8.163,2005
abw,6.0,2010
abw,5.769,2015
abw,5.66,2020
abw,5.882,2025
abw,5.66,2030
abw,5.882,2035
abw,5.66,2040
abw,5.66,2045
abw,6.0,2050
aus,8.687,1950
aus,10.35,1955
aus,10.04,1960
aus,10.16,1965
aus,10.03,1970
aus,9.285,1975
aus,9.09,1980
aus,7.673,1985
aus,7.595,1990
aus,7.357,1995
aus,7.298,2000
aus,6.78,2005
aus,6.396,2010
aus,6.404,2015
aus,6.282,2020
aus,6.168,2025
aus,6.066,2030
aus,5.926,2035
aus,5.801,2040
aus,5.756,2045
aus,5.748,2050
aut,8.854,1950
aut,8.055,1955
aut,7.474,1960
aut,8.527,1965
aut,9.326,1970
aut,8.741,1975
aut,7.147,1980
aut,6.161,1985
aut,6.454,1990
aut,6.193,1995
aut,6.248,2000
aut,5.499,2005
aut,5.158,2010
aut,4.899,2015
aut,4.797,2020
aut,4.869,2025
aut,4.893,2030
aut,4.845,2035
aut,4.743,2040
aut,4.745,2045
aut,4.868,2050
aze,8.144,1950
aze,9.391,1955
aze,13.1,1960
aze,16.47,1965
aze,16.71,1970
aze,13.87,1975
aze,11.47,1980
aze,11.01,1985
aze,11.93,1990
aze,12.62,1995
aze,11.5,2000
aze,8.744,2005
aze,8.166,2010
aze,9.048,2015
aze,9.023,2020
aze,8.175,2025
aze,7.033,2030
aze,6.315,2035
aze,6.157,2040
aze,6.263,2045
aze,6.162,2050
bhs,13.89,1950
bhs,14.63,1955
bhs,15.38,1960
bhs,15.94,1965
bhs,15.48,1970
bhs,15.22,1975
bhs,13.46,1980
bhs,11.21,1985
bhs,12.1,1990
bhs,10.07,1995
bhs,10.6,2000
bhs,10.0,2005
bhs,8.383,2010
bhs,7.91,2015
bhs,7.568,2020
bhs,7.179,2025
bhs,6.931,2030
bhs,6.731,2035
bhs,6.542,2040
bhs,6.019,2045
bhs,5.963,2050
bhr,12.9,1950
bhr,12.68,1955
bhr,13.25,1960
bhr,17.89,1965
bhr,14.29,1970
bhr,13.61,1975
bhr,9.95,1980
bhr,9.465,1985
bhr,9.408,1990
bhr,8.657,1995
bhr,8.8,2000
bhr,7.895,2005
bhr,7.759,2010
bhr,6.972,2015
bhr,6.494,2020
bhr,6.055,2025
bhr,5.583,2030
bhr,5.495,2035
bhr,5.414,2040
bhr,5.294,2045
bhr,5.187,2050
bgd,11.66,1950
bgd,12.04,1955
bgd,13.71,1960
bgd,13.91,1965
bgd,14.18,1970
bgd,14.33,1975
bgd,14.61,1980
bgd,14.86,1985
bgd,14.54,1990
bgd,13.41,1995
bgd,12.25,2000
bgd,11.41,2005
bgd,10.55,2010
bgd,9.262,2015
bgd,8.712,2020
bgd,8.258,2025
bgd,7.751,2030
bgd,7.201,2035
bgd,6.688,2040
bgd,6.364,2045
bgd,6.211,2050
brb,11.34,1950
brb,12.75,1955
brb,13.46,1960
brb,13.89,1965
brb,14.41,1970
brb,10.34,1975
brb,11.02,1980
brb,9.091,1985
brb,8.73,1990
brb,8.13,1995
brb,7.317,2000
brb,6.612,2005
brb,5.556,2010
brb,5.469,2015
brb,5.512,2020
brb,5.469,2025
brb,5.512,2030
brb,4.878,2035
brb,4.878,2040
brb,4.959,2045
brb,5.128,2050
blr,8.263,1950
blr,9.073,1955
