geo,oil_production_per_person,time
dza,2.221,1965
dza,2.77,1966
dza,3.108,1967
dza,3.314,1968
dza,3.357,1969
dza,3.507,1970
dza,2.619,1971
dza,3.431,1972
dza,3.381,1973
dza,3.05,1974
dza,2.856,1975
dza,3.061,1976
dza,3.167,1977
dza,3.276,1978
dza,3.161,1979
dza,2.751,1980
dza,2.409,1981
dza,2.331,1982
dza,2.209,1983
dza,2.308,1984
dza,2.262,1985
dza,2.276,1986
dza,2.25,1987
dza,2.229,1988
dza,2.216,1989
dza,2.272,1990
dza,2.224,1991
dza,2.132,1992
dza,2.086,1993
dza,2.032,1994
dza,2.0,1995
dza,2.061,1996
dza,2.063,1997
dza,2.082,1998
dza,2.124,1999
dza,2.187,2000
dza,2.122,2001
dza,2.255,2002
dza,2.476,2003
dza,2.579,2004
dza,2.628,2005
dza,2.582,2006
dza,2.551,2007
dza,2.487,2008
dza,2.227,2009
dza,2.129,2010
dza,2.065,2011
ago,0.1206,1965
ago,0.1142,1966
ago,0.0956,1967
ago,0.1313,1968
ago,0.4227,1969
ago,0.8547,1970
ago,0.946,1971
ago,1.142,1972
ago,1.293,1973
ago,1.319,1974
ago,1.174,1975
ago,1.111,1976
ago,1.01,1977
ago,0.9003,1978
ago,0.9729,1979
ago,0.9725,1980
ago,0.9057,1981
ago,0.7825,1982
ago,1.035,1983
ago,1.147,1984
ago,1.263,1985
ago,1.494,1986
ago,1.831,1987
ago,2.278,1988
ago,2.252,1989
ago,2.262,1990
ago,2.301,1991
ago,2.468,1992
ago,2.182,1993
ago,2.335,1994
ago,2.575,1995
ago,2.84,1996
ago,2.853,1997
ago,2.74,1998
ago,2.716,1999
ago,2.646,2000
ago,2.54,2001
ago,2.995,2002
ago,2.778,2003
ago,3.413,2004
ago,4.187,2005
ago,4.094,2006
ago,4.709,2007
ago,5.182,2008
ago,4.8,2009
ago,4.82,2010
ago,4.345,2011
arg,0.6173,1965
arg,0.6473,1966
arg,0.6957,1967
arg,0.7514,1968
arg,0.7667,1969
arg,0.8339,1970
arg,0.8849,1971
arg,0.8962,1972
arg,0.8564,1973
arg,0.8242,1974
arg,0.7769,1975
arg,0.7706,1976
arg,0.8202,1977
arg,0.8501,1978
arg,0.8761,1979
arg,0.8982,1980
arg,0.9011,1981
arg,0.8817,1982
arg,0.8716,1983
arg,0.8409,1984
arg,0.7959,1985
arg,0.7422,1986
arg,0.7219,1987
arg,0.7476,1988
arg,0.7528,1989
arg,0.7792,1990
arg,0.7821,1991
arg,0.8658,1992
arg,0.9142,1993
arg,1.003,1994
arg,1.075,1995
arg,1.157,1996
arg,1.215,1997
arg,1.218,1998
arg,1.144,1999
arg,1.095,2000
arg,1.114,2001
arg,1.086,2002
arg,1.059,2003
arg,0.9856,2004
arg,0.9369,2005
arg,0.9165,2006
arg,0.8876,2007
arg,0.8592,2008
arg,0.8431,2009
arg,0.8054,2010
arg,0.7429,2011
aus,0.03048,1965
aus,0.03831,1966
aus,0.08734,1967
aus,0.1589,1968
aus,0.1787,1969
aus,0.6839,1970
aus,1.175,1971
aus,1.23,1972
aus,1.514,1973
aus,1.474,1974
aus,1.557,1975
aus,1.574,1976
aus,1.646,1977
aus,1.613,1978
aus,1.601,1979
aus,1.485,1980
aus,1.427,1981
aus,1.388,1982
aus,1.332,1983
aus,1.714,1984
aus,1.951,1985
aus,1.716,1986
aus,1.793,1987
aus,1.674,1988
aus,1.555,1989
aus,1.776,1990
aus,1.659,1991
aus,1.613,1992
aus,1.489,1993
aus,1.584,1994
aus,1.473,1995
aus,1.54,1996
aus,1.623,1997
aus,1.527,1998
aus,1.469,1999
aus,1.956,2000
aus,1.781,2001
aus,1.75,2002
aus,1.497,2003
aus,1.289,2004
aus,1.254,2005
aus,1.147,2006
aus,1.17,2007
aus,1.132,2008
aus,1.031,2009
aus,1.106,2010
aus,0.931,2011
aze,1.983,1985
aze,1.926,1986
aze,2.021,1987
aze,1.966,1988
aze,1.854,1989
aze,1.733,1990
aze,1.607,1991
aze,1.504,1992
aze,1.356,1993
aze,1.247,1994
aze,1.18,1995
aze,1.16,1996
aze,1.141,1997
aze,1.435,1998
aze,1.723,1999
aze,1.735,2000
aze,1.829,2001
aze,1.863,2002
aze,1.853,2003
aze,1.845,2004
aze,2.608,2005
aze,3.731,2006
aze,4.85,2007
aze,5.003,2008
aze,5.584,2009
aze,5.533,2010
aze,4.901,2011
bra,0.05964,1965
bra,0.07088,1966
bra,0.08689,1967
bra,0.09306,1968
bra,0.09898,1969
bra,0.09159,1970
bra,0.09348,1971
bra,0.08941,1972
bra,0.08862,1973
bra,0.09007,1974
bra,0.08615,1975
bra,0.08198,1976
bra,0.07705,1977
bra,0.0748,1978
bra,0.07574,1979
bra,0.08119,1980
bra,0.09255,1981
bra,0.1102,1982
bra,0.1367,1983
bra,0.1868,1984
bra,0.2159,1985
bra,0.2227,1986
bra,0.2171,1987
bra,0.2083,1988
bra,0.2186,1989
bra,0.2278,1990
bra,0.2215,1991
bra,0.2211,1992
bra,0.2215,1993
bra,0.2274,1994
bra,0.2321,1995
bra,0.2583,1996
bra,0.2727,1997
bra,0.3106,1998
bra,0.3459,1999
bra,0.3828,2000
bra,0.3964,2001
bra,0.4384,2002
bra,0.4479,2003
bra,0.4393,2004
bra,0.4803,2005
bra,0.5012,2006
bra,0.5032,2007
bra,0.5181,2008
bra,0.5487,2009
bra,0.573,2010
bra,0.5825,2011
brn,39.83,1965
brn,45.72,1966
brn,47.34,1967
brn,53.21,1968
brn,51.52,1969
brn,53.96,1970
brn,48.86,1971
brn,66.06,1972
brn,79.65,1973
brn,64.92,1974
brn,58.54,1975
brn,65.08,1976
brn,65.36,1977
brn,66.5,1978
brn,69.63,1979
brn,61.89,1980
brn,43.32,1981
brn,43.1,1982
brn,41.89,1983
brn,39.21,1984
brn,36.99,1985
brn,35.48,1986
brn,32.35,1987
brn,30.44,1988
brn,29.46,1989
brn,29.04,1990
brn,30.58,1991
brn,33.17,1992
brn,30.85,1993
brn,30.72,1994
brn,29.23,1995
brn,26.97,1996
brn,25.91,1997
brn,24.33,1998
brn,27.69,1999
brn,28.82,2000
brn,29.6,2001
brn,29.99,2002
brn,29.98,2003
brn,28.87,2004
brn,27.69,2005
brn,29.08,2006
brn,25.06,2007
brn,22.17,2008
brn,20.9,2009
