geo,all_forms_of_tb_new_cases_per_100000_estimated,time
afg,168,1990
afg,168,1991
afg,168,1992
afg,168,1993
afg,168,1994
afg,168,1995
afg,168,1996
afg,168,1997
afg,168,1998
afg,168,1999
afg,168,2000
afg,168,2001
afg,168,2002
afg,168,2003
afg,168,2004
afg,168,2005
afg,168,2006
afg,168,2007
alb,25,1990
alb,24,1991
alb,25,1992
alb,26,1993
alb,26,1994
alb,27,1995
alb,27,1996
alb,28,1997
alb,28,1998
alb,27,1999
alb,25,2000
alb,23,2001
alb,23,2002
alb,22,2003
alb,21,2004
alb,20,2005
alb,18,2006
alb,17,2007
dza,38,1990
dza,38,1991
dza,39,1992
dza,40,1993
dza,41,1994
dza,42,1995
dza,43,1996
dza,44,1997
dza,46,1998
dza,47,1999
dza,48,2000
dza,49,2001
dza,50,2002
dza,51,2003
dza,53,2004
dza,54,2005
dza,55,2006
dza,57,2007
asm,21,1990
asm,7,1991
asm,2,1992
asm,9,1993
asm,9,1994
asm,11,1995
asm,0,1996
asm,12,1997
asm,6,1998
asm,8,1999
asm,6,2000
asm,6,2001
asm,4,2002
asm,5,2003
asm,9,2004
asm,10,2005
asm,7,2006
asm,5,2007
and,36,1990
and,34,1991
and,32,1992
and,30,1993
and,29,1994
and,27,1995
and,26,1996
and,26,1997
and,25,1998
and,23,1999
and,22,2000
and,21,2001
and,21,2002
and,20,2003
and,20,2004
and,19,2005
and,19,2006
and,19,2007
ago,205,1990
ago,209,1991
ago,214,1992
ago,218,1993
ago,222,1994
ago,226,1995
ago,231,1996
ago,236,1997
ago,240,1998
ago,245,1999
ago,250,2000
ago,255,2001
ago,260,2002
ago,265,2003
ago,270,2004
ago,276,2005
ago,281,2006
ago,287,2007
aia,24,1990
aia,24,1991
aia,24,1992
aia,24,1993
aia,23,1994
aia,23,1995
aia,23,1996
aia,23,1997
aia,23,1998
aia,23,1999
aia,23,2000
aia,22,2001
aia,22,2002
aia,22,2003
aia,22,2004
aia,22,2005
aia,22,2006
aia,22,2007
atg,10,1990
atg,10,1991
atg,9,1992
atg,9,1993
atg,8,1994
atg,8,1995
atg,8,1996
atg,7,1997
atg,7,1998
atg,7,1999
atg,6,2000
atg,6,2001
atg,6,2002
atg,6,2003
atg,6,2004
atg,6,2005
atg,6,2006
atg,5,2007
arg,60,1990
arg,57,1991
arg,55,1992
arg,53,1993
arg,51,1994
arg,49,1995
arg,47,1996
arg,45,1997
arg,44,1998
arg,42,1999
arg,40,2000
arg,39,2001
arg,37,2002
arg,36,2003
arg,35,2004
arg,33,2005
arg,32,2006
arg,31,2007
arm,33,1990
arm,32,1991
arm,33,1992
arm,37,1993
arm,41,1994
arm,47,1995
arm,53,1996
arm,58,1997
arm,63,1998
arm,67,1999
arm,71,2000
arm,72,2001
arm,72,2002
arm,71,2003
arm,71,2004
arm,72,2005
arm,72,2006
arm,72,2007
aus,7,1990
aus,7,1991
aus,7,1992
aus,7,1993
aus,7,1994
aus,7,1995
aus,7,1996
aus,7,1997
aus,6,1998
aus,6,1999
aus,6,2000
aus,6,2001
aus,6,2002
aus,6,2003
aus,6,2004
aus,6,2005
aus,6,2006
aus,6,2007
aut,23,1990
aut,22,1991
aut,21,1992
aut,20,1993
aut,19,1994
aut,18,1995
aut,17,1996
aut,17,1997
aut,16,1998
aut,15,1999
aut,14,2000
aut,14,2001
aut,14,2002
aut,13,2003
aut,13,2004
aut,13,2005
aut,13,2006
aut,12,2007
aze,35,1990
aze,34,1991
aze,36,1992
aze,39,1993
aze,43,1994
aze,50,1995
aze,56,1996
aze,62,1997
aze,67,1998
aze,71,1999
aze,75,2000
aze,77,2001
aze,77,2002
aze,76,2003
aze,76,2004
aze,77,2005
aze,77,2006
aze,77,2007
bhs,44,1990
bhs,44,1991
bhs,44,1992
bhs,44,1993
bhs,44,1994
bhs,44,1995
bhs,44,1996
bhs,44,1997
bhs,44,1998
bhs,44,1999
bhs,44,2000
bhs,44,2001
bhs,44,2002
bhs,44,2003
bhs,44,2004
bhs,44,2005
bhs,44,2006
bhs,44,2007
bhr,76,1990
bhr,72,1991
bhr,68,1992
bhr,64,1993
bhr,61,1994
bhr,58,1995
bhr,57,1996
bhr,55,1997
bhr,52,1998
bhr,49,1999
bhr,47,2000
bhr,46,2001
bhr,45,2002
bhr,43,2003
bhr,42,2004
bhr,42,2005
bhr,41,2006
bhr,40,2007
bgd,264,1990
bgd,261,1991
bgd,259,1992
bgd,256,1993
bgd,253,1994
bgd,251,1995
bgd,248,1996
bgd,246,1997
bgd,244,1998
bgd,241,1999
bgd,239,2000
bgd,236,2001
bgd,234,2002
bgd,232,2003
bgd,229,2004
