maternal_mortality_ratio_who,geo,time
880,eri,1990
550,eri,1995
390,eri,2000
300,eri,2005
240,eri,2010
48,est,1990
46,est,1995
28,est,2000
23,est,2005
2,est,2010
950,eth,1990
880,eth,1995
700,eth,2000
510,eth,2005
350,eth,2010
32,fji,1990
33,fji,1995
31,fji,2000
29,fji,2005
26,fji,2010
7,fin,1990
5,fin,1995
5,fin,2000
6,fin,2005
5,fin,2010
13,fra,1990
13,fra,1995
10,fra,2000
8,fra,2005
8,fra,2010
270,gab,1990
260,gab,1995
270,gab,2000
260,gab,2005
230,gab,2010
700,gmb,1990
650,gmb,1995
520,gmb,2000
430,gmb,2005
360,gmb,2010
63,geo,1990
75,geo,1995
58,geo,2000
61,geo,2005
67,geo,2010
13,deu,1990
9,deu,1995
7,deu,2000
7,deu,2005
7,deu,2010
580,gha,1990
590,gha,1995
550,gha,2000
440,gha,2005
350,gha,2010
6,grc,1990
2,grc,1995
5,grc,2000
3,grc,2005
3,grc,2010
34,grd,1990
32,grd,1995
27,grd,2000
25,grd,2005
24,grd,2010
160,gtm,1990
160,gtm,1995
130,gtm,2000
120,gtm,2005
120,gtm,2010
1200,gin,1990
1100,gin,1995
970,gin,2000
800,gin,2005
610,gin,2010
1100,gnb,1990
1000,gnb,1995
970,gnb,2000
890,gnb,2005
790,gnb,2010
180,guy,1990
170,guy,1995
220,guy,2000
280,guy,2005
280,guy,2010
620,hti,1990
550,hti,1995
460,hti,2000
410,hti,2005
350,hti,2010
220,hnd,1990
180,hnd,1995
160,hnd,2000
130,hnd,2005
100,hnd,2010
23,hun,1990
23,hun,1995
10,hun,2000
10,hun,2005
21,hun,2010
8,isl,1990
7,isl,1995
7,isl,2000
6,isl,2005
5,isl,2010
600,ind,1990
480,ind,1995
390,ind,2000
280,ind,2005
200,ind,2010
600,idn,1990
420,idn,1995
340,idn,2000
270,idn,2005
220,idn,2010
120,irn,1990
72,irn,1995
48,irn,2000
30,irn,2005
21,irn,2010
89,irq,1990
84,irq,1995
78,irq,2000
74,irq,2005
63,irq,2010
6,irl,1990
4,irl,1995
6,irl,2000
2,irl,2005
6,irl,2010
12,isr,1990
10,isr,1995
9,isr,2000
7,isr,2005
7,isr,2010
10,ita,1990
6,ita,1995
4,ita,2000
5,ita,2005
4,ita,2010
59,jam,1990
62,jam,1995
83,jam,2000
89,jam,2005
110,jam,2010
12,jpn,1990
9,jpn,1995
10,jpn,2000
7,jpn,2005
5,jpn,2010
110,jor,1990
88,jor,1995
79,jor,2000
72,jor,2005
63,jor,2010
92,kaz,1990
90,kaz,1995
70,kaz,2000
50,kaz,2005
51,kaz,2010
400,ken,1990
460,ken,1995
490,ken,2000
450,ken,2005
360,ken,2010
97,prk,1990
140,prk,1995
120,prk,2000
85,prk,2005
81,prk,2010
18,kor,1990
18,kor,1995
19,kor,2000
17,kor,2005
16,kor,2010
11,kwt,1990
10,kwt,1995
9,kwt,2000
8,kwt,2005
14,kwt,2010
73,kgz,1990
98,kgz,1995
82,kgz,2000
77,kgz,2005
71,kgz,2010
1600,lao,1990
1200,lao,1995
870,lao,2000
650,lao,2005
470,lao,2010
57,lva,1990
58,lva,1995
43,lva,2000
21,lva,2005
34,lva,2010
52,lbn,1990
46,lbn,1995
38,lbn,2000
31,lbn,2005
25,lbn,2010
520,lso,1990
540,lso,1995
690,lso,2000
720,lso,2005
620,lso,2010
1200,lbr,1990
1900,lbr,1995
1300,lbr,2000
1100,lbr,2005
770,lbr,2010
99,lby,1990
76,lby,1995
67,lby,2000
61,lby,2005
58,lby,2010
34,ltu,1990
21,ltu,1995
21,ltu,2000
11,ltu,2005
8,ltu,2010
6,lux,1990
11,lux,1995
11,lux,2000
17,lux,2005
20,lux,2010
16,mkd,1990
14,mkd,1995
15,mkd,2000
10,mkd,2005
10,mkd,2010
640,mdg,1990
550,mdg,1995
400,mdg,2000
310,mdg,2005
240,mdg,2010
1100,mwi,1990
1000,mwi,1995
840,mwi,2000
630,mwi,2005
460,mwi,2010
53,mys,1990
44,mys,1995
39,mys,2000
34,mys,2005
29,mys,2010
830,mdv,1990
390,mdv,1995
190,mdv,2000
94,mdv,2005
60,mdv,2010
1100,mli,1990
930,mli,1995
740,mli,2000
620,mli,2005
540,mli,2010
14,mlt,1990
13,mlt,1995
12,mlt,2000
10,mlt,2005
8,mlt,2010
760,mrt,1990
690,mrt,1995
630,mrt,2000
560,mrt,2005
510,mrt,2010
68,mus,1990
66,mus,1995
28,mus,2000
32,mus,2005
60,mus,2010
92,mex,1990
85,mex,1995
82,mex,2000
54,mex,2005
50,mex,2010
140,fsm,1990
130,fsm,1995
130,fsm,2000
110,fsm,2005
100,fsm,2010
62,mda,1990
60,mda,1995
39,mda,2000
25,mda,2005
41,mda,2010
120,mng,1990
110,mng,1995
96,mng,2000
84,mng,2005
63,mng,2010
8,mne,1990
10,mne,1995
11,mne,2000
9,mne,2005
8,mne,2010
300,mar,1990
230,mar,1995
170,mar,2000
130,mar,2005
100,mar,2010
910,moz,1990
800,moz,1995
710,moz,2000
630,moz,2005
490,moz,2010
520,mmr,1990
380,mmr,1995
300,mmr,2000
230,mmr,2005
200,mmr,2010
200,nam,1990
200,nam,1995
280,nam,2000
310,nam,2005
200,nam,2010
770,npl,1990
550,npl,1995
360,npl,2000
250,npl,2005
170,npl,2010
10,nld,1990
12,nld,1995
13,nld,2000
8,nld,2005
6,nld,2010
18,nzl,1990
13,nzl,1995
12,nzl,2000
15,nzl,2005
15,nzl,2010
170,nic,1990
150,nic,1995
130,nic,2000
110,nic,2005
95,nic,2010
1200,ner,1990
1100,ner,1995
870,ner,2000
720,ner,2005
590,ner,2010
1100,nga,1990
1000,nga,1995
970,nga,2000
820,nga,2005
630,nga,2010
9,nor,1990
4,nor,1995
8,nor,2000
9,nor,2005
7,nor,2010
110,omn,1990
74,omn,1995
51,omn,2000
39,omn,2005
32,omn,2010
490,pak,1990
440,pak,1995
380,pak,2000
310,pak,2005
260,pak,2010
100,pan,1990
110,pan,1995
110,pan,2000
100,pan,2005
92,pan,2010
390,png,1990
330,png,1995
310,png,2000
270,png,2005
230,png,2010
120,pry,1990
120,pry,1995
110,pry,2000
110,pry,2005
99,pry,2010
200,per,1990
170,per,1995
120,per,2000
90,per,2005
67,per,2010
170,phl,1990
140,phl,1995
120,phl,2000
110,phl,2005
99,phl,2010
17,pol,1990
14,pol,1995
8,pol,2000
5,pol,2005
5,pol,2010
15,prt,1990
10,prt,1995
8,prt,2000
8,prt,2005
8,prt,2010
15,qat,1990
13,qat,1995
11,qat,2000
9,qat,2005
7,qat,2010
170,rou,1990
72,rou,1995
52,rou,2000
30,rou,2005
27,rou,2010
74,rus,1990
72,rus,1995
57,rus,2000
37,rus,2005
34,rus,2010
910,rwa,1990
1000,rwa,1995
840,rwa,2000
550,rwa,2005
340,rwa,2010
64,lca,1990
55,lca,1995
46,lca,2000
40,lca,2005
35,lca,2010
59,vct,1990
87,vct,1995
88,vct,2000
64,vct,2005
48,vct,2010
260,wsm,1990
180,wsm,1995
150,wsm,2000
120,wsm,2005
100,wsm,2010
150,stp,1990
120,stp,1995
110,stp,2000
87,stp,2005
70,stp,2010
44,sau,1990
33,sau,1995
27,sau,2000
25,sau,2005
24,sau,2010
670,sen,1990
590,sen,1995
500,sen,2000
430,sen,2005
370,sen,2010
23,srb,1990
25,srb,1995
12,srb,2000
10,srb,2005
12,srb,2010
1300,sle,1990
1300,sle,1995
1300,sle,2000
1000,sle,2005
890,sle,2010
6,sgp,1990
6,sgp,1995
15,sgp,2000
9,sgp,2005
3,sgp,2010
15,svk,1990
10,svk,1995
13,svk,2000
6,svk,2005
6,svk,2010
11,svn,1990
13,svn,1995
12,svn,2000
14,svn,2005
12,svn,2010
150,slb,1990
120,slb,1995
120,slb,2000
110,slb,2005
93,slb,2010
890,som,1990
970,som,1995
1000,som,2000
1000,som,2005
1000,som,2010
250,zaf,1990
260,zaf,1995
330,zaf,2000
360,zaf,2005
300,zaf,2010
7,esp,1990
4,esp,1995
5,esp,2000
6,esp,2005
6,esp,2010
85,lka,1990
74,lka,1995
58,lka,2000
44,lka,2005
35,lka,2010
1000,sdn,1990
930,sdn,1995
870,sdn,2000
800,sdn,2005
730,sdn,2010
84,sur,1990
39,sur,1995
130,sur,2000
110,sur,2005
130,sur,2010
300,swz,1990
290,swz,1995
360,swz,2000
420,swz,2005
320,swz,2010
6,swe,1990
5,swe,1995
5,swe,2000
4,swe,2005
4,swe,2010
7,che,1990
6,che,1995
6,che,2000
6,che,2005
8,che,2010
240,syr,1990
160,syr,1995
120,syr,2000
89,syr,2005
70,syr,2010
94,tjk,1990
160,tjk,1995
120,tjk,2000
79,tjk,2005
65,tjk,2010
870,tza,1990
840,tza,1995
730,tza,2000
610,tza,2005
460,tza,2010
54,tha,1990
54,tha,1995
66,tha,2000
54,tha,2005
48,tha,2010
1000,tls,1990
880,tls,1995
610,tls,2000
410,tls,2005
300,tls,2010
620,tgo,1990
540,tgo,1995
440,tgo,2000
370,tgo,2005
300,tgo,2010
67,ton,1990
86,ton,1995
87,ton,2000
100,ton,2005
110,ton,2010
86,tto,1990
90,tto,1995
59,tto,2000
59,tto,2005
46,tto,2010
130,tun,1990
110,tun,1995
84,tun,2000
68,tun,2005
56,tun,2010
67,tur,1990
51,tur,1995
39,tur,2000
28,tur,2005
20,tur,2010
82,tkm,1990
94,tkm,1995
91,tkm,2000
76,tkm,2005
67,tkm,2010
600,uga,1990
590,uga,1995
530,uga,2000
420,uga,2005
310,uga,2010
49,ukr,1990
45,ukr,1995
35,ukr,2000
25,ukr,2005
32,ukr,2010
24,are,1990
16,are,1995
14,are,2000
13,are,2005
12,are,2010
10,gbr,1990
10,gbr,1995
12,gbr,2000
13,gbr,2005
12,gbr,2010
12,usa,1990
12,usa,1995
14,usa,2000
18,usa,2005
21,usa,2010
39,ury,1990
35,ury,1995
35,ury,2000
31,ury,2005
29,ury,2010
59,uzb,1990
36,uzb,1995
33,uzb,2000
32,uzb,2005
28,uzb,2010
220,vut,1990
180,vut,1995
120,vut,2000
110,vut,2005
110,vut,2010
94,ven,1990
98,ven,1995
91,ven,2000
94,ven,2005
92,ven,2010
240,vnm,1990
160,vnm,1995
100,vnm,2000
74,vnm,2005
59,vnm,2010
610,yem,1990
520,yem,1995
380,yem,2000
270,yem,2005
200,yem,2010
470,zmb,1990
530,zmb,1995
540,zmb,2000
500,zmb,2005
440,zmb,2010
450,zwe,1990
540,zwe,1995
640,zwe,2000
690,zwe,2005
570,zwe,2010
