maternal_mortality_ratio_who,geo,time
1300,afg,1990
1300,afg,1995
1000,afg,2000
710,afg,2005
460,afg,2010
48,alb,1990
43,alb,1995
39,alb,2000
31,alb,2005
27,alb,2010
220,dza,1990
180,dza,1995
140,dza,2000
110,dza,2005
97,dza,2010
1200,ago,1990
1200,ago,1995
890,ago,2000
650,ago,2005
450,ago,2010
71,arg,1990
60,arg,1995
63,arg,2000
69,arg,2005
77,arg,2010
46,arm,1990
47,arm,1995
38,arm,2000
34,arm,2005
30,arm,2010
10,aus,1990
13,aus,1995
9,aus,2000
7,aus,2005
7,aus,2010
10,aut,1990
7,aut,1995
5,aut,2000
5,aut,2005
4,aut,2010
56,aze,1990
81,aze,1995
65,aze,2000
52,aze,2005
43,aze,2010
52,bhs,1990
56,bhs,1995
56,bhs,2000
47,bhs,2005
47,bhs,2010
23,bhr,1990
21,bhr,1995
22,bhr,2000
21,bhr,2005
20,bhr,2010
800,bgd,1990
560,bgd,1995
400,bgd,2000
330,bgd,2005
240,bgd,2010
120,brb,1990
39,brb,1995
49,brb,2000
41,brb,2005
51,brb,2010
37,blr,1990
28,blr,1995
31,blr,2000
20,blr,2005
4,blr,2010
10,bel,1990
10,bel,1995
9,bel,2000
8,bel,2005
8,bel,2010
71,blz,1990
32,blz,1995
100,blz,2000
77,blz,2005
53,blz,2010
770,ben,1990
660,ben,1995
530,ben,2000
430,ben,2005
350,ben,2010
1000,btn,1990
670,btn,1995
430,btn,2000
270,btn,2005
180,btn,2010
450,bol,1990
360,bol,1995
280,bol,2000
240,bol,2005
190,bol,2010
18,bih,1990
14,bih,1995
10,bih,2000
9,bih,2005
8,bih,2010
140,bwa,1990
210,bwa,1995
350,bwa,2000
330,bwa,2005
160,bwa,2010
120,bra,1990
96,bra,1995
81,bra,2000
67,bra,2005
56,bra,2010
29,brn,1990
25,brn,1995
24,brn,2000
25,brn,2005
24,brn,2010
24,bgr,1990
23,bgr,1995
28,bgr,2000
13,bgr,2005
11,bgr,2010
700,bfa,1990
560,bfa,1995
450,bfa,2000
370,bfa,2005
300,bfa,2010
1100,bdi,1990
1100,bdi,1995
1000,bdi,2000
910,bdi,2005
800,bdi,2010
830,khm,1990
750,khm,1995
510,khm,2000
340,khm,2005
250,khm,2010
670,cmr,1990
720,cmr,1995
730,cmr,2000
720,cmr,2005
690,cmr,2010
6,can,1990
7,can,1995
7,can,2000
11,can,2005
12,can,2010
200,cpv,1990
200,cpv,1995
170,cpv,2000
110,cpv,2005
79,cpv,2010
930,caf,1990
1000,caf,1995
1000,caf,2000
1000,caf,2005
890,caf,2010
920,tcd,1990
1000,tcd,1995
1100,tcd,2000
1100,tcd,2005
1100,tcd,2010
56,chl,1990
40,chl,1995
29,chl,2000
26,chl,2005
25,chl,2010
120,chn,1990
84,chn,1995
61,chn,2000
45,chn,2005
37,chn,2010
170,col,1990
130,col,1995
130,col,2000
100,col,2005
92,col,2010
440,com,1990
380,com,1995
340,com,2000
310,com,2005
280,com,2010
930,cod,1990
870,cod,1995
770,cod,2000
660,cod,2005
540,cod,2010
420,cog,1990
480,cog,1995
540,cog,2000
550,cog,2005
560,cog,2010
38,cri,1990
45,cri,1995
47,cri,2000
50,cri,2005
40,cri,2010
710,civ,1990
660,civ,1995
590,civ,2000
510,civ,2005
400,civ,2010
8,hrv,1990
14,hrv,1995
11,hrv,2000
14,hrv,2005
17,hrv,2010
63,cub,1990
61,cub,1995
63,cub,2000
67,cub,2005
73,cub,2010
17,cyp,1990
17,cyp,1995
15,cyp,2000
12,cyp,2005
10,cyp,2010
15,cze,1990
9,cze,1995
7,cze,2000
7,cze,2005
5,cze,2010
13,dnk,1990
19,dnk,1995
8,dnk,2000
7,dnk,2005
12,dnk,2010
290,dji,1990
290,dji,1995
290,dji,2000
220,dji,2005
200,dji,2010
220,dom,1990
170,dom,1995
130,dom,2000
130,dom,2005
150,dom,2010
180,ecu,1990
150,ecu,1995
130,ecu,2000
110,ecu,2005
110,ecu,2010
230,egy,1990
150,egy,1995
100,egy,2000
78,egy,2005
66,egy,2010
150,slv,1990
130,slv,1995
110,slv,2000
94,slv,2005
81,slv,2010
1200,gnq,1990
1000,gnq,1995
450,gnq,2000
270,gnq,2005
240,gnq,2010
