geo,stillbirths_per_1000_births,time
afg,44.7,2000
alb,13.6,2000
dza,15.6,2000
and,5.4,2000
ago,32.6,2000
atg,10.3,2000
arg,10.7,2000
arm,11.7,2000
aus,4.4,2000
aut,5.2,2000
aze,5.3,2000
bhs,9.8,2000
bhr,8.1,2000
bgd,37.8,2000
brb,8.3,2000
blr,6.5,2000
bel,5.5,2000
blz,15.6,2000
ben,29.7,2000
btn,24.9,2000
bol,20.9,2000
bih,6.3,2000
bwa,18.5,2000
bra,13.3,2000
brn,6.3,2000
bgr,10.3,2000
bfa,26.0,2000
bdi,33.9,2000
khm,20.4,2000
cmr,27.1,2000
can,4.5,2000
cpv,16.3,2000
caf,28.7,2000
tcd,33.8,2000
chl,5.9,2000
chn,24.0,2000
col,12.6,2000
com,25.7,2000
cod,33.9,2000
cog,27.9,2000
cok,9.1,2000
cri,10.2,2000
civ,34.0,2000
hrv,6.5,2000
cub,7.61,2000
cyp,5.8,2000
cze,4.1,2000
dnk,6.7,2000
dji,34.8,2000
dma,11.6,2000
dom,14.5,2000
ecu,15.3,2000
egy,21.1,2000
slv,15.6,2000
gnq,25.6,2000
eri,27.1,2000
est,7.6,2000
eth,36.1,2000
fji,10.3,2000
fin,4.9,2000
fra,6.5,2000
gab,18.5,2000
gmb,27.2,2000
geo,13.9,2000
deu,5.6,2000
gha,23.5,2000
grc,8.7,2000
grd,12.3,2000
gtm,33.1,2000
gin,28.4,2000
gnb,35.0,2000
guy,16.6,2000
hti,24.8,2000
hnd,18.4,2000
hun,7.9,2000
isl,4.9,2000
ind,29.5,2000
idn,12.3,2000
irn,10.8,2000
irq,26.7,2000
irl,8.0,2000
isr,5.9,2000
ita,5.1,2000
jam,12.9,2000
jpn,3.5,2000
jor,11.9,2000
kaz,11.9,2000
ken,44.5,2000
kir,14.4,2000
prk,18.0,2000
kor,3.1,2000
kwt,7.2,2000
kgz,18.4,2000
lao,20.2,2000
lva,9.8,2000
lbn,10.1,2000
lso,22.8,2000
lbr,32.0,2000
lby,9.0,2000
ltu,7.4,2000
lux,5.9,2000
mkd,10.5,2000
mdg,28.7,2000
mwi,38.9,2000
mys,7.9,2000
mdv,20.8,2000
mli,24.0,2000
mlt,5.6,2000
mhl,14.4,2000
mrt,30.0,2000
mus,10.5,2000
mex,7.7,2000
fsm,11.4,2000
mda,10.8,2000
mco,4.9,2000
mng,15.2,2000
mar,20.0,2000
moz,31.7,2000
mmr,21.5,2000
nam,19.0,2000
nru,10.5,2000
npl,54.6,2000
nld,6.7,2000
nzl,8.6,2000
nic,18.6,2000
ner,38.3,2000
nga,29.8,2000
niu,11.1,2000
nor,5.9,2000
omn,9.4,2000
pak,41.4,2000
plw,9.7,2000
pan,12.8,2000
png,17.2,2000
pry,15.7,2000
per,15.1,2000
phl,12.0,2000
pol,6.0,2000
prt,5.4,2000
qat,7.7,2000
rou,8.1,2000
rus,9.3,2000
rwa,29.8,2000
kna,11.3,2000
lca,11.6,2000
vct,12.5,2000
wsm,12.5,2000
smr,5.1,2000
stp,25.3,2000
sau,10.7,2000
sen,26.7,2000
syc,10.2,2000
sle,36.6,2000
sgp,4.2,2000
svk,5.6,2000
svn,4.9,2000
slb,13.5,2000
som,44.9,2000
zaf,17.5,2000
esp,5.2,2000
lka,9.6,2000
sdn,53.1,2000
sur,14.6,2000
swz,21.6,2000
swe,34.87,1755
swe,35.93,1765
swe,38.67,1775
swe,38.22,1785
swe,39.75,1795
swe,34.69,1805
swe,34.66,1815
swe,36.79,1825
swe,41.77,1835
swe,43.87,1845
swe,45.37,1855
swe,45.99,1865
swe,43.25,1875
swe,38.09,1885
swe,36.2,1895
swe,34.83,1905
swe,33.51,1915
swe,35.48,1925
swe,38.71,1935
swe,32.5,1943
swe,28.78,1948
swe,27.06,1951
swe,25.69,1952
swe,25.15,1953
swe,23.8,1954
swe,23.42,1955
swe,23.49,1956
swe,21.95,1957
swe,21.93,1958
swe,20.82,1959
swe,19.22,1960
swe,17.79,1961
swe,17.44,1962
swe,16.8,1963
swe,15.75,1964
swe,14.35,1965
swe,13.95,1966
swe,13.26,1967
swe,10.12,1973
swe,9.414,1974
swe,8.29,1975
swe,7.868,1976
swe,7.166,1977
swe,6.885,1978
swe,6.182,1979
swe,6.042,1980
swe,5.339,1981
swe,5.48,1982
swe,4.777,1983
swe,5.199,1984
swe,5.058,1985
swe,5.62,1986
swe,5.339,1987
swe,5.058,1988
swe,5.199,1989
swe,4.918,1990
swe,5.339,1991
swe,4.637,1992
swe,4.918,1993
swe,4.496,1994
swe,4.777,1995
swe,4.918,1996
swe,5.48,1997
swe,5.199,1998
swe,5.199,1999
swe,5.5,2000
che,6.9,2000
syr,11.7,2000
tjk,24.9,2000
tza,29.4,2000
tha,9.4,2000
tgo,26.0,2000
