geo,storm_deaths_annual_number,time
mnp,0,2007
mnp,0,2008
nor,0,1970
nor,0,1971
nor,0,1972
nor,0,1973
nor,0,1974
nor,0,1975
nor,0,1976
nor,0,1977
nor,0,1978
nor,0,1979
nor,0,1980
nor,0,1981
nor,0,1982
nor,0,1983
nor,0,1984
nor,0,1985
nor,0,1986
nor,0,1987
nor,0,1988
nor,0,1989
nor,0,1990
nor,0,1991
nor,0,1992
nor,0,1993
nor,0,1994
nor,0,1995
nor,0,1996
nor,0,1997
nor,0,1998
nor,0,1999
nor,0,2000
nor,0,2001
nor,0,2002
nor,0,2003
nor,0,2004
nor,0,2005
nor,0,2006
nor,0,2007
nor,0,2008
omn,0,1970
omn,0,1971
omn,0,1972
omn,0,1973
omn,0,1974
omn,0,1975
omn,0,1976
omn,107,1977
omn,0,1978
omn,0,1979
omn,0,1980
omn,26,1981
omn,0,1982
omn,0,1983
omn,0,1984
omn,0,1985
omn,0,1986
omn,0,1987
omn,0,1988
omn,0,1989
omn,0,1990
omn,0,1991
omn,0,1992
omn,0,1993
omn,0,1994
omn,0,1995
omn,0,1996
omn,0,1997
omn,0,1998
omn,0,1999
omn,0,2000
omn,0,2001
omn,7,2002
omn,30,2003
omn,0,2004
omn,0,2005
omn,0,2006
omn,76,2007
omn,0,2008
pak,0,1970
pak,0,1971
pak,0,1972
pak,0,1973
pak,0,1974
pak,0,1975
pak,0,1976
pak,0,1977
pak,0,1978
pak,0,1979
pak,18,1980
pak,56,1981
pak,0,1982
pak,0,1983
pak,0,1984
pak,0,1985
pak,11,1986
pak,0,1987
pak,36,1988
pak,0,1989
pak,0,1990
pak,0,1991
pak,0,1992
pak,609,1993
pak,36,1994
pak,0,1995
pak,0,1996
pak,41,1997
pak,12,1998
pak,258,1999
pak,0,2000
pak,4,2001
pak,14,2002
pak,51,2003
pak,0,2004
pak,58,2005
pak,0,2006
pak,242,2007
pak,0,2008
pan,0,1970
pan,0,1971
pan,0,1972
pan,0,1973
pan,0,1974
pan,0,1975
pan,0,1976
pan,0,1977
pan,0,1978
pan,0,1979
pan,0,1980
pan,0,1981
pan,0,1982
pan,0,1983
pan,0,1984
pan,0,1985
pan,0,1986
pan,0,1987
pan,30,1988
pan,0,1989
pan,0,1990
pan,0,1991
pan,12,1992
pan,0,1993
pan,0,1994
pan,0,1995
pan,0,1996
pan,0,1997
pan,3,1998
pan,0,1999
pan,0,2000
pan,0,2001
pan,0,2002
pan,0,2003
pan,0,2004
pan,0,2005
pan,0,2006
pan,0,2007
pan,0,2008
png,0,1970
png,0,1971
png,0,1972
png,0,1973
png,0,1974
png,0,1975
png,0,1976
png,0,1977
png,0,1978
png,0,1979
png,0,1980
png,0,1981
png,0,1982
png,0,1983
png,0,1984
png,0,1985
png,0,1986
png,0,1987
png,0,1988
png,0,1989
png,0,1990
png,0,1991
png,0,1992
png,15,1993
png,0,1994
png,0,1995
png,0,1996
png,32,1997
png,0,1998
png,0,1999
png,0,2000
png,0,2001
png,0,2002
png,0,2003
png,0,2004
png,0,2005
png,0,2006
png,172,2007
png,0,2008
pry,0,1970
pry,0,1971
pry,0,1972
pry,0,1973
pry,0,1974
pry,0,1975
pry,0,1976
pry,0,1977
pry,0,1978
pry,0,1979
pry,0,1980
pry,0,1981
pry,0,1982
pry,0,1983
pry,0,1984
pry,0,1985
pry,0,1986
pry,0,1987
pry,0,1988
pry,0,1989
pry,0,1990
pry,0,1991
pry,0,1992
pry,0,1993
pry,0,1994
pry,0,1995
pry,0,1996
pry,33,1997
pry,0,1998
pry,0,1999
pry,0,2000
pry,0,2001
pry,0,2002
pry,0,2003
pry,0,2004
pry,0,2005
pry,0,2006
pry,0,2007
pry,0,2008
per,0,1970
per,0,1971
per,0,1972
per,0,1973
per,0,1974
per,0,1975
per,0,1976
per,0,1977
per,0,1978
per,0,1979
per,0,1980
per,0,1981
per,0,1982
per,0,1983
per,0,1984
per,0,1985
per,0,1986
per,0,1987
per,0,1988
per,0,1989
per,0,1990
per,0,1991
per,0,1992
per,0,1993
per,0,1994
per,0,1995
per,0,1996
per,518,1997
per,0,1998
per,0,1999
per,0,2000
per,0,2001
per,59,2002
per,0,2003
per,0,2004
per,0,2005
per,0,2006
per,0,2007
per,0,2008
phl,3802,1970
phl,246,1971
phl,435,1972
phl,346,1973
phl,203,1974
phl,39,1975
phl,387,1976
phl,104,1977
phl,617,1978
phl,62,1979
phl,212,1980
phl,999,1981
phl,563,1982
phl,128,1983
phl,2679,1984
phl,186,1985
phl,176,1986
phl,1094,1987
phl,788,1988
phl,378,1989
phl,737,1990
phl,6083,1991
phl,101,1992
phl,518,1993
phl,248,1994
phl,1249,1995
phl,38,1996
phl,49,1997
phl,594,1998
phl,100,1999
phl,394,2000
phl,587,2001
phl,305,2002
phl,95,2003
phl,1861,2004
phl,34,2005
phl,1805,2006
phl,89,2007
phl,819,2008
pol,0,1970
pol,0,1971
pol,0,1972
pol,0,1973
pol,0,1974
pol,0,1975
pol,0,1976
pol,0,1977
pol,0,1978
pol,0,1979
pol,0,1980
pol,0,1981
pol,0,1982
pol,0,1983
pol,0,1984
pol,0,1985
pol,0,1986
pol,0,1987
pol,0,1988
pol,0,1989
pol,0,1990
pol,0,1991
pol,0,1992
pol,0,1993
pol,1,1994
pol,0,1995
pol,0,1996
pol,0,1997
pol,0,1998
pol,3,1999
pol,0,2000
pol,0,2001
pol,9,2002
pol,0,2003
pol,0,2004
pol,0,2005
pol,0,2006
pol,19,2007
pol,2,2008
prt,0,1970
prt,0,1971
prt,0,1972
prt,11,1973
prt,0,1974
prt,0,1975
prt,0,1976
prt,0,1977
prt,0,1978
prt,0,1979
prt,0,1980
prt,0,1981
prt,0,1982
prt,0,1983
prt,0,1984
prt,0,1985
prt,0,1986
prt,0,1987
prt,0,1988
prt,0,1989
prt,0,1990
prt,0,1991
prt,0,1992
prt,0,1993
prt,0,1994
prt,0,1995
prt,0,1996
prt,29,1997
prt,0,1998
prt,0,1999
prt,4,2000
prt,0,2001
prt,0,2002
prt,0,2003
prt,0,2004
prt,0,2005
prt,0,2006
prt,0,2007
prt,0,2008
pri,0,1970
pri,0,1971
pri,0,1972
pri,0,1973
pri,0,1974
pri,26,1975
pri,0,1976
pri,0,1977
pri,0,1978
pri,3,1979
pri,0,1980
pri,0,1981
pri,0,1982
pri,0,1983
pri,0,1984
pri,0,1985
pri,0,1986
pri,0,1987
pri,0,1988
pri,0,1989
pri,0,1990
pri,0,1991
pri,0,1992
pri,0,1993
pri,0,1994
pri,1,1995
pri,18,1996
pri,0,1997
pri,0,1998
pri,1,1999
pri,0,2000
pri,0,2001
pri,0,2002
pri,0,2003
pri,2,2004
pri,0,2005
