geo,tb_programme_dots_population_coverage_percent,time
bgd,99,2003
bgd,99,2004
bgd,99,2005
bgd,100,2006
bgd,100,2007
brb,0,1996
brb,0,1997
brb,0,1998
brb,0,1999
brb,0,2000
brb,100,2001
brb,100,2002
brb,100,2004
brb,100,2006
brb,100,2007
blr,0,1996
blr,0,1997
blr,0,1998
blr,0,1999
blr,0,2000
blr,0,2001
blr,0,2002
blr,70,2003
blr,70,2004
blr,100,2005
blr,100,2006
blr,100,2007
bel,0,1996
bel,0,1997
bel,0,1998
bel,0,1999
bel,0,2000
bel,100,2001
bel,100,2002
bel,100,2003
bel,100,2004
bel,100,2005
bel,100,2006
bel,100,2007
blz,0,1995
blz,100,1996
blz,100,1997
blz,100,2000
blz,100,2001
blz,100,2002
blz,100,2003
blz,100,2004
blz,100,2005
blz,100,2006
blz,100,2007
ben,97,1995
ben,100,1996
ben,100,1997
ben,100,1998
ben,100,1999
ben,100,2000
ben,100,2002
ben,100,2003
ben,100,2004
ben,100,2005
ben,100,2006
bmu,0,2000
bmu,0,2001
bmu,100,2002
bmu,0,2004
bmu,0,2006
btn,100,1995
btn,100,1996
btn,100,1997
btn,100,1998
btn,100,1999
btn,100,2000
btn,100,2001
btn,100,2002
btn,100,2003
btn,100,2004
btn,100,2005
btn,90,2006
btn,100,2007
bol,50,1995
bol,100,1996
bol,100,1997
bol,57,1998
bol,100,1999
bol,70,2000
bol,100,2001
bol,86,2002
bol,100,2003
bol,60,2004
bol,47,2005
bol,47,2006
bol,100,2007
bih,0,1996
bih,0,1997
bih,27,1998
bih,100,1999
bih,100,2000
bih,100,2001
bih,100,2002
bih,100,2003
bih,100,2004
bih,100,2005
bih,100,2006
bih,100,2007
bwa,100,1995
bwa,100,1996
bwa,100,1997
bwa,100,1998
bwa,100,1999
bwa,100,2000
bwa,100,2001
bwa,100,2002
bwa,100,2003
bwa,100,2004
bwa,100,2005
bwa,100,2006
bwa,100,2007
bra,0,1996
bra,0,1997
bra,3,1998
bra,7,1999
bra,7,2000
bra,32,2001
bra,25,2002
bra,34,2003
bra,52,2004
bra,68,2005
bra,86,2006
bra,75,2007
vgb,0,1997
vgb,0,2001
vgb,0,2002
vgb,0,2003
vgb,0,2004
vgb,100,2005
vgb,0,2007
brn,0,1997
brn,100,1999
brn,100,2000
brn,100,2001
brn,100,2002
brn,100,2003
brn,100,2004
brn,100,2005
brn,100,2006
brn,100,2007
bgr,0,1996
bgr,0,1997
bgr,0,1998
bgr,0,1999
bgr,3,2000
bgr,56,2001
bgr,78,2002
bgr,100,2003
bgr,100,2004
bgr,100,2005
bgr,100,2006
bgr,100,2007
bfa,44,1995
bfa,80,1996
bfa,80,1997
bfa,98,1998
bfa,100,1999
bfa,100,2000
bfa,100,2001
bfa,100,2002
bfa,100,2003
bfa,100,2004
bfa,100,2005
bfa,100,2006
bfa,100,2007
bdi,100,1995
bdi,100,1996
bdi,100,1997
bdi,6,1998
bdi,100,1999
bdi,90,2001
bdi,91,2002
bdi,100,2003
bdi,100,2004
bdi,100,2005
bdi,100,2006
bdi,100,2007
khm,60,1995
khm,80,1996
khm,88,1997
khm,100,1998
khm,100,1999
khm,99,2000
khm,100,2001
khm,100,2002
khm,100,2003
khm,100,2004
khm,100,2005
khm,100,2006
khm,100,2007
cmr,13,1996
cmr,0,1997
cmr,31,1998
cmr,36,1999
cmr,46,2000
cmr,64,2001
cmr,90,2002
cmr,100,2003
cmr,100,2004
cmr,100,2005
cmr,90,2006
cmr,100,2007
can,0,1996
can,100,1999
can,100,2000
can,100,2001
can,100,2002
can,100,2003
can,100,2004
can,100,2005
can,100,2006
can,100,2007
cpv,0,1996
cpv,0,1997
cpv,0,1998
cpv,30,2001
cpv,0,2002
cpv,0,2003
cpv,0,2004
cpv,80,2005
cpv,80,2006
cpv,100,2007
cym,0,1996
cym,0,1997
cym,0,1998
cym,0,1999
cym,0,2000
cym,100,2001
cym,100,2002
cym,100,2003
cym,100,2004
cym,100,2006
cym,100,2007
caf,67,1996
caf,0,1997
caf,0,1998
caf,0,1999
caf,30,2001
caf,75,2002
caf,68,2003
caf,8,2004
caf,17,2005
caf,70,2006
tcd,70,1995
tcd,47,1996
tcd,100,1999
tcd,98,2002
tcd,25,2003
tcd,80,2004
tcd,100,2005
tcd,33,2007
chl,100,1995
chl,100,1996
chl,100,1997
chl,100,1998
chl,100,1999
chl,100,2000
chl,100,2001
chl,100,2002
chl,100,2003
chl,95,2004
chl,100,2005
chl,100,2006
chl,100,2007
chn,49,1995
chn,60,1996
chn,64,1997
chn,64,1998
chn,64,1999
chn,68,2000
chn,68,2001
chn,78,2002
chn,91,2003
chn,96,2004
chn,100,2005
chn,100,2006
chn,100,2007
col,0,1996
col,0,1997
col,14,1998
col,14,1999
col,14,2000
col,14,2001
col,14,2002
col,19,2003
col,25,2004
col,50,2005
col,60,2006
col,70,2007
com,100,1995
com,100,1996
com,100,1998
com,100,2000
com,100,2003
com,100,2004
com,100,2005
com,100,2006
cog,100,1995
cog,0,1996
cog,0,1997
cog,100,1998
cog,0,1999
cog,100,2000
cog,100,2001
cog,20,2002
cog,80,2003
cog,80,2004
cog,60,2005
cog,60,2006
cog,60,2007
cok,70,1996
cok,70,1997
cok,70,1998
cok,70,1999
cok,100,2000
cok,100,2001
cok,100,2002
cok,100,2003
cok,98,2004
cok,100,2005
cok,80,2006
cri,0,1996
cri,0,1997
cri,0,1998
cri,13,1999
cri,40,2000
cri,67,2001
cri,84,2002
cri,91,2003
cri,100,2004
cri,100,2005
cri,100,2006
cri,100,2007
hrv,0,1996
hrv,0,1997
hrv,0,1998
hrv,0,1999
hrv,0,2000
hrv,0,2001
hrv,0,2002
hrv,0,2003
hrv,0,2004
hrv,25,2005
hrv,25,2006
hrv,100,2007
cub,100,1995
cub,100,1996
cub,100,1997
cub,100,1998
cub,100,1999
cub,100,2000
cub,100,2001
cub,100,2002
cub,100,2003
cub,100,2004
cub,100,2005
cub,100,2006
cub,100,2007
cyp,0,1996
cyp,0,1997
cyp,100,1998
cyp,100,1999
cyp,0,2000
cyp,100,2002
cyp,100,2003
cyp,100,2004
cyp,100,2005
cyp,100,2006
cyp,100,2007
cze,100,1995
cze,100,1996
cze,100,1997
cze,100,1998
cze,100,1999
cze,100,2000
cze,100,2001
cze,100,2002
cze,100,2003
cze,100,2004
cze,100,2005
cze,100,2006
cze,100,2007
civ,100,1995
civ,100,1996
civ,100,1997
civ,94,1998
civ,10,1999
civ,60,2000
civ,21,2001
civ,74,2002
civ,74,2003
civ,74,2004
civ,74,2005
civ,100,2006
civ,100,2007
prk,0,1997
prk,0,1998
prk,6,1999
prk,33,2000
prk,66,2001
prk,66,2002
prk,80,2003
prk,100,2004
prk,100,2005
prk,100,2006
prk,100,2007
cod,47,1995
cod,51,1996
cod,60,1997
cod,60,1998
cod,62,1999
cod,70,2000
cod,70,2001
cod,70,2002
cod,75,2003
cod,75,2004
cod,100,2005
cod,100,2006
cod,100,2007
dnk,0,1996
dnk,0,1997
dnk,0,1998
dnk,0,1999
dnk,0,2000
dnk,0,2001
dnk,0,2002
dnk,10,2003
dnk,100,2004
dnk,100,2005
dnk,100,2006
dnk,100,2007
dji,100,1996
dji,100,1997
dji,100,1998
dji,100,1999
dji,100,2000
dji,100,2001
dji,100,2002
dji,100,2003
dji,100,2004
dji,100,2005
dji,100,2006
dji,100,2007
dma,0,1996
dma,100,1997
dma,4,1998
dma,100,2002
dma,100,2006
dma,100,2007
dom,0,1996
dom,0,1997
dom,0,1998
dom,49,1999
dom,7,2000
dom,10,2001
dom,40,2002
dom,71,2003
dom,79,2004
dom,80,2005
dom,80,2006
dom,85,2007
ecu,0,1996
ecu,0,1997
ecu,0,1998
ecu,0,1999
ecu,0,2000
ecu,26,2001
ecu,37,2002
ecu,50,2003
ecu,64,2004
ecu,70,2005
ecu,80,2006
ecu,96,2007
egy,54,1995
egy,3,1996
egy,19,1997
egy,27,1998
egy,75,1999
egy,100,2000
egy,100,2001
egy,100,2002
egy,100,2003
egy,100,2004
egy,100,2005
egy,100,2006
egy,100,2007
slv,0,1996
slv,100,1997
slv,90,1998
slv,90,1999
slv,94,2000
slv,100,2001
slv,100,2002
slv,100,2003
slv,100,2004
slv,100,2005
slv,100,2006
slv,100,2007
gnq,100,1995
gnq,96,1996
gnq,96,1997
gnq,96,1998
gnq,100,2004
eri,0,1996
eri,19,1997
eri,60,1998
eri,60,1999
eri,80,2000
eri,40,2001
eri,60,2002
eri,60,2003
eri,84,2004
eri,86,2005
eri,86,2006
eri,93,2007
est,0,1996
est,0,1997
est,0,1998
est,0,1999
est,100,2000
est,100,2001
est,100,2002
est,100,2003
est,100,2004
est,100,2005
est,100,2006
est,100,2007
eth,39,1995
eth,39,1996
eth,48,1997
eth,64,1998
eth,63,1999
eth,85,2000
eth,70,2001
eth,95,2002
eth,95,2003
eth,70,2004
eth,90,2005
eth,100,2006
eth,95,2007
fji,40,1995
fji,100,1996
fji,100,1997
fji,100,1998
fji,100,1999
fji,100,2000
fji,100,2001
fji,100,2002
fji,100,2003
fji,100,2004
fji,100,2005
fji,100,2006
fji,100,2007
fin,0,1996
fin,0,1997
fin,0,1998
fin,0,1999
fin,0,2000
fin,0,2001
fin,0,2002
fin,0,2003
fin,0,2004
fin,0,2005
fin,0,2006
fin,0,2007
fra,0,1996
fra,0,1997
fra,0,1999
fra,0,2000
fra,0,2001
fra,0,2002
fra,0,2003
fra,0,2004
fra,0,2005
fra,0,2006
fra,0,2007
pyf,100,1996
pyf,100,1997
pyf,100,1998
pyf,100,1999
pyf,100,2000
pyf,100,2001
pyf,100,2002
pyf,100,2003
pyf,100,2004
pyf,100,2005
pyf,100,2006
pyf,100,2007
gab,0,1996
gab,0,1997
gab,0,1998
gab,0,1999
gab,22,2002
gab,22,2003
gab,24,2004
gab,24,2005
gab,31,2006
gab,31,2007
gmb,100,1995
gmb,100,1996
gmb,100,1997
gmb,100,1998
gmb,0,1999
gmb,100,2002
gmb,100,2003
gmb,100,2004
gmb,100,2005
gmb,100,2006
gmb,100,2007
geo,40,1995
geo,40,1996
geo,0,1997
geo,99,1998
geo,96,1999
geo,96,2000
geo,96,2001
geo,96,2002
geo,96,2003
geo,100,2004
geo,100,2005
geo,100,2006
geo,100,2007
deu,0,1996
deu,100,1997
deu,100,1998
deu,100,1999
deu,100,2000
deu,100,2001
deu,100,2002
deu,100,2003
deu,100,2004
deu,100,2005
deu,100,2006
deu,100,2007
gha,60,1995
gha,19,1996
gha,62,1997
gha,70,1998
gha,70,1999
gha,87,2000
gha,100,2001
gha,100,2002
gha,100,2003
gha,100,2004
gha,100,2005
gha,100,2006
gha,100,2007
grc,0,1997
grc,0,1998
grc,0,1999
grc,0,2000
grc,0,2001
grc,0,2002
grc,0,2003
grc,0,2004
grc,0,2005
grc,0,2006
grc,0,2007
grd,0,1997
grd,0,1998
grd,0,1999
grd,0,2000
grd,0,2002
grd,0,2003
grd,0,2004
grd,0,2006
grd,0,2007
gum,100,2000
gum,100,2001
gum,100,2002
gum,100,2003
gum,100,2004
gum,100,2005
gum,100,2006
gum,100,2007
gtm,70,1995
gtm,100,1996
gtm,100,1997
gtm,100,1998
gtm,70,1999
gtm,100,2000
gtm,84,2001
gtm,100,2002
gtm,100,2003
gtm,100,2004
gtm,100,2005
gtm,70,2006
gtm,70,2007
gin,100,1995
gin,100,1996
gin,100,1997
gin,100,1998
gin,100,1999
gin,100,2000
gin,100,2001
gin,100,2002
gin,100,2003
gin,100,2004
gin,100,2005
gin,100,2006
gin,60,2007
gnb,0,1996
gnb,95,2000
gnb,20,2002
gnb,40,2003
gnb,60,2004
gnb,85,2005
gnb,87,2006
guy,0,1996
guy,0,1997
guy,0,1998
guy,6,2000
guy,12,2001
guy,25,2002
guy,38,2003
guy,42,2004
guy,50,2005
guy,60,2006
guy,70,2007
hti,0,1996
hti,4,1997
hti,9,1998
hti,42,1999
hti,68,2000
hti,49,2001
hti,45,2002
hti,55,2003
hti,55,2004
hti,55,2005
hti,91,2006
hti,70,2007
hnd,0,1996
hnd,0,1997
hnd,2,1998
hnd,33,1999
hnd,60,2000
hnd,90,2001
hnd,95,2002
hnd,100,2003
hnd,100,2004
hnd,100,2005
hnd,100,2006
hnd,100,2007
hun,0,1996
hun,0,1997
hun,0,1998
hun,100,1999
hun,100,2000
hun,100,2001
hun,100,2002
hun,100,2003
hun,100,2004
hun,100,2005
hun,100,2006
hun,100,2007
isl,0,1996
isl,0,1997
isl,0,1998
isl,0,1999
isl,0,2000
isl,100,2001
isl,100,2002
isl,100,2003
isl,100,2004
isl,100,2005
isl,100,2006
isl,100,2007
ind,2,1995
ind,2,1996
ind,2,1997
ind,9,1998
ind,14,1999
ind,30,2000
ind,45,2001
ind,52,2002
ind,67,2003
ind,84,2004
ind,91,2005
ind,100,2006
ind,100,2007
idn,6,1995
idn,14,1996
idn,28,1997
idn,80,1998
idn,90,1999
idn,98,2000
idn,98,2001
idn,98,2002
idn,98,2003
idn,98,2004
idn,98,2005
idn,98,2006
idn,100,2007
irn,0,1995
irn,8,1996
irn,28,1997
irn,69,1998
irn,94,1999
irn,96,2000
irn,100,2001
irn,100,2002
irn,100,2003
irn,100,2004
irn,100,2005
irn,100,2006
irn,100,2007
irq,0,1996
irq,0,1997
irq,10,1998
irq,37,1999
irq,87,2000
irq,87,2001
irq,87,2002
irq,87,2003
irq,87,2004
irq,87,2005
irq,87,2006
irq,87,2007
irl,0,1996
irl,0,1997
irl,0,1998
irl,0,1999
irl,0,2000
irl,0,2001
irl,0,2002
irl,0,2003
irl,0,2004
irl,0,2005
irl,0,2006
irl,0,2007
isr,0,1996
isr,0,1997
isr,0,1998
isr,0,1999
isr,100,2000
isr,100,2001
isr,100,2002
isr,100,2003
isr,100,2004
isr,100,2005
isr,100,2006
isr,100,2007
ita,21,1996
ita,21,1997
ita,21,1998
ita,21,1999
ita,21,2000
ita,21,2001
ita,21,2002
ita,21,2003
ita,21,2004
ita,65,2005
ita,65,2006
ita,65,2007
jam,100,1996
jam,100,1997
jam,100,1998
jam,100,1999
jam,100,2000
jam,100,2001
jam,100,2002
jam,100,2003
jam,100,2004
jam,100,2005
jam,100,2006
jam,100,2007
jpn,0,1996
jpn,0,1997
jpn,0,1998
jpn,0,1999
jpn,36,2000
jpn,46,2001
jpn,62,2002
jpn,64,2003
jpn,71,2004
jpn,83,2005
jpn,99,2006
jpn,99,2007
jor,100,1995
jor,0,1996
jor,0,1997
jor,100,1998
jor,100,1999
jor,100,2000
jor,100,2001
jor,100,2002
jor,100,2003
jor,100,2004
jor,100,2005
jor,100,2006
jor,100,2007
kaz,0,1996
kaz,0,1997
kaz,4,1998
kaz,100,1999
kaz,100,2000
kaz,100,2001
kaz,100,2002
kaz,100,2003
kaz,100,2004
kaz,100,2005
kaz,100,2006
kaz,100,2007
ken,15,1995
ken,100,1996
ken,100,1997
ken,100,1998
ken,100,1999
ken,100,2000
ken,100,2001
ken,100,2002
ken,100,2003
ken,100,2004
ken,100,2005
ken,100,2006
ken,100,2007
kir,0,1996
kir,58,1997
kir,100,1998
kir,93,1999
kir,100,2000
kir,100,2001
kir,100,2002
kir,100,2003
kir,100,2004
kir,100,2005
kir,100,2006
kir,100,2007
kwt,0,1996
kwt,0,1997
kwt,0,1998
kwt,100,1999
kwt,100,2000
kwt,100,2001
kwt,100,2002
kwt,100,2003
kwt,100,2004
kwt,100,2005
kwt,100,2006
kwt,100,2007
kgz,5,1996
kgz,5,1997
kgz,100,1998
kgz,100,1999
kgz,85,2000
kgz,85,2001
kgz,98,2002
kgz,100,2003
kgz,100,2004
kgz,100,2005
kgz,100,2006
kgz,100,2007
lao,42,1996
lao,65,1997
lao,67,1998
lao,69,1999
lao,69,2000
lao,73,2001
lao,79,2002
lao,90,2003
lao,98,2004
lao,100,2005
lao,100,2006
lao,100,2007
lva,100,1996
lva,100,1997
lva,100,1998
lva,100,1999
lva,100,2000
lva,100,2001
lva,100,2002
lva,100,2003
lva,100,2004
lva,100,2005
lva,100,2006
lva,100,2007
lbn,10,1995
lbn,0,1996
lbn,0,1997
lbn,0,1998
lbn,100,1999
lbn,100,2000
lbn,100,2001
lbn,100,2002
lbn,100,2003
lbn,100,2004
lbn,100,2005
lbn,100,2006
lbn,100,2007
lso,100,1995
lso,100,1996
lso,100,1997
lso,100,1998
lso,100,2000
lso,100,2002
lso,100,2003
lso,100,2004
lso,100,2005
lso,100,2006
lso,100,2007
lbr,35,1996
lbr,40,1998
lbr,68,2004
lbr,40,2005
lbr,100,2006
lby,0,1996
lby,0,1998
lby,100,1999
lby,100,2000
lby,100,2003
lby,100,2004
lby,100,2005
lby,100,2006
lby,100,2007
ltu,0,1996
ltu,0,1997
ltu,0,1998
ltu,3,1999
ltu,20,2000
ltu,51,2001
ltu,66,2002
ltu,98,2003
ltu,98,2004
ltu,96,2005
ltu,96,2006
ltu,100,2007
lux,0,1996
lux,0,1997
lux,0,1998
lux,0,1999
lux,0,2000
lux,100,2001
lux,100,2002
lux,100,2003
lux,100,2004
lux,100,2005
lux,100,2006
lux,100,2007
mdg,69,1995
mdg,100,1996
mdg,94,1998
mdg,100,2001
mdg,100,2002
mdg,100,2003
mdg,100,2004
mdg,100,2005
mdg,100,2006
mdg,100,2007
mwi,100,1995
mwi,100,1996
mwi,100,1997
mwi,100,1998
mwi,100,1999
mwi,100,2000
mwi,100,2001
mwi,100,2002
mwi,100,2003
mwi,100,2004
mwi,100,2005
mwi,100,2006
mwi,100,2007
mys,100,1995
mys,100,1996
mys,0,1997
mys,0,1998
mys,0,1999
mys,100,2000
mys,100,2001
mys,100,2002
mys,100,2003
mys,100,2004
mys,100,2005
mys,100,2006
mys,100,2007
mdv,100,1995
mdv,100,1996
mdv,100,1997
mdv,100,1998
mdv,100,1999
mdv,100,2000
mdv,100,2001
mdv,100,2002
mdv,100,2003
mdv,100,2004
mdv,100,2005
mdv,100,2006
mdv,100,2007
mli,57,1995
mli,100,1996
mli,66,1997
mli,82,1998
mli,86,1999
mli,95,2000
mli,68,2002
mli,100,2003
mli,68,2004
mli,100,2005
mli,100,2006
mli,100,2007
mlt,100,1996
mlt,100,1997
mlt,100,1998
mlt,100,1999
mlt,100,2000
mlt,100,2001
mlt,100,2002
mlt,100,2003
mlt,100,2004
mlt,100,2005
mlt,100,2006
mlt,100,2007
mrt,0,1997
mrt,0,1999
mrt,0,2000
mrt,76,2004
mrt,82,2005
mrt,82,2006
mrt,82,2007
mus,100,1995
mus,100,1998
mus,100,1999
mus,100,2000
mus,100,2001
mus,100,2002
mus,100,2003
mus,100,2004
mus,100,2005
mus,100,2006
mus,100,2007
mex,0,1996
mex,8,1997
mex,36,1998
mex,54,1999
mex,82,2000
mex,70,2001
mex,70,2002
mex,90,2003
mex,92,2004
mex,100,2005
mex,100,2006
mex,96,2007
fsm,100,1995
fsm,100,1996
fsm,0,1997
fsm,0,1998
fsm,100,2000
fsm,70,2001
fsm,90,2002
fsm,90,2003
fsm,90,2004
fsm,100,2005
fsm,98,2006
fsm,89,2007
mco,0,1996
mco,0,1997
mco,0,1998
mco,0,1999
mco,0,2000
mco,0,2001
mco,0,2002
mng,4,1995
mng,52,1996
mng,52,1997
mng,97,1998
mng,100,1999
mng,100,2000
mng,100,2001
mng,100,2002
mng,100,2003
mng,100,2004
mng,100,2005
mng,100,2006
mng,100,2007
msr,0,1998
msr,0,1999
msr,0,2000
msr,100,2001
msr,100,2002
msr,100,2003
msr,100,2004
msr,100,2005
msr,100,2006
msr,100,2007
mar,100,1995
mar,100,1996
mar,100,1997
mar,100,1998
mar,100,1999
mar,100,2000
mar,100,2001
mar,100,2002
mar,100,2003
mar,100,2004
mar,100,2005
mar,100,2006
mar,100,2007
moz,97,1995
moz,100,1996
moz,84,1997
moz,95,1998
moz,100,2000
moz,100,2001
moz,100,2002
moz,100,2003
moz,100,2004
moz,100,2005
moz,100,2006
moz,100,2007
mmr,59,1996
mmr,60,1997
mmr,60,1998
mmr,64,1999
mmr,77,2000
mmr,84,2001
mmr,88,2002
mmr,95,2003
mmr,95,2004
mmr,95,2005
mmr,95,2006
mmr,95,2007
nam,20,1995
nam,100,1996
nam,100,1997
nam,100,1998
nam,100,1999
nam,100,2000
nam,60,2001
nam,60,2002
nam,100,2003
nam,100,2004
nam,100,2005
nam,100,2006
nam,100,2007
nru,0,1999
nru,100,2000
nru,100,2001
nru,100,2002
nru,100,2003
nru,100,2005
nru,100,2006
nru,100,2007
npl,8,1996
npl,17,1997
npl,17,1998
npl,75,1999
npl,84,2000
npl,84,2001
npl,89,2002
npl,94,2003
npl,100,2004
npl,100,2005
npl,100,2006
npl,100,2007
nld,100,1995
nld,100,1996
nld,100,1997
nld,100,1998
nld,100,1999
nld,100,2000
nld,100,2001
nld,100,2002
nld,100,2003
nld,100,2004
nld,100,2005
nld,100,2006
nld,100,2007
ant,0,2001
ant,0,2002
ant,0,2004
ant,0,2006
ncl,100,1995
ncl,100,1996
ncl,100,1999
ncl,100,2000
ncl,100,2001
ncl,100,2002
ncl,100,2003
ncl,100,2004
ncl,100,2005
ncl,100,2006
ncl,100,2007
nzl,0,1996
nzl,0,1997
nzl,0,1998
nzl,0,1999
nzl,100,2000
nzl,100,2001
nzl,100,2002
nzl,100,2003
nzl,100,2004
nzl,100,2005
nzl,100,2006
nzl,100,2007
nic,95,1995
nic,100,1996
nic,100,1997
nic,100,1998
nic,100,1999
nic,100,2000
nic,100,2001
nic,100,2002
nic,100,2003
nic,100,2004
nic,70,2005
nic,80,2006
nic,100,2007
ner,28,1997
ner,25,1998
ner,70,2000
ner,50,2003
ner,50,2004
ner,50,2005
ner,52,2006
ner,100,2007
nga,47,1995
nga,30,1996
nga,40,1997
nga,45,1998
nga,45,1999
nga,47,2000
nga,55,2001
nga,55,2002
nga,60,2003
nga,65,2004
nga,65,2005
nga,75,2006
nga,91,2007
niu,0,1996
niu,0,1997
niu,0,1998
niu,0,1999
niu,0,2000
niu,100,2001
niu,100,2002
niu,90,2003
niu,100,2004
niu,100,2005
niu,100,2006
niu,100,2007
mnp,0,1996
mnp,0,1997
mnp,0,1998
mnp,0,1999
mnp,100,2000
mnp,100,2001
mnp,100,2002
mnp,100,2003
mnp,100,2004
mnp,100,2005
mnp,100,2006
mnp,100,2007
nor,100,1996
nor,100,1997
nor,100,1998
nor,100,1999
nor,100,2000
nor,100,2001
nor,100,2002
nor,100,2003
nor,100,2004
nor,100,2005
nor,100,2006
nor,100,2007
omn,100,1996
omn,100,1997
omn,100,1998
omn,100,1999
omn,100,2000
omn,100,2001
omn,100,2002
omn,100,2003
omn,100,2004
omn,100,2005
omn,100,2006
omn,100,2007
pak,2,1995
pak,8,1996
pak,8,1998
pak,8,1999
pak,9,2000
pak,24,2001
pak,44,2002
pak,66,2003
pak,79,2004
pak,100,2005
pak,100,2006
pak,99,2007
plw,100,1995
plw,100,1996
plw,100,1997
plw,0,1999
plw,100,2002
plw,100,2003
plw,95,2004
plw,100,2005
plw,100,2006
plw,100,2007
pan,0,1996
pan,0,1997
pan,7,1998
pan,16,1999
pan,51,2000
pan,57,2001
pan,67,2002
pan,73,2003
pan,92,2004
pan,100,2005
pan,100,2006
pan,99,2007
png,0,1996
png,4,1997
png,9,1998
png,8,1999
png,8,2000
png,13,2001
png,24,2002
png,36,2003
png,47,2004
png,53,2005
png,40,2006
png,14,2007
pry,30,1995
pry,100,1996
pry,0,1997
pry,0,1998
pry,0,1999
pry,7,2000
pry,7,2001
pry,10,2002
pry,22,2003
pry,27,2004
pry,54,2005
pry,85,2006
pry,90,2007
per,100,1995
per,100,1996
per,100,1997
per,100,1998
per,100,1999
per,100,2000
per,100,2001
per,100,2002
per,100,2003
per,100,2004
per,100,2005
per,100,2006
per,100,2007
phl,4,1995
phl,2,1996
phl,15,1997
phl,17,1998
phl,43,1999
phl,90,2000
phl,95,2001
phl,98,2002
phl,100,2003
phl,100,2004
phl,100,2005
phl,100,2006
phl,100,2007
pol,0,1996
pol,0,1997
pol,5,1998
pol,11,1999
pol,12,2000
pol,11,2001
pol,100,2002
pol,100,2003
pol,100,2004
pol,100,2005
pol,100,2006
pol,100,2007
prt,100,1995
prt,100,1996
prt,100,1997
prt,100,1998
prt,100,1999
prt,100,2000
prt,100,2001
prt,98,2002
prt,100,2003
prt,100,2004
prt,100,2005
prt,100,2006
prt,100,2007
pri,100,1996
pri,100,1997
pri,100,1998
pri,100,1999
pri,100,2000
pri,100,2001
pri,100,2002
pri,100,2003
pri,100,2004
pri,100,2005
pri,100,2006
pri,100,2007
qat,100,1995
qat,100,1996
qat,100,1997
qat,100,1998
qat,100,1999
qat,100,2000
qat,100,2001
qat,100,2002
qat,100,2003
qat,100,2004
qat,100,2005
qat,100,2006
qat,100,2007
kor,50,1995
kor,100,1996
kor,100,1997
kor,100,1998
kor,0,1999
kor,0,2000
kor,0,2001
kor,0,2002
