geo,tb_programme_dots_population_coverage_percent,time
afg,12,1997
afg,11,1998
afg,14,1999
afg,15,2000
afg,12,2001
afg,38,2002
afg,53,2003
afg,68,2004
afg,81,2005
afg,97,2006
afg,97,2007
alb,0,1996
alb,0,1997
alb,0,1998
alb,0,1999
alb,0,2000
alb,26,2001
alb,30,2002
alb,30,2003
alb,33,2004
alb,33,2005
alb,50,2006
alb,75,2007
dza,100,1997
dza,0,1998
dza,0,1999
dza,100,2000
dza,100,2001
dza,100,2002
dza,100,2003
dza,100,2004
dza,100,2005
dza,100,2006
dza,100,2007
asm,100,1996
asm,100,1997
asm,100,1998
asm,100,1999
asm,100,2000
asm,100,2001
asm,100,2002
asm,100,2003
asm,100,2004
asm,100,2005
asm,100,2006
asm,100,2007
and,0,1996
and,100,1997
and,100,1998
and,100,1999
and,100,2000
and,100,2001
and,100,2002
and,100,2003
and,100,2004
and,100,2005
and,100,2006
and,100,2007
ago,0,1996
ago,31,1997
ago,36,1998
ago,36,1999
ago,0,2000
ago,43,2001
ago,43,2002
ago,65,2003
ago,56,2004
ago,60,2005
ago,92,2006
ago,63,2007
aia,0,1997
aia,0,2001
aia,0,2002
aia,0,2003
aia,0,2004
aia,0,2006
aia,0,2007
atg,0,1996
atg,100,1999
atg,100,2000
atg,100,2001
atg,100,2002
atg,100,2003
atg,100,2005
atg,0,2006
atg,0,2007
arg,0,1996
arg,11,1997
arg,29,1998
arg,80,1999
arg,63,2000
arg,92,2001
arg,100,2002
arg,100,2003
arg,100,2004
arg,100,2005
arg,100,2006
arg,100,2007
arm,49,1995
arm,60,1996
arm,80,1997
arm,80,1998
arm,80,1999
arm,80,2000
arm,90,2001
arm,100,2002
arm,100,2003
arm,100,2004
arm,100,2005
arm,100,2006
arm,100,2007
aus,0,1997
aus,37,1998
aus,37,1999
aus,54,2000
aus,54,2001
aus,54,2002
aus,63,2003
aus,63,2004
aus,88,2005
aus,97,2006
aus,100,2007
aut,0,1996
aut,0,1997
aut,0,1998
aut,0,1999
aut,100,2000
aut,100,2001
aut,100,2002
aut,100,2003
aut,100,2004
aut,100,2005
aut,100,2006
aut,100,2007
aze,30,1995
aze,12,1996
aze,12,1997
aze,12,1998
aze,12,1999
aze,12,2000
aze,4,2001
aze,32,2002
aze,48,2003
aze,88,2004
aze,100,2005
aze,100,2006
aze,100,2007
bhs,0,1996
bhs,0,1997
bhs,0,1998
bhs,100,1999
bhs,100,2000
bhs,100,2002
bhs,100,2003
bhs,100,2004
bhs,100,2007
bhr,0,1996
bhr,0,1997
bhr,0,1998
bhr,100,1999
bhr,100,2000
bhr,100,2001
bhr,100,2002
bhr,100,2003
bhr,100,2004
bhr,100,2005
bhr,100,2006
bhr,100,2007
bgd,41,1995
bgd,65,1996
bgd,80,1997
bgd,90,1998
bgd,90,1999
bgd,92,2000
bgd,95,2001
bgd,95,2002
