geo,females_aged_15plus_unemployment_rate_percent,time
aus,8.7,1986
aus,8.6,1987
aus,7.9,1988
aus,6.8,1989
aus,7.2,1990
aus,9.1,1991
aus,9.5,1992
aus,9.7,1993
aus,9.0,1994
aus,7.7,1995
aus,7.8,1996
aus,7.9,1997
aus,7.3,1998
aus,6.7,1999
aus,6.0,2000
aus,6.5,2001
aus,6.2,2002
aus,6.1,2003
aus,5.7,2004
aus,5.3,2005
can,8.2,1981
can,10.7,1982
can,11.5,1983
can,11.3,1984
can,10.7,1985
can,9.8,1986
can,9.2,1987
can,8.2,1988
can,7.8,1989
can,8.1,1990
can,9.7,1991
can,10.2,1992
can,10.7,1993
can,9.8,1994
can,9.1,1995
can,9.3,1996
can,8.9,1997
can,8.0,1998
can,7.3,1999
can,6.7,2000
can,6.8,2001
can,7.1,2002
can,7.2,2003
can,6.9,2004
can,6.5,2005
cze,5.5,1993
cze,5.2,1994
cze,4.8,1995
cze,4.6,1996
cze,5.9,1997
cze,8.3,1998
cze,10.5,1999
cze,10.6,2000
cze,9.9,2001
cze,9.0,2002
cze,9.9,2003
cze,10.0,2004
cze,9.6,2005
est,12.7,2000
est,12.3,2001
est,9.7,2002
est,9.9,2003
est,8.9,2004
est,7.0,2005
fin,4.6,1981
fin,5.2,1982
fin,5.2,1983
fin,5.0,1984
fin,4.6,1985
fin,4.4,1986
fin,4.3,1987
fin,3.9,1988
fin,3.1,1989
fin,2.7,1990
fin,5.1,1991
fin,9.7,1992
fin,14.4,1993
fin,14.9,1994
fin,15.1,1995
fin,14.8,1996
fin,13.0,1997
fin,12.0,1998
fin,10.7,1999
fin,10.6,2000
fin,9.7,2001
fin,9.1,2002
fin,8.9,2003
fin,8.9,2004
fin,8.6,2005
fra,10.6,1981
fra,11.0,1982
fra,11.2,1983
fra,12.4,1984
fra,12.7,1985
fra,12.9,1986
fra,13.3,1987
fra,12.9,1988
fra,12.4,1989
fra,11.7,1990
fra,12.0,1991
fra,12.7,1992
fra,13.6,1993
fra,14.1,1994
fra,13.5,1995
fra,14.0,1996
fra,13.9,1997
fra,13.4,1998
fra,12.6,1999
fra,11.3,2000
fra,10.4,2001
fra,10.2,2002
fra,10.9,2003
fra,11.0,2004
fra,10.8,2005
deu,7.0,1991
deu,8.4,1992
deu,9.6,1993
deu,10.1,1994
deu,9.4,1995
deu,9.6,1996
deu,10.6,1997
deu,9.8,1998
deu,9.0,1999
deu,8.5,2000
deu,8.3,2001
deu,8.5,2002
deu,9.5,2003
deu,10.3,2004
deu,10.9,2005
hkg,2.5,1985
hkg,2.5,1986
hkg,1.7,1987
hkg,1.3,1988
hkg,1.0,1989
hkg,1.3,1990
hkg,1.5,1991
hkg,1.9,1992
hkg,1.9,1993
hkg,1.6,1994
hkg,2.8,1995
hkg,2.3,1996
hkg,2.0,1997
hkg,3.9,1998
hkg,4.8,1999
hkg,4.0,2000
hkg,3.9,2001
hkg,6.0,2002
hkg,6.2,2003
hkg,5.6,2004
hkg,4.4,2005
irl,14.5,1983
irl,16.3,1984
irl,18.1,1985
irl,18.6,1986
irl,17.7,1987
irl,17.2,1988
irl,15.4,1989
irl,13.8,1990
irl,15.5,1991
irl,15.1,1992
irl,15.8,1993
irl,14.8,1994
irl,12.2,1995
irl,11.9,1996
irl,10.3,1997
irl,7.4,1998
irl,5.5,1999
irl,4.2,2000
irl,3.5,2001
irl,3.7,2002
irl,3.9,2003
irl,3.7,2004
irl,3.8,2005
jpn,2.2,1981
jpn,2.3,1982
jpn,2.6,1983
jpn,2.8,1984
jpn,2.7,1985
jpn,2.8,1986
jpn,2.8,1987
jpn,2.6,1988
jpn,2.3,1989
jpn,2.2,1990
jpn,2.3,1991
jpn,2.2,1992
jpn,2.7,1993
jpn,2.9,1994
jpn,3.3,1995
jpn,3.5,1996
jpn,3.4,1997
jpn,4.0,1998
jpn,4.5,1999
jpn,4.5,2000
jpn,4.8,2001
jpn,5.1,2002
jpn,4.9,2003
jpn,4.4,2004
jpn,4.2,2005
kor,2.1,1992
kor,2.3,1993
kor,1.9,1994
kor,1.7,1995
kor,1.6,1996
kor,2.3,1997
kor,5.6,1998
kor,5.0,1999
kor,3.6,2000
kor,3.3,2001
kor,2.7,2002
kor,3.2,2003
kor,3.3,2004
kor,3.3,2005
lva,20.5,1996
lva,14.8,1997
lva,13.2,1998
lva,13.5,1999
lva,13.5,2000
lva,11.7,2001
lva,11.0,2002
lva,10.4,2003
lva,10.5,2004
lva,8.4,2005
ltu,11.6,1998
ltu,13.0,1999
ltu,13.9,2000
ltu,14.7,2001
ltu,12.9,2002
ltu,12.2,2003
ltu,11.8,2004
ltu,8.3,2005
nld,13.6,1987
nld,12.5,1988
nld,11.6,1989
nld,10.7,1990
nld,9.5,1991
nld,7.3,1992
nld,7.6,1993
nld,8.1,1994
nld,8.8,1995
nld,8.1,1996
nld,6.7,1997
nld,5.4,1998
nld,4.3,1999
nld,3.6,2000
nld,3.4,2001
nld,3.6,2002
nld,4.5,2003
nld,5.2,2004
nld,5.6,2005
nzl,4.6,1986
nzl,4.3,1987
nzl,5.5,1988
nzl,6.9,1989
nzl,7.2,1990
nzl,9.4,1991
nzl,9.5,1992
nzl,8.7,1993
nzl,7.6,1994
nzl,6.3,1995
nzl,6.1,1996
nzl,6.6,1997
nzl,7.4,1998
nzl,6.5,1999
nzl,5.8,2000
nzl,5.3,2001
nzl,5.3,2002
nzl,5.0,2003
nzl,4.4,2004
nzl,4.0,2005
nor,2.7,1981
nor,3.0,1982
nor,3.8,1983
nor,3.2,1984
nor,3.1,1985
nor,2.5,1986
