expenditure_per_student_tertiary_percent_of_gdp_per_person,geo,time
36.58,alb,2002
35.62,and,2002
27.2,and,2003
21.74,and,2004
18.1,and,2005
36.28,and,2006
72.54,ago,2005
80.43,ago,2006
15.31,atg,2009
20.22,arg,1998
17.69,arg,1999
17.72,arg,2000
16.1,arg,2001
13.06,arg,2002
10.35,arg,2003
11.77,arg,2004
14.21,arg,2006
15.59,arg,2007
16.53,arg,2008
19.06,arg,2009
7.393,arm,2008
7.173,arm,2009
7.457,arm,2010
31.29,abw,1999
28.78,abw,2000
33.07,abw,2001
35.19,abw,2002
29.07,abw,2007
28.81,abw,2008
37.56,abw,2009
27.55,aus,1998
26.58,aus,1999
25.65,aus,2000
25.69,aus,2001
22.6,aus,2002
22.75,aus,2003
23.28,aus,2004
21.5,aus,2005
20.57,aus,2006
20.22,aus,2007
19.85,aus,2008
20.68,aus,2009
51.81,aut,1999
43.92,aut,2000
41.24,aut,2001
46.3,aut,2002
45.91,aut,2003
49.01,aut,2004
49.98,aut,2005
48.02,aut,2006
47.09,aut,2007
43.54,aut,2008
19.1,aze,1999
15.91,aze,2000
14.15,aze,2001
12.35,aze,2002
12.46,aze,2003
14.97,aze,2004
13.48,aze,2005
11.55,aze,2006
12.86,aze,2007
17.09,aze,2008
22.35,aze,2009
46.64,bgd,1999
42.22,bgd,2000
36.66,bgd,2001
39.83,bgd,2002
33.19,bgd,2003
43.13,bgd,2004
42.36,bgd,2006
36.42,bgd,2007
35.27,bgd,2008
27.73,bgd,2009
63.87,brb,1999
51.13,brb,2000
70.54,brb,2001
49.49,brb,2007
37.9,brb,2009
41.37,brb,2010
27.3,blr,2004
27.67,blr,2005
29.03,blr,2006
18.13,blr,2007
14.7,blr,2009
38.19,bel,2001
37.26,bel,2002
36.2,bel,2003
34.74,bel,2004
34.57,bel,2005
35.28,bel,2006
35.19,bel,2007
36.58,bel,2008
36.24,blz,2004
28.5,blz,2008
30.98,blz,2009
208.2,ben,2000
160.2,ben,2001
140.7,ben,2002
128.3,ben,2003
136.8,ben,2004
156.0,ben,2005
145.1,ben,2006
0.0,bmu,2003
0.0,bmu,2004
0.0,bmu,2005
0.0,bmu,2006
27.97,bmu,2010
427.9,btn,2000
152.9,btn,2008
85.05,btn,2009
52.23,bol,1998
44.09,bol,1999
