geo,total_health_spending_per_person_us,time
ben,17.49,1998
ben,18.04,1999
ben,15.7,2000
ben,17.43,2001
ben,17.3,2002
ben,22.99,2003
ben,24.98,2004
ben,27.02,2005
ben,28.39,2006
ben,31.0,2007
ben,33.0,2008
ben,34.0,2009
ben,31.0,2010
btn,18.82,1995
btn,27.39,1996
btn,35.29,1997
btn,37.23,1998
btn,50.48,1999
btn,51.64,2000
btn,50.11,2001
btn,69.86,2002
btn,50.39,2003
btn,48.22,2004
btn,57.83,2005
btn,69.23,2006
btn,87.06,2007
btn,94.06,2008
btn,90.74,2009
btn,108.5,2010
bol,40.18,1995
bol,44.82,1996
bol,44.91,1997
bol,54.37,1998
bol,63.08,1999
bol,61.41,2000
bol,60.62,2001
bol,59.7,2002
bol,51.07,2003
bol,52.11,2004
bol,58.26,2005
bol,59.02,2006
bol,65.09,2007
bol,85.35,2008
bol,90.42,2009
bol,96.52,2010
bih,63.79,1995
bih,93.97,1996
bih,88.86,1997
bih,94.71,1998
bih,113.6,1999
bih,105.6,2000
bih,110.5,2001
bih,124.5,2002
bih,177.9,2003
bih,242.9,2004
bih,262.8,2005
bih,305.4,2006
bih,393.8,2007
bih,505.6,2008
bih,494.7,2009
bih,499.2,2010
bwa,124.8,1995
bwa,125.0,1996
bwa,137.5,1997
bwa,126.3,1998
bwa,130.7,1999
bwa,151.8,2000
bwa,180.3,2001
bwa,204.2,2002
bwa,263.4,2003
bwa,451.6,2004
bwa,418.6,2005
bwa,398.8,2006
bwa,504.8,2007
bwa,536.0,2008
bwa,581.4,2009
bwa,614.6,2010
bra,315.9,1995
bra,350.0,1996
bra,355.5,1997
bra,335.5,1998
bra,242.0,1999
bra,264.9,2000
bra,227.7,2001
bra,203.1,2002
bra,213.6,2003
bra,257.4,2004
bra,387.5,2005
bra,491.7,2006
bra,610.0,2007
bra,715.0,2008
bra,734.1,2009
bra,990.4,2010
brn,481.8,1995
brn,637.8,1996
brn,633.8,1997
brn,575.2,1998
brn,589.2,1999
brn,551.3,2000
brn,532.4,2001
brn,533.2,2002
brn,582.9,2003
brn,666.9,2004
brn,691.1,2005
brn,711.3,2006
brn,782.8,2007
brn,877.1,2008
brn,833.4,2009
brn,881.6,2010
bgr,81.82,1995
bgr,55.24,1996
bgr,63.86,1997
bgr,82.75,1998
bgr,96.33,1999
bgr,97.69,2000
bgr,129.2,2001
bgr,154.0,2002
bgr,200.8,2003
bgr,238.3,2004
bgr,273.5,2005
bgr,297.4,2006
bgr,374.7,2007
bgr,474.2,2008
bgr,462.6,2009
bgr,434.9,2010
bfa,10.72,1995
bfa,11.86,1996
bfa,10.91,1997
bfa,12.47,1998
bfa,13.28,1999
