geo,female_self_employed_percent_of_female_labour_force,time
dza,31.6,2001
dza,26.6,2003
dza,36.6,2004
asm,1.2,1990
aia,8.8,1999
aia,23.3,2001
atg,15.3,1991
arg,27.3,1990
arg,26.7,1991
arg,25.4,1992
arg,26.5,1993
arg,25.2,1994
arg,23.0,1995
arg,22.7,1996
arg,22.5,1997
arg,22.2,1998
arg,22.0,1999
arg,21.7,2000
arg,22.0,2001
arg,20.3,2002
arg,18.9,2003
arg,19.2,2004
arg,19.0,2005
arg,18.2,2006
abw,4.0,1991
aus,12.7,1980
aus,12.2,1981
aus,12.2,1982
aus,12.1,1983
aus,11.8,1984
aus,12.1,1985
aus,11.9,1986
aus,11.4,1987
aus,11.5,1988
aus,11.0,1989
aus,10.9,1990
aus,11.4,1991
aus,11.5,1992
aus,11.7,1993
aus,11.2,1994
aus,10.8,1995
aus,10.7,1996
aus,11.0,1997
aus,10.4,1998
aus,9.9,1999
aus,9.6,2000
aus,9.6,2001
aus,9.8,2002
aus,9.5,2003
aus,9.3,2004
aus,9.3,2005
aus,8.9,2006
aus,8.7,2007
aut,8.6,1994
aut,8.7,1995
aut,8.6,1996
aut,8.5,1997
aut,8.5,1998
aut,8.4,1999
aut,8.2,2000
aut,8.4,2001
aut,8.3,2002
aut,8.3,2003
aut,8.7,2004
aut,9.0,2005
aut,9.3,2006
aut,9.3,2007
aze,24.9,2003
aze,48.2,2004
aze,49.4,2005
aze,66.2,2006
aze,67.3,2007
bhs,9.2,1993
bhs,10.7,1994
bhs,11.1,1995
bhs,11.8,1996
bhs,10.2,1997
bhs,10.4,1998
bhs,10.8,1999
bhs,9.1,2001
bhs,9.9,2002
bhs,10.5,2003
bhs,11.5,2004
bgd,7.8,1996
bgd,11.0,2000
bgd,34.3,2003
bgd,26.5,2005
brb,8.6,1990
brb,8.1,1991
brb,9.2,1992
brb,10.0,1993
brb,9.8,1994
brb,9.4,1995
brb,9.1,1996
brb,8.0,1997
brb,8.9,1998
brb,9.1,1999
brb,7.9,2000
brb,9.2,2001
brb,9.2,2002
brb,8.9,2003
brb,10.2,2004
bel,9.4,1980
bel,9.6,1981
bel,9.7,1982
bel,9.9,1983
bel,9.9,1984
bel,9.9,1985
bel,9.8,1986
bel,9.7,1987
bel,9.6,1988
bel,9.6,1989
bel,9.5,1990
bel,9.6,1991
bel,9.6,1992
bel,9.8,1993
bel,10.0,1994
bel,10.0,1995
bel,10.0,1996
bel,10.0,1997
bel,9.7,1998
bel,9.5,1999
bel,8.9,2005
bel,8.9,2006
blz,21.0,1993
blz,19.7,1994
blz,20.8,1995
blz,20.6,1996
blz,25.2,1997
blz,22.9,1998
blz,24.9,1999
blz,21.7,2005
btn,24.6,2005
bol,46.5,1989
bol,44.9,1990
bol,44.4,1991
bol,46.5,1992
bol,40.9,1993
bol,43.5,1994
bol,42.8,1995
bol,45.1,1996
bol,46.7,1997
bol,50.1,1999
bol,45.7,2000
bol,37.0,2001
bol,38.6,2002
bih,15.9,2006
bwa,60.3,1984
bwa,17.4,1994
bwa,12.8,1998
bwa,14.7,2000
bwa,16.8,2001
bwa,16.8,2003
bra,22.6,1990
bra,28.1,1992
bra,27.8,1993
bra,28.4,1995
bra,26.3,1996
bra,16.0,1997
bra,16.4,1998
bra,16.2,1999
bra,25.2,2001
bra,25.8,2002
bra,25.8,2003
bra,25.4,2004
bra,18.9,2005
bra,18.9,2006
vgb,7.0,1991
brn,3.3,1991
bgr,12.2,2001
bgr,8.9,2003
bgr,8.8,2004
bgr,8.8,2005
bgr,8.2,2006
bgr,7.8,2007
bfa,10.0,1985
bfa,11.0,1994
khm,28.9,2000
khm,33.0,2001
cmr,71.4,1996
cmr,61.7,2001
can,6.0,1980
can,5.6,1981
can,6.0,1982
can,6.4,1983
can,6.7,1984
can,7.3,1985
can,6.5,1986
can,8.5,1987
can,8.9,1988
can,8.8,1989
can,9.2,1990
can,9.3,1991
can,9.7,1992
can,10.3,1993
can,11.0,1994
can,11.0,1995
can,11.8,1996
can,12.5,1997
can,12.6,1998
can,12.4,1999
can,11.9,2000
can,10.9,2001
can,11.1,2002
can,11.0,2003
can,11.0,2004
can,11.2,2005
can,11.1,2006
can,11.2,2007
cpv,30.9,2000
cym,6.6,2006
cym,4.7,2007
tcd,53.7,1993
chl,20.0,1990
chl,20.2,1992
chl,20.4,1994
chl,20.9,1996
chl,21.5,1997
chl,23.4,1998
chl,22.1,1999
chl,21.3,2000
chl,23.2,2001
chl,23.3,2002
chl,23.5,2003
chl,24.7,2004
chl,22.2,2005
chl,23.2,2006
chl,22.8,2007
col,26.0,1991
col,25.9,1992
col,25.1,1993
col,23.9,1994
col,27.3,1995
col,26.8,1996
col,28.1,1997
col,31.1,1998
col,32.2,1999
col,32.9,2000
col,40.7,2001
col,39.0,2002
col,39.7,2003
col,40.5,2004
col,39.1,2005
col,40.4,2006
col,37.6,2007
cri,15.7,1987
cri,16.1,1988
cri,17.6,1989
cri,16.1,1990
cri,20.3,1991
cri,17.6,1992
cri,19.6,1993
cri,20.0,1994
cri,19.4,1995
cri,18.5,1996
cri,21.6,1997
cri,20.3,1998
cri,21.1,1999
cri,20.0,2000
cri,25.1,2001
cri,25.3,2003
cri,25.8,2004
cri,23.4,2005
cri,23.1,2006
cri,21.1,2007
hrv,15.4,1996
hrv,13.5,1997
hrv,13.2,1998
hrv,14.4,1999
hrv,13.8,2000
hrv,13.1,2001
hrv,13.7,2002
hrv,16.6,2003
hrv,18.1,2004
hrv,20.3,2005
hrv,17.7,2006
hrv,16.5,2007
cub,8.1,1995
cub,7.5,1996
cub,7.8,1997
cub,8.1,1998
cub,8.7,1999
cub,8.5,2000
cub,8.6,2001
cub,8.3,2002
cub,8.7,2003
cub,8.4,2004
cub,8.2,2005
cub,8.0,2006
cub,6.5,2007
cyp,10.9,1999
cyp,10.0,2000
cyp,9.8,2001
cyp,9.7,2002
cyp,9.1,2003
cyp,10.0,2004
cyp,11.3,2005
cyp,11.3,2006
cyp,10.4,2007
cze,9.4,1993
cze,8.7,1994
cze,9.1,1995
cze,8.9,1996
cze,8.8,1997
cze,9.5,1998
cze,9.6,1999
cze,10.1,2000
cze,9.8,2001
cze,10.1,2002
cze,10.8,2003
cze,10.2,2004
cze,9.4,2005
cze,9.8,2006
cze,9.7,2007
dnk,3.2,1983
dnk,4.0,1995
dnk,4.1,1996
dnk,3.5,1997
dnk,3.7,1998
dnk,3.9,1999
dnk,3.7,2000
dnk,3.5,2001
dnk,3.8,2002
dnk,4.2,2003
dnk,3.7,2004
dnk,4.0,2005
dnk,4.6,2006
dnk,4.4,2007
dji,15.7,1991
dma,24.8,1991
dma,25.6,1997
dma,31.3,1999
dma,21.8,2001
dom,27.4,1991
dom,33.0,1992
dom,29.0,1993
dom,25.9,1994
dom,26.5,1995
dom,25.4,1996
dom,30.5,1997
dom,32.6,1998
dom,32.1,1999
dom,27.8,2000
dom,29.8,2001
dom,30.8,2002
dom,28.6,2003
dom,27.9,2004
dom,28.6,2005
ecu,30.7,1988
ecu,32.9,1989
ecu,32.2,1990
ecu,33.9,1991
ecu,35.7,1992
ecu,36.9,1993
ecu,33.5,1994
ecu,32.6,1995
ecu,33.8,1996
ecu,32.8,1997
ecu,33.6,1998
ecu,33.1,1999
ecu,32.0,2000
ecu,34.9,2001
ecu,36.3,2002
ecu,36.7,2004
ecu,33.7,2005
ecu,34.4,2006
egy,17.8,1993
egy,17.3,1994
egy,17.3,1995
egy,14.5,1997
egy,16.1,1998
egy,13.6,1999
egy,16.8,2000
egy,18.2,2001
egy,12.6,2002
egy,17.7,2003
egy,18.6,2004
egy,17.7,2005
egy,13.7,2006
slv,40.5,1993
slv,41.4,1994
slv,40.5,1995
slv,39.8,1996
slv,41.3,1997
slv,35.9,1998
slv,37.1,1999
slv,41.3,2000
slv,38.5,2001
slv,41.1,2002
slv,38.8,2003
slv,40.4,2004
slv,39.8,2005
slv,36.9,2006
gnq,16.8,1983
eri,23.0,1996
est,0.5,1989
est,0.6,1990
est,0.9,1991
est,1.4,1992
est,1.9,1993
est,2.4,1994
est,2.9,1995
est,3.0,1996
est,4.6,1997
est,5.1,1998
est,5.1,1999
est,5.6,2000
est,4.6,2001
est,4.8,2002
est,5.4,2003
est,5.8,2004
est,4.9,2005
est,4.5,2006
est,5.1,2007
eth,29.5,1999
eth,43.7,2004
eth,25.1,2005
eth,44.0,2006
fji,20.6,2005
fin,10.5,1980
fin,9.6,1981
fin,8.9,1982
fin,11.6,1983
fin,11.8,1984
fin,10.7,1985
fin,10.5,1986
fin,11.0,1987
fin,10.5,1988
fra,14.6,1980
fra,14.5,1981
fra,14.3,1982
fra,14.0,1983
fra,13.6,1984
fra,13.2,1985
fra,12.8,1986
fra,12.5,1987
fra,12.2,1988
fra,11.6,1989
fra,11.0,1990
fra,10.4,1991
fra,9.8,1992
fra,9.2,1993
fra,8.8,1994
fra,8.3,1995
fra,7.9,1996
fra,7.5,1997
fra,7.3,1998
fra,7.1,1999
fra,6.9,2000
fra,6.7,2001
fra,6.8,2002
fra,6.1,2003
fra,5.8,2004
fra,5.9,2005
fra,6.2,2006
fra,6.3,2007
gab,57.5,1993
geo,15.5,1998
geo,17.2,1999
geo,25.7,2000
geo,24.1,2001
geo,26.8,2002
geo,26.8,2003
geo,27.7,2004
geo,26.2,2005
deu,4.6,1980
deu,4.6,1981
deu,4.8,1982
deu,5.1,1983
deu,13.4,1984
deu,11.8,1985
deu,11.6,1986
deu,11.4,1987
deu,12.1,1988
deu,11.6,1989
deu,9.2,1990
deu,5.0,1991
deu,5.2,1992
deu,5.5,1993
deu,5.7,1994
deu,5.8,1995
deu,6.0,1996
deu,6.3,1997
deu,6.4,1998
deu,6.3,1999
deu,6.4,2000
deu,6.3,2001
deu,6.3,2002
deu,6.6,2003
deu,7.0,2004
deu,7.5,2005
deu,7.5,2006
deu,7.5,2007
grc,19.8,1981
grc,23.5,1982
grc,19.3,1983
grc,19.1,1984
grc,20.0,1985
grc,18.2,1986
grc,19.5,1987
grc,19.1,1988
grc,18.5,1989
grc,20.3,1990
grc,20.1,1991
grc,19.9,1992
grc,19.7,1993
grc,19.5,1994
grc,18.7,1995
grc,19.4,1996
grc,18.8,1997
grc,20.0,1998
grc,20.8,1999
grc,21.8,2000
grc,21.2,2001
