geo,exports_unit_value_index_2000100,time
afg,120.9,1995
afg,93.4,1996
afg,105.1,1997
afg,116.0,1998
afg,121.1,1999
afg,100.0,2000
afg,49.92,2001
afg,72.83,2002
afg,104.9,2003
afg,222.1,2004
afg,279.7,2005
afg,297.1,2006
afg,361.9,2007
afg,393.3,2008
afg,293.8,2009
dza,64.07,1980
dza,66.49,1981
dza,60.83,1982
dza,58.67,1983
dza,59.14,1984
dza,59.4,1985
dza,38.13,1986
dza,43.74,1987
dza,38.93,1988
dza,47.21,1989
dza,67.93,1990
dza,61.49,1991
dza,56.11,1992
dza,50.18,1993
dza,45.94,1994
dza,50.74,1995
dza,63.85,1996
dza,66.53,1997
dza,50.34,1998
dza,56.84,1999
dza,100.0,2000
dza,86.91,2001
dza,85.48,2002
dza,111.9,2003
dza,145.6,2004
dza,208.8,2005
dza,247.9,2006
dza,273.1,2007
dza,359.9,2008
dza,205.1,2009
asm,78.4,1995
asm,90.33,1996
asm,122.5,1997
asm,119.8,1998
asm,99.65,1999
asm,100.0,2000
asm,91.74,2001
asm,112.1,2002
asm,132.7,2003
asm,128.7,2004
asm,107.9,2005
asm,126.5,2006
asm,129.9,2007
asm,132.8,2008
asm,153.1,2009
ago,24.01,1980
ago,23.67,1981
ago,20.57,1982
ago,23.01,1983
ago,25.67,1984
ago,29.05,1985
ago,16.99,1986
ago,29.32,1987
ago,31.46,1988
ago,38.05,1989
ago,49.03,1990
ago,43.55,1991
ago,48.39,1992
ago,36.62,1993
ago,38.08,1994
ago,47.2,1995
ago,64.6,1996
ago,63.48,1997
ago,44.92,1998
ago,65.38,1999
ago,100.0,2000
ago,82.85,2001
ago,105.6,2002
ago,120.5,2003
ago,170.8,2004
ago,305.6,2005
ago,404.0,2006
ago,562.9,2007
ago,915.2,2008
ago,519.6,2009
atg,101.5,1995
atg,74.25,1996
atg,74.09,1997
atg,71.39,1998
atg,72.35,1999
atg,100.0,2000
atg,85.29,2001
atg,64.26,2002
atg,85.42,2003
atg,109.1,2004
atg,158.0,2005
atg,141.4,2006
atg,144.3,2007
atg,150.2,2008
atg,137.2,2009
arg,30.45,1980
arg,34.71,1981
arg,28.95,1982
arg,29.75,1983
arg,30.78,1984
arg,31.87,1985
arg,26.01,1986
arg,24.15,1987
arg,34.68,1988
arg,36.37,1989
arg,46.89,1990
arg,45.47,1991
arg,46.45,1992
arg,49.8,1993
arg,60.13,1994
arg,79.58,1995
arg,90.39,1996
arg,100.3,1997
arg,100.3,1998
arg,88.49,1999
arg,100.0,2000
arg,100.8,2001
arg,97.37,2002
arg,112.2,2003
arg,131.3,2004
arg,153.2,2005
arg,176.8,2006
arg,211.8,2007
arg,268.0,2008
arg,212.8,2009
abw,13.72,1986
abw,15.09,1987
abw,17.64,1988
abw,13.24,1989
abw,16.15,1990
abw,14.85,1991
abw,4.995,1992
abw,7.135,1993
abw,6.795,1994
abw,53.39,1995
abw,68.78,1996
abw,68.5,1997
abw,46.16,1998
abw,55.06,1999
abw,100.0,2000
abw,96.02,2001
abw,58.96,2002
abw,81.31,2003
abw,107.9,2004
abw,138.0,2005
abw,145.3,2006
abw,106.6,2007
abw,146.8,2008
abw,57.28,2009
aus,31.57,1980
aus,30.73,1981
aus,31.11,1982
aus,28.16,1983
aus,32.6,1984
aus,32.49,1985
aus,32.63,1986
aus,39.7,1987
aus,49.73,1988
aus,55.09,1989
aus,59.24,1990
aus,62.26,1991
aus,62.96,1992
aus,62.79,1993
aus,71.09,1994
aus,79.88,1995
aus,90.23,1996
aus,99.33,1997
aus,87.29,1998
aus,87.55,1999
aus,100.0,2000
aus,103.0,2001
aus,101.8,2002
aus,101.5,2003
aus,129.9,2004
aus,182.1,2005
aus,245.7,2006
aus,281.4,2007
aus,464.9,2008
aus,356.0,2009
bhs,30.55,1995
bhs,31.26,1996
bhs,31.5,1997
bhs,52.14,1998
bhs,80.27,1999
bhs,100.0,2000
bhs,73.47,2001
bhs,77.48,2002
bhs,73.75,2003
bhs,82.83,2004
bhs,95.33,2005
bhs,120.5,2006
bhs,139.2,2007
bhs,166.0,2008
bhs,115.6,2009
bhr,58.21,1980
bhr,70.18,1981
bhr,61.17,1982
bhr,50.35,1983
bhr,51.72,1984
bhr,46.76,1985
bhr,35.5,1986
bhr,39.22,1987
bhr,38.93,1988
bhr,45.7,1989
bhr,60.7,1990
bhr,56.67,1991
bhr,55.92,1992
bhr,60.1,1993
bhr,58.38,1994
bhr,66.39,1995
bhr,75.88,1996
bhr,70.77,1997
bhr,52.79,1998
bhr,70.43,1999
bhr,100.0,2000
bhr,90.06,2001
bhr,93.41,2002
bhr,106.9,2003
bhr,122.0,2004
bhr,164.0,2005
bhr,186.7,2006
bhr,216.2,2007
bhr,279.5,2008
bhr,191.7,2009
bgd,11.85,1980
bgd,12.36,1981
bgd,12.02,1982
bgd,11.32,1983
bgd,14.56,1984
bgd,15.61,1985
bgd,13.75,1986
bgd,16.68,1987
bgd,20.17,1988
bgd,20.39,1989
bgd,26.12,1990
bgd,26.39,1991
bgd,32.78,1992
bgd,35.6,1993
bgd,41.58,1994
bgd,54.8,1995
bgd,66.5,1996
bgd,75.63,1997
bgd,80.15,1998
bgd,86.04,1999
bgd,100.0,2000
bgd,95.16,2001
bgd,96.24,2002
bgd,109.4,2003
bgd,130.0,2004
bgd,145.5,2005
bgd,184.7,2006
bgd,194.9,2007
bgd,240.7,2008
bgd,235.9,2009
brb,83.6,1980
brb,71.79,1981
brb,95.01,1982
brb,118.6,1983
brb,144.6,1984
brb,131.0,1985
brb,102.2,1986
brb,59.2,1987
brb,65.03,1988
brb,68.97,1989
brb,78.97,1990
brb,76.14,1991
brb,69.81,1992
brb,68.66,1993
brb,66.65,1994
brb,87.71,1995
brb,103.0,1996
brb,103.9,1997
brb,92.36,1998
brb,96.86,1999
brb,100.0,2000
brb,95.23,2001
brb,88.67,2002
brb,91.7,2003
brb,102.2,2004
brb,132.0,2005
brb,162.0,2006
brb,171.0,2007
brb,166.0,2008
brb,139.0,2009
bel,66.83,1993
bel,76.21,1994
bel,93.57,1995
bel,93.44,1996
bel,91.43,1997
bel,95.25,1998
bel,95.35,1999
bel,100.0,2000
bel,101.3,2001
bel,114.6,2002
bel,135.9,2003
bel,163.6,2004
bel,178.8,2005
bel,195.5,2006
bel,229.6,2007
bel,250.8,2008
bel,196.7,2009
blz,50.64,1980
blz,54.47,1981
blz,41.66,1982
blz,35.58,1983
blz,53.46,1984
blz,52.82,1985
blz,50.7,1986
blz,47.07,1987
blz,53.21,1988
blz,57.01,1989
blz,60.86,1990
blz,55.71,1991
blz,64.31,1992
blz,62.47,1993
blz,69.11,1994
blz,65.54,1995
blz,70.44,1996
blz,72.96,1997
blz,71.71,1998
blz,77.81,1999
blz,100.0,2000
blz,77.52,2001
blz,77.52,2002
blz,94.04,2003
blz,97.71,2004
blz,95.41,2005
blz,122.1,2006
blz,116.5,2007
blz,137.4,2008
blz,116.6,2009
ben,16.01,1980
ben,8.573,1981
ben,6.078,1982
ben,16.95,1983
ben,42.47,1984
ben,38.2,1985
ben,26.5,1986
ben,29.06,1987
ben,17.97,1988
ben,55.56,1989
ben,73.4,1990
ben,84.1,1991
ben,85.5,1992
ben,97.74,1993
ben,101.4,1994
ben,107.0,1995
ben,134.6,1996
ben,106.3,1997
ben,105.6,1998
ben,107.4,1999
ben,100.0,2000
ben,95.3,2001
ben,114.2,2002
ben,134.3,2003
ben,144.9,2004
ben,147.3,2005
ben,187.4,2006
ben,266.8,2007
ben,293.1,2008
ben,256.3,2009
btn,100.3,1995
btn,97.37,1996
btn,114.3,1997
btn,104.8,1998
btn,112.5,1999
btn,100.0,2000
btn,102.9,2001
btn,109.7,2002
btn,129.1,2003
btn,177.7,2004
btn,250.5,2005
btn,402.3,2006
btn,654.1,2007
btn,504.1,2008
btn,481.2,2009
bol,76.63,1980
bol,74.21,1981
bol,67.32,1982
bol,61.42,1983
bol,58.93,1984
bol,50.7,1985
bol,51.87,1986
bol,46.32,1987
bol,48.82,1988
bol,66.84,1989
bol,75.32,1990
bol,69.02,1991
bol,57.76,1992
bol,59.17,1993
bol,83.97,1994
bol,89.52,1995
bol,92.48,1996
bol,94.88,1997
bol,89.78,1998
bol,85.5,1999
bol,100.0,2000
bol,104.5,2001
bol,105.6,2002
bol,130.0,2003
bol,174.6,2004
bol,227.0,2005
bol,315.1,2006
bol,362.6,2007
bol,524.4,2008
bol,391.9,2009
bwa,18.59,1980
bwa,14.66,1981
bwa,17.5,1982
bwa,23.72,1983
bwa,27.68,1984
bwa,30.92,1985
bwa,38.43,1986
bwa,69.87,1987
bwa,66.28,1988
bwa,68.34,1989
bwa,65.78,1990
bwa,67.94,1991
bwa,64.37,1992
bwa,64.77,1993
bwa,68.11,1994
bwa,77.54,1995
bwa,91.82,1996
bwa,102.9,1997
bwa,74.42,1998
bwa,95.81,1999
bwa,100.0,2000
bwa,91.69,2001
bwa,88.5,2002
bwa,101.7,2003
bwa,127.1,2004
bwa,160.4,2005
bwa,163.1,2006
bwa,183.6,2007
bwa,175.1,2008
bwa,123.6,2009
bra,36.55,1980
bra,42.29,1981
bra,36.62,1982
bra,39.75,1983
bra,49.02,1984
bra,46.54,1985
bra,40.57,1986
bra,47.61,1987
bra,60.8,1988
bra,62.42,1989
bra,57.03,1990
bra,57.4,1991
bra,64.98,1992
bra,69.99,1993
bra,79.05,1994
bra,84.37,1995
bra,86.62,1996
bra,96.15,1997
bra,92.78,1998
bra,87.11,1999
bra,100.0,2000
bra,105.8,2001
bra,109.7,2002
bra,132.8,2003
bra,175.4,2004
bra,215.0,2005
bra,250.0,2006
bra,291.5,2007
bra,359.1,2008
bra,277.6,2009
brn,108.7,1980
brn,95.81,1981
brn,90.05,1982
brn,79.96,1983
brn,75.55,1984
brn,69.65,1985
brn,42.68,1986
brn,45.15,1987
brn,40.53,1988
brn,44.7,1989
brn,52.53,1990
brn,63.66,1991
brn,56.99,1992
brn,51.44,1993
brn,52.46,1994
brn,61.55,1995
brn,63.57,1996
brn,63.21,1997
brn,52.73,1998
brn,66.08,1999
brn,100.0,2000
brn,93.27,2001
brn,94.85,2002
brn,113.3,2003
brn,129.6,2004
brn,160.1,2005
brn,194.1,2006
brn,196.5,2007
brn,267.0,2008
brn,176.7,2009
bfa,43.08,1980
bfa,35.61,1981
bfa,26.89,1982
bfa,27.69,1983
bfa,37.7,1984
bfa,33.74,1985
bfa,39.51,1986
bfa,74.28,1987
bfa,67.84,1988
bfa,45.27,1989
bfa,72.55,1990
bfa,50.7,1991
bfa,30.42,1992
bfa,33.22,1993
bfa,51.04,1994
bfa,134.4,1995
bfa,113.2,1996
bfa,113.0,1997
bfa,155.2,1998
bfa,124.0,1999
bfa,100.0,2000
bfa,108.7,2001
bfa,119.2,2002
bfa,155.9,2003
bfa,233.1,2004
bfa,227.6,2005
bfa,286.1,2006
bfa,303.0,2007
bfa,337.1,2008
bfa,362.9,2009
bdi,130.7,1980
bdi,149.8,1981
bdi,175.5,1982
bdi,159.9,1983
bdi,205.4,1984
bdi,224.4,1985
bdi,307.1,1986
bdi,179.4,1987
bdi,265.4,1988
bdi,155.8,1989
bdi,149.6,1990
bdi,181.5,1991
bdi,145.8,1992
bdi,123.8,1993
bdi,241.6,1994
bdi,211.2,1995
bdi,79.73,1996
bdi,173.0,1997
bdi,129.1,1998
bdi,108.6,1999
bdi,100.0,2000
bdi,77.0,2001
bdi,60.39,2002
bdi,75.32,2003
bdi,93.77,2004
bdi,111.8,2005
bdi,116.7,2006
bdi,124.8,2007
bdi,108.2,2008
bdi,129.9,2009
khm,1.142,1980
khm,0.7137,1981
khm,0.8565,1982
khm,1.071,1983
khm,1.285,1984
khm,1.427,1985
khm,1.499,1986
khm,1.57,1987
khm,2.284,1988
khm,3.14,1989
khm,6.138,1990
khm,15.2,1991
khm,18.91,1992
khm,20.27,1993
khm,34.97,1994
khm,61.55,1995
khm,46.32,1996
khm,52.97,1997
khm,57.72,1998
khm,81.35,1999
khm,100.0,2000
khm,107.9,2001
khm,138.4,2002
khm,152.4,2003
khm,201.3,2004
khm,209.4,2005
khm,265.7,2006
khm,294.2,2007
khm,338.8,2008
khm,297.5,2009
cmr,90.23,1980
cmr,72.02,1981
cmr,69.26,1982
cmr,63.59,1983
cmr,57.75,1984
cmr,47.07,1985
cmr,50.98,1986
cmr,54.01,1987
cmr,60.42,1988
cmr,82.96,1989
cmr,130.5,1990
cmr,119.6,1991
cmr,120.0,1992
cmr,122.8,1993
cmr,96.89,1994
cmr,88.94,1995
cmr,87.62,1996
cmr,91.97,1997
cmr,91.16,1998
cmr,87.34,1999
cmr,100.0,2000
cmr,95.41,2001
cmr,98.31,2002
cmr,124.5,2003
cmr,135.1,2004
cmr,152.6,2005
cmr,195.1,2006
cmr,204.6,2007
cmr,237.3,2008
cmr,196.4,2009
can,21.62,1980
can,23.12,1981
can,22.53,1982
can,24.22,1983
can,28.45,1984
can,28.99,1985
can,29.22,1986
can,32.27,1987
can,38.21,1988
can,41.21,1989
can,43.47,1990
can,43.14,1991
can,45.55,1992
can,50.1,1993
can,56.76,1994
can,67.17,1995
can,72.15,1996
can,76.53,1997
can,80.19,1998
can,89.02,1999
can,100.0,2000
can,94.79,2001
can,94.85,2002
can,103.2,2003
can,119.9,2004
can,136.4,2005
can,147.5,2006
can,161.0,2007
can,163.6,2008
can,114.9,2009
cpv,39.73,1980
cpv,28.77,1981
cpv,30.43,1982
cpv,33.37,1983
cpv,22.47,1984
cpv,60.9,1985
cpv,45.25,1986
cpv,73.62,1987
cpv,30.94,1988
cpv,64.47,1989
cpv,53.02,1990
cpv,38.98,1991
cpv,41.67,1992
cpv,36.54,1993
cpv,40.84,1994
cpv,84.19,1995
cpv,119.2,1996
cpv,130.9,1997
cpv,98.2,1998
cpv,107.8,1999
cpv,100.0,2000
cpv,94.29,2001
cpv,99.23,2002
cpv,120.0,2003
cpv,142.1,2004
cpv,164.9,2005
cpv,194.0,2006
cpv,180.9,2007
cpv,333.6,2008
cpv,349.4,2009
cym,100.0,2000
caf,71.99,1980
caf,48.95,1981
caf,66.8,1982
caf,46.32,1983
caf,52.81,1984
caf,57.09,1985
caf,41.28,1986
caf,81.12,1987
caf,80.9,1988
caf,83.62,1989
caf,74.9,1990
caf,78.41,1991
caf,66.6,1992
caf,68.3,1993
caf,94.04,1994
caf,106.1,1995
caf,91.19,1996
caf,100.9,1997
caf,94.03,1998
caf,90.93,1999
caf,100.0,2000
caf,88.4,2001
caf,91.3,2002
caf,79.17,2003
caf,78.36,2004
caf,80.13,2005
caf,98.14,2006
caf,110.7,2007
caf,93.35,2008
caf,73.4,2009
tcd,132.9,1995
tcd,130.3,1996
tcd,129.4,1997
tcd,145.7,1998
tcd,132.8,1999
tcd,100.0,2000
tcd,103.1,2001
tcd,101.0,2002
tcd,325.6,2003
tcd,1202.0,2004
tcd,1719.0,2005
tcd,1833.0,2006
tcd,2006.0,2007
tcd,2367.0,2008
tcd,1449.0,2009
chl,24.49,1980
chl,19.97,1981
chl,19.29,1982
chl,19.94,1983
chl,19.0,1984
chl,19.8,1985
chl,21.82,1986
chl,27.19,1987
chl,36.71,1988
chl,42.05,1989
chl,43.58,1990
chl,46.55,1991
chl,52.09,1992
chl,47.88,1993
chl,60.41,1994
chl,83.41,1995
chl,86.55,1996
chl,93.02,1997
chl,84.97,1998
chl,89.34,1999
chl,100.0,2000
chl,95.11,2001
chl,94.64,2002
chl,112.8,2003
chl,169.3,2004
chl,214.8,2005
chl,305.5,2006
chl,352.2,2007
chl,345.9,2008
chl,270.5,2009
chn,7.263,1980
chn,8.831,1981
chn,8.957,1982
chn,8.919,1983
chn,10.49,1984
chn,10.97,1985
chn,12.42,1986
chn,15.83,1987
chn,19.07,1988
chn,21.08,1989
chn,24.92,1990
chn,28.86,1991
chn,34.08,1992
chn,36.81,1993
chn,48.56,1994
chn,59.7,1995
chn,60.61,1996
chn,73.35,1997
chn,73.72,1998
chn,78.22,1999
chn,100.0,2000
chn,106.8,2001
chn,130.7,2002
chn,175.8,2003
chn,238.1,2004
chn,305.8,2005
chn,389.0,2006
chn,488.7,2007
chn,573.3,2008
chn,482.2,2009
col,30.09,1980
col,22.36,1981
col,23.18,1982
col,23.0,1983
col,26.54,1984
col,27.23,1985
col,39.11,1986
col,35.59,1987
col,38.62,1988
col,43.83,1989
col,51.87,1990
col,55.45,1991
col,53.03,1992
col,54.56,1993
col,64.54,1994
col,77.63,1995
col,81.17,1996
col,88.34,1997
col,83.49,1998
col,88.75,1999
col,100.0,2000
col,94.22,2001
col,91.32,2002
col,100.3,2003
col,124.4,2004
col,162.1,2005
col,187.0,2006
col,228.4,2007
col,293.4,2008
col,251.3,2009
com,83.19,1995
com,45.15,1996
com,41.38,1997
com,43.73,1998
com,66.57,1999
com,100.0,2000
com,122.0,2001
com,141.9,2002
com,196.3,2003
com,137.0,2004
com,88.41,2005
com,72.98,2006
com,101.5,2007
com,67.86,2008
com,86.75,2009
cog,36.58,1980
cog,32.59,1981
cog,39.87,1982
cog,25.71,1983
cog,47.51,1984
cog,43.68,1985
cog,31.21,1986
cog,39.09,1987
cog,37.66,1988
cog,50.08,1989
cog,39.41,1990
cog,41.37,1991
cog,47.36,1992
cog,42.94,1993
cog,38.52,1994
cog,47.11,1995
cog,54.04,1996
cog,67.02,1997
cog,54.95,1998
cog,62.68,1999
cog,100.0,2000
cog,82.56,2001
cog,91.6,2002
cog,107.5,2003
cog,136.9,2004
cog,192.8,2005
cog,244.2,2006
cog,226.4,2007
cog,335.9,2008
cog,262.0,2009
cri,17.12,1980
cri,17.23,1981
cri,14.88,1982
cri,14.92,1983
cri,17.2,1984
cri,16.68,1985
cri,19.15,1986
cri,19.8,1987
cri,21.3,1988
cri,24.18,1989
cri,24.76,1990
cri,27.31,1991
cri,31.47,1992
cri,44.88,1993
cri,49.2,1994
cri,59.42,1995
cri,64.25,1996
cri,74.1,1997
cri,94.46,1998
cri,113.9,1999
cri,100.0,2000
cri,85.84,2001
cri,89.98,2002
cri,104.3,2003
cri,107.7,2004
cri,120.1,2005
cri,140.4,2006
cri,160.3,2007
cri,163.7,2008
cri,148.9,2009
civ,80.63,1980
civ,65.16,1981
civ,59.11,1982
civ,53.77,1983
civ,69.62,1984
civ,76.37,1985
civ,86.27,1986
civ,79.98,1987
civ,71.24,1988
civ,72.21,1989
civ,79.01,1990
civ,69.09,1991
civ,73.95,1992
civ,64.78,1993
civ,70.53,1994
civ,103.3,1995
civ,118.4,1996
