geo,measles_deaths_in_children_1_59_months_per_1000_births,time
afg,1.436,2008
alb,0.0,2008
dza,0.3079,2008
ago,1.459,2008
arg,0.0,2008
arm,0.0,2008
aus,0.0,2008
aut,0.0,2008
aze,0.02414,2008
bhs,0.0,2008
bhr,0.0,2008
bgd,0.4729,2008
brb,0.0,2008
blr,0.0,2008
bel,0.0,2008
blz,0.0,2008
ben,0.2868,2008
btn,0.0,2008
bol,0.0,2008
bih,0.0,2008
bwa,0.0,2008
bra,0.0,2008
brn,0.0,2008
bgr,0.0,2008
bfa,0.04856,2008
bdi,1.78,2008
khm,0.4761,2008
cmr,1.021,2008
can,0.0,2008
cpv,1.662,2008
caf,0.006495,2008
tcd,0.01003,2008
chl,0.0,2008
chn,0.02575,2008
col,0.0,2008
com,0.0,2008
cog,0.0,2008
cri,0.0,2008
civ,0.001385,2008
hrv,0.0,2008
cub,0.0,2008
cyp,0.0,2008
cze,0.0,2008
prk,0.0,2008
cod,1.419,2008
dnk,0.0,2008
dji,0.2068,2008
dom,0.0,2008
ecu,0.0,2008
egy,0.07692,2008
slv,0.0,2008
gnq,13.05,2008
eri,0.9229,2008
est,0.0,2008
eth,0.06046,2008
fji,0.0,2008
fin,0.0,2008
fra,0.0,2008
gab,0.6828,2008
gmb,0.9657,2008
geo,0.0,2008
deu,0.0,2008
gha,1.474,2008
grc,0.0,2008
grd,0.0,2008
gtm,0.0,2008
gin,4.659,2008
gnb,4.463,2008
guy,0.0,2008
hti,0.0,2008
hnd,0.0,2008
hun,0.0,2008
isl,0.0,2008
ind,3.02,2008
idn,0.1292,2008
irn,0.0,2008
irq,0.1038,2008
irl,0.0,2008
isr,0.0,2008
ita,0.0,2008
jam,0.0,2008
jpn,0.0,2008
jor,0.0,2008
kaz,0.003287,2008
ken,1.041,2008
kwt,0.0,2008
kgz,0.0,2008
lao,1.861,2008
lva,0.0,2008
lbn,0.06066,2008
lso,0.0,2008
lbr,2.647,2008
lby,0.0,2008
ltu,0.0,2008
lux,0.0,2008
mdg,0.0,2008
mwi,0.0,2008
mys,0.01634,2008
mdv,0.0,2008
mli,0.01659,2008
mlt,0.0,2008
mrt,0.0,2008
mus,0.0,2008
mex,0.0,2008
fsm,0.0,2008
mng,0.0,2008
mne,0.0,2008
mar,0.004641,2008
moz,0.0,2008
mmr,0.4011,2008
nam,2.69,2008
npl,0.1011,2008
nld,0.0,2008
nzl,0.0,2008
nic,0.0,2008
ner,0.1341,2008
nga,0.1173,2008
nor,0.0,2008
omn,0.0,2008
pak,0.05153,2008
pan,0.0,2008
png,1.382,2008
pry,0.0,2008
per,0.0,2008
phl,0.09661,2008
pol,0.0,2008
prt,0.0,2008
qat,0.0,2008
kor,0.0,2008
mda,0.0,2008
rou,0.0,2008
rus,0.0,2008
rwa,1.161,2008
lca,0.0,2008
vct,0.0,2008
wsm,0.0,2008
stp,0.583,2008
sau,0.0,2008
sen,3.101,2008
srb,0.0,2008
sle,9.083,2008
sgp,0.0,2008
svk,0.0,2008
svn,0.0,2008
slb,0.1928,2008
som,9.733,2008
zaf,0.0009163,2008
esp,0.0,2008
lka,0.09029,2008
sdn,0.005401,2008
sur,0.0,2008
swz,0.0,2008
swe,0.0,2008
che,0.0,2008
syr,0.001694,2008
tjk,0.02593,2008
tha,0.01536,2008
mkd,0.0,2008
tgo,0.09401,2008
ton,0.0,2008
tto,0.0,2008
tun,0.0,2008
tur,0.03338,2008
tkm,0.009036,2008
uga,2.77,2008
ukr,0.0,2008
are,0.0,2008
gbr,0.0,2008
tza,0.0,2008
usa,0.0002273,2008
ury,0.0,2008
uzb,0.0,2008
vut,0.4246,2008
ven,0.0,2008
vnm,0.2517,2008
yem,0.5273,2008
zmb,0.7374,2008
zwe,7.096,2008
