geo,hydro_power_generation_total,time
alb,60190.0,1971
alb,77390.0,1972
alb,96900.0,1973
alb,111800.0,1974
alb,137600.0,1975
alb,163400.0,1976
alb,189200.0,1977
alb,206400.0,1978
alb,232200.0,1979
alb,253700.0,1980
alb,262300.0,1981
alb,268700.0,1982
alb,275200.0,1983
alb,235500.0,1984
alb,183100.0,1985
alb,349200.0,1986
alb,288000.0,1987
alb,252700.0,1988
alb,264700.0,1989
alb,244900.0,1990
alb,302500.0,1991
alb,277400.0,1992
alb,285000.0,1993
alb,324200.0,1994
alb,361500.0,1995
alb,492300.0,1996
alb,432300.0,1997
alb,423100.0,1998
alb,454300.0,1999
alb,395000.0,2000
alb,305700.0,2001
alb,302000.0,2002
alb,420000.0,2003
alb,470000.0,2004
alb,462000.0,2005
alb,467000.0,2006
alb,239700.0,2007
alb,326500.0,2008
alb,447600.0,2009
alb,651700.0,2010
dza,28370.0,1971
dza,42560.0,1972
dza,64660.0,1973
dza,42730.0,1974
dza,28200.0,1975
dza,33450.0,1976
dza,23130.0,1977
dza,21500.0,1978
dza,25020.0,1979
dza,22100.0,1980
dza,31470.0,1981
dza,41190.0,1982
dza,20210.0,1983
dza,38870.0,1984
dza,55550.0,1985
dza,21500.0,1986
dza,42910.0,1987
dza,15740.0,1988
dza,19430.0,1989
dza,11610.0,1990
dza,25190.0,1991
dza,17110.0,1992
dza,30350.0,1993
dza,14270.0,1994
dza,16600.0,1995
dza,11610.0,1996
dza,6449.0,1997
dza,18490.0,1998
dza,17450.0,1999
dza,4643.0,2000
dza,5933.0,2001
dza,4901.0,2002
dza,22790.0,2003
dza,21580.0,2004
dza,47720.0,2005
dza,18740.0,2006
dza,19430.0,2007
dza,24330.0,2008
dza,26310.0,2009
dza,14960.0,2010
ago,52020.0,1971
ago,58470.0,1972
ago,69990.0,1973
ago,73770.0,1974
ago,81690.0,1975
ago,36800.0,1976
ago,36800.0,1977
ago,45400.0,1978
ago,47720.0,1979
ago,51160.0,1980
ago,51160.0,1981
ago,54260.0,1982
ago,49700.0,1983
ago,51680.0,1984
ago,60280.0,1985
ago,60280.0,1986
ago,60280.0,1987
ago,60280.0,1988
ago,61050.0,1989
ago,62340.0,1990
ago,66380.0,1991
ago,72230.0,1992
ago,76530.0,1993
ago,76960.0,1994
ago,77390.0,1995
ago,79540.0,1996
ago,75240.0,1997
ago,91140.0,1998
ago,76870.0,1999
ago,78420.0,2000
ago,87450.0,2001
ago,98280.0,2002
ago,106700.0,2003
ago,150500.0,2004
ago,190800.0,2005
ago,229100.0,2006
ago,214700.0,2007
ago,269500.0,2008
ago,266000.0,2009
ago,304000.0,2010
arg,132800.0,1971
arg,129300.0,1972
arg,257400.0,1973
arg,432300.0,1974
arg,447200.0,1975
arg,431000.0,1976
arg,495800.0,1977
arg,666600.0,1978
arg,916600.0,1979
arg,1302000.0,1980
arg,1263000.0,1981
arg,1513000.0,1982
arg,1584000.0,1983
arg,1709000.0,1984
arg,1775000.0,1985
arg,1806000.0,1986
arg,1878000.0,1987
arg,1293000.0,1988
arg,1115000.0,1989
arg,1537000.0,1990
arg,1395000.0,1991
arg,1667000.0,1992
arg,2052000.0,1993
arg,2353000.0,1994
arg,2307000.0,1995
arg,1970000.0,1996
arg,2409000.0,1997
arg,2273000.0,1998
arg,1839000.0,1999
arg,2474000.0,2000
arg,3183000.0,2001
arg,3083000.0,2002
arg,2907000.0,2003
arg,2617000.0,2004
arg,2924000.0,2005
arg,3263000.0,2006
arg,2611000.0,2007
arg,2615000.0,2008
arg,2912000.0,2009
arg,2888000.0,2010
arm,133700.0,1990
arm,132900.0,1991
arm,261700.0,1992
arm,369100.0,1993
arm,302100.0,1994
arm,165000.0,1995
arm,135200.0,1996
arm,119500.0,1997
arm,132200.0,1998
arm,103200.0,1999
arm,108400.0,2000
arm,83230.0,2001
arm,142600.0,2002
arm,170400.0,2003
arm,171800.0,2004
arm,152500.0,2005
arm,156900.0,2006
arm,159300.0,2007
arm,154500.0,2008
arm,173600.0,2009
arm,219800.0,2010
aus,343800.0,1960
aus,397300.0,1961
aus,422800.0,1962
aus,567400.0,1963
aus,588100.0,1964
aus,713100.0,1965
aus,607400.0,1966
aus,655400.0,1967
aus,654100.0,1968
aus,719900.0,1969
aus,764200.0,1970
aus,995800.0,1971
aus,995100.0,1972
aus,981200.0,1973
aus,1135000.0,1974
aus,1263000.0,1975
aus,1295000.0,1976
aus,1130000.0,1977
aus,1194000.0,1978
aus,1321000.0,1979
aus,1113000.0,1980
aus,1210000.0,1981
aus,1169000.0,1982
aus,1043000.0,1983
aus,1039000.0,1984
aus,1175000.0,1985
aus,1247000.0,1986
aus,1169000.0,1987
aus,1229000.0,1988
