geo,colonandrectum_cancer_number_of_male_deaths,time
afg,236,2002
alb,218,2002
dza,565,2002
ago,130,2002
arg,2985,2002
arm,115,2002
aus,2642,2002
aut,1325,2002
aze,124,2002
bhs,10,2002
bhr,20,2002
bgd,294,2002
brb,21,2002
blr,1074,2002
bel,1732,2002
blz,2,2002
ben,83,2002
btn,20,2002
bol,265,2002
bih,462,2002
bwa,23,2002
bra,4153,2002
brn,13,2002
bgr,1114,2002
bfa,92,2002
bdi,90,2002
khm,216,2002
cmr,202,2002
can,3691,2002
cpv,5,2002
caf,25,2002
tcd,50,2002
chl,534,2002
chn,50200,2002
col,1071,2002
com,11,2002
cod,120,2002
cog,35,2002
cri,128,2002
civ,207,2002
hrv,807,2002
cub,772,2002
cyp,83,2002
cze,2559,2002
dnk,1058,2002
dji,10,2002
dom,186,2002
ecu,208,2002
egy,972,2002
slv,55,2002
gnq,3,2002
eri,65,2002
est,160,2002
eth,1225,2002
fji,8,2002
fin,477,2002
fra,9078,2002
pyf,20,2002
gab,22,2002
gmb,7,2002
geo,247,2002
deu,14400,2002
gha,297,2002
grc,1025,2002
gum,7,2002
gtm,169,2002
gin,70,2002
gnb,18,2002
guy,21,2002
hti,162,2002
hnd,93,2002
hun,2543,2002
isl,26,2002
ind,13610,2002
idn,6151,2002
irn,1276,2002
irq,223,2002
irl,591,2002
isr,658,2002
ita,9061,2002
jam,95,2002
jpn,21020,2002
jor,91,2002
kaz,379,2002
ken,570,2002
prk,1087,2002
kor,2433,2002
kwt,38,2002
kgz,63,2002
lao,73,2002
lva,279,2002
lbn,40,2002
lso,28,2002
lbr,33,2002
lby,95,2002
ltu,424,2002
lux,65,2002
mkd,154,2002
mdg,274,2002
mwi,70,2002
mys,966,2002
mli,159,2002
mlt,46,2002
mrt,39,2002
mus,28,2002
mex,1564,2002
mda,343,2002
mng,34,2002
mar,577,2002
moz,50,2002
mmr,567,2002
nam,20,2002
npl,231,2002
nzl,605,2002
nic,38,2002
ner,120,2002
nga,1901,2002
nor,750,2002
omn,26,2002
pak,1625,2002
pan,87,2002
png,72,2002
pry,86,2002
per,641,2002
phl,2700,2002
pol,4432,2002
prt,1643,2002
pri,246,2002
qat,18,2002
rou,2172,2002
rus,15380,2002
rwa,66,2002
wsm,4,2002
sau,429,2002
sen,62,2002
scg,1306,2002
sle,66,2002
sgp,417,2002
svk,1071,2002
svn,349,2002
slb,9,2002
som,134,2002
zaf,974,2002
esp,6553,2002
lka,305,2002
sdn,485,2002
sur,9,2002
swz,10,2002
swe,1273,2002
che,987,2002
syr,465,2002
tjk,25,2002
tza,402,2002
tha,1715,2002
nld,2329,2002
tgo,65,2002
tto,51,2002
tun,238,2002
tur,1625,2002
tkm,19,2002
uga,352,2002
ukr,5806,2002
are,134,2002
gbr,8912,2002
usa,29720,2002
ury,418,2002
uzb,155,2002
vut,2,2002
ven,537,2002
vnm,2220,2002
yem,180,2002
zmb,154,2002
zwe,200,2002
