geo,lung_cancer_new_cases_per_100000_women,time
afg,2.9,2002
alb,13.2,2002
dza,2.0,2002
ago,1.3,2002
arg,8.0,2002
arm,7.5,2002
aus,16.8,2002
aut,14.3,2002
aze,6.1,2002
bhs,5.1,2002
bhr,13.3,2002
bgd,3.5,2002
brb,3.3,2002
blr,4.5,2002
bel,12.2,2002
blz,3.6,2002
ben,0.6,2002
btn,2.4,2002
bol,3.3,2002
bih,13.2,2002
bwa,3.0,2002
bra,7.1,2002
brn,11.6,2002
bgr,6.7,2002
bfa,2.2,2002
bdi,2.2,2002
khm,4.8,2002
cmr,0.3,2002
can,22.15,1983
can,22.93,1984
can,24.06,1985
can,24.53,1986
can,25.5,1987
can,26.61,1988
can,26.74,1989
can,28.04,1990
can,28.9,1991
can,30.34,1992
can,30.57,1993
can,29.84,1994
can,30.48,1995
can,31.45,1996
can,31.04,1997
can,31.6,2002
cpv,0.6,2002
caf,0.7,2002
tcd,0.7,2002
chl,9.4,2002
chn,19.0,2002
col,10.1,2002
com,2.2,2002
cod,0.6,2002
cog,0.5,2002
cri,5.74,1980
cri,6.94,1981
cri,5.1,1982
cri,4.85,1983
cri,4.26,1984
cri,2.84,1985
cri,3.38,1986
cri,6.15,1987
cri,3.62,1988
cri,4.86,1989
cri,2.89,1990
cri,3.96,1991
cri,2.71,1992
cri,2.9,1993
cri,2.9,1994
cri,5.16,1995
cri,4.94,1996
cri,4.31,1997
cri,5.3,2002
civ,1.2,2002
hrv,12.7,2002
cub,16.3,2002
cyp,5.7,2002
cze,7.72,1983
cze,8.04,1984
cze,8.16,1985
cze,8.3,1986
cze,9.13,1987
cze,9.39,1988
cze,10.02,1989
cze,9.49,1990
cze,11.12,1991
cze,11.51,1992
cze,11.19,1993
cze,12.45,1994
cze,12.34,1995
cze,12.97,1996
cze,12.65,1997
cze,13.3,2002
dnk,4.17,1953
dnk,4.04,1954
dnk,4.21,1955
dnk,4.0,1956
dnk,4.8,1957
dnk,3.83,1958
dnk,5.36,1959
dnk,5.22,1960
dnk,5.38,1961
