life_expectancy_male,geo,time
26.61,afg,1950
26.85,afg,1951
27.34,afg,1952
27.84,afg,1953
28.33,afg,1954
28.82,afg,1955
29.31,afg,1956
29.8,afg,1957
30.3,afg,1958
30.79,afg,1959
31.28,afg,1960
31.77,afg,1961
32.27,afg,1962
32.76,afg,1963
33.25,afg,1964
33.74,afg,1965
34.23,afg,1966
34.71,afg,1967
35.19,afg,1968
35.67,afg,1969
36.14,afg,1970
36.6,afg,1971
37.04,afg,1972
37.48,afg,1973
37.91,afg,1974
38.34,afg,1975
38.76,afg,1976
39.18,afg,1977
39.6,afg,1978
40.03,afg,1979
40.5,afg,1980
41.01,afg,1981
41.56,afg,1982
42.16,afg,1983
42.82,afg,1984
43.54,afg,1985
44.3,afg,1986
45.11,afg,1987
45.94,afg,1988
46.77,afg,1989
47.61,afg,1990
48.43,afg,1991
49.22,afg,1992
49.98,afg,1993
50.69,afg,1994
51.34,afg,1995
51.92,afg,1996
52.45,afg,1997
52.92,afg,1998
53.35,afg,1999
53.75,afg,2000
54.15,afg,2001
54.55,afg,2002
54.97,afg,2003
55.42,afg,2004
55.9,afg,2005
56.4,afg,2006
56.91,afg,2007
57.41,afg,2008
57.91,afg,2009
58.38,afg,2010
58.84,afg,2011
59.27,afg,2012
59.69,afg,2013
60.08,afg,2014
60.45,afg,2015
60.8,afg,2016
61.14,afg,2017
61.46,afg,2018
61.77,afg,2019
62.07,afg,2020
62.36,afg,2021
62.64,afg,2022
62.91,afg,2023
63.17,afg,2024
63.42,afg,2025
63.66,afg,2026
63.9,afg,2027
64.12,afg,2028
64.34,afg,2029
64.56,afg,2030
64.77,afg,2031
64.97,afg,2032
65.17,afg,2033
65.37,afg,2034
65.56,afg,2035
65.74,afg,2036
65.92,afg,2037
66.09,afg,2038
66.26,afg,2039
66.42,afg,2040
66.59,afg,2041
66.75,afg,2042
66.91,afg,2043
67.06,afg,2044
67.22,afg,2045
67.37,afg,2046
67.52,afg,2047
67.66,afg,2048
67.8,afg,2049
67.94,afg,2050
68.07,afg,2051
68.21,afg,2052
68.34,afg,2053
68.47,afg,2054
68.6,afg,2055
68.73,afg,2056
68.86,afg,2057
68.99,afg,2058
69.12,afg,2059
69.25,afg,2060
69.37,afg,2061
69.5,afg,2062
69.62,afg,2063
69.74,afg,2064
69.85,afg,2065
69.96,afg,2066
70.08,afg,2067
70.19,afg,2068
70.3,afg,2069
70.41,afg,2070
70.52,afg,2071
70.63,afg,2072
70.75,afg,2073
70.86,afg,2074
70.97,afg,2075
71.09,afg,2076
71.2,afg,2077
71.32,afg,2078
71.43,afg,2079
71.55,afg,2080
71.67,afg,2081
71.78,afg,2082
71.9,afg,2083
72.01,afg,2084
72.13,afg,2085
72.25,afg,2086
72.36,afg,2087
72.48,afg,2088
72.6,afg,2089
72.72,afg,2090
72.84,afg,2091
72.96,afg,2092
73.08,afg,2093
73.2,afg,2094
73.32,afg,2095
73.45,afg,2096
73.57,afg,2097
73.69,afg,2098
73.81,afg,2099
53.19,alb,1950
53.44,alb,1951
54.0,alb,1952
54.66,alb,1953
55.4,alb,1954
56.24,alb,1955
57.16,alb,1956
58.16,alb,1957
59.21,alb,1958
60.27,alb,1959
61.31,alb,1960
62.27,alb,1961
63.12,alb,1962
63.81,alb,1963
64.35,alb,1964
64.72,alb,1965
64.96,alb,1966
65.12,alb,1967
65.23,alb,1968
65.35,alb,1969
65.5,alb,1970
65.71,alb,1971
66.0,alb,1972
66.36,alb,1973
66.76,alb,1974
67.19,alb,1975
67.6,alb,1976
67.94,alb,1977
68.2,alb,1978
68.38,alb,1979
68.47,alb,1980
68.53,alb,1981
68.59,alb,1982
68.67,alb,1983
68.79,alb,1984
68.92,alb,1985
69.04,alb,1986
69.12,alb,1987
69.14,alb,1988
69.12,alb,1989
69.07,alb,1990
69.02,alb,1991
68.99,alb,1992
69.03,alb,1993
69.14,alb,1994
69.34,alb,1995
69.62,alb,1996
69.98,alb,1997
70.39,alb,1998
70.83,alb,1999
71.28,alb,2000
71.7,alb,2001
72.1,alb,2002
72.44,alb,2003
72.74,alb,2004
72.98,alb,2005
73.19,alb,2006
73.38,alb,2007
73.56,alb,2008
73.76,alb,2009
73.96,alb,2010
74.17,alb,2011
74.39,alb,2012
74.61,alb,2013
74.83,alb,2014
75.05,alb,2015
75.27,alb,2016
75.49,alb,2017
75.72,alb,2018
75.94,alb,2019
76.17,alb,2020
76.39,alb,2021
76.62,alb,2022
76.85,alb,2023
77.07,alb,2024
77.29,alb,2025
77.51,alb,2026
77.72,alb,2027
77.92,alb,2028
78.12,alb,2029
78.31,alb,2030
78.5,alb,2031
78.67,alb,2032
78.85,alb,2033
79.02,alb,2034
79.18,alb,2035
79.33,alb,2036
79.49,alb,2037
79.64,alb,2038
79.79,alb,2039
79.94,alb,2040
80.08,alb,2041
80.22,alb,2042
80.36,alb,2043
80.49,alb,2044
80.62,alb,2045
80.75,alb,2046
80.88,alb,2047
81.01,alb,2048
81.14,alb,2049
81.26,alb,2050
81.39,alb,2051
81.52,alb,2052
81.64,alb,2053
81.77,alb,2054
81.89,alb,2055
82.02,alb,2056
82.14,alb,2057
82.26,alb,2058
82.38,alb,2059
82.5,alb,2060
82.61,alb,2061
82.73,alb,2062
82.85,alb,2063
82.97,alb,2064
83.08,alb,2065
