murdered_30_44_per_100000_people,geo,time
7.778,arg,1966
9.814,arg,1967
11.52,arg,1968
12.27,arg,1969
11.63,arg,1970
15.11,arg,1977
8.918,arg,1978
5.781,arg,1979
5.408,arg,1980
6.323,arg,1981
6.293,arg,1982
6.626,arg,1983
7.528,arg,1984
7.688,arg,1985
8.461,arg,1986
8.126,arg,1987
8.513,arg,1988
8.789,arg,1989
7.053,arg,1990
6.694,arg,1991
7.081,arg,1992
6.701,arg,1993
6.504,arg,1994
6.218,arg,1995
6.51,arg,1996
6.565,arg,1997
6.917,arg,1998
7.421,arg,1999
7.531,arg,2000
9.278,arg,2001
9.653,arg,2002
9.406,arg,2003
7.935,arg,2004
6.646,arg,2005
6.137,arg,2006
5.5,arg,2007
1.069,aus,1950
1.834,aus,1951
1.416,aus,1952
1.955,aus,1953
1.617,aus,1954
2.108,aus,1955
1.903,aus,1956
2.022,aus,1957
2.117,aus,1958
2.57,aus,1959
2.041,aus,1960
2.419,aus,1961
2.216,aus,1962
2.042,aus,1963
2.191,aus,1964
2.454,aus,1965
2.215,aus,1966
2.096,aus,1967
2.929,aus,1968
2.049,aus,1969
2.51,aus,1970
2.238,aus,1971
3.092,aus,1972
2.511,aus,1973
2.718,aus,1974
2.818,aus,1975
3.116,aus,1976
2.752,aus,1977
2.97,aus,1978
2.343,aus,1979
2.65,aus,1980
2.683,aus,1981
2.779,aus,1982
2.546,aus,1983
3.028,aus,1984
2.573,aus,1985
2.92,aus,1986
2.382,aus,1987
2.95,aus,1988
2.443,aus,1989
2.962,aus,1990
2.762,aus,1991
2.321,aus,1992
1.942,aus,1993
2.761,aus,1994
2.312,aus,1995
2.268,aus,1996
2.141,aus,1997
2.157,aus,1998
2.301,aus,1999
2.34,aus,2000
2.586,aus,2001
2.236,aus,2002
1.906,aus,2003
1.381,aus,2004
0.9351,aus,2006
0.5626,aut,1955
1.506,aut,1956
1.674,aut,1957
0.7686,aut,1958
1.04,aut,1959
0.94,aut,1960
0.6351,aut,1961
1.27,aut,1962
1.413,aut,1963
0.9867,aut,1964
1.237,aut,1965
0.8442,aut,1966
1.369,aut,1967
1.081,aut,1968
1.32,aut,1969
1.193,aut,1970
1.885,aut,1971
1.85,aut,1972
1.89,aut,1973
2.22,aut,1974
1.752,aut,1975
1.724,aut,1976
1.987,aut,1977
2.341,aut,1978
1.488,aut,1979
0.9296,aut,1980
1.873,aut,1981
