residential_energy_use_percent,geo,time
17.39,arg,1975
17.61,arg,1976
16.63,arg,1977
17.49,arg,1978
16.46,arg,1979
17.77,arg,1980
17.66,arg,1981
17.39,arg,1982
19.99,arg,1983
21.99,arg,1984
22.24,arg,1985
19.19,arg,1986
18.85,arg,1987
20.19,arg,1988
19.6,arg,1989
20.84,arg,1990
21.3,arg,1991
21.08,arg,1992
21.45,arg,1993
19.15,arg,1994
18.93,arg,1995
20.26,arg,1996
17.41,arg,1997
17.2,arg,1998
18.8,arg,1999
19.65,arg,2000
19.76,arg,2001
19.37,arg,2002
18.83,arg,2003
18.65,arg,2004
19.66,arg,2005
20.05,arg,2006
21.4,arg,2007
21.1,arg,2008
22.0,arg,2009
22.8,arg,2010
27.74,arm,1990
25.65,arm,1991
33.08,arm,1992
20.39,arm,1993
37.99,arm,1994
48.16,arm,1995
30.1,arm,1996
37.32,arm,1997
31.83,arm,1998
29.25,arm,1999
25.91,arm,2000
25.4,arm,2001
26.85,arm,2002
26.31,arm,2003
28.73,arm,2004
26.98,arm,2005
26.26,arm,2006
30.11,arm,2007
29.28,arm,2008
31.65,arm,2009
30.04,arm,2010
4.5,aus,1960
4.645,aus,1961
4.705,aus,1962
4.649,aus,1963
4.76,aus,1964
4.747,aus,1965
4.867,aus,1966
4.846,aus,1967
4.767,aus,1968
5.036,aus,1969
12.76,aus,1970
13.0,aus,1971
13.88,aus,1972
12.75,aus,1973
13.33,aus,1974
13.84,aus,1975
13.66,aus,1976
13.69,aus,1977
13.43,aus,1978
13.57,aus,1979
12.91,aus,1980
13.09,aus,1981
13.39,aus,1982
13.89,aus,1983
13.55,aus,1984
13.05,aus,1985
13.53,aus,1986
13.63,aus,1987
13.07,aus,1988
12.74,aus,1989
13.24,aus,1990
13.57,aus,1991
13.71,aus,1992
14.21,aus,1993
13.31,aus,1994
13.37,aus,1995
13.16,aus,1996
13.14,aus,1997
13.19,aus,1998
13.04,aus,1999
13.02,aus,2000
13.15,aus,2001
13.68,aus,2002
13.24,aus,2003
13.0,aus,2004
12.84,aus,2005
12.86,aus,2006
13.03,aus,2007
12.97,aus,2008
13.44,aus,2009
13.49,aus,2010
32.4,aut,1960
30.88,aut,1961
32.18,aut,1962
33.76,aut,1963
29.88,aut,1964
29.93,aut,1965
28.73,aut,1966
31.53,aut,1967
33.22,aut,1968
33.05,aut,1969
36.39,aut,1970
34.81,aut,1971
33.73,aut,1972
34.42,aut,1973
32.12,aut,1974
32.4,aut,1975
33.1,aut,1976
31.87,aut,1977
31.72,aut,1978
32.23,aut,1979
27.35,aut,1980
29.3,aut,1981
30.75,aut,1982
30.08,aut,1983
31.05,aut,1984
31.12,aut,1985
28.27,aut,1986
29.07,aut,1987
28.86,aut,1988
27.87,aut,1989
29.61,aut,1990
30.61,aut,1991
29.66,aut,1992
29.84,aut,1993
28.92,aut,1994
29.68,aut,1995
30.08,aut,1996
27.55,aut,1997
27.64,aut,1998
27.78,aut,1999
26.86,aut,2000
26.68,aut,2001
25.52,aut,2002
24.65,aut,2003
23.76,aut,2004
24.6,aut,2005
23.31,aut,2006
22.56,aut,2007
23.38,aut,2008
23.89,aut,2009
24.94,aut,2010
12.51,aze,1990
12.5,aze,1991
11.58,aze,1992
15.21,aze,1993
25.46,aze,1994
25.47,aze,1995
28.18,aze,1996
30.49,aze,1997
43.65,aze,1998
45.5,aze,1999
35.52,aze,2000
39.79,aze,2001
42.51,aze,2002
46.39,aze,2003
46.09,aze,2004
41.18,aze,2005
47.89,aze,2006
44.72,aze,2007
43.56,aze,2008
45.09,aze,2009
44.28,aze,2010
5.527,bhr,1971
3.916,bhr,1972
1.788,bhr,1973
1.464,bhr,1974
1.469,bhr,1975
1.476,bhr,1976
1.476,bhr,1977
1.512,bhr,1978
1.73,bhr,1979
1.89,bhr,1980
1.761,bhr,1981
1.568,bhr,1982
1.612,bhr,1983
7.394,bhr,1984
6.557,bhr,1985
6.398,bhr,1986
7.188,bhr,1987
7.632,bhr,1988
8.01,bhr,1989
8.457,bhr,1990
8.418,bhr,1991
9.685,bhr,1992
10.32,bhr,1993
11.21,bhr,1994
11.03,bhr,1995
11.55,bhr,1996
12.22,bhr,1997
13.92,bhr,1998
12.7,bhr,1999
12.88,bhr,2000
12.64,bhr,2001
12.73,bhr,2002
13.34,bhr,2003
13.78,bhr,2004
13.43,bhr,2005
12.34,bhr,2006
14.23,bhr,2007
10.59,bhr,2008
10.76,bhr,2009
11.32,bhr,2010
88.5,bgd,1971
88.87,bgd,1972
85.0,bgd,1973
82.91,bgd,1974
84.31,bgd,1975
82.09,bgd,1976
82.6,bgd,1977
82.42,bgd,1978
81.45,bgd,1979
78.97,bgd,1980
80.21,bgd,1981
77.54,bgd,1982
78.52,bgd,1983
77.5,bgd,1984
77.23,bgd,1985
75.67,bgd,1986
71.78,bgd,1987
71.06,bgd,1988
69.93,bgd,1989
70.19,bgd,1990
71.36,bgd,1991
69.42,bgd,1992
67.63,bgd,1993
66.36,bgd,1994
61.84,bgd,1995
60.38,bgd,1996
60.97,bgd,1997
60.51,bgd,1998
61.85,bgd,1999
61.05,bgd,2000
58.96,bgd,2001
60.15,bgd,2002
58.51,bgd,2003
59.79,bgd,2004
58.28,bgd,2005
56.86,bgd,2006
54.7,bgd,2007
53.14,bgd,2008
51.53,bgd,2009
53.05,bgd,2010
14.82,blr,1990
16.74,blr,1991
18.43,blr,1992
19.55,blr,1993
24.81,blr,1994
27.15,blr,1995
28.47,blr,1996
30.83,blr,1997
31.62,blr,1998
30.25,blr,1999
29.67,blr,2000
31.41,blr,2001
31.81,blr,2002
30.76,blr,2003
29.85,blr,2004
31.03,blr,2005
30.43,blr,2006
29.74,blr,2007
30.14,blr,2008
30.72,blr,2009
32.02,blr,2010
33.29,bel,1960
34.98,bel,1961
38.11,bel,1962
41.06,bel,1963
35.44,bel,1964
35.63,bel,1965
35.46,bel,1966
35.94,bel,1967
35.91,bel,1968
33.92,bel,1969
33.48,bel,1970
31.92,bel,1971
32.98,bel,1972
32.75,bel,1973
32.31,bel,1974
33.41,bel,1975
26.62,bel,1976
27.05,bel,1977
28.49,bel,1978
29.62,bel,1979
29.69,bel,1980
29.5,bel,1981
27.88,bel,1982
27.84,bel,1983
27.82,bel,1984
29.83,bel,1985
29.87,bel,1986
28.82,bel,1987
25.98,bel,1988
25.32,bel,1989
25.81,bel,1990
26.83,bel,1991
26.37,bel,1992
26.53,bel,1993
23.98,bel,1994
24.55,bel,1995
26.29,bel,1996
24.72,bel,1997
24.47,bel,1998
23.35,bel,1999
22.89,bel,2000
23.39,bel,2001
23.25,bel,2002
23.46,bel,2003
23.95,bel,2004
23.88,bel,2005
21.89,bel,2006
20.44,bel,2007
20.72,bel,2008
21.11,bel,2009
21.51,bel,2010
33.23,ben,1971
32.84,ben,1972
32.97,ben,1973
33.31,ben,1974
32.91,ben,1975
34.53,ben,1976
33.98,ben,1977
34.39,ben,1978
34.3,ben,1979
34.4,ben,1980
34.81,ben,1981
34.11,ben,1982
33.85,ben,1983
33.55,ben,1984
33.14,ben,1985
33.01,ben,1986
33.65,ben,1987
33.76,ben,1988
34.33,ben,1989
34.56,ben,1990
34.81,ben,1991
35.01,ben,1992
34.97,ben,1993
35.16,ben,1994
35.19,ben,1995
33.46,ben,1996
34.68,ben,1997
37.47,ben,1998
52.4,ben,1999
64.97,ben,2000
66.0,ben,2001
64.9,ben,2002
63.71,ben,2003
64.26,ben,2004
63.91,ben,2005
61.93,ben,2006
58.89,ben,2007
59.28,ben,2008
57.3,ben,2009
55.52,ben,2010
31.69,bol,1971
29.99,bol,1972
30.43,bol,1973
30.48,bol,1974
27.54,bol,1975
26.56,bol,1976
26.5,bol,1977
26.27,bol,1978
26.74,bol,1979
43.84,bol,1980
44.9,bol,1981
48.94,bol,1982
46.39,bol,1983
49.11,bol,1984
50.16,bol,1985
52.28,bol,1986
45.25,bol,1987
46.42,bol,1988
41.99,bol,1989
39.38,bol,1990
38.26,bol,1991
38.36,bol,1992
36.28,bol,1993
35.0,bol,1994
32.94,bol,1995
29.65,bol,1996
29.92,bol,1997
28.32,bol,1998
26.99,bol,1999
23.52,bol,2000
22.93,bol,2001
23.01,bol,2002
22.62,bol,2003
21.99,bol,2004
22.38,bol,2005
21.27,bol,2006
20.85,bol,2007
24.06,bol,2008
23.6,bol,2009
24.03,bol,2010
10.86,bih,1990
11.42,bih,1991
15.3,bih,1992
15.53,bih,1993
32.92,bih,1994
32.06,bih,1995
36.95,bih,1996
34.41,bih,1997
34.55,bih,1998
36.92,bih,1999
23.36,bih,2000
23.69,bih,2001
23.71,bih,2002
24.96,bih,2003
22.36,bih,2004
22.11,bih,2005
21.28,bih,2006
20.32,bih,2007
19.87,bih,2008
27.14,bih,2009
25.91,bih,2010
58.03,bwa,1981
58.25,bwa,1982
58.18,bwa,1983
57.54,bwa,1984
57.23,bwa,1985
56.38,bwa,1986
54.75,bwa,1987
56.68,bwa,1988
55.74,bwa,1989
49.8,bwa,1990
49.88,bwa,1991
46.15,bwa,1992
47.17,bwa,1993
50.43,bwa,1994
48.83,bwa,1995
47.78,bwa,1996
47.11,bwa,1997
39.64,bwa,1998
43.32,bwa,1999
38.98,bwa,2000
40.63,bwa,2001
39.36,bwa,2002
39.13,bwa,2003
37.04,bwa,2004
35.55,bwa,2005
34.87,bwa,2006
31.98,bwa,2007
31.32,bwa,2008
32.52,bwa,2009
31.52,bwa,2010
35.58,bra,1971
33.5,bra,1972
30.69,bra,1973
28.86,bra,1974
27.65,bra,1975
25.94,bra,1976
24.75,bra,1977
22.98,bra,1978
21.95,bra,1979
21.79,bra,1980
22.49,bra,1981
20.86,bra,1982
20.12,bra,1983
19.73,bra,1984
18.21,bra,1985
16.65,bra,1986
16.94,bra,1987
16.62,bra,1988
16.19,bra,1989
16.17,bra,1990
16.2,bra,1991
16.15,bra,1992
15.15,bra,1993
14.37,bra,1994
13.96,bra,1995
13.7,bra,1996
13.33,bra,1997
13.33,bra,1998
13.37,bra,1999
13.49,bra,2000
13.2,bra,2001
13.11,bra,2002
13.07,bra,2003
12.66,bra,2004
12.71,bra,2005
12.46,bra,2006
11.87,bra,2007
11.68,bra,2008
12.17,bra,2009
11.23,bra,2010
13.14,brn,1971
14.02,brn,1972
13.11,brn,1973
12.17,brn,1974
12.49,brn,1975
11.06,brn,1976
11.62,brn,1977
11.17,brn,1978
9.626,brn,1979
8.591,brn,1980
10.76,brn,1981
11.54,brn,1982
11.15,brn,1983
12.17,brn,1984
12.17,brn,1985
11.76,brn,1986
12.76,brn,1987
12.92,brn,1988
12.67,brn,1989
12.88,brn,1990
12.54,brn,1991
11.93,brn,1992
12.04,brn,1993
12.23,brn,1994
11.45,brn,1995
10.99,brn,1996
11.09,brn,1997
11.22,brn,1998
11.38,brn,1999
11.72,brn,2000
11.57,brn,2001
9.762,brn,2002
9.77,brn,2003
8.716,brn,2004
7.945,brn,2005
3.779,brn,2006
4.776,brn,2007
9.333,brn,2008
9.026,brn,2009
8.352,brn,2010
10.71,bgr,1971
10.39,bgr,1972
11.27,bgr,1973
11.53,bgr,1974
11.23,bgr,1975
10.32,bgr,1976
11.65,bgr,1977
12.08,bgr,1978
12.12,bgr,1979
13.21,bgr,1980
13.4,bgr,1981
13.72,bgr,1982
12.53,bgr,1983
13.83,bgr,1984
14.8,bgr,1985
13.96,bgr,1986
14.35,bgr,1987
14.92,bgr,1988
13.78,bgr,1989
13.55,bgr,1990
19.22,bgr,1991
23.06,bgr,1992
24.61,bgr,1993
21.51,bgr,1994
20.41,bgr,1995
21.56,bgr,1996
19.22,bgr,1997
21.78,bgr,1998
22.67,bgr,1999
22.02,bgr,2000
20.66,bgr,2001
23.16,bgr,2002
22.74,bgr,2003
21.16,bgr,2004
20.19,bgr,2005
20.02,bgr,2006
19.38,bgr,2007
19.92,bgr,2008
23.44,bgr,2009
24.5,bgr,2010
67.34,khm,1995
68.04,khm,1996
67.52,khm,1997
65.15,khm,1998
64.52,khm,1999
63.93,khm,2000
61.7,khm,2001
69.53,khm,2002
69.56,khm,2003
59.76,khm,2004
57.54,khm,2005
55.23,khm,2006
52.6,khm,2007
51.11,khm,2008
64.34,khm,2009
62.53,khm,2010
73.84,cmr,1971
73.44,cmr,1972
73.49,cmr,1973
73.27,cmr,1974
72.32,cmr,1975
73.2,cmr,1976
70.84,cmr,1977
70.71,cmr,1978
70.6,cmr,1979
70.77,cmr,1980
70.07,cmr,1981
68.83,cmr,1982
67.84,cmr,1983
67.35,cmr,1984
66.91,cmr,1985
67.77,cmr,1986
68.04,cmr,1987
67.65,cmr,1988
68.5,cmr,1989
69.31,cmr,1990
70.63,cmr,1991
70.67,cmr,1992
70.17,cmr,1993
70.54,cmr,1994
71.26,cmr,1995
71.47,cmr,1996
71.21,cmr,1997
71.39,cmr,1998
72.29,cmr,1999
71.73,cmr,2000
71.85,cmr,2001
71.34,cmr,2002
71.32,cmr,2003
70.83,cmr,2004
71.2,cmr,2005
77.29,cmr,2006
72.24,cmr,2007
71.77,cmr,2008
70.61,cmr,2009
69.97,cmr,2010
29.36,can,1960
29.11,can,1961
29.14,can,1962
28.49,can,1963
27.5,can,1964
26.53,can,1965
25.26,can,1966
24.49,can,1967
23.92,can,1968
23.48,can,1969
22.7,can,1970
22.37,can,1971
21.87,can,1972
19.37,can,1973
19.35,can,1974
20.29,can,1975
20.61,can,1976
19.23,can,1977
19.01,can,1978
18.5,can,1979
18.24,can,1980
17.6,can,1981
19.34,can,1982
17.9,can,1983
17.87,can,1984
17.99,can,1985
17.86,can,1986
17.01,can,1987
17.37,can,1988
18.03,can,1989
18.05,can,1990
17.91,can,1991
18.05,can,1992
18.17,can,1993
17.89,can,1994
17.2,can,1995
17.82,can,1996
16.9,can,1997
15.85,can,1998
15.87,can,1999
16.27,can,2000
16.16,can,2001
16.24,can,2002
16.29,can,2003
15.65,can,2004
15.34,can,2005
15.17,can,2006
15.68,can,2007
16.3,can,2008
16.83,can,2009
15.81,can,2010
30.11,chl,1971
31.22,chl,1972
32.47,chl,1973
31.37,chl,1974
33.79,chl,1975
33.62,chl,1976
33.14,chl,1977
31.4,chl,1978
30.81,chl,1979
29.96,chl,1980
30.0,chl,1981
32.45,chl,1982
30.59,chl,1983
30.03,chl,1984
30.44,chl,1985
30.69,chl,1986
31.39,chl,1987
29.6,chl,1988
28.05,chl,1989
28.14,chl,1990
27.85,chl,1991
27.0,chl,1992
27.65,chl,1993
27.55,chl,1994
26.99,chl,1995
25.74,chl,1996
24.96,chl,1997
24.75,chl,1998
24.2,chl,1999
23.85,chl,2000
24.74,chl,2001
24.1,chl,2002
23.39,chl,2003
23.13,chl,2004
22.42,chl,2005
21.59,chl,2006
22.2,chl,2007
22.12,chl,2008
22.65,chl,2009
22.24,chl,2010
57.07,chn,1971
56.18,chn,1972
55.66,chn,1973
54.91,chn,1974
52.8,chn,1975
51.88,chn,1976
49.87,chn,1977
48.22,chn,1978
48.65,chn,1979
48.8,chn,1980
49.7,chn,1981
48.91,chn,1982
48.11,chn,1983
46.59,chn,1984
47.33,chn,1985
46.21,chn,1986
44.94,chn,1987
44.18,chn,1988
43.85,chn,1989
44.22,chn,1990
43.19,chn,1991
41.86,chn,1992
40.37,chn,1993
38.69,chn,1994
37.6,chn,1995
37.03,chn,1996
36.97,chn,1997
35.03,chn,1998
36.51,chn,1999
36.72,chn,2000
36.59,chn,2001
35.44,chn,2002
33.3,chn,2003
30.21,chn,2004
28.73,chn,2005
27.32,chn,2006
26.27,chn,2007
24.89,chn,2008
24.47,chn,2009
23.47,chn,2010
41.25,col,1971
37.0,col,1972
38.77,col,1973
35.57,col,1974
33.05,col,1975
31.59,col,1976
31.51,col,1977
30.88,col,1978
30.96,col,1979
30.18,col,1980
30.96,col,1981
30.58,col,1982
30.57,col,1983
30.27,col,1984
29.44,col,1985
29.42,col,1986
28.85,col,1987
28.46,col,1988
29.17,col,1989
29.2,col,1990
29.15,col,1991
25.83,col,1992
25.18,col,1993
23.91,col,1994
23.98,col,1995
23.58,col,1996
18.12,col,1997
17.76,col,1998
19.84,col,1999
19.93,col,2000
20.3,col,2001
20.73,col,2002
21.73,col,2003
19.83,col,2004
20.06,col,2005
21.89,col,2006
22.45,col,2007
21.46,col,2008
22.2,col,2009
21.95,col,2010
66.1,cod,1971
66.54,cod,1972
66.67,cod,1973
66.57,cod,1974
66.86,cod,1975
68.34,cod,1976
68.31,cod,1977
68.54,cod,1978
68.06,cod,1979
69.09,cod,1980
69.11,cod,1981
71.17,cod,1982
68.88,cod,1983
69.59,cod,1984
70.38,cod,1985
71.27,cod,1986
70.74,cod,1987
70.46,cod,1988
70.69,cod,1989
72.64,cod,1990
73.72,cod,1991
74.24,cod,1992
74.54,cod,1993
75.04,cod,1994
75.13,cod,1995
75.28,cod,1996
75.39,cod,1997
75.26,cod,1998
75.38,cod,1999
75.82,cod,2000
76.09,cod,2001
76.14,cod,2002
75.97,cod,2003
75.97,cod,2004
75.69,cod,2005
75.83,cod,2006
75.35,cod,2007
75.22,cod,2008
75.24,cod,2009
75.16,cod,2010
60.68,cog,1971
59.95,cog,1972
61.41,cog,1973
62.02,cog,1974
62.79,cog,1975
58.06,cog,1976
63.51,cog,1977
61.82,cog,1978
62.97,cog,1979
61.48,cog,1980
60.71,cog,1981
57.5,cog,1982
58.19,cog,1983
61.16,cog,1984
60.55,cog,1985
64.02,cog,1986
63.05,cog,1987
65.23,cog,1988
64.65,cog,1989
66.74,cog,1990
67.11,cog,1991
68.83,cog,1992
69.34,cog,1993
72.06,cog,1994
73.53,cog,1995
75.16,cog,1996
79.16,cog,1997
78.5,cog,1998
81.08,cog,1999
72.85,cog,2000
68.92,cog,2001
73.53,cog,2002
67.28,cog,2003
63.91,cog,2004
64.89,cog,2005
61.19,cog,2006
60.09,cog,2007
55.57,cog,2008
54.66,cog,2009
52.22,cog,2010
51.27,cri,1971
49.2,cri,1972
47.08,cri,1973
47.63,cri,1974
45.61,cri,1975
44.76,cri,1976
42.04,cri,1977
40.23,cri,1978
39.61,cri,1979
40.41,cri,1980
40.96,cri,1981
45.89,cri,1982
44.42,cri,1983
46.05,cri,1984
46.96,cri,1985
46.92,cri,1986
46.1,cri,1987
45.01,cri,1988
36.75,cri,1989
36.24,cri,1990
36.06,cri,1991
32.69,cri,1992
19.71,cri,1993
19.23,cri,1994
19.84,cri,1995
20.21,cri,1996
15.31,cri,1997
14.11,cri,1998
13.89,cri,1999
14.25,cri,2000
15.2,cri,2001
16.02,cri,2002
16.13,cri,2003
17.82,cri,2004
19.28,cri,2005
20.0,cri,2006
19.35,cri,2007
19.78,cri,2008
17.56,cri,2009
18.78,cri,2010
55.5,civ,1971
53.66,civ,1972
55.8,civ,1973
54.4,civ,1974
53.23,civ,1975
52.15,civ,1976
54.01,civ,1977
53.26,civ,1978
53.66,civ,1979
53.94,civ,1980
55.59,civ,1981
57.06,civ,1982
57.43,civ,1983
61.77,civ,1984
62.4,civ,1985
61.07,civ,1986
60.31,civ,1987
61.54,civ,1988
61.61,civ,1989
64.24,civ,1990
64.8,civ,1991
66.25,civ,1992
67.08,civ,1993
67.6,civ,1994
65.87,civ,1995
66.11,civ,1996
65.24,civ,1997
66.71,civ,1998
56.41,civ,1999
57.93,civ,2000
58.33,civ,2001
59.78,civ,2002
64.26,civ,2003
69.78,civ,2004
72.67,civ,2005
70.02,civ,2006
70.21,civ,2007
69.11,civ,2008
68.54,civ,2009
71.15,civ,2010
21.19,hrv,1990
25.36,hrv,1991
24.9,hrv,1992
24.99,hrv,1993
24.49,hrv,1994
26.7,hrv,1995
28.57,hrv,1996
27.78,hrv,1997
27.75,hrv,1998
28.23,hrv,1999
27.76,hrv,2000
27.6,hrv,2001
28.04,hrv,2002
28.18,hrv,2003
27.49,hrv,2004
27.59,hrv,2005
26.26,hrv,2006
24.06,hrv,2007
24.58,hrv,2008
26.17,hrv,2009
22.86,hrv,2010
16.57,cub,1971
18.54,cub,1972
18.42,cub,1973
18.13,cub,1974
17.33,cub,1975
17.56,cub,1976
17.33,cub,1977
16.11,cub,1978
16.72,cub,1979
18.09,cub,1980
16.46,cub,1981
17.55,cub,1982
16.9,cub,1983
16.61,cub,1984
18.99,cub,1985
19.47,cub,1986
18.76,cub,1987
18.14,cub,1988
16.96,cub,1989
17.76,cub,1990
21.73,cub,1991
20.01,cub,1992
20.03,cub,1993
19.64,cub,1994
19.85,cub,1995
17.41,cub,1996
16.17,cub,1997
16.58,cub,1998
15.94,cub,1999
16.72,cub,2000
15.81,cub,2001
18.75,cub,2002
22.24,cub,2003
25.03,cub,2004
23.96,cub,2005
17.73,cub,2006
15.81,cub,2007
16.87,cub,2008
16.36,cub,2009
17.26,cub,2010
12.34,cyp,1971
11.64,cyp,1972
11.28,cyp,1973
13.33,cyp,1974
12.47,cyp,1975
11.82,cyp,1976
10.97,cyp,1977
10.44,cyp,1978
10.03,cyp,1979
10.55,cyp,1980
10.94,cyp,1981
11.51,cyp,1982
11.54,cyp,1983
11.31,cyp,1984
11.62,cyp,1985
10.7,cyp,1986
10.55,cyp,1987
10.63,cyp,1988
10.74,cyp,1989
12.0,cyp,1990
10.66,cyp,1991
12.0,cyp,1992
11.5,cyp,1993
11.19,cyp,1994
11.05,cyp,1995
10.98,cyp,1996
11.21,cyp,1997
11.47,cyp,1998
11.22,cyp,1999
12.05,cyp,2000
11.89,cyp,2001
12.88,cyp,2002
13.4,cyp,2003
12.6,cyp,2004
19.81,cyp,2005
17.87,cyp,2006
17.84,cyp,2007
16.86,cyp,2008
18.04,cyp,2009
17.14,cyp,2010
24.89,cze,1971
24.09,cze,1972
22.45,cze,1973
20.52,cze,1974
20.63,cze,1975
21.04,cze,1976
21.26,cze,1977
20.32,cze,1978
21.52,cze,1979
21.5,cze,1980
21.41,cze,1981
20.81,cze,1982
21.81,cze,1983
22.39,cze,1984
23.32,cze,1985
23.67,cze,1986
24.41,cze,1987
24.32,cze,1988
23.14,cze,1989
25.5,cze,1990
26.6,cze,1991
22.0,cze,1992
21.03,cze,1993
22.24,cze,1994
22.7,cze,1995
25.2,cze,1996
24.72,cze,1997
24.35,cze,1998
24.31,cze,1999
23.5,cze,2000
25.06,cze,2001
23.66,cze,2002
23.67,cze,2003
22.59,cze,2004
22.5,cze,2005
23.16,cze,2006
22.38,cze,2007
22.04,cze,2008
23.34,cze,2009
24.47,cze,2010
45.17,dnk,1960
41.13,dnk,1961
43.73,dnk,1962
44.92,dnk,1963
50.24,dnk,1964
49.71,dnk,1965
46.9,dnk,1966
48.46,dnk,1967
48.03,dnk,1968
46.99,dnk,1969
45.29,dnk,1970
45.01,dnk,1971
43.58,dnk,1972
45.26,dnk,1973
44.91,dnk,1974
41.18,dnk,1975
41.45,dnk,1976
40.41,dnk,1977
39.02,dnk,1978
39.69,dnk,1979
37.85,dnk,1980
37.52,dnk,1981
31.16,dnk,1982
33.13,dnk,1983
32.03,dnk,1984
35.88,dnk,1985
35.01,dnk,1986
35.61,dnk,1987
33.13,dnk,1988
31.59,dnk,1989
30.39,dnk,1990
31.17,dnk,1991
30.42,dnk,1992
31.88,dnk,1993
30.78,dnk,1994
30.85,dnk,1995
31.68,dnk,1996
30.34,dnk,1997
30.45,dnk,1998
29.79,dnk,1999
29.24,dnk,2000
30.23,dnk,2001
29.95,dnk,2002
30.04,dnk,2003
29.65,dnk,2004
29.84,dnk,2005
29.48,dnk,2006
29.39,dnk,2007
29.72,dnk,2008
31.09,dnk,2009
32.74,dnk,2010
30.98,dom,1971
31.23,dom,1972
30.63,dom,1973
30.21,dom,1974
31.46,dom,1975
30.14,dom,1976
31.17,dom,1977
30.45,dom,1978
31.35,dom,1979
32.73,dom,1980
33.86,dom,1981
29.88,dom,1982
30.87,dom,1983
29.64,dom,1984
40.89,dom,1985
38.82,dom,1986
35.87,dom,1987
39.01,dom,1988
37.04,dom,1989
43.6,dom,1990
45.12,dom,1991
48.85,dom,1992
48.4,dom,1993
43.92,dom,1994
42.97,dom,1995
42.88,dom,1996
41.15,dom,1997
40.61,dom,1998
39.55,dom,1999
39.17,dom,2000
35.58,dom,2001
34.95,dom,2002
37.99,dom,2003
38.55,dom,2004
37.3,dom,2005
35.29,dom,2006
36.38,dom,2007
37.82,dom,2008
36.56,dom,2009
36.55,dom,2010
50.4,ecu,1971
50.2,ecu,1972
46.88,ecu,1973
46.02,ecu,1974
43.41,ecu,1975
41.44,ecu,1976
37.88,ecu,1977
34.49,ecu,1978
29.99,ecu,1979
27.74,ecu,1980
26.6,ecu,1981
29.51,ecu,1982
30.34,ecu,1983
27.9,ecu,1984
25.59,ecu,1985
25.08,ecu,1986
25.86,ecu,1987
25.14,ecu,1988
25.8,ecu,1989
24.2,ecu,1990
23.21,ecu,1991
23.93,ecu,1992
23.44,ecu,1993
23.1,ecu,1994
23.19,ecu,1995
21.29,ecu,1996
21.84,ecu,1997
19.99,ecu,1998
21.35,ecu,1999
19.61,ecu,2000
20.03,ecu,2001
18.68,ecu,2002
17.93,ecu,2003
19.9,ecu,2004
19.55,ecu,2005
20.51,ecu,2006
21.58,ecu,2007
20.9,ecu,2008
18.83,ecu,2009
19.55,ecu,2010
23.58,egy,1971
24.16,egy,1972
24.93,egy,1973
24.11,egy,1974
23.59,egy,1975
