residential_energy_use_percent,geo,time
27.49,alb,1971
24.88,alb,1972
28.86,alb,1973
27.5,alb,1974
24.99,alb,1975
23.11,alb,1976
22.17,alb,1977
19.64,alb,1978
17.14,alb,1979
16.91,alb,1980
20.39,alb,1981
20.55,alb,1982
19.09,alb,1983
18.17,alb,1984
18.67,alb,1985
17.37,alb,1986
17.43,alb,1987
17.42,alb,1988
18.83,alb,1989
26.16,alb,1990
34.08,alb,1991
41.61,alb,1992
47.08,alb,1993
45.65,alb,1994
47.45,alb,1995
48.58,alb,1996
56.79,alb,1997
51.07,alb,1998
22.87,alb,1999
24.08,alb,2000
23.42,alb,2001
33.65,alb,2002
21.51,alb,2003
27.24,alb,2004
26.34,alb,2005
24.88,alb,2006
23.4,alb,2007
24.14,alb,2008
24.82,alb,2009
25.03,alb,2010
20.7,dza,1971
21.42,dza,1972
22.55,dza,1973
22.25,dza,1974
21.85,dza,1975
24.89,dza,1976
22.4,dza,1977
23.13,dza,1978
23.18,dza,1979
23.82,dza,1980
23.05,dza,1981
22.79,dza,1982
25.4,dza,1983
26.95,dza,1984
34.88,dza,1985
36.09,dza,1986
35.25,dza,1987
35.01,dza,1988
39.04,dza,1989
34.82,dza,1990
36.36,dza,1991
36.12,dza,1992
36.24,dza,1993
38.1,dza,1994
37.52,dza,1995
37.99,dza,1996
36.27,dza,1997
39.99,dza,1998
38.58,dza,1999
38.38,dza,2000
39.65,dza,2001
38.82,dza,2002
38.54,dza,2003
41.39,dza,2004
42.64,dza,2005
41.77,dza,2006
41.92,dza,2007
42.29,dza,2008
24.04,dza,2009
24.04,dza,2010
81.9,ago,1971
75.13,ago,1972
77.47,ago,1973
78.79,ago,1974
80.97,ago,1975
81.91,ago,1976
86.03,ago,1977
77.44,ago,1978
78.43,ago,1979
77.45,ago,1980
78.75,ago,1981
81.2,ago,1982
81.04,ago,1983
80.14,ago,1984
76.75,ago,1985
77.63,ago,1986
77.17,ago,1987
75.64,ago,1988
75.48,ago,1989
71.43,ago,1990
71.06,ago,1991
71.78,ago,1992
69.88,ago,1993
71.86,ago,1994
73.75,ago,1995
73.15,ago,1996
74.06,ago,1997
75.51,ago,1998
73.61,ago,1999
73.52,ago,2000
73.05,ago,2001
71.69,ago,2002
67.73,ago,2003
62.98,ago,2004
68.91,ago,2005
65.84,ago,2006
63.05,ago,2007
60.7,ago,2008
60.65,ago,2009
57.01,ago,2010
16.48,arg,1971
16.32,arg,1972
16.04,arg,1973
17.18,arg,1974
