geo,personal_computers_per_100_people,time
ner,0.07,2004
ner,0.07,2005
nga,0.41,1993
nga,0.43,1994
nga,0.48,1995
nga,0.52,1996
nga,0.55,1997
nga,0.58,1998
nga,0.61,1999
nga,0.64,2000
nga,0.66,2001
nga,0.69,2002
nga,0.68,2003
nga,0.67,2004
nga,0.91,2005
nor,14.55,1991
nor,16.27,1992
nor,18.94,1993
nor,22.99,1994
nor,27.37,1995
nor,31.73,1996
nor,35.98,1997
nor,40.49,1998
nor,44.7,1999
nor,48.87,2000
nor,50.79,2001
nor,52.83,2002
nor,54.97,2003
nor,57.2,2004
nor,59.41,2005
nor,63.13,2006
pse,3.28,2001
pse,3.71,2002
pse,4.11,2003
pse,4.71,2004
pse,5.27,2005
omn,0.16,1990
omn,0.21,1991
omn,0.3,1992
omn,0.78,1993
omn,0.8,1994
omn,0.92,1995
omn,1.12,1996
omn,1.52,1997
omn,2.12,1998
omn,2.71,1999
omn,3.28,2000
omn,3.44,2001
omn,3.81,2002
omn,4.22,2003
omn,4.66,2004
omn,5.06,2005
omn,6.89,2006
pak,0.13,1990
pak,0.17,1991
pak,0.21,1992
pak,0.25,1993
pak,0.28,1994
pak,0.36,1995
pak,0.36,1996
pak,0.36,1997
pak,0.41,1998
pak,0.42,1999
pak,0.41,2000
pak,0.41,2001
pak,0.46,2002
pan,2.64,1998
pan,3.11,1999
pan,3.56,2000
pan,3.66,2001
pan,3.75,2002
pan,3.85,2003
pan,4.09,2004
pan,4.56,2005
png,3.96,1998
png,4.64,1999
png,5.28,2000
png,5.54,2001
png,5.8,2002
png,6.06,2003
png,6.36,2004
png,6.64,2005
pry,0.96,1998
pry,1.12,1999
pry,1.28,2000
pry,2.68,2001
pry,3.48,2002
pry,4.54,2003
pry,5.92,2004
pry,7.47,2005
per,1.47,1995
per,1.86,1996
per,2.31,1997
per,2.99,1998
per,3.52,1999
per,4.05,2000
per,4.74,2001
per,5.23,2002
per,6.63,2003
per,8.34,2004
per,10.01,2005
phl,0.34,1990
phl,0.42,1991
phl,0.52,1992
phl,0.63,1993
phl,0.79,1994
phl,0.96,1995
phl,1.16,1996
phl,1.36,1997
phl,1.51,1998
phl,1.7,1999
phl,1.95,2000
phl,2.2,2001
phl,2.8,2002
phl,3.55,2003
phl,4.51,2004
phl,5.44,2005
phl,7.46,2006
pol,0.79,1990
pol,0.97,1991
pol,1.3,1992
pol,1.77,1993
pol,2.21,1994
pol,2.85,1995
pol,3.11,1996
pol,3.88,1997
pol,4.91,1998
pol,6.21,1999
pol,6.91,2000
pol,8.54,2001
pol,10.56,2002
pol,14.2,2003
pol,11.72,2004
pol,13.88,2005
pol,16.77,2006
prt,2.6,1990
prt,3.01,1991
prt,3.51,1992
prt,4.0,1993
prt,4.3,1994
prt,5.48,1995
prt,6.66,1996
prt,7.33,1997
prt,7.99,1998
prt,9.14,1999
prt,10.27,2000
prt,11.77,2001
prt,13.49,2002
prt,13.46,2003
prt,13.43,2004
prt,15.31,2005
prt,16.3,2006
pri,0.7,2001
pri,0.75,2002
pri,0.79,2003
pri,0.84,2004
pri,0.83,2005
qat,4.85,1994
qat,5.71,1995
qat,6.53,1996
qat,10.97,1997
qat,12.5,1998
qat,13.81,1999
qat,14.84,2000
qat,15.57,2001
qat,16.03,2002
qat,16.5,2003
qat,17.12,2004
qat,17.84,2005
qat,18.71,2006
mda,0.21,1995
mda,0.25,1996
mda,0.39,1997
mda,0.65,1998
mda,0.82,1999
mda,1.49,2000
mda,1.64,2001
mda,1.81,2002
mda,2.01,2003
mda,2.66,2004
mda,8.27,2005
mda,10.11,2006
rou,0.22,1990
rou,0.43,1991
rou,0.65,1992
rou,0.87,1993
rou,1.1,1994
rou,1.32,1995
rou,1.55,1996
rou,1.78,1997
rou,2.15,1998
rou,2.7,1999
rou,3.22,2000
rou,3.63,2001
rou,8.2,2002
rou,9.6,2003
rou,11.24,2004
rou,12.9,2005
rou,14.79,2006
rus,0.34,1990
rus,0.44,1991
rus,0.64,1992
rus,0.79,1993
rus,1.15,1994
rus,1.75,1995
rus,2.37,1996
rus,2.98,1997
rus,3.46,1998
rus,3.74,1999
rus,6.35,2000
rus,7.54,2001
rus,8.95,2002
rus,8.99,2003
rus,10.42,2004
rus,12.15,2005
rus,13.33,2006
rwa,0.12,2001
rwa,0.12,2002
rwa,0.14,2003
rwa,0.17,2004
rwa,0.21,2005
rwa,0.3,2006
kna,12.44,1998
kna,14.9,1999
kna,17.3,2000
kna,19.62,2001
kna,21.85,2002
kna,24.0,2003
kna,26.07,2004
lca,0.04,1993
lca,0.06,1994
lca,13.15,1998
lca,13.7,1999
lca,14.24,2000
lca,14.77,2001
lca,15.29,2002
lca,15.8,2003
lca,16.3,2004
vct,8.71,1998
vct,9.54,1999
vct,10.35,2000
vct,11.15,2001
vct,11.95,2002
vct,12.73,2003
vct,13.51,2004
vct,13.86,2005
wsm,0.06,1995
wsm,0.18,1996
wsm,0.29,1997
wsm,0.46,1998
wsm,0.51,1999
wsm,0.56,2000
wsm,0.61,2001
wsm,0.66,2002
wsm,1.1,2003
wsm,1.52,2004
wsm,1.89,2005
wsm,2.34,2006
smr,71.14,1999
smr,75.89,2000
smr,75.33,2001
smr,74.81,2002
smr,79.91,2003
smr,86.06,2004
smr,86.74,2005
smr,90.56,2006
stp,0.98,2001
stp,1.37,2002
stp,2.01,2003
stp,3.27,2004
stp,3.83,2005
sau,2.32,1990
sau,2.42,1991
sau,2.42,1992
sau,2.42,1993
sau,2.96,1994
sau,3.48,1995
sau,3.91,1996
sau,4.31,1997
sau,4.93,1998
sau,5.74,1999
sau,6.05,2000
sau,10.41,2001
sau,10.57,2002
sau,11.15,2003
sau,11.69,2004
sau,12.82,2005
sau,13.89,2006
sen,0.23,1990
sen,0.3,1991
sen,0.37,1992
sen,0.44,1993
sen,0.51,1994
sen,0.66,1995
sen,0.85,1996
sen,1.04,1997
sen,1.22,1998
sen,1.39,1999
sen,1.55,2000
sen,1.7,2001
sen,1.84,2002
sen,1.98,2003
sen,2.13,2004
sen,2.14,2005
srb,16.19,2006
syc,12.44,1998
syc,13.03,1999
syc,14.25,2000
syc,15.43,2001
syc,16.58,2002
syc,17.69,2003
syc,18.77,2004
syc,19.84,2005
syc,20.91,2006
sgp,6.63,1990
sgp,7.43,1991
sgp,9.43,1992
sgp,10.69,1993
sgp,14.82,1994
sgp,20.13,1995
sgp,26.48,1996
sgp,33.49,1997
sgp,37.99,1998
sgp,43.33,1999
sgp,48.31,2000
sgp,51.26,2001
sgp,55.97,2002
sgp,60.19,2003
sgp,64.36,2004
sgp,68.43,2005
sgp,72.61,2006
svk,2.81,1994
svk,4.1,1995
svk,4.65,1996
svk,6.96,1997
svk,8.72,1998
svk,10.93,1999
svk,13.7,2000
svk,14.81,2001
svk,18.7,2002
svk,23.51,2003
svk,29.49,2004
svk,35.72,2005
svk,42.96,2006
svn,3.36,1991
svn,4.37,1992
svn,5.12,1993
svn,7.66,1994
svn,10.18,1995
svn,12.71,1996
svn,19.05,1997
svn,21.34,1998
svn,25.42,1999
svn,27.86,2000
svn,27.96,2001
svn,30.5,2002
svn,33.04,2003
svn,35.79,2004
svn,41.08,2005
svn,41.51,2006
slb,2.34,1997
slb,2.53,1998
slb,3.44,1999
slb,3.82,2000
slb,3.95,2001
slb,4.07,2002
slb,4.19,2003
slb,4.29,2004
slb,4.6,2005
som,0.07,2001
som,0.2,2002
som,0.32,2003
som,0.63,2004
som,0.91,2005
zaf,0.68,1990
zaf,0.88,1991
zaf,1.13,1992
zaf,1.4,1993
zaf,2.14,1994
zaf,2.63,1995
zaf,3.34,1996
zaf,4.13,1997
zaf,5.19,1998
zaf,5.78,1999
zaf,6.36,2000
zaf,6.72,2001
zaf,7.09,2002
zaf,7.49,2003
zaf,7.92,2004
zaf,8.36,2005
esp,2.8,1990
esp,3.3,1991
esp,3.79,1992
esp,4.28,1993
esp,4.77,1994
esp,6.01,1995
esp,7.75,1996
esp,9.47,1997
esp,10.69,1998
esp,11.87,1999
esp,17.19,2000
esp,21.89,2001
esp,19.16,2002
esp,22.18,2003
esp,25.69,2004
esp,27.87,2005
esp,36.88,2006
lka,0.02,1990
lka,0.03,1991
lka,0.05,1992
lka,0.07,1993
lka,0.09,1994
lka,0.11,1995
lka,0.31,1996
lka,0.39,1997
lka,0.46,1998
lka,0.53,1999
lka,0.68,2000
lka,0.87,2001
lka,1.24,2002
lka,1.59,2003
lka,2.57,2004
lka,3.54,2005
sdn,0.02,1994
sdn,0.03,1995
sdn,0.07,1996
sdn,0.1,1997
sdn,0.17,1998
sdn,0.26,1999
sdn,0.3,2000
sdn,0.34,2001
sdn,0.58,2002
sdn,1.0,2003
sdn,1.71,2004
sdn,8.97,2005
sdn,11.45,2006
sur,4.57,2001
sur,4.54,2002
sur,4.51,2003
sur,4.48,2004
sur,4.45,2005
swz,1.17,2000
swz,1.55,2001
swz,2.42,2002
swz,2.9,2003
swz,3.48,2004
swz,4.07,2005
swz,4.08,2006
swe,10.52,1990
swe,12.77,1991
swe,13.83,1992
swe,14.88,1993
swe,18.21,1994
swe,24.92,1995
swe,29.38,1996
swe,33.86,1997
swe,39.5,1998
swe,45.12,1999
swe,50.69,2000
swe,56.17,2001
swe,62.2,2002
swe,68.83,2003
swe,76.17,2004
swe,83.48,2005
swe,88.2,2006
che,8.78,1990
che,10.9,1991
che,13.02,1992
che,17.28,1993
che,22.95,1994
che,28.56,1995
che,34.11,1996
che,39.59,1997
che,42.21,1998
che,46.22,1999
che,65.57,2000
che,68.7,2001
che,71.57,2002
che,75.15,2003
che,84.33,2004
che,88.66,2005
che,88.3,2006
syr,0.56,1994
syr,0.68,1995
syr,0.86,1996
syr,1.09,1997
syr,1.25,1998
syr,1.4,1999
syr,1.49,2000
syr,1.57,2001
syr,1.87,2002
syr,2.76,2003
syr,3.23,2004
syr,4.2,2005
syr,6.66,2006
tjk,0.25,2004
tjk,1.3,2005
tha,0.42,1990
tha,0.54,1991
tha,0.8,1992
tha,1.0,1993
tha,1.18,1994
tha,1.39,1995
tha,1.69,1996
tha,2.01,1997
tha,2.16,1998
tha,2.27,1999
tha,2.79,2000
tha,3.23,2001
tha,3.93,2002
tha,4.79,2003
tha,5.83,2004
tha,6.86,2005
mkd,3.57,2001
mkd,4.65,2002
mkd,5.82,2003
mkd,6.89,2004
mkd,22.17,2005
mkd,26.51,2006
tgo,0.33,1995
tgo,0.43,1996
tgo,0.52,1997
tgo,0.6,1998
tgo,0.96,1999
tgo,1.86,2000
tgo,2.17,2001
tgo,2.64,2002
tgo,2.74,2003
tgo,2.86,2004
tgo,3.01,2005
tkl,0.86,1997
tkl,0.36,2003
tkl,5.09,2004
ton,0.61,1997
ton,0.81,1998
ton,1.1,1999
ton,1.3,2000
ton,1.39,2001
ton,1.98,2002
ton,2.95,2003
ton,4.9,2004
ton,5.86,2005
tto,0.41,1991
tto,0.81,1992
tto,1.21,1993
tto,1.6,1994
tto,1.99,1995
tto,2.76,1996
tto,3.93,1997
tto,4.7,1998
tto,5.47,1999
tto,6.23,2000
tto,6.98,2001
tto,6.96,2002
tto,7.94,2003
tto,8.91,2004
tto,9.88,2005
tto,17.42,2006
tun,0.26,1990
tun,0.29,1991
tun,0.35,1992
tun,0.41,1993
tun,1.39,1997
tun,1.65,1998
tun,2.08,1999
tun,2.17,2000
tun,2.64,2001
tun,3.43,2002
tun,4.11,2003
tun,4.72,2004
tun,5.62,2005
tun,6.22,2006
tur,0.52,1990
tur,0.65,1991
tur,0.88,1992
tur,1.13,1993
tur,1.28,1994
tur,1.47,1995
tur,1.73,1996
tur,2.0,1997
tur,2.57,1998
tur,3.28,1999
tur,3.66,2000
tur,3.9,2001
tur,4.27,2002
tur,4.68,2003
tur,5.13,2004
tur,5.56,2005
tur,5.93,2006
tkm,1.53,2001
tkm,1.66,2002
tkm,1.81,2003
tkm,2.35,2004
tkm,7.2,2005
tuv,1.07,2001
tuv,1.75,2002
tuv,2.51,2003
tuv,4.04,2004
tuv,8.05,2005
uga,0.05,1995
uga,0.09,1996
uga,0.14,1997
uga,0.18,1998
uga,0.23,1999
uga,0.25,2000
uga,0.28,2001
uga,0.32,2002
uga,0.38,2003
uga,0.43,2004
uga,1.04,2005
uga,1.67,2006
ukr,0.19,1990
ukr,0.27,1991
ukr,0.38,1992
ukr,0.58,1993
ukr,0.7,1994
ukr,0.83,1995
ukr,1.0,1996
ukr,1.18,1997
ukr,1.41,1998
ukr,1.61,1999
ukr,1.81,2000
ukr,1.89,2001
ukr,1.98,2002
ukr,2.36,2003
ukr,2.82,2004
ukr,3.89,2005
ukr,4.61,2006
are,2.89,1992
are,3.56,1993
are,4.16,1994
are,4.73,1995
are,6.23,1996
are,7.38,1997
are,8.73,1998
are,9.87,1999
are,12.32,2000
are,12.04,2001
are,11.98,2002
are,16.12,2003
are,19.84,2004
are,23.36,2005
are,30.06,2006
gbr,10.92,1990
gbr,12.65,1991
gbr,14.71,1992
gbr,16.76,1993
gbr,17.22,1994
gbr,20.46,1995
gbr,21.95,1996
gbr,24.28,1997
gbr,27.29,1998
gbr,30.79,1999
gbr,34.41,2000
gbr,37.37,2001
gbr,40.58,2002
gbr,44.06,2003
gbr,60.34,2004
gbr,76.52,2005
gbr,81.21,2006
tza,0.15,1997
tza,0.17,1998
tza,0.24,1999
tza,0.29,2000
tza,0.34,2001
tza,0.4,2002
tza,0.54,2003
tza,0.74,2004
tza,0.93,2005
usa,21.21,1990
usa,22.85,1991
usa,24.71,1992
usa,26.61,1993
usa,29.06,1994
usa,32.01,1995
usa,35.45,1996
usa,39.57,1997
usa,44.55,1998
usa,50.13,1999
usa,56.66,2000
usa,62.02,2001
usa,75.76,2004
usa,77.26,2005
usa,79.89,2006
vir,2.34,2001
vir,2.69,2002
vir,2.69,2003
vir,2.68,2004
vir,2.68,2005
ury,2.18,1995
ury,3.7,1996
ury,6.12,1997
ury,9.11,1998
ury,9.95,1999
ury,10.47,2000
ury,10.99,2001
ury,11.5,2002
ury,12.0,2003
ury,12.5,2004
ury,12.99,2005
uzb,1.58,2003
uzb,2.2,2004
uzb,2.82,2005
uzb,3.08,2006
vut,0.72,1997
vut,0.82,1998
vut,1.07,1999
vut,1.25,2000
vut,1.33,2001
vut,1.51,2002
vut,1.48,2003
vut,1.45,2004
vut,1.42,2005
ven,1.01,1990
ven,1.24,1991
ven,1.45,1992
ven,1.89,1993
ven,2.31,1994
ven,2.72,1995
ven,3.1,1996
ven,3.48,1997
ven,3.83,1998
ven,4.18,1999
ven,4.5,2000
ven,5.22,2001
ven,6.06,2002
ven,7.03,2003
ven,8.16,2004
ven,9.25,2005
vnm,0.01,1992
vnm,0.03,1993
vnm,0.07,1994
vnm,0.14,1995
vnm,0.27,1996
vnm,0.4,1997
vnm,0.52,1998
vnm,0.64,1999
vnm,0.76,2000
vnm,0.88,2001
vnm,0.99,2002
vnm,1.96,2003
vnm,3.99,2004
vnm,6.9,2005
vnm,9.51,2006
yem,0.09,1996
yem,0.12,1997
yem,0.15,1998
yem,0.17,1999
yem,0.2,2000
yem,0.2,2001
yem,0.76,2002
yem,1.02,2003
yem,1.48,2004
yem,1.91,2005
yem,2.77,2006
zmb,0.58,1998
zmb,0.62,1999
zmb,0.65,2000
zmb,0.69,2001
zmb,0.72,2002
zmb,0.84,2003
zmb,0.98,2004
zmb,1.12,2005
zwe,0.02,1990
zwe,0.05,1991
zwe,0.12,1992
zwe,0.16,1993
zwe,0.19,1994
zwe,0.28,1995
zwe,0.67,1996
zwe,0.9,1997
zwe,1.05,1998
zwe,1.2,1999
zwe,1.55,2000
zwe,1.58,2001
zwe,4.69,2002
zwe,4.82,2003
zwe,5.41,2004
zwe,6.53,2005
zwe,6.61,2006
