geo,malaria_number_of_cases_reported,time
dza,152,1990
dza,229,1991
dza,106,1992
dza,84,1993
dza,206,1994
dza,107,1995
dza,221,1996
dza,197,1997
dza,701,1999
dza,541,2000
dza,435,2001
dza,307,2002
ago,243700,1990
ago,1144000,1991
ago,783000,1992
ago,723000,1993
ago,667400,1994
ago,156600,1995
ago,893200,1997
ago,1169000,1998
ago,1472000,1999
ago,1636000,2000
ago,1250000,2001
ago,1863000,2002
ago,3246000,2003
ago,2489000,2004
ago,2329000,2005
ago,2283000,2006
ben,92870,1990
ben,118800,1991
ben,290900,1992
ben,403300,1993
ben,546800,1994
ben,579300,1995
ben,623400,1996
ben,670900,1997
ben,650000,1998
ben,709300,1999
ben,707400,2000
ben,717300,2001
ben,782800,2002
ben,819300,2003
ben,853000,2004
ben,803500,2005
ben,861800,2006
bwa,10750,1990
bwa,14360,1991
bwa,4995,1992
bwa,55330,1993
bwa,29590,1994
bwa,17600,1995
bwa,80000,1996
bwa,101900,1997
bwa,59700,1998
bwa,72640,1999
bwa,71400,2000
bwa,48240,2001
bwa,28860,2002
bwa,236800,2003
bwa,22400,2004
bwa,11240,2005
bwa,19000,2006
bfa,496500,1990
bfa,448900,1991
bfa,420200,1992
bfa,502300,1993
bfa,472400,1994
bfa,501000,1995
bfa,582700,1996
bfa,672800,1997
bfa,721500,1998
bfa,867900,1999
bfa,1033000,2000
bfa,352600,2001
bfa,1189000,2002
bfa,1443000,2003
bfa,1547000,2004
bfa,1616000,2005
bfa,2061000,2006
bdi,92870,1990
bdi,568900,1991
bdi,773500,1992
bdi,828400,1993
bdi,831500,1994
bdi,932800,1995
bdi,974200,1996
bdi,670900,1997
bdi,687300,1998
bdi,1937000,1999
bdi,3057000,2000
bdi,3366000,2001
bdi,2649000,2002
bdi,2260000,2003
bdi,1750000,2004
bdi,2362000,2005
bdi,2161000,2006
cmr,869000,1990
cmr,787800,1991
cmr,664400,1992
cmr,478700,1993
cmr,189100,1994
cmr,784300,1995
cmr,931300,1996
cmr,787800,1997
cmr,664400,1998
cmr,277400,2005
cmr,634500,2006
cpv,69,1990
cpv,80,1991
cpv,38,1992
cpv,44,1993
cpv,21,1994
cpv,127,1995
cpv,77,1996
cpv,20,1997
cpv,41,1998
cpv,29,1999
cpv,15,2001
cpv,2,2002
cpv,6,2003
cpv,4,2004
cpv,7,2005
cpv,7,2006
caf,174400,1990
caf,125000,1991
caf,89930,1992
caf,82070,1993
caf,82060,1994
caf,101000,1995
caf,95260,1996
caf,99720,1997
caf,105700,1998
caf,128000,1999
caf,89610,2000
caf,123300,2001
caf,78090,2003
caf,129400,2004
caf,131900,2005
caf,114400,2006
tcd,212600,1990
tcd,246400,1991
tcd,229400,1992
tcd,234900,1993
tcd,278200,1994
tcd,293600,1995
tcd,278000,1996
tcd,343200,1997
tcd,395200,1998
tcd,392800,1999
tcd,369300,2000
tcd,414100,2001
tcd,462700,2002
tcd,463300,2003
tcd,395000,2004
tcd,398400,2005
tcd,400100,2006
com,12010,1993
com,13860,1994
com,15710,1995
com,15510,1996
com,3844,1998
com,9793,1999
com,3718,2001
com,43920,2004
com,29550,2005
com,54830,2006
cog,32430,1990
cog,32390,1991
cog,21120,1992
cog,15500,1993
cog,35960,1994
