geo,infectious_tb_number_of_new_cases_reported,time
ben,1653,1993
ben,1618,1994
ben,1839,1995
ben,1868,1996
ben,1939,1997
ben,1988,1998
ben,2192,1999
ben,2286,2000
ben,2415,2002
ben,2438,2003
ben,2582,2004
ben,2739,2005
ben,2943,2006
bmu,2,1995
bmu,0,1996
bmu,0,1998
bmu,0,1999
bmu,0,2000
bmu,0,2001
bmu,0,2002
bmu,0,2004
bmu,2,2006
btn,352,1994
btn,367,1995
btn,308,1996
btn,284,1997
btn,270,1998
btn,315,1999
btn,347,2000
btn,359,2001
btn,364,2002
btn,360,2003
btn,356,2004
btn,308,2005
btn,312,2006
btn,328,2007
bol,6833,1993
bol,6905,1994
bol,7010,1995
bol,6949,1996
bol,6458,1997
bol,6750,1998
bol,6673,1999
bol,6458,2000
bol,6672,2001
bol,6829,2002
bol,6344,2003
bol,6213,2004
bol,6278,2005
bol,5788,2006
bol,5686,2007
bih,865,1995
bih,927,1996
bih,803,1997
bih,640,1998
bih,786,1999
bih,759,2000
bih,800,2001
bih,526,2002
bih,493,2003
bih,889,2004
bih,640,2005
bih,562,2006
bih,737,2007
bwa,1508,1993
bwa,1668,1994
bwa,1903,1995
bwa,2530,1996
bwa,2824,1997
bwa,3112,1998
bwa,2746,1999
bwa,3091,2000
bwa,3057,2001
bwa,3334,2002
bwa,3050,2003
bwa,3127,2004
bwa,3170,2005
bwa,3252,2006
bwa,3002,2007
bra,39170,1994
bra,45650,1995
bra,44500,1996
bra,43490,1997
bra,43550,1998
bra,41620,1999
bra,41190,2000
bra,38480,2001
bra,41370,2002
bra,39940,2003
bra,42880,2004
bra,42090,2005
bra,41120,2006
bra,38440,2007
vgb,0,1997
vgb,1,2000
vgb,0,2001
vgb,1,2002
vgb,0,2003
vgb,2,2004
vgb,0,2005
vgb,0,2007
brn,68,1993
brn,0,1997
brn,102,1999
brn,84,2000
brn,95,2001
brn,112,2002
brn,121,2003
brn,115,2004
brn,101,2005
brn,128,2006
brn,136,2007
bgr,3096,1994
bgr,1087,1995
bgr,903,1996
bgr,1037,1997
bgr,1325,1998
bgr,1697,1999
bgr,2524,2000
bgr,897,2001
bgr,1007,2002
bgr,1254,2003
bgr,1315,2004
bgr,1214,2005
bgr,1307,2006
bgr,1080,2007
bfa,561,1994
bfa,1028,1995
bfa,1381,1996
bfa,1126,1997
bfa,1331,1998
bfa,1411,1999
bfa,1560,2000
bfa,1522,2001
bfa,1544,2002
bfa,1703,2003
bfa,1926,2004
bfa,2294,2005
bfa,2659,2006
bfa,2614,2007
bdi,1861,1993
bdi,1527,1994
bdi,1121,1995
bdi,1533,1996
bdi,2022,1997
bdi,2782,1998
bdi,2924,1999
bdi,3040,2001
bdi,2791,2002
bdi,3087,2003
bdi,3277,2004
bdi,3262,2005
bdi,3119,2006
bdi,3595,2007
khm,11060,1994
khm,11100,1995
khm,12060,1996
khm,12690,1997
khm,13860,1998
khm,15740,1999
khm,14820,2000
khm,14360,2001
khm,17260,2002
khm,18920,2003
khm,18980,2004
khm,21000,2005
khm,19290,2006
khm,19420,2007
cmr,2316,1993
cmr,1883,1994
cmr,2896,1995
cmr,2312,1996
cmr,3548,1997
cmr,4374,1998
cmr,5832,1999
cmr,3960,2000
cmr,4695,2001
cmr,7921,2002
cmr,10690,2003
cmr,11220,2004
cmr,13000,2005
cmr,12870,2006
cmr,13220,2007
can,549,1990
can,543,1991
can,506,1992
can,488,1993
can,483,1994
can,436,1995
can,430,1996
can,473,1997
can,438,1998
can,455,1999
can,492,2000
can,458,2001
can,408,2002
can,332,2003
can,438,2004
can,433,2005
can,407,2006
can,463,2007
cpv,111,1995
cpv,117,1996
cpv,103,1997
cpv,104,1998
cpv,140,2001
cpv,111,2002
cpv,165,2003
cpv,169,2004
cpv,135,2005
cpv,131,2006
cpv,158,2007
cym,2,1993
cym,0,1995
cym,0,1996
cym,0,1997
cym,2,1998
cym,2,1999
cym,5,2000
cym,1,2001
cym,0,2002
cym,0,2003
cym,1,2004
cym,0,2006
cym,1,2007
caf,1794,1995
caf,1992,1996
caf,2267,1997
caf,2637,1998
caf,2725,1999
caf,1382,2001
caf,2758,2002
caf,2818,2003
caf,2923,2004
caf,2153,2005
caf,4448,2006
tcd,2002,1995
tcd,870,1996
tcd,2920,1999
tcd,3519,2002
tcd,3599,2003
tcd,2270,2004
tcd,2516,2005
tcd,2513,2007
chl,2629,1993
chl,1951,1994
chl,1561,1995
chl,1562,1996
chl,1582,1997
chl,1576,1998
chl,1497,1999
chl,1290,2000
chl,1355,2001
chl,1412,2002
chl,1276,2003
chl,1297,2004
chl,1186,2005
chl,1533,2006
chl,1166,2007
chn,84900,1993
chn,104700,1994
chn,134500,1995
chn,203700,1996
chn,236000,1997
chn,202800,1998
chn,201800,1999
chn,204800,2000
chn,204600,2001
chn,195000,2002
chn,267400,2003
chn,384900,2004
chn,472700,2005
chn,468300,2006
chn,465900,2007
col,6987,1993
col,6532,1994
col,7530,1995
col,7572,1996
col,6090,1997
col,6969,1998
col,8329,1999
col,8358,2000
col,8022,2001
col,7787,2002
col,7972,2003
col,7640,2004
col,6870,2005
col,7648,2006
col,7188,2007
com,103,1995
com,107,1996
com,100,1997
com,99,1998
com,112,1999
com,87,2000
com,92,2001
com,72,2002
com,48,2003
com,63,2004
com,79,2005
com,67,2006
cog,1691,1994
cog,2013,1995
cog,2505,1996
cog,1984,1997
cog,2044,1998
cog,2222,1999
cog,4218,2000
cog,4319,2001
cog,5019,2002
cog,3477,2003
cog,4121,2004
cog,3640,2005
cog,3340,2006
cog,3552,2007
cok,0,1990
cok,1,1991
cok,6,1992
cok,5,1993
cok,4,1994
cok,2,1995
cok,1,1996
cok,2,1997
cok,0,1998
cok,0,1999
cok,0,2000
cok,2,2001
cok,1,2002
cok,0,2003
cok,1,2004
cok,1,2005
cok,0,2006
cri,230,1994
cri,245,1995
cri,302,1996
cri,320,1997
cri,353,1998
cri,458,1999
cri,349,2000
cri,385,2001
cri,328,2002
cri,346,2003
cri,419,2004
cri,330,2005
cri,285,2006
cri,322,2007
hrv,1204,1995
hrv,1228,1996
hrv,1073,1997
hrv,1129,1998
hrv,748,1999
hrv,0,2000
hrv,421,2001
hrv,437,2002
hrv,438,2003
hrv,416,2004
hrv,372,2005
hrv,396,2006
hrv,382,2007
cub,565,1993
cub,914,1994
cub,834,1995
cub,835,1996
cub,765,1997
cub,746,1998
cub,720,1999
cub,675,2000
cub,559,2001
cub,540,2002
cub,507,2003
cub,453,2004
cub,467,2005
cub,432,2006
cub,432,2007
cyp,6,1995
cyp,3,1996
cyp,19,1997
cyp,20,1998
cyp,9,1999
cyp,4,2000
cyp,0,2001
cyp,8,2002
cyp,14,2003
cyp,10,2004
cyp,9,2005
cyp,8,2006
cyp,8,2007
cze,548,1993
cze,524,1994
cze,487,1995
cze,586,1996
cze,481,1997
cze,545,1998
cze,449,1999
cze,420,2000
cze,391,2001
cze,329,2002
cze,338,2003
cze,302,2004
cze,308,2005
cze,257,2006
cze,267,2007
civ,7012,1993
civ,8254,1995
civ,8927,1996
civ,9093,1997
civ,9850,1998
civ,10050,1999
civ,8497,2000
civ,10920,2001
civ,11030,2002
civ,11430,2003
civ,12250,2004
civ,12500,2005
civ,12870,2006
civ,14070,2007
prk,3980,1997
prk,403,1998
prk,5073,1999
prk,16440,2000
prk,14430,2001
prk,18580,2002
prk,17390,2003
prk,18480,2004
prk,17800,2005
prk,18440,2006
prk,23580,2007
cod,14920,1993
cod,20910,1995
cod,24120,1996
cod,24610,1997
cod,33440,1998
cod,34920,1999
cod,36120,2000
cod,42050,2001
cod,44520,2002
cod,53580,2003
cod,62190,2004
cod,65040,2005
cod,63490,2006
cod,66100,2007
dnk,243,1993
dnk,120,1994
dnk,128,1995
dnk,97,1996
dnk,114,1997
dnk,132,1998
dnk,172,1999
dnk,171,2000
dnk,127,2001
dnk,135,2002
dnk,143,2003
dnk,146,2004
dnk,129,2005
dnk,123,2006
dnk,135,2007
dji,1668,1993
dji,1743,1994
dji,1744,1996
dji,1904,1997
dji,1690,1998
dji,1564,1999
dji,1391,2000
dji,1312,2001
dji,1253,2002
dji,1202,2003
dji,1086,2004
dji,1120,2005
dji,1153,2006
dji,1208,2007
dma,6,1993
dma,8,1994
dma,5,1995
dma,7,1996
dma,5,1997
dma,5,1998
dma,2,2002
dma,8,2006
dma,3,2007
dom,2297,1993
dom,3177,1994
dom,2787,1995
dom,3733,1996
dom,3162,1997
dom,2669,1998
dom,3278,1999
dom,2907,2000
dom,2622,2001
dom,2179,2002
dom,2806,2003
dom,2720,2004
dom,2949,2005
dom,2658,2006
dom,2373,2007
ecu,5325,1993
ecu,6674,1994
ecu,5890,1995
ecu,6426,1996
ecu,7214,1997
ecu,4900,1998
ecu,4300,1999
ecu,5064,2000
ecu,4439,2001
ecu,4223,2002
ecu,4488,2003
ecu,4340,2004
ecu,3048,2005
ecu,3182,2006
ecu,3448,2007
egy,1811,1994
egy,4229,1995
egy,5084,1996
egy,5469,1997
egy,4915,1998
egy,5094,1999
egy,4606,2000
egy,4514,2001
egy,4889,2002
egy,5118,2003
egy,5383,2004
egy,5217,2005
egy,4745,2006
egy,4887,2007
slv,2471,1993
slv,2144,1994
slv,965,1996
slv,882,1997
slv,1071,1998
slv,1023,1999
slv,1008,2000
slv,1003,2001
slv,980,2002
slv,870,2003
slv,926,2004
slv,1059,2005
slv,913,2006
slv,942,2007
gnq,219,1995
gnq,209,1996
gnq,226,1997
gnq,284,1998
gnq,406,2004
eri,120,1997
eri,135,1998
eri,527,1999
eri,590,2000
eri,702,2001
eri,646,2002
eri,887,2003
eri,720,2004
eri,687,2005
eri,680,2006
eri,694,2007
est,303,1993
est,347,1994
est,369,1995
est,240,1996
est,269,1997
est,299,1998
est,274,1999
est,255,2000
est,212,2001
est,203,2002
est,201,2003
est,203,2004
est,162,2005
est,147,2006
est,168,2007
eth,5752,1994
eth,9040,1995
eth,13160,1996
eth,15960,1997
eth,18860,1998
eth,21600,1999
eth,30510,2000
eth,33030,2001
eth,36540,2002
eth,39700,2003
eth,41430,2004
eth,38520,2005
eth,36670,2006
eth,38040,2007
fji,84,1990
fji,75,1991
fji,75,1992
fji,61,1993
fji,62,1994
fji,68,1995
fji,69,1996
fji,66,1997
fji,74,1998
fji,65,1999
fji,62,2000
fji,73,2001
fji,74,2002
fji,78,2003
fji,62,2004
fji,63,2005
fji,73,2006
fji,52,2007
fin,244,1995
fin,240,1996
fin,186,1997
fin,188,1998
fin,179,1999
fin,205,2000
fin,150,2001
fin,130,2002
fin,138,2003
fin,124,2004
fin,130,2005
fin,84,2006
fin,85,2007
fra,4455,1993
fra,3196,1994
fra,3449,1995
fra,3002,1996
fra,2430,1997
fra,2325,1999
fra,1815,2000
fra,2398,2001
fra,2276,2002
fra,2219,2003
fra,1923,2004
fra,1941,2005
fra,1911,2006
fra,1921,2007
pyf,38,1994
pyf,37,1996
pyf,41,1997
pyf,34,1998
pyf,33,1999
pyf,29,2000
pyf,0,2001
pyf,28,2002
pyf,21,2003
pyf,30,2004
pyf,21,2005
pyf,24,2006
pyf,19,2007
gab,395,1994
gab,486,1995
gab,263,1996
gab,577,1997
gab,889,1998
gab,916,1999
gab,1137,2001
gab,1033,2002
gab,1233,2003
gab,1323,2004
gab,1042,2005
gab,1145,2006
gab,1462,2007
gmb,778,1995
gmb,743,1996
gmb,820,1997
gmb,900,1998
gmb,861,1999
gmb,1035,2002
gmb,1040,2003
gmb,1011,2004
gmb,1127,2005
gmb,1209,2006
gmb,1238,2007
geo,221,1995
geo,482,1996
geo,595,1997
geo,547,1998
geo,746,1999
geo,601,2000
geo,1014,2001
geo,987,2002
geo,989,2003
geo,1311,2004
geo,1509,2005
