gdppercapita_growth_percent_per_year,geo,time
11.12,afg,2003
6.378,afg,2004
11.31,afg,2005
8.126,afg,2006
8.072,afg,2007
0.553,afg,2008
17.08,afg,2009
5.221,afg,2010
3.661,alb,1981
1.0,alb,1982
-0.8263,alb,1983
-3.278,alb,1984
-0.5041,alb,1985
2.99,alb,1986
-3.418,alb,1987
-3.853,alb,1988
7.779,alb,1989
-10.5,alb,1990
-29.64,alb,1991
-6.498,alb,1992
11.03,alb,1993
9.848,alb,1994
14.68,alb,1995
10.1,alb,1996
-9.599,alb,1997
13.17,alb,1998
10.33,alb,1999
7.33,alb,2000
6.808,alb,2001
2.487,alb,2002
5.124,alb,2003
5.285,alb,2004
4.931,alb,2005
4.507,alb,2006
5.464,alb,2007
7.303,alb,2008
2.934,alb,2009
3.104,alb,2010
-15.23,dza,1961
-21.14,dza,1962
31.83,dza,1963
3.714,dza,1964
3.819,dza,1965
-7.193,dza,1966
6.469,dza,1967
7.605,dza,1968
5.235,dza,1969
5.637,dza,1970
-13.96,dza,1971
23.63,dza,1972
0.6978,dza,1973
4.228,dza,1974
1.805,dza,1975
5.01,dza,1976
1.96,dza,1977
5.766,dza,1978
4.05,dza,1979
-2.455,dza,1980
-0.344,dza,1981
2.941,dza,1982
2.013,dza,1983
2.297,dza,1984
0.5783,dza,1985
-2.491,dza,1986
-3.437,dza,1987
-3.623,dza,1988
1.722,dza,1989
-1.714,dza,1990
-3.606,dza,1991
-0.6049,dza,1992
-4.305,dza,1993
-2.975,dza,1994
1.817,dza,1995
2.309,dza,1996
-0.4767,dza,1997
3.574,dza,1998
1.742,dza,1999
0.7446,dza,2000
1.115,dza,2001
3.169,dza,2002
5.32,dza,2003
3.633,dza,2004
3.526,dza,2005
0.462,dza,2006
1.437,dza,2007
0.8491,dza,2008
0.8702,dza,2009
1.792,dza,2010
-0.6205,and,1971
2.778,and,1972
2.619,and,1973
0.8836,and,1974
-3.61,and,1975
-0.516,and,1976
-0.6317,and,1977
-1.935,and,1978
-3.655,and,1979
-2.104,and,1980
-4.965,and,1981
-4.047,and,1982
-3.468,and,1983
-2.817,and,1984
-1.373,and,1985
0.6239,and,1986
3.733,and,1987
3.563,and,1988
2.771,and,1989
0.7686,and,1990
-1.599,and,1991
-3.912,and,1992
-5.767,and,1993
-1.577,and,1994
0.2354,and,1995
3.803,and,1996
9.609,and,1997
4.253,and,1998
4.524,and,1999
0.15,and,2000
8.814,and,2001
1.806,and,2002
2.082,and,2003
2.116,and,2004
2.388,and,2005
4.135,and,2006
-0.4612,and,2007
2.082,and,2008
-0.03381,ago,1986
5.189,ago,1987
3.047,ago,1988
-2.126,ago,1989
-3.025,ago,1990
-4.153,ago,1991
-9.856,ago,1992
-27.14,ago,1993
0.2282,ago,1994
7.097,ago,1995
8.096,ago,1996
5.036,ago,1997
3.992,ago,1998
0.3874,ago,1999
-0.05615,ago,2000
-0.169,ago,2001
10.63,ago,2002
-0.239,ago,2003
7.438,ago,2004
16.72,ago,2005
14.93,ago,2006
19.09,ago,2007
10.57,ago,2008
-2.147,ago,2009
2.96,ago,2010
3.841,atg,1978
7.356,atg,1979
9.054,atg,1980
4.964,atg,1981
1.384,atg,1982
6.239,atg,1983
11.55,atg,1984
9.779,atg,1985
14.6,atg,1986
10.02,atg,1987
6.837,atg,1988
6.584,atg,1989
2.529,atg,1990
1.139,atg,1991
-0.8083,atg,1992
3.07,atg,1993
3.694,atg,1994
-6.616,atg,1995
4.0,atg,1996
2.171,atg,1997
1.779,atg,1998
1.662,atg,1999
-0.703,atg,2000
0.2633,atg,2001
0.8142,atg,2002
3.516,atg,2003
5.584,atg,2004
2.85,atg,2005
11.9,atg,2006
9.389,atg,2007
-0.369,atg,2008
-12.19,atg,2009
-5.411,atg,2010
3.74,arg,1961
-2.418,arg,1962
-6.778,arg,1963
8.459,arg,1964
8.932,arg,1965
-2.089,arg,1966
1.74,arg,1967
3.344,arg,1968
8.083,arg,1969
1.471,arg,1970
3.956,arg,1971
-0.07635,arg,1972
1.058,arg,1973
3.757,arg,1974
-1.656,arg,1975
-3.549,arg,1976
5.318,arg,1977
-5.919,arg,1978
8.597,arg,1979
2.6,arg,1980
-7.111,arg,1981
-6.398,arg,1982
2.299,arg,1983
0.6674,arg,1984
