geo,aged_15plus_employment_rate_percent,time
afg,56.7,1991
afg,56.5,1992
afg,56.6,1993
afg,56.2,1994
afg,56.2,1995
afg,56.1,1996
afg,56.2,1997
afg,56.2,1998
afg,56.1,1999
afg,56.1,2000
afg,56.5,2001
afg,56.4,2002
afg,54.4,2003
afg,56.0,2004
afg,54.0,2005
afg,56.0,2006
afg,55.7,2007
alb,52.7,1991
alb,52.3,1992
alb,52.4,1993
alb,52.7,1994
alb,52.8,1995
alb,52.6,1996
alb,52.4,1997
alb,52.1,1998
alb,52.1,1999
alb,51.9,2000
alb,51.8,2001
alb,51.8,2002
alb,51.8,2003
alb,51.7,2004
alb,51.5,2005
alb,51.4,2006
alb,51.4,2007
dza,39.4,1991
dza,38.9,1992
dza,39.4,1993
dza,39.4,1994
dza,38.1,1995
dza,38.9,1996
dza,39.7,1997
dza,39.5,1998
dza,39.4,1999
dza,38.6,2000
dza,40.4,2001
dza,41.5,2002
dza,42.8,2003
dza,46.4,2004
dza,48.0,2005
dza,50.0,2006
dza,50.5,2007
ago,75.8,1991
ago,75.8,1992
ago,75.5,1993
ago,75.9,1994
ago,75.8,1995
ago,75.9,1996
ago,75.7,1997
ago,75.6,1998
ago,75.6,1999
ago,75.5,2000
ago,75.5,2001
ago,75.6,2002
ago,75.5,2003
ago,75.5,2004
ago,75.6,2005
ago,75.5,2006
ago,75.7,2007
arg,53.6,1991
arg,53.8,1992
arg,53.7,1993
arg,53.8,1994
arg,53.5,1995
arg,54.4,1996
arg,54.9,1997
arg,55.0,1998
arg,54.9,1999
arg,55.5,2000
arg,55.6,2001
arg,55.4,2002
arg,57.3,2003
arg,57.7,2004
arg,58.1,2005
arg,58.4,2006
arg,58.4,2007
arm,39.3,1991
arm,38.2,1992
arm,37.4,1993
arm,37.4,1994
arm,37.1,1995
arm,38.1,1996
arm,37.4,1997
arm,38.1,1998
arm,37.2,1999
arm,37.8,2000
arm,38.6,2001
arm,39.3,2002
arm,39.5,2003
arm,38.9,2004
arm,39.5,2005
arm,39.4,2006
arm,40.1,2007
aus,57.2,1991
aus,56.2,1992
