geo,time,income_share_of_richest_10percent
alb,1997,22.8
alb,2002,22.38
alb,2005,25.87
dza,1988,32.67
dza,1995,26.94
ago,2000,44.74
arg,1986,33.95
arg,1992,33.93
arg,1996,36.64
arg,1998,37.23
arg,2002,39.65
arg,2005,37.3
arm,1996,35.22
arm,1999,29.57
arm,2002,29.86
arm,2003,28.94
aus,1994,25.4
aut,2000,23.05
aze,1995,26.83
aze,2001,29.39
aze,2005,17.49
bgd,1992,22.21
bgd,1996,26.49
bgd,2000,26.03
bgd,2005,26.62
blr,1988,19.2
blr,1993,18.98
blr,1997,21.25
blr,1998,24.12
blr,2000,24.22
blr,2002,23.48
blr,2005,22.04
bel,2000,28.06
ben,2003,31.01
btn,2003,37.56
bol,1991,31.88
bol,1997,45.74
bol,1999,42.06
bol,2002,47.06
bol,2005,44.14
bih,2001,22.84
bih,2004,27.41
bwa,1986,42.93
bwa,1994,51.2
bwa,1995,51.19
bra,1981,45.28
bra,1982,45.76
bra,1983,46.12
bra,1984,46.61
bra,1985,46.75
bra,1986,46.09
bra,1987,46.77
bra,1988,48.55
bra,1989,50.79
bra,1990,47.94
bra,1992,44.98
bra,1993,47.79
bra,1995,47.12
bra,1996,46.69
bra,1997,46.91
bra,1998,47.12
bra,1999,46.52
bra,2001,46.69
bra,2002,46.34
bra,2003,45.65
bra,2005,44.4
bra,2007,43.03
bgr,1989,19.93
bgr,1994,20.93
bgr,1997,22.71
bgr,2001,25.85
bgr,2003,23.77
bfa,1994,42.1
bfa,1998,40.18
bfa,2003,32.43
bdi,1992,26.59
bdi,1998,32.87
bdi,2006,28.04
khm,1994,32.99
khm,2004,34.87
khm,2007,34.23
cmr,1996,38.68
cmr,2001,35.51
can,2000,24.79
cpv,2001,40.64
caf,1993,47.73
caf,2003,33.03
tcd,2003,30.79
chl,1987,45.69
chl,1990,44.73
chl,1994,44.41
chl,1996,44.15
chl,1998,44.7
chl,2000,44.87
chl,2003,44.75
chl,2006,41.71
chn,2005,31.4
col,1995,46.84
col,1996,44.7
col,1999,46.69
col,2000,45.46
col,2003,46.93
col,2006,45.87
com,2004,55.19
cod,2006,34.69
cog,2005,37.05
cri,1981,33.73
cri,1986,23.09
cri,1990,33.35
cri,1993,34.14
cri,1996,34.77
cri,1998,36.15
cri,2000,35.04
cri,2001,38.15
cri,2003,37.19
cri,2005,35.54
civ,1985,31.41
civ,1987,32.08
civ,1988,28.46
civ,1993,29.01
civ,1995,28.8
civ,1998,35.13
civ,2002,39.55
hrv,1988,19.42
hrv,1998,21.59
hrv,1999,22.84
hrv,2001,24.6
hrv,2005,23.06
cze,1988,17.64
cze,1993,23.63
cze,1996,22.69
dnk,1997,21.28
dji,1996,27.84
dji,2002,30.91
dom,1986,36.11
dom,1989,39.83
dom,1992,41.95
dom,1996,37.43
dom,2000,40.48
dom,2003,40.98
dom,2005,38.68
ecu,1987,38.17
ecu,1994,39.43
ecu,1998,41.96
ecu,2003,52.6
ecu,2005,42.03
ecu,2007,43.3
egy,1991,26.73
egy,1996,26.04
egy,2000,28.34
egy,2005,27.62
slv,1989,34.85
slv,1995,38.25
slv,1996,40.21
