geo,time,income_share_of_2nd_richest_20percent
cod,2006,20.94
cog,2005,20.45
cri,1981,22.79
cri,1986,25.18
cri,1990,22.55
cri,1993,22.25
cri,1996,22.15
cri,1998,21.61
cri,2000,21.79
cri,2001,20.95
cri,2003,21.54
cri,2005,21.65
civ,1985,21.9
civ,1987,21.16
civ,1988,22.18
civ,1993,21.83
civ,1995,21.87
civ,1998,20.48
civ,2002,19.32
hrv,1988,22.88
hrv,1998,23.0
hrv,1999,22.38
hrv,2001,22.67
hrv,2005,22.83
cze,1988,22.7
cze,1993,21.4
cze,1996,21.68
dnk,1997,22.92
dji,1996,22.65
dji,2002,21.78
dom,1986,21.37
dom,1989,20.03
dom,1992,18.88
dom,1996,20.94
dom,2000,20.22
dom,2003,19.75
dom,2005,20.59
ecu,1987,21.11
ecu,1994,20.85
ecu,1998,19.68
ecu,2003,15.86
ecu,2005,19.75
ecu,2007,19.16
egy,1991,21.44
egy,1996,21.17
egy,2000,20.65
egy,2005,20.89
slv,1989,22.84
slv,1995,20.82
slv,1996,20.45
slv,1998,20.73
slv,2000,21.42
slv,2002,21.58
slv,2003,21.87
slv,2005,21.63
est,1988,23.64
est,1993,21.34
est,1995,23.58
est,1998,22.02
est,2000,22.42
est,2002,22.5
est,2004,22.46
eth,1982,21.1
eth,1995,19.79
eth,2000,21.52
eth,2005,21.36
fin,2000,22.14
fra,1995,22.8
gab,2005,21.23
gmb,1998,20.75
gmb,2003,20.57
geo,1996,22.79
geo,1999,22.85
geo,2002,22.26
geo,2005,22.44
deu,2000,23.09
gha,1988,22.34
gha,1989,22.06
gha,1992,21.67
gha,1998,22.6
gha,2006,21.64
grc,2000,23.04
gtm,1987,18.34
gtm,1989,18.78
gtm,1998,18.65
gtm,2000,18.6
gtm,2002,19.61
gtm,2006,19.51
gin,1991,23.93
gin,1994,21.32
gin,2003,20.79
gnb,1991,20.59
gnb,1993,19.36
gnb,2002,22.1
guy,1993,18.37
guy,1998,21.56
hti,2001,18.1
hnd,1990,18.8
hnd,1992,20.02
hnd,1994,19.35
hnd,1997,19.91
hnd,1999,20.77
hnd,2003,19.52
hnd,2005,19.66
hnd,2006,20.36
hkg,1996,20.75
hun,1987,22.29
hun,1989,22.34
hun,1993,21.52
hun,1998,22.75
hun,1999,22.04
hun,2002,22.55
hun,2004,22.49
ind,2005,20.37
idn,2005,20.45
irn,1986,20.84
irn,1990,21.57
irn,1994,21.47
irn,1998,21.62
irn,2005,22.16
irl,2000,21.93
isr,2001,23.04
ita,2000,22.75
jam,1988,21.33
jam,1990,21.66
jam,1993,22.7
jam,1996,21.01
jam,1999,20.93
jam,2002,20.51
jam,2004,20.9
jpn,1993,21.98
jor,1987,22.26
jor,1992,20.48
jor,1997,21.33
jor,2003,21.79
jor,2006,21.1
kaz,1988,23.34
kaz,1993,22.89
kaz,1996,23.29
kaz,2001,23.08
kaz,2002,22.72
kaz,2003,22.96
ken,1992,17.32
ken,1994,21.43
ken,1997,20.82
ken,2005,20.25
kor,1998,23.13
kgz,1988,22.96
kgz,1993,20.88
kgz,1998,22.19
kgz,1999,22.26
kgz,2002,22.43
kgz,2004,22.31
lao,1992,21.43
lao,1997,20.9
lao,2002,21.4
lao,2003,21.61
lva,1988,23.2
lva,1993,22.97
lva,1996,22.18
lva,1998,22.59
lva,2002,22.16
lva,2004,22.59
lso,1987,19.49
lso,1993,19.51
lso,1995,18.64
lso,2003,20.95
lbr,2007,21.6
ltu,1988,23.0
ltu,1993,21.34
ltu,1996,22.38
ltu,1998,23.02
ltu,2002,22.81
ltu,2004,22.65
lux,2000,22.69
mkd,1998,23.08
mkd,2000,23.23
mkd,2002,22.57
mkd,2003,22.46
mdg,1980,20.38
mdg,1993,20.18
mdg,1999,21.53
mdg,2001,20.58
mdg,2005,17.73
mwi,1998,18.43
mwi,2004,20.79
mys,1984,20.23
mys,1987,20.63
mys,1989,20.62
mys,1992,20.8
mys,1995,20.57
mys,1997,20.58
mys,2004,22.75
mli,1994,19.32
mli,2001,22.08
mli,2006,21.62
mrt,1987,22.63
mrt,1993,17.99
mrt,1996,22.4
mrt,2000,22.28
mex,1984,21.36
mex,1989,19.03
mex,1992,20.19
mex,1994,19.67
mex,1996,20.7
mex,1998,21.02
mex,2000,19.64
mex,2002,20.19
mex,2004,21.22
mex,2006,20.32
mda,1988,22.93
mda,1992,23.08
mda,1997,22.59
mda,1999,21.96
mda,2002,22.23
mda,2004,21.99
mng,1995,23.09
mng,1998,23.3
mng,2002,23.06
mng,2005,23.06
mar,1985,20.85
mar,1991,21.48
mar,1999,21.76
mar,2001,21.38
mar,2007,20.61
moz,1997,20.2
moz,2003,19.02
nam,1993,11.98
npl,1996,20.63
npl,2004,18.36
nld,1999,23.26
nzl,1997,22.61
nic,1993,19.57
nic,1998,19.41
nic,2001,19.92
nic,2005,19.36
ner,1992,21.25
ner,1994,21.16
ner,2005,20.14
nga,1986,23.04
nga,1993,23.26
nga,1996,20.11
nga,2004,21.91
nor,2000,21.98
pak,1987,21.28
pak,1991,21.68
pak,1993,21.09
pak,1997,21.09
pak,1999,20.84
pak,2002,21.17
pak,2005,21.32
pan,1979,21.67
pan,1991,20.4
pan,1995,19.76
pan,1996,20.14
pan,1997,22.41
pan,2000,19.92
pan,2002,19.72
pan,2004,20.31
pan,2006,20.76
png,1996,19.33
pry,1990,22.66
pry,1995,18.74
pry,1998,20.57
pry,1999,19.86
pry,2002,19.38
pry,2005,20.02
pry,2007,19.38
per,1986,21.07
per,1990,20.47
per,1994,21.42
per,1996,21.42
per,2002,19.5
per,2005,19.89
per,2006,21.02
phl,1985,20.95
phl,1988,21.21
phl,1991,20.68
phl,1994,21.05
phl,1997,20.33
phl,2000,20.41
phl,2003,21.17
phl,2006,21.23
pol,1985,22.75
pol,1987,22.81
pol,1989,22.98
pol,1993,23.63
pol,1996,21.92
pol,1999,22.41
pol,2002,22.4
pol,2005,22.38
prt,1997,21.91
rou,1989,23.16
rou,1992,23.39
rou,1994,22.77
rou,1998,22.57
rou,2000,22.99
rou,2002,22.81
rou,2005,22.25
rus,1988,23.22
rus,1993,20.24
rus,1996,21.2
rus,1999,23.05
rus,2002,23.02
rus,2005,22.69
rwa,1985,21.64
rwa,2000,19.83
lca,1995,21.75
sen,1991,19.31
sen,1995,20.3
sen,2001,20.53
sen,2005,21.97
sle,1990,23.12
sle,2003,20.93
sgp,1998,22.02
svk,1988,22.51
svk,1992,22.13
svk,1996,22.91
svn,1987,22.7
svn,1993,21.87
svn,1998,22.86
svn,2002,22.9
svn,2004,22.6
zaf,1993,18.17
zaf,1995,18.38
zaf,2000,18.81
esp,2000,22.51
lka,1985,21.82
lka,1991,21.21
lka,1996,21.13
lka,2002,20.5
sur,1999,20.85
swz,1995,17.2
swz,2001,19.36
swe,2000,22.7
che,2000,22.63
tjk,1999,22.19
tjk,2003,22.35
tjk,2004,22.42
tza,1992,22.23
tza,2000,22.25
tha,1981,20.69
tha,1988,20.26
tha,1992,19.97
tha,1996,20.85
tha,1999,20.74
tha,2002,21.05
tha,2004,20.97
tls,2001,21.29
tgo,2006,22.15
tto,1988,22.62
tto,1992,22.74
tun,1985,21.08
tun,1990,22.13
tun,1995,21.97
tun,2000,21.79
tur,1987,20.27
tur,1994,21.56
tur,2002,21.22
tur,2005,21.62
tkm,1988,22.96
tkm,1993,22.87
tkm,1998,21.68
uga,1989,21.61
uga,1992,20.29
uga,1996,21.3
uga,1999,20.36
uga,2002,19.47
uga,2005,20.69
ukr,1988,22.96
ukr,1992,22.92
ukr,1996,22.23
ukr,1999,22.71
ukr,2002,22.83
ukr,2005,22.9
gbr,1999,22.47
usa,2000,22.41
ury,1992,22.22
ury,1996,22.2
ury,1998,22.15
ury,2000,21.9
ury,2001,22.29
ury,2005,22.16
ury,2006,21.83
uzb,1988,23.58
uzb,1998,22.35
uzb,2002,21.19
uzb,2003,21.48
ven,1981,19.38
ven,1987,20.23
ven,1989,21.96
ven,1993,22.09
ven,1996,21.33
ven,1998,22.18
ven,2003,22.0
ven,2005,21.68
ven,2006,22.1
vnm,1993,21.37
vnm,1998,21.07
vnm,2002,21.17
vnm,2004,20.92
vnm,2006,21.6
yem,1992,21.81
yem,1998,22.78
yem,2005,20.95
zmb,1991,21.4
zmb,1993,21.0
zmb,1996,20.07
zmb,1998,19.61
zmb,2003,20.64
zmb,2004,20.62
zwe,1995,19.3
