geo,time,income_share_of_2nd_richest_20percent
alb,1997,23.16
alb,2002,23.01
alb,2005,22.55
dza,1988,20.67
dza,1995,22.81
ago,2000,19.69
arg,1986,21.63
arg,1992,22.04
arg,1996,21.47
arg,1998,21.6
arg,2002,20.75
arg,2005,21.64
arm,1996,20.73
arm,1999,21.13
arm,2002,20.78
arm,2003,20.65
aus,1994,23.57
aut,2000,22.88
aze,1995,22.63
aze,2001,21.49
aze,2005,21.67
bgd,1992,22.25
bgd,1996,21.08
bgd,2000,21.39
bgd,2005,21.12
blr,1988,22.95
blr,1993,22.99
blr,1997,22.57
blr,1998,22.57
blr,2000,22.6
blr,2002,22.81
blr,2005,23.12
bel,2000,20.83
ben,2003,21.23
btn,2003,19.96
bol,1991,22.16
bol,1997,19.09
bol,1999,21.17
bol,2002,19.0
bol,2005,20.2
bih,2001,22.55
bih,2004,22.61
bwa,1986,19.21
bwa,1994,16.42
bwa,1995,16.42
bra,1981,18.84
bra,1982,18.75
bra,1983,18.56
bra,1984,18.29
bra,1985,18.4
bra,1986,18.57
bra,1987,18.54
bra,1988,17.98
bra,1989,17.22
bra,1990,18.19
bra,1992,19.09
bra,1993,18.1
bra,1995,18.31
bra,1996,18.55
bra,1997,18.46
bra,1998,18.32
bra,1999,18.47
bra,2001,18.44
bra,2002,18.47
bra,2003,18.72
bra,2005,19.26
bra,2007,19.62
bgr,1989,22.72
bgr,1994,22.34
bgr,1997,21.97
bgr,2001,22.92
bgr,2003,22.34
bfa,1994,18.44
bfa,1998,18.44
bfa,2003,20.63
bdi,1992,22.05
bdi,1998,21.45
bdi,2006,21.0
khm,1994,19.73
khm,2004,19.85
khm,2007,19.57
cmr,1996,19.26
cmr,2001,20.49
can,2000,22.95
cpv,2001,19.38
caf,1993,18.54
caf,2003,21.72
tcd,2003,21.75
chl,1987,18.26
chl,1990,18.62
chl,1994,18.73
chl,1996,18.87
chl,1998,18.76
chl,2000,18.46
chl,2003,18.35
chl,2006,19.28
chn,2005,22.0
col,1995,17.91
col,1996,18.9
col,1999,18.3
col,2000,18.92
col,2003,18.41
col,2006,19.11
com,2004,15.14
