geo,average_age_of_dollar_billionaires_years,time
gib,0.0,2006
gib,0.0,2007
grc,57.0,2004
grc,58.0,2005
grc,59.0,2006
grc,60.0,2007
grl,0.0,2004
grl,0.0,2005
grl,0.0,2006
grl,0.0,2007
grd,0.0,2004
grd,0.0,2005
grd,0.0,2006
grd,0.0,2007
glp,0.0,2004
glp,0.0,2005
glp,0.0,2006
glp,0.0,2007
gum,0.0,2004
gum,0.0,2005
gum,0.0,2006
gum,0.0,2007
gtm,0.0,2004
gtm,0.0,2005
gtm,0.0,2006
gtm,0.0,2007
gbg,0.0,2004
gbg,0.0,2005
gbg,0.0,2006
gbg,0.0,2007
gin,0.0,2004
gin,0.0,2005
gin,0.0,2006
gin,0.0,2007
gnb,0.0,2004
gnb,0.0,2005
gnb,0.0,2006
gnb,0.0,2007
guy,0.0,2004
guy,0.0,2005
guy,0.0,2006
guy,0.0,2007
hti,0.0,2004
hti,0.0,2005
hti,0.0,2006
hti,0.0,2007
hos,0.0,2004
hos,0.0,2005
hos,0.0,2006
hos,0.0,2007
hnd,0.0,2004
hnd,0.0,2005
hnd,0.0,2006
hnd,0.0,2007
hkg,66.08,2004
hkg,67.08,2005
hkg,66.93,2006
hkg,65.0,2007
hun,0.0,2004
hun,0.0,2005
hun,0.0,2006
hun,0.0,2007
isl,0.0,2004
isl,38.0,2005
isl,39.0,2006
isl,53.0,2007
ind,53.56,2004
ind,56.55,2005
ind,54.91,2006
ind,56.29,2007
idn,56.0,2004
idn,60.5,2005
idn,61.5,2006
idn,62.5,2007
irn,0.0,2004
irn,0.0,2005
irn,0.0,2006
irn,0.0,2007
irq,0.0,2004
irq,0.0,2005
irq,0.0,2006
irq,0.0,2007
irl,63.5,2004
irl,62.33,2005
irl,61.5,2006
irl,62.5,2007
gbm,0.0,2004
gbm,0.0,2005
gbm,0.0,2006
gbm,0.0,2007
isr,56.75,2004
isr,62.0,2005
isr,63.5,2006
isr,62.89,2007
ita,66.46,2004
ita,67.2,2005
ita,64.36,2006
