geo,privately_owned_forest_land_percent,time
ago,0.0,2005
bwa,5.0,2005
com,0.0,2005
ken,2.2,2005
lso,0.0,2005
mdg,2.0,2005
mus,47.4,2005
reu,21.3,2005
syc,22.5,2005
zaf,34.0,2005
uga,70.2,2005
tza,0.2,2005
dza,16.3,2005
tcd,0.0,2005
egy,50.0,2005
eth,0.0,2005
lby,16.1,2005
mrt,2.5,2005
mar,0.5,2005
ner,0.0,2005
sdn,2.3,2005
tun,5.6,2005
cmr,0.0,2005
cpv,0.0,2005
cog,0.0,2005
cod,0.0,2005
gha,0.0,2005
gnb,15.8,2005
nga,0.0,2005
rwa,23.0,2005
tgo,73.0,2005
prk,0.0,2005
jpn,58.1,2005
mng,0.0,2005
kor,70.0,2005
bgd,1.8,2005
brn,0.0,2005
khm,0.0,2005
ind,1.6,2005
idn,0.0,2005
lao,0.0,2005
mys,6.6,2005
mmr,0.0,2005
npl,0.1,2005
pak,34.0,2005
phl,10.5,2005
sgp,0.0,2005
lka,7.5,2005
tha,13.2,2005
tls,67.0,2005
vnm,17.7,2005
afg,0.0,2005
arm,0.0,2005
aze,0.0,2005
bhr,0.0,2005
cyp,38.8,2005
geo,0.0,2005
irn,0.0,2005
irq,0.0,2005
jor,0.0,2005
kaz,0.0,2005
kwt,0.0,2005
kgz,0.0,2005
lbn,60.3,2005
sau,0.7,2005
tjk,0.0,2005
tur,0.1,2005
tkm,0.0,2005
are,0.0,2005
uzb,0.0,2005
yem,80.0,2005
alb,0.9,2005
aut,80.4,2005
blr,0.0,2005
bel,56.5,2005
bih,21.4,2005
bgr,8.4,2005
hrv,21.3,2005
cze,23.3,2005
dnk,71.6,2005
est,22.4,2005
fin,67.8,2005
fra,74.0,2005
deu,47.2,2005
grc,22.5,2005
hun,39.5,2005
isl,53.2,2005
irl,36.0,2005
ita,65.0,2005
lva,45.1,2005
lie,7.2,2005
ltu,22.7,2005
lux,54.3,2005
mlt,0.0,2005
nld,50.3,2005
nor,86.0,2005
pol,16.8,2005
prt,92.7,2005
mda,0.0,2005
rou,5.7,2005
rus,0.0,2005
scg,46.0,2005
svk,43.2,2005
svn,72.3,2005
esp,67.9,2005
swe,80.3,2005
che,32.0,2005
mkd,22.0,2005
ukr,0.0,2005
gbr,63.8,2005
bhs,20.0,2005
brb,95.9,2005
cub,2.9,2005
grd,31.0,2005
glp,52.2,2005
jam,65.1,2005
mtq,66.9,2005
lca,52.9,2005
tto,24.6,2005
cri,75.7,2005
slv,25.3,2005
gtm,52.5,2005
hnd,25.0,2005
pan,90.4,2005
can,7.9,2005
spm,13.3,2005
usa,57.6,2005
aus,27.1,2005
cok,100.0,2005
fji,93.2,2005
kir,100.0,2005
ncl,0.8,2005
nzl,36.6,2005
niu,100.0,2005
png,0.0,2005
wsm,1.8,2005
wlf,0.0,2005
chl,73.1,2005
guf,0.2,2005
per,15.2,2005
sur,0.3,2005
ury,97.3,2005
