total_reserves_percent_of_debt_to_foreigners,geo,time
20.85,blz,2010
35.9,ben,1970
48.18,ben,1971
60.06,ben,1972
36.56,ben,1973
31.8,ben,1974
12.61,ben,1975
13.62,ben,1976
10.02,ben,1977
6.134,ben,1978
4.39,ben,1979
3.093,ben,1980
11.42,ben,1981
1.321,ben,1982
0.9906,ben,1983
0.7703,ben,1984
0.8564,ben,1985
0.7932,ben,1986
0.7207,ben,1987
0.7503,ben,1988
0.7336,ben,1989
6.179,ben,1990
16.88,ben,1991
20.76,ben,1992
19.54,ben,1993
18.99,ben,1994
14.17,ben,1995
19.01,ben,1996
17.93,ben,1997
18.24,ben,1998
27.11,ben,1999
33.06,ben,2000
39.77,ben,2001
37.01,ben,2002
48.77,ben,2003
39.74,ben,2004
42.57,ben,2005
142.4,ben,2006
158.2,ben,2007
137.8,ben,2008
114.7,ben,2009
98.26,ben,2010
2011.0,btn,1983
1575.0,btn,1984
603.7,btn,1985
291.2,btn,1986
216.1,btn,1987
142.6,btn,1988
121.9,btn,1989
106.3,btn,1990
117.3,btn,1991
95.43,btn,1992
101.4,btn,1993
116.2,btn,1994
123.3,btn,1995
168.1,btn,1996
157.8,btn,1997
150.1,btn,1998
159.0,btn,1999
155.9,btn,2000
121.9,btn,2001
93.93,btn,2002
75.45,btn,2003
67.19,btn,2004
72.0,btn,2005
76.45,btn,2006
88.15,btn,2007
111.6,btn,2008
118.5,btn,2009
111.6,btn,2010
7.88,bol,1970
8.711,bol,1971
9.256,bol,1972
12.62,bol,1973
28.5,bol,1974
19.45,bol,1975
16.04,bol,1976
17.9,bol,1977
14.59,bol,1978
20.65,bol,1979
20.48,bol,1980
13.34,bol,1981
16.9,bol,1982
12.5,bol,1983
12.35,bol,1984
10.25,bol,1985
9.208,bol,1986
9.087,bol,1987
9.635,bol,1988
13.63,bol,1989
11.95,bol,1990
10.4,bol,1991
11.32,bol,1992
13.29,bol,1993
16.27,bol,1994
19.07,bol,1995
25.07,bol,1996
25.96,bol,1997
21.71,bol,1998
22.5,bol,1999
20.47,bol,2000
24.42,bol,2001
17.83,bol,2002
18.91,bol,2003
20.44,bol,2004
25.98,bol,2005
55.09,bol,2006
106.4,bol,2007
139.7,bol,2008
149.3,bol,2009
184.8,bol,2010
19.04,bih,1999
17.91,bih,2000
46.38,bih,2001
42.55,bih,2002
40.68,bih,2003
43.43,bih,2004
40.95,bih,2005
50.69,bih,2006
57.15,bih,2007
53.95,bih,2008
47.53,bih,2009
52.16,bih,2010
43.48,bwa,1976
52.11,bwa,1977
117.0,bwa,1978
200.8,bwa,1979
246.3,bwa,1980
148.4,bwa,1981
134.8,bwa,1982
164.9,bwa,1983
170.0,bwa,1984
219.4,bwa,1985
285.4,bwa,1986
370.4,bwa,1987
416.3,bwa,1988
507.6,bwa,1989
602.5,bwa,1990
607.1,bwa,1991
625.6,bwa,1992
617.1,bwa,1993
628.4,bwa,1994
654.7,bwa,1995
802.5,bwa,1996
987.4,bwa,1997
1116.0,bwa,1998
1235.0,bwa,1999
1396.0,bwa,2000
1475.0,bwa,2001
1121.0,bwa,2002
1040.0,bwa,2003
1110.0,bwa,2004
1410.0,bwa,2005
2091.0,bwa,2006
2370.0,bwa,2007
2102.0,bwa,2008
538.2,bwa,2009
461.5,bwa,2010
20.75,bra,1970
23.57,bra,1971
36.63,bra,1972
44.37,bra,1973
24.79,bra,1974
15.24,bra,1975
20.0,bra,1976
17.7,bra,1977
22.34,bra,1978
16.04,bra,1979
9.612,bra,1980
9.183,bra,1981
4.256,bra,1982
4.63,bra,1983
11.52,bra,1984
11.21,bra,1985
6.194,bra,1986
6.239,bra,1987
6.891,bra,1988
7.633,bra,1989
7.684,bra,1990
7.242,bra,1991
18.03,bra,1992
22.04,bra,1993
25.26,bra,1994
32.08,bra,1995
32.92,bra,1996
26.05,bra,1997
18.18,bra,1998
14.89,bra,1999
13.67,bra,2000
15.66,bra,2001
16.38,bra,2002
20.98,bra,2003
24.08,bra,2004
28.69,bra,2005
44.37,bra,2006
75.9,bra,2007
73.92,bra,2008
86.14,bra,2009
83.17,bra,2010
5.708,bgr,1991
10.48,bgr,1992
8.642,bgr,1993
14.21,bgr,1994
15.76,bgr,1995
8.335,bgr,1996
22.39,bgr,1997
26.8,bgr,1998
29.63,bgr,1999
31.28,bgr,2000
34.74,bgr,2001
42.22,bgr,2002
51.12,bgr,2003
59.6,bgr,2004
55.4,bgr,2005
56.01,bgr,2006
53.22,bgr,2007
36.89,bgr,2008
34.62,bgr,2009
35.82,bgr,2010
174.9,bfa,1970
182.0,bfa,1971
237.1,bfa,1972
201.6,bfa,1973
176.6,bfa,1974
122.4,bfa,1975
83.73,bfa,1976
34.78,bfa,1977
14.55,bfa,1978
22.82,bfa,1979
22.64,bfa,1980
22.94,bfa,1981
19.01,bfa,1982
22.44,bfa,1983
26.77,bfa,1984
27.92,bfa,1985
37.18,bfa,1986
39.63,bfa,1987
38.5,bfa,1988
37.64,bfa,1989
36.63,bfa,1990
36.29,bfa,1991
33.29,bfa,1992
34.69,bfa,1993
21.35,bfa,1994
27.34,bfa,1995
26.08,bfa,1996
26.5,bfa,1997
25.59,bfa,1998
18.63,bfa,1999
17.06,bfa,2000
17.46,bfa,2001
19.67,bfa,2002
43.49,bfa,2003
33.16,bfa,2004
21.98,bfa,2005
49.42,bfa,2006
71.0,bfa,2007
55.55,bfa,2008
71.14,bfa,2009
52.03,bfa,2010
102.8,bdi,1970
130.1,bdi,1971
269.0,bdi,1972
277.5,bdi,1973
152.2,bdi,1974
159.2,bdi,1975
219.8,bdi,1976
203.1,bdi,1977
111.6,bdi,1978
71.02,bdi,1979
63.15,bdi,1980
38.15,bdi,1981
16.43,bdi,1982
10.89,bdi,1983
7.196,bdi,1984
7.713,bdi,1985
13.29,bdi,1986
8.975,bdi,1987
9.548,bdi,1988
11.98,bdi,1989
12.31,bdi,1990
15.31,bdi,1991
17.53,bdi,1992
15.93,bdi,1993
18.74,bdi,1994
18.6,bdi,1995
12.91,bdi,1996
11.04,bdi,1997
6.283,bdi,1998
4.668,bdi,1999
3.398,bdi,2000
1.67,bdi,2001
4.87,bdi,2002
5.072,bdi,2003
4.759,bdi,2004
7.609,bdi,2005
9.289,bdi,2006
12.17,bdi,2007
18.53,bdi,2008
63.02,bdi,2009
61.83,bdi,2010
1.328,khm,1993
6.208,khm,1994
8.407,khm,1995
11.29,khm,1996
12.53,khm,1997
17.83,khm,1998
20.23,khm,1999
23.27,khm,2000
25.86,khm,2001
31.49,khm,2002
30.76,khm,2003
32.52,khm,2004
32.94,khm,2005
40.02,khm,2006
56.91,khm,2007
62.62,khm,2008
75.3,khm,2009
81.63,khm,2010
55.38,cmr,1970
40.87,cmr,1971
19.7,cmr,1972
19.24,cmr,1973
24.27,cmr,1974
6.531,cmr,1975
7.17,cmr,1976
4.031,cmr,1977
3.641,cmr,1978
6.487,cmr,1979
8.021,cmr,1980
3.665,cmr,1981
2.883,cmr,1982
5.885,cmr,1983
2.179,cmr,1984
4.5,cmr,1985
1.71,cmr,1986
1.706,cmr,1987
3.909,cmr,1988
1.713,cmr,1989
0.565,cmr,1990
0.7921,cmr,1991
0.4037,cmr,1992
0.1844,cmr,1993
0.1484,cmr,1994
0.1404,cmr,1995
0.1253,cmr,1996
0.08966,cmr,1997
0.08921,cmr,1998
0.1242,cmr,1999
2.133,cmr,2000
3.573,cmr,2001
6.494,cmr,2002
5.988,cmr,2003
8.18,cmr,2004
13.26,cmr,2005
53.51,cmr,2006
97.6,cmr,2007
113.0,cmr,2008
124.8,cmr,2009
122.9,cmr,2010
96.07,cpv,1981
72.42,cpv,1982
64.02,cpv,1983
53.76,cpv,1984
58.32,cpv,1985
49.74,cpv,1986
62.32,cpv,1987
65.41,cpv,1988
59.3,cpv,1989
57.54,cpv,1990
48.49,cpv,1991
53.35,cpv,1992
39.09,cpv,1993
23.92,cpv,1994
17.23,cpv,1995
13.6,cpv,1996
9.356,cpv,1997
3.371,cpv,1998
13.01,cpv,1999
8.861,cpv,2000
13.15,cpv,2001
20.62,cpv,2002
21.25,cpv,2003
30.12,cpv,2004
36.5,cpv,2005
48.63,cpv,2006
62.88,cpv,2007
57.82,cpv,2008
56.29,cpv,2009
44.58,cpv,2010
5.751,caf,1970
0.7412,caf,1971
4.668,caf,1972
3.175,caf,1973
2.542,caf,1974
4.837,caf,1975
19.91,caf,1976
19.91,caf,1977
18.3,caf,1978
31.65,caf,1979
31.7,caf,1980
31.61,caf,1981
20.35,caf,1982
19.83,caf,1983
21.28,caf,1984
15.5,caf,1985
15.09,caf,1986
16.53,caf,1987
16.9,caf,1988
16.94,caf,1989
17.6,caf,1990
13.46,caf,1991
12.75,caf,1992
13.29,caf,1993
24.13,caf,1994
25.15,caf,1995
25.34,caf,1996
20.59,caf,1997
16.21,caf,1998
15.31,caf,1999
15.85,caf,2000
14.78,caf,2001
11.84,caf,2002
13.03,caf,2003
14.2,caf,2004
14.21,caf,2005
13.12,caf,2006
9.572,caf,2007
13.78,caf,2008
53.44,caf,2009
47.09,caf,2010
6.56,tcd,1970
23.89,tcd,1971
27.58,tcd,1972
3.067,tcd,1973
20.08,tcd,1974
2.138,tcd,1975
14.93,tcd,1976
9.536,tcd,1977
4.88,tcd,1978
5.545,tcd,1979
4.142,tcd,1980
4.571,tcd,1981
7.987,tcd,1982
14.74,tcd,1983
24.53,tcd,1984
17.13,tcd,1985
7.694,tcd,1986
16.52,tcd,1987
17.09,tcd,1988
29.14,tcd,1989
25.68,tcd,1990
20.07,tcd,1991
13.12,tcd,1992
6.252,tcd,1993
10.24,tcd,1994
17.44,tcd,1995
17.81,tcd,1996
14.53,tcd,1997
11.97,tcd,1998
8.962,tcd,1999
10.45,tcd,2000
11.55,tcd,2001
17.58,tcd,2002
12.55,tcd,2003
13.82,tcd,2004
14.6,tcd,2005
37.05,tcd,2006
53.67,tcd,2007
77.43,tcd,2008
35.32,tcd,2009
36.48,tcd,2010
13.16,chl,1970
7.507,chl,1971
5.218,chl,1972
7.161,chl,1973
5.899,chl,1974
4.309,chl,1975
10.41,chl,1976
11.07,chl,1977
19.04,chl,1978
29.04,chl,1979
34.17,chl,1980
24.83,chl,1981
15.0,chl,1982
14.61,chl,1983
14.06,chl,1984
14.47,chl,1985
14.44,chl,1986
15.73,chl,1987
19.96,chl,1988
24.02,chl,1989
35.28,chl,1990
42.9,chl,1991
51.16,chl,1992
51.86,chl,1993
62.3,chl,1994
67.43,chl,1995
57.03,chl,1996
66.97,chl,1997
48.14,chl,1998
43.03,chl,1999
40.43,chl,2000
37.3,chl,2001
37.27,chl,2002
37.04,chl,2003
36.56,chl,2004
37.27,chl,2005
38.64,chl,2006
29.98,chl,2007
35.28,chl,2008
34.58,chl,2009
32.23,chl,2010
174.3,chn,1981
205.2,chn,1982
206.4,chn,1983
176.1,chn,1984
101.1,chn,1985
69.22,chn,1986
63.54,chn,1987
55.97,chn,1988
51.3,chn,1989
62.34,chn,1990
79.93,chn,1991
34.31,chn,1992
31.83,chn,1993
57.52,chn,1994
67.99,chn,1995
86.73,chn,1996
99.83,chn,1997
106.2,chn,1998
108.9,chn,1999
118.2,chn,2000
119.8,chn,2001
161.0,chn,2002
201.9,chn,2003
253.7,chn,2004
293.8,chn,2005
334.8,chn,2006
414.5,chn,2007
517.7,chn,2008
567.5,chn,2009
531.2,chn,2010
9.266,col,1970
8.175,col,1971
11.91,col,1972
17.77,col,1973
15.27,col,1974
16.83,col,1975
32.74,col,1976
40.23,col,1977
55.07,col,1978
85.7,col,1979
93.27,col,1980
69.74,col,1981
54.39,col,1982
30.77,col,1983
14.83,col,1984
15.42,col,1985
22.66,col,1986
20.07,col,1987
21.74,col,1988
22.87,col,1989
28.27,col,1990
39.76,col,1991
45.77,col,1992
42.49,col,1993
36.93,col,1994
33.75,col,1995
34.39,col,1996
31.02,col,1997
26.46,col,1998
23.54,col,1999
26.54,col,2000
28.26,col,2001
32.66,col,2002
29.52,col,2003
35.71,col,2004
39.62,col,2005
40.57,col,2006
47.95,col,2007
50.98,col,2008
47.94,col,2009
44.52,col,2010
14.49,com,1980
15.3,com,1981
15.71,com,1982
12.84,com,1983
3.517,com,1984
8.892,com,1985
10.67,com,1986
15.22,com,1987
11.89,com,1988
17.51,com,1989
15.93,com,1990
16.1,com,1991
14.31,com,1992
20.51,com,1993
21.91,com,1994
21.25,com,1995
22.9,com,1996
18.12,com,1997
17.15,com,1998
16.31,com,1999
19.19,com,2000
26.13,com,2001
30.26,com,2002
33.62,com,2003
35.39,com,2004
30.88,com,2005
33.25,com,2006
41.03,com,2007
40.33,com,2008
54.36,com,2009
30.09,com,2010
55.36,cod,1970
38.07,cod,1971
32.49,cod,1972
32.42,cod,1973
13.84,cod,1974
4.151,cod,1975
2.927,cod,1976
4.831,cod,1977
4.352,cod,1978
7.418,cod,1979
7.957,cod,1980
5.772,cod,1981
4.454,cod,1982
5.05,cod,1983
5.313,cod,1984
5.421,cod,1985
6.274,cod,1986
4.752,cod,1987
4.339,cod,1988
3.045,cod,1989
2.541,cod,1990
1.781,cod,1991
1.513,cod,1992
0.4861,cod,1993
1.067,cod,1994
1.189,cod,1995
0.643,cod,1996
0.7968,cod,1997
0.6249,cod,1998
0.6848,cod,1999
0.7056,cod,2000
0.7162,cod,2001
0.7342,cod,2002
0.8686,cod,2003
2.066,cod,2004
1.238,cod,2005
1.374,cod,2006
1.461,cod,2007
0.6366,cod,2008
8.434,cod,2009
22.51,cod,2010
7.478,cog,1970
7.73,cog,1971
6.535,cog,1972
4.155,cog,1973
9.252,cog,1974
3.868,cog,1975
3.191,cog,1976
2.497,cog,1977
1.454,cog,1978
4.602,cog,1979
6.143,cog,1980
8.946,cog,1981
2.226,cog,1982
0.5949,cog,1983
0.3751,cog,1984
0.2547,cog,1985
0.3213,cog,1986
0.2063,cog,1987
0.23,cog,1988
0.2505,cog,1989
0.2079,cog,1990
0.1822,cog,1991
0.1638,cog,1992
0.1139,cog,1993
1.03,cog,1994
1.08,cog,1995
1.859,cog,1996
1.276,cog,1997
0.0809,cog,1998
0.8655,cog,1999
4.706,cog,2000
1.63,cog,2001
0.6999,cog,2002
0.727,cog,2003
1.896,cog,2004
12.0,cog,2005
28.17,cog,2006
38.66,cog,2007
65.43,cog,2008
77.64,cog,2009
117.6,cog,2010
5.708,cri,1970
9.04,cri,1971
11.23,cri,1972
11.77,cri,1973
8.971,cri,1974
7.152,cri,1975
10.51,cri,1976
15.38,cri,1977
12.58,cri,1978
7.714,cri,1979
7.173,cri,1980
4.324,cri,1981
6.853,cri,1982
8.242,cri,1983
10.33,cri,1984
11.96,cri,1985
12.05,cri,1986
11.02,cri,1987
14.98,cri,1988
16.3,cri,1989
14.04,cri,1990
23.27,cri,1991
26.38,cri,1992
27.05,cri,1993
23.39,cri,1994
28.14,cri,1995
29.08,cri,1996
36.89,cri,1997
27.28,cri,1998
35.24,cri,1999
28.44,cri,2000
27.55,cri,2001
29.95,cri,2002
32.83,cri,2003
33.64,cri,2004
35.66,cri,2005
44.56,cri,2006
48.96,cri,2007
41.33,cri,2008
50.99,cri,2009
52.33,cri,2010
31.82,civ,1970
17.39,civ,1971
15.03,civ,1972
10.24,civ,1973
6.159,civ,1974
7.016,civ,1975
4.18,civ,1976
7.327,civ,1977
11.88,civ,1978
3.558,civ,1979
0.6156,civ,1980
0.4365,civ,1981
0.2514,civ,1982
0.4143,civ,1983
0.2233,civ,1984
0.1996,civ,1985
0.3227,civ,1986
0.2242,civ,1987
0.2149,civ,1988
0.2215,civ,1989
0.1224,civ,1990
0.1601,civ,1991
0.1174,civ,1992
0.103,civ,1993
1.272,civ,1994
2.799,civ,1995
3.103,civ,1996
3.962,civ,1997
5.76,civ,1998
4.786,civ,1999
5.552,civ,2000
8.805,civ,2001
15.59,civ,2002
10.71,civ,2003
12.73,civ,2004
11.47,civ,2005
14.08,civ,2006
18.17,civ,2007
17.92,civ,2008
27.92,civ,2009
31.71,civ,2010
72.45,dji,1984
53.08,dji,1985
44.96,dji,1986
41.14,dji,1987
40.66,dji,1988
45.07,dji,1989
60.3,dji,1990
48.82,dji,1991
37.91,dji,1992
32.3,dji,1993
28.63,dji,1994
26.49,dji,1995
26.76,dji,1996
25.34,dji,1997
23.82,dji,1998
26.37,dji,1999
26.27,dji,2000
27.13,dji,2001
22.48,dji,2002
25.66,dji,2003
22.38,dji,2004
21.96,dji,2005
25.65,dji,2006
19.57,dji,2007
25.12,dji,2008
32.02,dji,2009
33.14,dji,2010
21.18,dma,1981
21.1,dma,1982
4.327,dma,1983
11.21,dma,1984
6.02,dma,1985
16.72,dma,1986
25.72,dma,1987
19.2,dma,1988
15.07,dma,1989
16.44,dma,1990
18.58,dma,1991
21.36,dma,1992
20.66,dma,1993
15.7,dma,1994
21.41,dma,1995
19.92,dma,1996
22.98,dma,1997
24.43,dma,1998
27.33,dma,1999
17.82,dma,2000
14.55,dma,2001
19.98,dma,2002
16.68,dma,2003
13.9,dma,2004
17.96,dma,2005
24.89,dma,2006
20.93,dma,2007
18.31,dma,2008
29.44,dma,2009
28.54,dma,2010
8.984,dom,1970
14.01,dom,1971
13.83,dom,1972
19.97,dom,1973
17.86,dom,1974
18.52,dom,1975
16.61,dom,1976
17.54,dom,1977
13.28,dom,1978
18.46,dom,1979
13.94,dom,1980
12.28,dom,1981
6.767,dom,1982
6.85,dom,1983
8.325,dom,1984
9.879,dom,1985
10.4,dom,1986
4.867,dom,1987
6.585,dom,1988
4.24,dom,1989
1.567,dom,1990
9.981,dom,1991
10.97,dom,1992
13.55,dom,1993
6.061,dom,1994
8.378,dom,1995
8.243,dom,1996
9.362,dom,1997
11.52,dom,1998
14.92,dom,1999
13.92,dom,2000
21.48,dom,2001
7.565,dom,2002
3.906,dom,2003
11.32,dom,2004
26.2,dom,2005
24.87,dom,2006
25.26,dom,2007
22.61,dom,2008
26.3,dom,2009
26.84,dom,2010
20.75,ecu,1970
15.44,ecu,1971
29.39,ecu,1972
48.46,ecu,1973
60.75,ecu,1974
33.84,ecu,1975
47.61,ecu,1976
29.02,ecu,1977
18.3,ecu,1978
20.64,ecu,1979
20.96,ecu,1980
10.4,ecu,1981
6.404,ecu,1982
10.57,ecu,1983
8.897,ecu,1984
9.809,ecu,1985
8.636,ecu,1986
6.604,ecu,1987
5.283,ecu,1988
6.243,ecu,1989
8.334,ecu,1990
8.676,ecu,1991
8.323,ecu,1992
10.96,ecu,1993
13.39,ecu,1994
12.88,ecu,1995
14.04,ecu,1996
14.52,ecu,1997
11.27,ecu,1998
11.8,ecu,1999
8.895,ecu,2000
7.663,ecu,2001
6.233,ecu,2002
7.035,ecu,2003
8.252,ecu,2004
12.4,ecu,2005
11.72,ecu,2006
19.78,ecu,2007
25.74,ecu,2008
26.84,ecu,2009
17.7,ecu,2010
9.161,egy,1970
7.966,egy,1971
10.72,egy,1972
26.74,egy,1973
31.93,egy,1974
11.06,egy,1975
8.924,egy,1976
7.09,egy,1977
8.171,egy,1978
12.04,egy,1979
12.96,egy,1980
7.623,egy,1981
6.622,egy,1982
5.623,egy,1983
4.617,egy,1984
4.395,egy,1985
4.464,egy,1986
5.792,egy,1987
4.903,egy,1988
5.465,egy,1989
10.97,egy,1990
18.96,egy,1991
37.28,egy,1992
45.2,egy,1993
44.35,egy,1994
51.15,egy,1995
58.06,egy,1996
64.68,egy,1997
58.3,egy,1998
49.18,egy,1999
47.52,egy,2000
48.36,egy,2001
47.82,egy,2002
48.07,egy,2003
49.42,egy,2004
72.41,egy,2005
85.11,egy,2006
94.75,egy,2007
102.9,egy,2008
104.8,egy,2009
106.3,egy,2010
35.0,slv,1970
32.83,slv,1971
37.86,slv,1972
39.21,slv,1973
46.66,slv,1974
42.48,slv,1975
52.21,slv,1976
40.63,slv,1977
41.9,slv,1978
45.43,slv,1979
41.9,slv,1980
24.51,slv,1981
23.85,slv,1982
19.43,slv,1983
16.96,slv,1984
18.0,slv,1985
18.96,slv,1986
20.81,slv,1987
17.72,slv,1988
21.83,slv,1989
27.76,slv,1990
20.7,slv,1991
25.5,slv,1992
37.47,slv,1993
39.55,slv,1994
37.46,slv,1995
39.41,slv,1996
45.74,slv,1997
53.49,slv,1998
53.03,slv,1999
42.57,slv,2000
32.63,slv,2001
28.63,slv,2002
24.71,slv,2003
22.75,slv,2004
20.4,slv,2005
19.31,slv,2006
23.5,slv,2007
24.96,slv,2008
30.91,slv,2009
26.18,slv,2010
110.4,eri,1995
183.6,eri,1996
304.3,eri,1997
46.64,eri,1998
23.31,eri,1999
12.05,eri,2000
12.75,eri,2001
6.178,eri,2002
4.067,eri,2003
4.924,eri,2004
3.857,eri,2005
3.23,eri,2006
3.989,eri,2007
6.022,eri,2008
8.834,eri,2009
11.3,eri,2010
42.38,eth,1970
34.06,eth,1971
43.77,eth,1972
76.0,eth,1973
111.2,eth,1974
91.73,eth,1975
82.4,eth,1976
52.02,eth,1977
38.35,eth,1978
43.13,eth,1979
31.84,eth,1980
20.09,eth,1981
8.456,eth,1982
5.347,eth,1983
2.576,eth,1984
4.151,eth,1985
5.407,eth,1986
3.035,eth,1987
1.943,eth,1988
1.566,eth,1989
0.6384,eth,1990
1.165,eth,1991
2.887,eth,1992
5.145,eth,1993
5.83,eth,1994
7.896,eth,1995
8.356,eth,1996
5.832,eth,1997
5.776,eth,1998
9.836,eth,1999
6.598,eth,2000
8.538,eth,2001
14.76,eth,2002
13.11,eth,2003
22.47,eth,2004
16.79,eth,2005
38.1,eth,2006
49.23,eth,2007
30.24,eth,2008
35.41,eth,2009
234.4,fji,1970
267.5,fji,1971
335.0,fji,1972
156.7,fji,1973
200.2,fji,1974
250.6,fji,1975
182.0,fji,1976
122.8,fji,1977
132.3,fji,1978
100.3,fji,1979
80.46,fji,1980
50.46,fji,1981
43.65,fji,1982
36.12,fji,1983
38.42,fji,1984
40.06,fji,1985
51.64,fji,1986
36.35,fji,1987
63.01,fji,1988
67.89,fji,1989
84.67,fji,1990
99.62,fji,1991
126.6,fji,1992
112.4,fji,1993
143.2,fji,1994
196.0,fji,1995
265.9,fji,1996
234.1,fji,1997
281.9,fji,1998
223.9,fji,1999
238.7,fji,2000
229.8,fji,2001
212.1,fji,2002
230.5,fji,2003
196.4,fji,2004
173.0,fji,2005
88.45,fji,2006
143.1,fji,2007
84.81,fji,2008
132.0,fji,2009
159.3,fji,2010
14.2,gab,1970
17.44,gab,1971
10.11,gab,1972
12.08,gab,1973
19.56,gab,1974
16.55,gab,1975
9.411,gab,1976
0.7424,gab,1977
1.634,gab,1978
1.543,gab,1979
7.591,gab,1980
17.95,gab,1981
31.74,gab,1982
20.95,gab,1983
22.12,gab,1984
16.31,gab,1985
6.754,gab,1986
0.6911,gab,1987
2.552,gab,1988
1.178,gab,1989
6.998,gab,1990
7.862,gab,1991
1.961,gab,1992
0.1493,gab,1993
4.317,gab,1994
3.51,gab,1995
5.879,gab,1996
6.69,gab,1997
0.4314,gab,1998
0.5439,gab,1999
4.962,gab,2000
0.3919,gab,2001
4.104,gab,2002
5.386,gab,2003
11.06,gab,2004
17.41,gab,2005
26.78,gab,2006
43.51,gab,2007
89.02,gab,2008
93.56,gab,2009
74.46,gab,2010
159.8,gmb,1970
199.7,gmb,1971
154.6,gmb,1972
183.3,gmb,1973
229.4,gmb,1974
212.8,gmb,1975
133.7,gmb,1976
64.17,gmb,1977
52.34,gmb,1978
2.375,gmb,1979
4.145,gmb,1980
2.243,gmb,1981
4.05,gmb,1982
1.378,gmb,1983
0.981,gmb,1984
0.7075,gmb,1985
5.021,gmb,1986
7.885,gmb,1987
5.858,gmb,1988
6.096,gmb,1989
15.01,gmb,1990
17.65,gmb,1991
23.31,gmb,1992
24.83,gmb,1993
23.17,gmb,1994
24.91,gmb,1995
22.6,gmb,1996
22.62,gmb,1997
23.15,gmb,1998
23.94,gmb,1999
22.64,gmb,2000
21.72,gmb,2001
18.53,gmb,2002
9.328,gmb,2003
12.45,gmb,2004
14.9,gmb,2005
16.99,gmb,2006
20.63,gmb,2007
31.92,gmb,2008
48.78,gmb,2009
42.88,gmb,2010
16.0,geo,1995
14.06,geo,1996
13.76,geo,1997
8.063,geo,1998
8.731,geo,1999
7.08,geo,2000
9.369,geo,2001
11.0,geo,2002
10.14,geo,2003
18.73,geo,2004
25.08,geo,2005
40.53,geo,2006
52.15,geo,2007
20.13,geo,2008
25.52,geo,2009
24.51,geo,2010
7.452,gha,1970
7.895,gha,1971
17.21,gha,1972
25.68,gha,1973
13.36,gha,1974
20.02,gha,1975
15.9,gha,1976
17.02,gha,1977
25.55,gha,1978
31.29,gha,1979
23.51,gha,1980
17.44,gha,1981
21.18,gha,1982
17.49,gha,1983
22.31,gha,1984
24.61,gha,1985
22.72,gha,1986
10.1,gha,1987
10.15,gha,1988
13.23,gha,1989
8.283,gha,1990
15.5,gha,1991
9.71,gha,1992
11.3,gha,1993
13.51,gha,1994
14.63,gha,1995
16.07,gha,1996
10.81,gha,1997
7.237,gha,1998
8.33,gha,1999
5.051,gha,2000
5.927,gha,2001
9.137,gha,2002
19.42,gha,2003
24.77,gha,2004
27.98,gha,2005
68.34,gha,2006
24.61,grd,1970
55.73,grd,1971
72.1,grd,1972
63.76,grd,1973
65.45,grd,1974
62.95,grd,1975
90.52,grd,1976
101.2,grd,1977
71.62,grd,1978
59.8,grd,1979
65.83,grd,1980
50.1,grd,1981
21.18,grd,1982
24.93,grd,1983
26.42,grd,1984
35.84,grd,1985
33.02,grd,1986
29.55,grd,1987
19.44,grd,1988
17.36,grd,1989
15.87,grd,1990
14.26,grd,1991
22.39,grd,1992
18.19,grd,1993
24.2,grd,1994
28.92,grd,1995
25.59,grd,1996
36.88,grd,1997
27.35,grd,1998
37.44,grd,1999
28.63,grd,2000
26.69,grd,2001
24.0,grd,2002
22.11,grd,2003
28.18,grd,2004
23.22,grd,2005
20.03,grd,2006
20.58,grd,2007
19.02,grd,2008
23.11,grd,2009
20.69,grd,2010
49.88,gtm,1970
54.02,gtm,1971
79.76,gtm,1972
112.1,gtm,1973
105.8,gtm,1974
109.4,gtm,1975
145.7,gtm,1976
114.5,gtm,1977
104.5,gtm,1978
91.75,gtm,1979
63.78,gtm,1980
27.95,gtm,1981
22.56,gtm,1982
22.44,gtm,1983
18.32,gtm,1984
17.62,gtm,1985
20.16,gtm,1986
19.38,gtm,1987
15.94,gtm,1988
20.12,gtm,1989
12.72,gtm,1990
31.4,gtm,1991
29.17,gtm,1992
32.89,gtm,1993
30.37,gtm,1994
23.87,gtm,1995
28.34,gtm,1996
34.05,gtm,1997
38.4,gtm,1998
33.1,gtm,1999
46.86,gtm,2000
54.85,gtm,2001
53.54,gtm,2002
57.55,gtm,2003
36.25,gtm,2004
34.39,gtm,2005
32.95,gtm,2006
29.61,gtm,2007
31.51,gtm,2008
37.81,gtm,2009
41.48,gtm,2010
5.529,gin,1991
3.72,gin,1992
4.674,gin,1993
2.823,gin,1994
2.671,gin,1995
2.693,gin,1996
3.457,gin,1997
6.667,gin,1998
6.263,gin,1999
5.466,gin,2000
7.106,gin,2001
8.489,gin,2002
8.865,gin,2003
3.605,gin,2004
3.352,gin,2005
-0.1685,gnb,1986
2.138,gnb,1987
2.82,gnb,1988
3.5,gnb,1989
2.623,gnb,1990
1.95,gnb,1991
2.331,gnb,1992
1.801,gnb,1993
2.168,gnb,1994
2.264,gnb,1995
1.232,gnb,1996
3.659,gnb,1997
3.685,gnb,1998
3.759,gnb,1999
7.049,gnb,2000
7.693,gnb,2001
10.58,gnb,2002
3.101,gnb,2003
6.483,gnb,2004
7.876,gnb,2005
7.916,gnb,2006
10.46,gnb,2007
11.47,gnb,2008
15.09,gnb,2009
14.29,gnb,2010
24.67,guy,1970
16.71,guy,1971
23.22,guy,1972
