geo,agriculture_workers_percent_of_labour_force,time
dza,21.1,2001
dza,21.1,2003
dza,20.7,2004
asm,2.2,1990
ago,5.1,1992
aia,2.3,1999
aia,2.9,2001
atg,2.6,2001
arg,0.1,1982
arg,0.3,1983
arg,0.3,1984
arg,0.4,1990
arg,0.3,1991
arg,0.4,1992
arg,0.5,1993
arg,0.5,1994
arg,0.6,1995
arg,0.8,1996
arg,0.8,1997
arg,0.8,1998
arg,0.7,1999
arg,0.7,2000
arg,0.8,2001
arg,1.0,2002
arg,1.4,2003
arg,1.2,2004
arg,1.1,2005
arg,0.8,2006
arm,5.4,2001
arm,45.3,2002
arm,46.0,2003
arm,46.9,2004
arm,46.2,2005
arm,46.2,2006
abw,0.1,1994
abw,0.5,1997
aus,6.5,1980
aus,6.5,1981
aus,6.4,1982
aus,6.6,1983
aus,6.2,1984
aus,6.2,1985
aus,6.0,1986
aus,5.7,1987
aus,5.8,1988
aus,5.3,1989
aus,5.5,1990
aus,5.3,1991
aus,5.2,1992
aus,5.4,1993
aus,5.1,1994
aus,5.0,1995
aus,5.0,1996
aus,5.1,1997
aus,4.9,1998
aus,5.0,1999
aus,5.0,2000
aus,4.8,2001
aus,4.5,2002
aus,3.9,2003
aus,3.8,2004
aus,3.6,2005
aus,3.5,2006
aus,3.4,2007
aut,9.9,1983
aut,9.4,1984
aut,9.0,1985
aut,8.6,1986
aut,8.6,1987
aut,8.1,1988
aut,7.9,1989
aut,7.9,1990
aut,7.4,1991
aut,7.1,1992
aut,6.9,1993
aut,7.2,1994
aut,7.4,1995
aut,7.2,1996
aut,6.7,1997
aut,6.6,1998
aut,6.2,1999
aut,5.9,2000
aut,5.7,2001
aut,5.7,2002
aut,5.6,2003
aut,5.0,2004
aut,5.5,2005
aut,5.5,2006
aut,5.7,2007
aze,33.4,1983
aze,33.4,1984
aze,33.2,1985
aze,33.1,1986
aze,33.7,1987
aze,32.7,1988
aze,31.6,1989
aze,30.9,1990
aze,31.8,1991
aze,34.7,1992
aze,32.4,1993
aze,31.5,1994
aze,30.8,1995
aze,31.8,1996
aze,29.0,1997
aze,42.3,1998
aze,42.3,1999
aze,41.0,2000
aze,40.0,2001
aze,40.2,2002
aze,38.2,2003
aze,39.5,2004
aze,39.3,2005
aze,39.5,2006
aze,38.6,2007
bhs,5.0,1986
bhs,4.4,1989
bhs,5.2,1991
bhs,5.2,1992
bhs,5.4,1993
bhs,5.4,1994
bhs,4.3,1995
bhs,5.0,1996
bhs,3.8,1997
bhs,3.5,1998
bhs,4.0,1999
bhs,4.2,2001
bhs,3.7,2002
bhs,3.0,2003
bhs,4.4,2004
bhs,3.5,2005
bhs,2.5,2006
bhs,2.3,2007
bhr,2.7,1981
bhr,2.6,1982
bhr,2.4,1991
bhr,1.5,2001
bgd,58.8,1984
bgd,57.7,1985
bgd,57.1,1986
bgd,64.9,1989
bgd,66.4,1991
bgd,63.2,1996
bgd,62.1,2000
bgd,51.7,2003
bgd,48.1,2005
brb,9.4,1981
brb,8.6,1982
brb,8.0,1983
brb,9.1,1984
brb,8.5,1985
brb,8.2,1986
brb,8.0,1987
brb,7.8,1988
brb,6.6,1989
brb,6.3,1990
brb,5.5,1991
brb,6.2,1992
brb,5.6,1993
brb,5.3,1994
brb,4.6,1995
brb,5.3,1996
brb,5.3,1997
brb,4.4,1998
brb,4.3,1999
brb,3.7,2000
brb,4.2,2001
brb,4.0,2002
brb,4.6,2003
brb,3.3,2004
bel,3.1,1980
bel,3.1,1981
bel,3.1,1982
bel,3.1,1983
bel,3.1,1984
bel,3.1,1985
bel,3.0,1986
bel,2.9,1987
bel,2.5,1993
bel,2.5,1994
bel,2.4,1995
bel,2.4,1996
bel,2.3,1997
bel,2.3,1998
bel,2.0,1999
bel,1.8,2000
bel,1.6,2001
bel,1.7,2002
bel,1.7,2003
bel,2.0,2004
bel,2.0,2005
bel,2.0,2006
blz,24.2,1993
blz,22.9,1994
blz,27.2,1995
blz,28.7,1996
blz,29.9,1997
blz,25.0,1998
blz,27.5,1999
blz,19.5,2005
bmu,1.4,2000
btn,43.6,2005
bol,46.5,1980
bol,46.3,1981
bol,46.4,1982
bol,47.4,1983
bol,47.3,1984
bol,47.4,1985
bol,47.4,1986
bol,47.4,1987
bol,47.4,1988
bol,2.2,1989
bol,1.2,1990
bol,1.8,1991
bol,2.1,1992
bol,1.9,1993
bol,1.6,1994
bol,2.2,1995
bol,5.3,1996
bol,5.7,1997
bol,3.8,1999
bol,4.9,2000
bol,41.5,2001
bol,39.6,2002
bwa,57.9,1985
bwa,15.6,1996
bwa,20.4,1998
bwa,19.7,2000
bwa,12.4,2001
bwa,21.2,2003
bwa,29.9,2005
bra,29.3,1981
bra,29.5,1982
bra,27.1,1983
bra,29.8,1984
bra,28.6,1985
bra,25.9,1986
bra,24.6,1987
bra,24.2,1988
bra,23.2,1989
bra,18.5,2000
bra,20.6,2002
bra,20.7,2003
bra,21.0,2004
bra,20.5,2005
bra,19.3,2006
vgb,2.0,1991
brn,1.4,2001
bgr,24.4,1980
bgr,23.7,1981
bgr,22.9,1982
bgr,22.1,1983
bgr,21.5,1984
bgr,21.0,1985
bgr,20.4,1986
bgr,19.7,1987
bgr,19.3,1988
bgr,18.7,1989
bgr,18.5,1990
bgr,19.5,1991
bgr,21.2,1992
bgr,22.1,1993
bgr,23.2,1994
bgr,23.9,1995
bgr,24.4,1996
bgr,25.3,1997
bgr,26.2,1998
bgr,25.8,1999
bgr,26.2,2000
bgr,25.8,2002
bgr,10.1,2003
bgr,9.7,2004
bgr,8.9,2005
bgr,8.1,2006
bgr,7.5,2007
bfa,88.8,1994
khm,77.5,1998
khm,73.7,2000
khm,70.2,2001
khm,39.8,2004
cmr,76.9,1986
cmr,60.6,2001
can,5.4,1980
can,5.5,1981
can,5.3,1982
can,5.5,1983
can,5.4,1984
can,5.1,1985
can,4.9,1986
can,4.6,1987
can,4.4,1988
can,4.3,1989
can,4.2,1990
can,4.4,1991
can,4.3,1992
can,4.3,1993
can,4.3,1994
can,4.1,1995
can,4.0,1996
can,3.9,1997
can,3.8,1998
can,3.6,1999
can,3.3,2000
can,2.8,2001
can,2.8,2002
can,2.8,2003
can,2.7,2004
can,2.7,2005
can,2.6,2006
can,2.5,2007
cym,1.1,1991
cym,1.7,2005
cym,2.3,2006
cym,1.8,2007
tcd,83.0,1993
chl,16.3,1980
chl,15.5,1981
chl,16.2,1982
chl,15.8,1983
chl,16.0,1984
chl,20.2,1985
chl,20.6,1986
chl,20.9,1987
chl,20.3,1988
chl,19.4,1989
chl,19.1,1991
chl,16.6,1993
chl,15.7,1995
chl,14.4,1997
chl,14.4,1999
chl,13.6,2001
chl,10.7,2002
chl,13.6,2003
chl,13.4,2004
chl,13.2,2005
chl,12.8,2006
chl,12.3,2007
chn,60.0,1987
chn,59.4,1988
chn,59.0,1989
chn,53.4,1990
chn,53.9,1991
chn,53.1,1992
chn,50.8,1993
chn,49.5,1994
chn,48.5,1995
chn,47.7,1996
chn,47.4,1997
chn,47.0,1998
chn,46.9,1999
chn,46.3,2000
chn,45.2,2001
chn,44.1,2002
col,1.4,1980
col,1.4,1985
col,1.4,1986
col,1.4,1987
col,1.3,1988
col,1.3,1989
col,1.4,1990
col,1.3,1991
col,1.4,1992
col,1.3,1994
col,1.0,1995
col,1.2,1996
col,1.0,1997
col,1.0,1998
col,1.1,1999
col,1.1,2000
col,22.2,2001
col,20.4,2002
col,21.1,2003
col,20.3,2004
col,22.4,2005
col,19.4,2006
col,18.4,2007
cri,27.4,1980
cri,27.6,1981
cri,30.0,1982
cri,28.2,1983
cri,30.0,1984
cri,27.3,1985
cri,26.9,1986
cri,28.1,1987
cri,28.1,1988
cri,26.2,1989
cri,25.9,1990
cri,25.5,1991
cri,24.1,1992
cri,22.6,1993
cri,21.4,1994
cri,21.6,1995
cri,21.6,1996
cri,20.6,1997
cri,20.1,1998
cri,19.7,1999
cri,20.4,2000
cri,15.6,2001
cri,15.9,2002
cri,15.1,2003
cri,14.8,2004
cri,15.2,2005
cri,14.0,2006
cri,13.2,2007
hrv,19.9,1996
hrv,17.8,1997
hrv,16.7,1998
hrv,16.6,1999
hrv,14.5,2000
hrv,15.5,2001
hrv,15.2,2002
hrv,16.8,2003
hrv,16.4,2004
hrv,17.3,2005
hrv,14.2,2006
hrv,13.1,2007
cub,24.9,1991
cub,25.3,1992
cub,25.9,1993
cub,25.5,1994
cub,25.1,1995
cub,25.1,1996
cub,25.1,1997
cub,21.5,1998
cub,27.1,1999
cub,27.1,2000
cub,21.7,2001
cub,21.7,2002
cub,21.7,2003
cub,21.2,2004
cub,20.2,2005
cub,20.0,2006
cub,18.7,2007
cyp,19.2,1980
cyp,18.7,1981
cyp,18.0,1982
cyp,17.5,1983
cyp,17.1,1984
cyp,16.4,1985
cyp,15.8,1986
cyp,15.5,1987
cyp,14.8,1988
cyp,14.3,1989
cyp,13.5,1990
cyp,12.4,1991
cyp,12.0,1992
cyp,11.7,1993
cyp,11.0,1994
cyp,10.7,1995
cyp,4.5,1999
cyp,5.2,2000
cyp,4.8,2001
cyp,5.2,2002
cyp,5.2,2003
cyp,4.8,2004
cyp,4.7,2005
cyp,4.3,2006
cyp,4.4,2007
cze,7.8,1993
cze,6.9,1994
cze,6.6,1995
cze,6.2,1996
cze,5.8,1997
cze,5.5,1998
cze,5.2,1999
cze,5.2,2000
cze,4.8,2001
cze,4.8,2002
cze,4.5,2003
cze,4.3,2004
cze,4.0,2005
cze,3.8,2006
cze,3.6,2007
dnk,7.4,1981
dnk,7.4,1983
dnk,6.6,1984
dnk,6.6,1985
dnk,5.8,1986
dnk,5.7,1987
dnk,5.7,1988
dnk,5.6,1989
dnk,5.5,1990
dnk,5.6,1991
dnk,5.1,1992
dnk,5.1,1993
dnk,5.0,1994
dnk,4.4,1995
dnk,4.0,1996
dnk,3.7,1997
dnk,3.6,1998
dnk,3.3,1999
dnk,3.3,2000
dnk,3.3,2001
dnk,3.2,2002
dnk,3.1,2003
dnk,3.1,2004
dnk,3.1,2005
dnk,3.0,2006
dnk,2.9,2007
dma,28.2,1989
dma,30.8,1991
dma,23.7,1997
dma,27.2,1999
dma,21.0,2001
dom,19.8,1996
dom,19.7,1997
dom,15.9,2000
dom,13.7,2003
dom,14.8,2004
dom,14.6,2005
ecu,6.4,1988
ecu,6.9,1989
ecu,6.6,1992
ecu,7.3,1993
ecu,6.6,1996
ecu,6.8,1997
ecu,7.5,1999
ecu,8.5,2000
ecu,7.7,2001
ecu,8.6,2002
ecu,9.1,2003
ecu,9.3,2004
ecu,8.3,2005
ecu,8.3,2006
egy,42.4,1980
egy,40.3,1981
egy,39.1,1982
egy,41.0,1983
egy,40.6,1984
egy,42.4,1989
egy,39.0,1990
egy,31.3,1991
egy,38.4,1992
egy,35.3,1993
egy,35.2,1994
egy,34.0,1995
egy,31.2,1996
egy,31.3,1997
egy,29.8,1998
egy,28.7,1999
egy,29.6,2000
egy,28.5,2001
egy,27.5,2002
egy,29.9,2003
egy,31.8,2004
egy,30.9,2005
egy,31.2,2006
slv,37.5,1980
slv,34.1,1985
slv,1.6,1986
slv,8.1,1988
slv,10.2,1989
slv,10.4,1991
slv,35.8,1992
slv,28.0,1994
slv,25.6,1995
slv,28.1,1996
slv,25.0,1997
slv,25.1,1998
slv,22.1,1999
slv,21.6,2000
slv,21.8,2001
slv,19.7,2002
slv,18.2,2003
slv,19.1,2004
slv,20.0,2005
slv,18.9,2006
gnq,76.3,1983
est,21.2,1989
est,21.0,1990
est,19.3,1991
est,18.1,1992
est,16.0,1993
est,14.2,1994
est,10.2,1995
est,9.7,1996
est,9.2,1997
est,8.9,1998
est,8.1,1999
est,7.2,2000
est,6.9,2001
est,7.0,2002
est,6.2,2003
est,5.9,2004
est,5.3,2005
est,5.0,2006
est,4.7,2007
eth,89.3,1994
eth,7.9,2004
eth,80.2,2005
eth,8.6,2006
fro,11.1,2005
fin,13.3,1980
fin,12.8,1981
fin,13.0,1982
fin,12.5,1983
fin,12.0,1984
fin,11.4,1985
fin,10.8,1986
fin,10.2,1987
fin,9.7,1988
fin,9.2,1989
fin,8.9,1990
fin,8.9,1991
fin,9.0,1992
fin,8.9,1993
fin,8.7,1994
fin,8.1,1995
fin,7.5,1996
fin,7.0,1997
fin,6.5,1998
fin,6.3,1999
fin,6.1,2000
fin,5.7,2001
fin,5.4,2002
fin,5.1,2003
fin,5.0,2004
fin,4.8,2005
fin,4.7,2006
fin,4.5,2007
fra,8.4,1980
fra,8.1,1981
fra,7.8,1982
fra,7.6,1983
fra,7.4,1984
fra,7.1,1985
fra,6.9,1986
fra,6.6,1987
fra,6.3,1988
fra,5.9,1989
fra,5.6,1990
fra,5.3,1991
fra,5.2,1992
fra,5.0,1993
fra,4.7,1994
fra,4.2,2003
fra,3.8,2004
fra,3.6,2005
fra,3.7,2006
fra,3.4,2007
gab,41.6,1993
gmb,64.7,1993
geo,48.5,1998
geo,52.2,1999
geo,52.1,2000
geo,52.8,2001
geo,53.8,2002
geo,54.9,2003
geo,54.0,2004
geo,54.3,2005
geo,55.3,2006
geo,53.4,2007
deu,4.1,1991
deu,3.8,1992
deu,3.5,1993
deu,3.3,1994
deu,3.1,1995
deu,3.0,1996
deu,2.9,1997
deu,2.8,1998
deu,2.8,1999
deu,2.6,2000
deu,2.6,2001
deu,2.5,2002
deu,2.5,2003
deu,2.4,2004
deu,2.4,2005
deu,2.3,2006
deu,2.3,2007
deu_east,6.8,1991
deu_east,4.9,1992
deu_east,4.2,1993
deu_east,3.9,1994
gha,62.0,1992
gha,55.0,1999
gib,0.0,1998
gib,0.0,1999
gib,0.0,2000
gib,0.0,2001
gib,0.0,2002
gib,0.0,2003
gib,0.0,2004
gib,0.0,2005
gib,0.0,2006
gib,0.0,2007
grc,30.7,1981
grc,28.9,1982
grc,30.0,1983
grc,29.4,1984
grc,28.9,1985
grc,28.5,1986
grc,27.0,1987
grc,26.6,1988
grc,25.3,1989
grc,23.9,1990
grc,22.2,1991
grc,21.9,1992
grc,21.3,1993
grc,20.8,1994
grc,20.4,1995
grc,20.3,1996
grc,19.8,1997
grc,17.9,1998
grc,17.5,1999
grc,17.4,2000
grc,16.1,2001
grc,15.5,2002
grc,15.3,2003
grc,12.6,2004
grc,12.4,2005
grc,12.0,2006
grc,11.6,2007
grd,19.8,1988
grd,19.4,1994
grd,15.5,1996
grd,13.8,1998
glp,27.1,1980
gtm,50.8,1981
gtm,50.8,1982
gtm,51.9,1987
gtm,12.9,1990
gtm,13.6,1991
gtm,52.2,1994
gtm,37.6,1998
gtm,36.4,2000
gtm,38.7,2002
gtm,33.2,2006
gin,76.0,1994
guy,27.9,1997
guy,21.4,2002
hti,67.5,1980
hti,66.7,1981
