geo,all_forms_of_tb_number_of_new_cases_estimated,time
bra,123100,1991
bra,121000,1992
bra,118900,1993
bra,116900,1994
bra,114800,1995
bra,112800,1996
bra,110900,1997
bra,108900,1998
bra,107000,1999
bra,105100,2000
bra,103200,2001
bra,101300,2002
bra,99470,2003
bra,97620,2004
bra,95770,2005
bra,93930,2006
bra,92100,2007
vgb,3,1990
vgb,3,1991
vgb,3,1992
vgb,3,1993
vgb,3,1994
vgb,3,1995
vgb,3,1996
vgb,3,1997
vgb,3,1998
vgb,3,1999
vgb,2,2000
vgb,2,2001
vgb,2,2002
vgb,2,2003
vgb,2,2004
vgb,2,2005
vgb,2,2006
vgb,2,2007
brn,148,1990
brn,153,1991
brn,157,1992
brn,162,1993
brn,166,1994
brn,170,1995
brn,175,1996
brn,179,1997
brn,184,1998
brn,302,1999
brn,341,2000
brn,240,2001
brn,256,2002
brn,229,2003
brn,196,2004
brn,181,2005
brn,224,2006
brn,230,2007
bgr,2353,1990
bgr,2616,1991
bgr,2929,1992
bgr,3130,1993
bgr,3178,1994
bgr,3143,1995
bgr,3213,1996
bgr,3501,1997
bgr,3637,1998
bgr,3606,1999
bgr,3525,2000
bgr,3460,2001
bgr,3367,2002
bgr,3093,2003
bgr,3059,2004
bgr,3081,2005
bgr,3021,2006
bgr,2962,2007
bfa,8429,1990
bfa,9618,1991
bfa,10580,1992
bfa,11670,1993
bfa,12810,1994
bfa,14090,1995
bfa,15310,1996
bfa,16910,1997
bfa,18760,1998
bfa,20950,1999
bfa,23530,2000
bfa,26260,2001
bfa,28980,2002
bfa,31210,2003
bfa,32560,2004
bfa,33190,2005
bfa,33340,2006
bfa,33440,2007
bdi,8776,1990
bdi,9954,1991
bdi,10860,1992
bdi,11850,1993
bdi,12830,1994
bdi,13900,1995
bdi,14840,1996
bdi,16090,1997
bdi,17540,1998
bdi,19280,1999
bdi,21430,2000
bdi,23760,2001
bdi,26170,2002
bdi,28240,2003
bdi,29600,2004
bdi,30380,2005
bdi,30790,2006
bdi,31220,2007
khm,56740,1990
khm,58170,1991
khm,59600,1992
khm,60980,1993
khm,62290,1994
khm,63470,1995
khm,64540,1996
khm,65480,1997
khm,66330,1998
khm,67090,1999
khm,67770,2000
khm,68390,2001
khm,68950,2002
khm,69460,2003
khm,69960,2004
khm,70460,2005
khm,70980,2006
khm,71500,2007
cmr,9856,1990
cmr,11250,1991
cmr,12360,1992
cmr,13610,1993
cmr,14910,1994
cmr,16350,1995
cmr,17700,1996
cmr,19470,1997
cmr,21500,1998
cmr,23860,1999
cmr,26620,2000
cmr,29470,2001
cmr,32240,2002
cmr,34420,2003
cmr,35570,2004
cmr,35930,2005
cmr,35770,2006
cmr,35560,2007
can,2647,1990
can,2529,1991
can,2433,1992
can,2306,1993
can,2233,1994
can,2147,1995
can,2096,1996
can,2048,1997
can,1983,1998
can,1884,1999
can,1818,2000
can,1770,2001
can,1770,2002
can,1716,2003
can,1698,2004
can,1689,2005
can,1679,2006
can,1669,2007
cpv,623,1990
cpv,633,1991
cpv,642,1992
cpv,652,1993
cpv,663,1994
cpv,673,1995
cpv,683,1996
cpv,692,1997
cpv,702,1998
cpv,712,1999
cpv,722,2000
cpv,733,2001
cpv,744,2002
cpv,755,2003
cpv,766,2004
cpv,777,2005
cpv,788,2006
cpv,798,2007
cym,2,1990
cym,2,1991
cym,2,1992
cym,2,1993
cym,2,1994
cym,2,1995
cym,2,1996
cym,2,1997
cym,2,1998
cym,2,1999
cym,2,2000
cym,2,2001
cym,2,2002
cym,2,2003
cym,2,2004
cym,2,2005
cym,2,2006
cym,2,2007
caf,4360,1990
caf,4963,1991
caf,5450,1992
caf,6007,1993
caf,6583,1994
caf,7221,1995
caf,7818,1996
caf,8600,1997
caf,9488,1998
caf,10500,1999
caf,11670,2000
caf,12850,2001
caf,13950,2002
caf,14780,2003
caf,15160,2004
caf,15230,2005
caf,15110,2006
caf,14980,2007
tcd,7671,1990
tcd,8772,1991
tcd,9664,1992
tcd,10680,1993
tcd,11750,1994
tcd,12960,1995
tcd,14130,1996
tcd,15680,1997
tcd,17480,1998
tcd,19610,1999
tcd,22140,2000
tcd,24840,2001
tcd,27560,2002
tcd,29830,2003
tcd,31240,2004
tcd,31920,2005
tcd,32100,2006
tcd,32200,2007
chl,4962,1990
chl,4730,1991
chl,4509,1992
chl,4298,1993
chl,4094,1994
chl,3896,1995
chl,3703,1996
chl,3516,1997
chl,3336,1998
chl,3163,1999
chl,2998,2000
chl,2840,2001
chl,2689,2002
chl,2545,2003
chl,2408,2004
chl,2278,2005
chl,2155,2006
chl,2038,2007
chn,1339000,1990
chn,1342000,1991
chn,1344000,1992
chn,1345000,1993
chn,1345000,1994
chn,1345000,1995
chn,1345000,1996
chn,1344000,1997
chn,1343000,1998
chn,1341000,1999
chn,1339000,2000
chn,1335000,2001
chn,1331000,2002
chn,1327000,2003
chn,1322000,2004
chn,1316000,2005
chn,1311000,2006
chn,1306000,2007
col,18440,1990
col,18360,1991
col,18270,1992
col,18170,1993
col,18080,1994
col,17980,1995
col,17870,1996
col,17760,1997
col,17650,1998
col,17530,1999
col,17400,2000
col,17270,2001
col,17130,2002
col,16990,2003
col,16830,2004
col,16670,2005
col,16510,2006
col,16330,2007
com,450,1990
com,444,1991
com,438,1992
com,432,1993
com,427,1994
com,421,1995
com,415,1996
com,410,1997
com,404,1998
com,399,1999
com,393,2000
com,388,2001
com,382,2002
com,376,2003
com,370,2004
com,364,2005
com,358,2006
com,352,2007
cog,4102,1990
cog,4678,1991
cog,5141,1992
cog,5668,1993
cog,6216,1994
cog,6830,1995
cog,7416,1996
cog,8188,1997
cog,9077,1998
cog,10110,1999
cog,11300,2000
cog,12540,2001
cog,13730,2002
cog,14670,2003
cog,15160,2004
cog,15330,2005
cog,15270,2006
cog,15190,2007
cok,0,1990
cok,1,1991
cok,7,1992
cok,6,1993
cok,4,1994
cok,2,1995
cok,1,1996
cok,2,1997
cok,0,1998
cok,3,1999
cok,1,2000
cok,2,2001
cok,1,2002
cok,0,2003
cok,1,2004
cok,1,2005
cok,1,2006
cok,2,2007
cri,557,1990
cri,554,1991
cri,552,1992
cri,549,1993
cri,546,1994
cri,543,1995
cri,541,1996
cri,539,1997
cri,537,1998
cri,534,1999
cri,531,2000
cri,527,2001
cri,522,2002
cri,517,2003
cri,511,2004
cri,505,2005
cri,498,2006
cri,491,2007
hrv,3326,1990
hrv,3305,1991
hrv,3347,1992
hrv,3336,1993
hrv,3260,1994
hrv,3101,1995
hrv,3026,1996
hrv,2956,1997
hrv,2840,1998
hrv,2534,1999
hrv,2229,2000
hrv,2057,2001
hrv,1999,2002
hrv,1945,2003
hrv,1904,2004
hrv,1870,2005
hrv,1853,2006
hrv,1834,2007
cub,2695,1990
cub,2505,1991
cub,2326,1992
cub,2157,1993
cub,2000,1994
cub,1853,1995
cub,1717,1996
cub,1590,1997
cub,1472,1998
cub,1363,1999
cub,1261,2000
cub,1166,2001
cub,1078,2002
cub,997,2003
cub,921,2004
cub,850,2005
cub,785,2006
cub,724,2007
cyp,63,1990
cyp,60,1991
cyp,58,1992
cyp,55,1993
cyp,54,1994
cyp,52,1995
cyp,51,1996
cyp,50,1997
cyp,49,1998
cyp,47,1999
cyp,45,2000
cyp,44,2001
cyp,44,2002
cyp,43,2003
cyp,43,2004
cyp,43,2005
cyp,42,2006
cyp,42,2007
cze,2143,1990
cze,2172,1991
cze,2146,1992
cze,2103,1993
cze,2048,1994
cze,2087,1995
cze,2041,1996
cze,2030,1997
cze,1898,1998
cze,1746,1999
cze,1560,2000
cze,1397,2001
cze,1284,2002
cze,1189,2003
cze,1122,2004
cze,1065,2005
cze,979,2006
cze,893,2007
civ,22580,1990
civ,25900,1991
civ,28590,1992
civ,31620,1993
civ,34740,1994
civ,38220,1995
civ,41520,1996
civ,45840,1997
civ,50740,1998
civ,56360,1999
civ,62770,2000
civ,69210,2001
civ,75260,2002
civ,79770,2003
civ,81910,2004
civ,82310,2005
civ,81650,2006
civ,81000,2007
prk,69380,1990
prk,70450,1991
prk,71560,1992
prk,72670,1993
prk,73760,1994
prk,74800,1995
prk,75780,1996
prk,76700,1997
prk,77560,1998
prk,78340,1999
prk,79040,2000
prk,79640,2001
prk,80160,2002
prk,80600,2003
prk,80990,2004
prk,81340,2005
prk,81660,2006
prk,81940,2007
cod,62430,1990
cod,71790,1991
cod,79670,1992
cod,88660,1993
cod,97840,1994
cod,107700,1995
cod,116600,1996
cod,128000,1997
cod,140800,1998
cod,155800,1999
cod,173800,2000
cod,193000,2001
cod,212100,2002
cod,228000,2003
cod,237600,2004
cod,242300,2005
cod,243900,2006
cod,245300,2007
dnk,779,1990
dnk,737,1991
dnk,703,1992
dnk,661,1993
dnk,636,1994
dnk,608,1995
dnk,590,1996
dnk,574,1997
dnk,553,1998
dnk,523,1999
dnk,502,2000
dnk,485,2001
dnk,482,2002
dnk,464,2003
dnk,456,2004
dnk,450,2005
dnk,444,2006
dnk,438,2007
dji,3265,1990
dji,3443,1991
dji,3588,1992
dji,3714,1993
dji,3848,1994
dji,4009,1995
dji,4206,1996
dji,4432,1997
dji,4678,1998
dji,4928,1999
dji,5170,2000
dji,5399,2001
dji,5620,2002
dji,5836,2003
dji,6055,2004
dji,6283,2005
dji,6522,2006
dji,6769,2007
dma,10,1990
dma,10,1991
dma,10,1992
dma,10,1993
dma,10,1994
dma,10,1995
dma,10,1996
dma,10,1997
dma,10,1998
dma,10,1999
dma,10,2000
dma,9,2001
dma,9,2002
dma,9,2003
dma,9,2004
dma,9,2005
dma,9,2006
dma,9,2007
dom,8323,1990
dom,8239,1991
dom,8155,1992
dom,8070,1993
dom,7984,1994
dom,7896,1995
dom,7808,1996
dom,7718,1997
dom,7627,1998
dom,7535,1999
dom,7441,2000
dom,7347,2001
dom,7251,2002
dom,7154,2003
dom,7057,2004
dom,6960,2005
dom,6862,2006
dom,6764,2007
ecu,17130,1990
ecu,17020,1991
ecu,16890,1992
ecu,16750,1993
ecu,16590,1994
ecu,16420,1995
ecu,16220,1996
ecu,16010,1997
ecu,15790,1998
ecu,15550,1999
ecu,15310,2000
ecu,15060,2001
ecu,14810,2002
ecu,14550,2003
ecu,14290,2004
ecu,14030,2005
ecu,13770,2006
ecu,13520,2007
egy,20170,1990
egy,20240,1991
egy,20780,1992
egy,20390,1993
egy,20500,1994
egy,20390,1995
egy,20130,1996
egy,19230,1997
egy,18680,1998
egy,18370,1999
egy,18200,2000
egy,17920,2001
egy,17600,2002
egy,17200,2003
egy,16720,2004
egy,16360,2005
egy,16120,2006
egy,15870,2007
slv,4204,1990
slv,4099,1991
slv,4002,1992
slv,3911,1993
slv,3823,1994
slv,3736,1995
slv,3652,1996
slv,3568,1997
slv,3485,1998
slv,3401,1999
slv,3315,2000
slv,3227,2001
slv,3138,2002
slv,3050,2003
slv,2962,2004
slv,2877,2005
slv,2795,2006
slv,2715,2007
gnq,365,1990
gnq,413,1991
gnq,452,1992
gnq,496,1993
gnq,542,1994
gnq,593,1995
gnq,641,1996
gnq,705,1997
gnq,779,1998
gnq,865,1999
gnq,965,2000
gnq,1068,2001
gnq,1168,2002
gnq,1247,2003
gnq,1290,2004
gnq,1305,2005
gnq,1302,2006
gnq,1299,2007
eri,2272,1990
eri,2326,1991
eri,2367,1992
eri,2404,1993
eri,2449,1994
eri,2512,1995
eri,2596,1996
eri,2700,1997
eri,2824,1998
eri,2968,1999
eri,3130,2000
eri,3311,2001
eri,3512,2002
eri,3729,2003
eri,3953,2004
eri,4178,2005
eri,4402,2006
eri,4629,2007
est,500,1990
est,492,1991
est,536,1992
est,623,1993
est,709,1994
est,769,1995
est,817,1996
est,895,1997
est,923,1998
est,942,1999
est,897,2000
est,844,2001
est,751,2002
est,683,2003
est,627,2004
est,573,2005
est,541,2006
est,509,2007
eth,81260,1990
eth,93140,1991
eth,102900,1992
eth,114000,1993
eth,125500,1994
eth,138300,1995
eth,150400,1996
eth,166200,1997
eth,184300,1998
eth,205300,1999
eth,229800,2000
eth,255100,2001
eth,279800,2002
eth,299400,2003
eth,310400,2004
eth,314600,2005
eth,314600,2006
eth,314300,2007
fji,366,1990
fji,350,1991
fji,336,1992
fji,323,1993
fji,311,1994
fji,299,1995
fji,286,1996
fji,274,1997
fji,262,1998
fji,251,1999
fji,240,2000
fji,229,2001
fji,219,2002
fji,209,2003
fji,199,2004
fji,190,2005
fji,182,2006
fji,174,2007
fin,874,1990
fin,780,1991
fin,701,1992
fin,625,1993
fin,611,1994
fin,647,1995
fin,654,1996
fin,643,1997
fin,615,1998
fin,599,1999
fin,540,2000
fin,500,2001
fin,453,2002
fin,404,2003
fin,365,2004
fin,326,2005
fin,320,2006
fin,313,2007
fra,14810,1990
fra,14050,1991
fra,13430,1992
fra,12660,1993
fra,12190,1994
fra,11650,1995
fra,11310,1996
fra,10980,1997
fra,10560,1998
fra,9977,1999
fra,9580,2000
fra,9280,2001
fra,9242,2002
fra,8926,2003
fra,8799,2004
fra,8720,2005
fra,8636,2006
fra,8548,2007
pyf,66,1990
pyf,54,1991
pyf,92,1992
pyf,87,1993
pyf,99,1994
pyf,116,1995
pyf,96,1996
pyf,101,1997
pyf,117,1998
pyf,103,1999
pyf,69,2000
pyf,69,2001
pyf,71,2002
pyf,56,2003
pyf,67,2004
pyf,70,2005
pyf,77,2006
pyf,71,2007
gab,1408,1990
gab,1415,1991
gab,1443,1992
gab,1508,1993
gab,1605,1994
gab,1597,1995
gab,1798,1996
gab,1934,1997
gab,2270,1998
gab,2434,1999
gab,3008,2000
gab,3265,2001
gab,3503,2002
gab,3539,2003
gab,3760,2004
gab,4192,2005
gab,4793,2006
gab,5408,2007
gmb,1783,1990
gmb,1888,1991
gmb,1999,1992
gmb,2115,1993
gmb,2238,1994
gmb,2368,1995
gmb,2505,1996
gmb,2648,1997
gmb,2799,1998
gmb,2956,1999
gmb,3118,2000
gmb,3287,2001
gmb,3461,2002
gmb,3641,2003
gmb,3827,2004
gmb,4018,2005
gmb,4214,2006
gmb,4415,2007
geo,2106,1990
geo,2001,1991
geo,2074,1992
geo,2227,1993
geo,2427,1994
geo,2727,1995
geo,3047,1996
geo,3288,1997
geo,3529,1998
geo,3710,1999
geo,3887,2000
geo,3919,2001
geo,3861,2002
geo,3797,2003
geo,3751,2004
geo,3743,2005
geo,3722,2006
geo,3703,2007
deu,15520,1990
deu,15060,1991
deu,14890,1992
deu,14720,1993
deu,14040,1994
deu,13200,1995
deu,12550,1996
deu,11920,1997
deu,11260,1998
deu,10510,1999
deu,9272,2000
deu,8187,2001
deu,7282,2002
deu,6943,2003
deu,6446,2004
deu,5909,2005
deu,5411,2006
deu,4910,2007
gha,34710,1990
gha,35520,1991
gha,36340,1992
gha,37160,1993
gha,37980,1994
gha,38770,1995
gha,39540,1996
gha,40280,1997
gha,41010,1998
gha,41740,1999
gha,42480,2000
gha,43230,2001
gha,43990,2002
gha,44750,2003
gha,45500,2004
gha,46230,2005
gha,46940,2006
gha,47630,2007
grc,3404,1990
grc,3238,1991
grc,3108,1992
grc,2944,1993
grc,2850,1994
grc,2737,1995
grc,2668,1996
grc,2601,1997
grc,2509,1998
grc,2374,1999
grc,2280,2000
grc,2204,2001
grc,2187,2002
grc,2103,2003
grc,2064,2004
grc,2037,2005
grc,2010,2006
grc,1984,2007
grd,4,1990
grd,4,1991
grd,4,1992
grd,4,1993
grd,4,1994
grd,4,1995
grd,4,1996
grd,4,1997
grd,4,1998
grd,4,1999
grd,4,2000
grd,4,2001
grd,4,2002
grd,4,2003
grd,4,2004
grd,4,2005
grd,4,2006
grd,4,2007
gum,69,1990
gum,69,1991
gum,67,1992
gum,78,1993
gum,104,1994
gum,68,1995
gum,67,1996
gum,67,1997
gum,66,1998
gum,66,1999
gum,60,2000
gum,70,2001
gum,57,2002
gum,65,2003
gum,56,2004
gum,70,2005
gum,49,2006
gum,59,2007
gtm,6633,1990
gtm,6725,1991
gtm,6819,1992
gtm,6915,1993
gtm,7011,1994
gtm,7108,1995
gtm,7205,1996
gtm,7302,1997
gtm,7402,1998
gtm,7505,1999
gtm,7614,2000
gtm,7728,2001
gtm,7847,2002
gtm,7970,2003
gtm,8096,2004
gtm,8223,2005
gtm,8351,2006
gtm,8479,2007
gin,7197,1990
gin,7881,1991
gin,8651,1992
gin,9495,1993
gin,10390,1994
gin,11310,1995
gin,12260,1996
gin,13230,1997
gin,14230,1998
gin,15290,1999
gin,16410,2000
gin,17610,2001
gin,18890,2002
gin,20260,2003
gin,21740,2004
gin,23330,2005
gin,25060,2006
gin,26930,2007
gnb,1602,1990
gnb,1685,1991
gnb,1774,1992
gnb,1870,1993
gnb,1969,1994
gnb,2070,1995
gnb,2173,1996
gnb,2279,1997
gnb,2388,1998
gnb,2503,1999
gnb,2627,2000
gnb,2760,2001
gnb,2902,2002
gnb,3053,2003
gnb,3211,2004
gnb,3376,2005
gnb,3548,2006
gnb,3727,2007
guy,196,1990
guy,225,1991
guy,189,1992
guy,250,1993
guy,303,1994
guy,408,1995
guy,473,1996
guy,483,1997
guy,526,1998
guy,533,1999
guy,581,2000
guy,666,2001
guy,764,2002
guy,848,2003
guy,871,2004
guy,908,2005
guy,904,2006
guy,898,2007
hti,21730,1990
hti,22170,1991
hti,22610,1992
hti,23060,1993
hti,23500,1994
hti,23950,1995
hti,24400,1996
hti,24850,1997
hti,25300,1998
hti,25750,1999
hti,26200,2000
hti,26640,2001
hti,27080,2002
hti,27520,2003
hti,27960,2004
hti,28410,2005
hti,28870,2006
hti,29330,2007
hnd,4779,1990
hnd,4771,1991
hnd,4760,1992
hnd,4745,1993
hnd,4726,1994
hnd,4701,1995
hnd,4670,1996
hnd,4636,1997
hnd,4597,1998
hnd,4557,1999
hnd,4515,2000
hnd,4473,2001
hnd,4430,2002
hnd,4387,2003
hnd,4344,2004
hnd,4301,2005
hnd,4259,2006
hnd,4218,2007
hun,4254,1990
hun,4328,1991
hun,4569,1992
hun,4765,1993
hun,4912,1994
hun,4988,1995
hun,5017,1996
hun,4885,1997
hun,4548,1998
hun,4096,1999
hun,3681,2000
hun,3367,2001
hun,3149,2002
hun,2889,2003
hun,2536,2004
hun,2220,2005
hun,1945,2006
hun,1672,2007
isl,15,1990
isl,15,1991
isl,13,1992
isl,13,1993
isl,12,1994
isl,12,1995
isl,10,1996
isl,11,1997
isl,11,1998
isl,12,1999
isl,10,2000
isl,10,2001
isl,8,2002
isl,7,2003
isl,8,2004
isl,10,2005
isl,10,2006
isl,11,2007
ind,1444000,1990
ind,1475000,1991
ind,1506000,1992
ind,1538000,1993
ind,1570000,1994
ind,1601000,1995
ind,1633000,1996
ind,1664000,1997
ind,1695000,1998
ind,1725000,1999
ind,1756000,2000
ind,1786000,2001
ind,1816000,2002
ind,1845000,2003
ind,1875000,2004
ind,1904000,2005
ind,1933000,2006
ind,1962000,2007
idn,626900,1990
idn,622000,1991
idn,616800,1992
idn,611400,1993
idn,605900,1994
idn,600300,1995
idn,594500,1996
idn,588700,1997
idn,582800,1998
idn,576900,1999
idn,570900,2000
idn,565000,2001
idn,559000,2002
idn,553000,2003
idn,546900,2004
idn,540700,2005
idn,534400,2006
idn,528100,2007
irn,20310,1990
irn,21480,1991
irn,24030,1992
irn,23330,1993
irn,24340,1994
irn,24680,1995
irn,24510,1996
irn,22130,1997
irn,20900,1998
irn,20430,1999
irn,20430,2000
irn,20090,2001
irn,19540,2002
irn,18620,2003
irn,17320,2004
irn,16430,2005
irn,15940,2006
irn,15450,2007
irq,10370,1990
irq,10680,1991
irq,11020,1992
irq,11370,1993
irq,11740,1994
irq,12120,1995
irq,12500,1996
irq,12890,1997
irq,13280,1998
irq,13660,1999
irq,14030,2000
irq,14390,2001
irq,14730,2002
irq,15060,2003
irq,15380,2004
irq,15680,2005
irq,15970,2006
irq,16240,2007
irl,861,1990
irl,831,1991
irl,819,1992
irl,777,1993
irl,712,1994
irl,639,1995
irl,582,1996
irl,567,1997
irl,576,1998
irl,563,1999
irl,549,2000
irl,514,2001
irl,500,2002
irl,494,2003
irl,499,2004
irl,526,2005
irl,546,2006
irl,567,2007
isr,641,1990
isr,624,1991
isr,615,1992
isr,598,1993
isr,595,1994
isr,585,1995
isr,582,1996
isr,579,1997
isr,569,1998
isr,548,1999
isr,535,2000
isr,527,2001
isr,532,2002
isr,520,2003
isr,519,2004
isr,520,2005
isr,521,2006
isr,522,2007
ita,7864,1990
ita,7431,1991
ita,7080,1992
ita,6652,1993
ita,6389,1994
ita,6092,1995
ita,5899,1996
ita,5718,1997
ita,5491,1998
ita,5176,1999
ita,4960,2000
ita,4793,2001
ita,4761,2002
ita,4586,2003
ita,4507,2004
ita,4454,2005
ita,4396,2006
ita,4336,2007
jam,155,1990
jam,156,1991
jam,158,1992
jam,160,1993
jam,161,1994
jam,163,1995
jam,164,1996
jam,166,1997
jam,167,1998
jam,168,1999
jam,170,2000
jam,171,2001
jam,172,2002
jam,173,2003
jam,175,2004
jam,176,2005
jam,177,2006
jam,178,2007
jpn,58080,1990
jpn,56530,1991
jpn,55280,1992
jpn,52970,1993
jpn,50770,1994
jpn,48400,1995
jpn,47570,1996
jpn,47910,1997
jpn,47420,1998
jpn,46380,1999
jpn,43200,2000
jpn,40220,2001
jpn,37330,2002
jpn,35180,2003
jpn,33070,2004
jpn,30710,2005
jpn,28860,2006
jpn,26990,2007
jor,538,1990
jor,543,1991
jor,540,1992
jor,566,1993
jor,561,1994
jor,578,1995
jor,560,1996
jor,511,1997
jor,470,1998
jor,433,1999
jor,417,2000
jor,392,2001
jor,394,2002
jor,387,2003
jor,409,2004
jor,429,2005
jor,435,2006
jor,441,2007
kaz,9647,1990
kaz,8988,1991
kaz,8836,1992
kaz,8750,1993
kaz,8858,1994
kaz,9834,1995
kaz,11370,1996
kaz,13930,1997
kaz,16950,1998
kaz,19590,1999
kaz,21110,2000
kaz,21810,2001
kaz,22120,2002
kaz,22210,2003
kaz,21720,2004
kaz,20850,2005
kaz,20370,2006
kaz,19890,2007
ken,26260,1990
ken,27620,1991
ken,33700,1992
ken,41290,1993
ken,51000,1994
ken,61310,1995
ken,72750,1996
ken,87460,1997
ken,102200,1998
ken,116300,1999
ken,126500,2000
ken,130800,2001
ken,137800,2002
ken,147300,2003
ken,152900,2004
ken,144600,2005
ken,135400,2006
ken,132400,2007
kir,369,1990
kir,368,1991
kir,366,1992
kir,363,1993
kir,361,1994
kir,359,1995
kir,357,1996
kir,356,1997
kir,354,1998
kir,354,1999
kir,353,2000
kir,352,2001
kir,352,2002
kir,351,2003
kir,351,2004
kir,350,2005
kir,348,2006
kir,347,2007
kwt,954,1990
kwt,880,1991
kwt,795,1992
kwt,699,1993
kwt,634,1994
kwt,589,1995
kwt,579,1996
kwt,588,1997
kwt,603,1998
kwt,607,1999
kwt,615,2000
kwt,622,2001
kwt,642,2002
kwt,640,2003
kwt,648,2004
kwt,658,2005
kwt,667,2006
kwt,674,2007
kgz,2412,1990
kgz,2568,1991
kgz,2610,1992
kgz,2680,1993
kgz,2957,1994
kgz,3532,1995
kgz,4382,1996
kgz,5186,1997
kgz,5983,1998
kgz,6341,1999
kgz,6672,2000
kgz,6753,2001
kgz,6743,2002
kgz,6551,2003
kgz,6449,2004
kgz,6449,2005
kgz,6449,2006
kgz,6451,2007
lao,7278,1990
lao,7425,1991
lao,7571,1992
lao,7714,1993
lao,7850,1994
lao,7976,1995
lao,8092,1996
lao,8198,1997
lao,8294,1998
lao,8379,1999
lao,8454,2000
lao,8518,2001
lao,8572,2002
lao,8622,2003
lao,8671,2004
lao,8726,2005
lao,8786,2006
lao,8851,2007
lva,916,1990
lva,949,1991
lva,978,1992
lva,1041,1993
lva,1240,1994
lva,1498,1995
lva,1791,1996
lva,2007,1997
lva,2050,1998
lva,2044,1999
lva,1983,2000
lva,1952,2001
lva,1852,2002
lva,1710,2003
lva,1577,2004
lva,1443,2005
lva,1325,2006
lva,1208,2007
lbn,1487,1990
lbn,1510,1991
lbn,1542,1992
lbn,1576,1993
lbn,1635,1994
lbn,1594,1995
lbn,1457,1996
lbn,1257,1997
lbn,1164,1998
lbn,1089,1999
lbn,1018,2000
lbn,878,2001
lbn,769,2002
lbn,697,2003
lbn,670,2004
lbn,668,2005
lbn,715,2006
lbn,762,2007
lso,2945,1990
lso,3263,1991
lso,3582,1992
lso,4072,1993
lso,4751,1994
lso,5570,1995
lso,6350,1996
lso,7315,1997
lso,8411,1998
lso,9635,1999
lso,10430,2000
lso,11010,2001
lso,11840,2002
lso,12380,2003
lso,12640,2004
lso,12660,2005
lso,12720,2006
lso,12780,2007
lbr,4244,1990
lbr,4266,1991
lbr,4279,1992
lbr,4322,1993
lbr,4448,1994
lbr,4696,1995
lbr,5098,1996
lbr,5642,1997
lbr,6269,1998
lbr,6885,1999
lbr,7420,2000
lbr,7838,2001
lbr,8159,2002
lbr,8434,2003
lbr,8750,2004
lbr,9172,2005
lbr,9726,2006
lbr,10390,2007
lby,1306,1990
lby,1312,1991
lby,1349,1992
lby,1325,1993
lby,1335,1994
lby,1330,1995
lby,1315,1996
lby,1258,1997
lby,1224,1998
lby,1206,1999
lby,1197,2000
lby,1181,2001
lby,1162,2002
lby,1138,2003
lby,1109,2004
lby,1087,2005
lby,1074,2006
lby,1060,2007
ltu,1472,1990
ltu,1545,1991
ltu,1687,1992
ltu,1880,1993
ltu,2134,1994
ltu,2372,1995
ltu,2637,1996
ltu,2854,1997
ltu,2916,1998
ltu,2826,1999
ltu,2687,2000
ltu,2558,2001
ltu,2535,2002
ltu,2347,2003
ltu,2247,2004
ltu,2175,2005
ltu,2241,2006
ltu,2305,2007
lux,88,1990
lux,84,1991
lux,81,1992
lux,77,1993
lux,75,1994
lux,72,1995
lux,71,1996
lux,69,1997
lux,67,1998
lux,64,1999
lux,62,2000
lux,61,2001
lux,60,2002
lux,59,2003
lux,58,2004
lux,57,2005
lux,57,2006
lux,57,2007
mdg,21340,1990
mdg,22420,1991
mdg,23560,1992
mdg,24770,1993
mdg,26040,1994
mdg,27390,1995
mdg,28800,1996
mdg,30290,1997
mdg,31850,1998
mdg,33490,1999
mdg,35190,2000
mdg,36970,2001
mdg,38830,2002
mdg,40760,2003
mdg,42780,2004
mdg,44880,2005
mdg,47080,2006
mdg,49360,2007
mwi,24370,1990
mwi,27640,1991
mwi,30740,1992
mwi,33820,1993
mwi,37050,1994
mwi,39380,1995
mwi,40180,1996
mwi,42540,1997
mwi,45060,1998
mwi,47100,1999
mwi,49370,2000
mwi,49500,2001
mwi,51010,2002
mwi,51570,2003
mwi,52210,2004
mwi,51710,2005
mwi,49990,2006
mwi,48140,2007
mys,21440,1990
mys,21840,1991
mys,22240,1992
mys,22630,1993
mys,23020,1994
mys,23420,1995
mys,23830,1996
mys,24250,1997
mys,24660,1998
mys,25060,1999
mys,25430,2000
mys,25760,2001
mys,26080,2002
mys,26370,2003
mys,26650,2004
mys,26920,2005
mys,27180,2006
mys,27440,2007
mdv,278,1990
mdv,270,1991
mdv,262,1992
mdv,254,1993
mdv,246,1994
mdv,237,1995
mdv,228,1996
mdv,220,1997
mdv,211,1998
mdv,202,1999
mdv,194,2000
mdv,186,2001
mdv,178,2002
mdv,170,2003
mdv,163,2004
mdv,156,2005
mdv,149,2006
mdv,143,2007
mli,21080,1990
mli,21820,1991
mli,22580,1992
mli,23390,1993
mli,24220,1994
mli,25090,1995
mli,25990,1996
mli,26920,1997
mli,27900,1998
mli,28920,1999
mli,30010,2000
mli,31160,2001
mli,32380,2002
mli,33660,2003
mli,35000,2004
mli,36390,2005
mli,37840,2006
mli,39340,2007
mlt,41,1990
mlt,39,1991
mlt,37,1992
mlt,35,1993
mlt,34,1994
mlt,33,1995
mlt,32,1996
mlt,31,1997
mlt,30,1998
mlt,28,1999
