traffic_mortality_45_59_per_100000_people,geo,time
17.72,arg,1966
21.04,arg,1967
21.82,arg,1968
22.74,arg,1969
25.08,arg,1970
21.36,arg,1977
19.14,arg,1978
19.24,arg,1979
17.93,arg,1980
18.67,arg,1981
15.37,arg,1982
14.79,arg,1983
15.14,arg,1984
12.79,arg,1985
13.85,arg,1986
14.15,arg,1987
13.71,arg,1988
13.19,arg,1989
12.17,arg,1990
12.62,arg,1991
13.3,arg,1992
13.48,arg,1993
14.86,arg,1994
13.48,arg,1995
12.78,arg,1996
12.4,arg,1997
14.51,arg,1998
14.04,arg,1999
12.43,arg,2000
12.49,arg,2001
11.5,arg,2002
12.06,arg,2003
12.13,arg,2004
11.95,arg,2005
13.42,arg,2006
13.38,arg,2007
19.7,aus,1950
20.69,aus,1951
22.92,aus,1952
21.13,aus,1953
22.3,aus,1954
24.11,aus,1955
23.52,aus,1956
25.02,aus,1957
25.6,aus,1958
24.84,aus,1959
27.27,aus,1960
26.65,aus,1961
23.87,aus,1962
26.76,aus,1963
29.31,aus,1964
29.85,aus,1965
28.92,aus,1966
28.56,aus,1967
27.54,aus,1968
29.9,aus,1969
31.01,aus,1970
26.49,aus,1971
25.84,aus,1972
25.06,aus,1973
25.31,aus,1974
23.02,aus,1975
21.18,aus,1976
22.35,aus,1977
22.28,aus,1978
19.73,aus,1979
17.91,aus,1980
17.75,aus,1981
16.65,aus,1982
13.64,aus,1983
13.9,aus,1984
14.9,aus,1985
13.64,aus,1986
12.5,aus,1987
13.64,aus,1988
12.58,aus,1989
10.12,aus,1990
9.992,aus,1991
8.785,aus,1992
8.156,aus,1993
8.34,aus,1994
8.082,aus,1995
8.225,aus,1996
6.661,aus,1997
7.506,aus,1998
6.571,aus,1999
7.019,aus,2000
7.34,aus,2001
7.12,aus,2002
6.131,aus,2003
6.201,aus,2004
5.212,aus,2006
7.74,aut,1955
18.93,aut,1956
28.03,aut,1957
24.46,aut,1958
30.82,aut,1959
26.97,aut,1960
20.23,aut,1961
21.91,aut,1962
26.22,aut,1963
28.38,aut,1964
24.4,aut,1965
27.44,aut,1966
33.11,aut,1967
31.82,aut,1968
30.16,aut,1969
33.21,aut,1970
34.34,aut,1971
36.27,aut,1972
30.33,aut,1973
30.89,aut,1974
29.21,aut,1975
24.98,aut,1976
