services_percent_of_gdp,geo,time
35.12,afg,2002
35.34,afg,2003
35.05,afg,2004
35.24,afg,2005
39.21,afg,2006
39.69,afg,2007
45.89,afg,2008
47.61,afg,2009
47.92,afg,2010
21.4,alb,1980
24.6,alb,1981
24.5,alb,1982
22.6,alb,1983
22.9,alb,1984
22.1,alb,1985
21.8,alb,1986
21.0,alb,1987
22.2,alb,1988
22.9,alb,1989
15.9,alb,1990
18.01,alb,1991
25.04,alb,1992
22.46,alb,1993
24.65,alb,1994
21.69,alb,1995
46.81,alb,1996
47.7,alb,1997
51.37,alb,1998
53.71,alb,1999
51.86,alb,2000
53.26,alb,2001
55.17,alb,2002
54.92,alb,2003
55.3,alb,2004
55.7,alb,2005
57.7,alb,2006
59.22,alb,2007
60.61,alb,2008
60.24,alb,2009
60.53,alb,2010
49.4,dza,1965
49.76,dza,1966
47.28,dza,1967
46.88,dza,1968
48.44,dza,1969
45.26,dza,1970
49.12,dza,1971
43.45,dza,1972
39.97,dza,1973
34.94,dza,1974
39.37,dza,1975
35.97,dza,1976
36.3,dza,1977
37.51,dza,1978
36.46,dza,1979
33.84,dza,1980
33.71,dza,1981
35.49,dza,1982
36.44,dza,1983
36.67,dza,1984
37.44,dza,1985
41.71,dza,1986
40.7,dza,1987
42.54,dza,1988
41.43,dza,1989
40.47,dza,1990
36.67,dza,1991
38.16,dza,1992
39.26,dza,1993
40.98,dza,1994
39.1,dza,1995
37.0,dza,1996
38.21,dza,1997
41.32,dza,1998
39.8,dza,1999
32.51,dza,2000
36.14,dza,2001
36.91,dza,2002
34.69,dza,2003
33.46,dza,2004
30.47,dza,2005
29.71,dza,2006
30.69,dza,2007
30.96,dza,2008
30.96,dza,2009
30.96,dza,2010
43.18,ago,1985
51.51,ago,1986
45.86,ago,1987
44.7,ago,1988
41.84,ago,1989
41.22,ago,1990
42.64,ago,1991
36.65,ago,1992
37.23,ago,1993
26.38,ago,1994
26.43,ago,1995
25.15,ago,1996
30.24,ago,1997
31.29,ago,1998
20.99,ago,1999
22.21,ago,2000
26.96,ago,2001
23.96,ago,2002
24.27,ago,2003
25.27,ago,2004
19.75,ago,2005
21.44,ago,2006
25.57,ago,2007
25.87,ago,2008
30.75,ago,2009
27.61,ago,2010
73.75,atg,1977
75.89,atg,1978
75.99,atg,1979
74.77,atg,1980
74.76,atg,1981
79.18,atg,1982
79.64,atg,1983
79.81,atg,1984
78.49,atg,1985
76.45,atg,1986
75.17,atg,1987
74.95,atg,1988
73.97,atg,1989
75.72,atg,1990
74.98,atg,1991
76.38,atg,1992
77.71,atg,1993
78.24,atg,1994
77.77,atg,1995
78.28,atg,1996
77.72,atg,1997
77.73,atg,1998
76.68,atg,1999
82.09,atg,2000
83.37,atg,2001
83.32,atg,2002
83.03,atg,2003
82.95,atg,2004
81.24,atg,2005
76.76,atg,2006
77.13,atg,2007
75.91,atg,2008
76.29,atg,2009
79.27,atg,2010
38.68,arg,1965
40.12,arg,1966
42.64,arg,1967
43.24,arg,1968
43.43,arg,1969
48.08,arg,1970
43.18,arg,1971
43.43,arg,1972
44.7,arg,1973
46.18,arg,1974
43.27,arg,1975
40.95,arg,1976
44.11,arg,1977
46.4,arg,1978
48.18,arg,1979
52.43,arg,1980
53.19,arg,1981
49.3,arg,1982
49.79,arg,1983
51.95,arg,1984
53.09,arg,1985
54.82,arg,1986
54.08,arg,1987
52.54,arg,1988
48.04,arg,1989
55.85,arg,1990
60.56,arg,1991
63.33,arg,1992
65.28,arg,1993
65.92,arg,1994
66.3,arg,1995
65.58,arg,1996
65.25,arg,1997
65.81,arg,1998
67.44,arg,1999
67.42,arg,2000
68.58,arg,2001
57.33,arg,2002
54.29,arg,2003
53.98,arg,2004
54.99,arg,2005
55.97,arg,2006
56.87,arg,2007
57.89,arg,2008
60.7,arg,2009
59.06,arg,2010
30.67,arm,1990
25.78,arm,1991
29.56,arm,1992
21.69,arm,1993
18.15,arm,1994
25.76,arm,1995
30.59,arm,1996
34.83,arm,1997
35.25,arm,1998
38.34,arm,1999
35.47,arm,2000
35.26,arm,2001
35.06,arm,2002
34.33,arm,2003
34.22,arm,2004
33.81,arm,2005
34.89,arm,2006
35.81,arm,2007
38.05,arm,2008
45.28,arm,2009
44.46,arm,2010
53.87,aus,1972
52.77,aus,1973
53.22,aus,1974
54.08,aus,1975
54.66,aus,1976
55.25,aus,1977
56.61,aus,1978
54.77,aus,1979
54.28,aus,1980
54.2,aus,1981
56.07,aus,1982
58.85,aus,1983
57.11,aus,1984
57.0,aus,1985
57.86,aus,1986
60.47,aus,1987
61.74,aus,1988
63.28,aus,1989
63.87,aus,1990
66.25,aus,1991
67.09,aus,1992
67.18,aus,1993
67.13,aus,1994
67.61,aus,1995
67.82,aus,1996
68.76,aus,1997
68.86,aus,1998
69.46,aus,1999
69.58,aus,2000
69.91,aus,2001
69.75,aus,2002
70.37,aus,2003
70.39,aus,2004
69.96,aus,2005
68.9,aus,2006
77.35,aus,2007
77.59,aus,2008
76.37,aus,2009
77.91,aus,2010
53.58,aut,1970
54.34,aut,1971
54.15,aut,1972
52.77,aut,1973
53.34,aut,1974
55.78,aut,1975
56.58,aut,1976
57.79,aut,1977
57.68,aut,1978
58.86,aut,1979
58.77,aut,1980
59.6,aut,1981
60.93,aut,1982
61.67,aut,1983
62.45,aut,1984
62.75,aut,1985
62.98,aut,1986
63.63,aut,1987
63.93,aut,1988
64.31,aut,1989
64.12,aut,1990
64.54,aut,1991
65.59,aut,1992
66.78,aut,1993
66.54,aut,1994
66.65,aut,1995
66.9,aut,1996
66.92,aut,1997
67.17,aut,1998
67.28,aut,1999
67.35,aut,2000
67.95,aut,2001
68.77,aut,2002
68.9,aut,2003
68.97,aut,2004
69.13,aut,2005
68.99,aut,2006
68.39,aut,2007
68.0,aut,2008
69.35,aut,2009
69.39,aut,2010
38.07,aze,1990
36.31,aze,1991
31.53,aze,1992
37.73,aze,1993
38.8,aze,1994
39.11,aze,1995
33.39,aze,1996
38.32,aze,1997
44.61,aze,1998
