geo,all_causes_deaths_in_newborn_total_deaths,time
afg,63120,2008
alb,165,2008
dza,17260,2008
ago,36300,2008
arg,6104,2008
arm,649,2008
aus,801,2008
aut,203,2008
aze,3114,2008
bhs,31,2008
bhr,81,2008
bgd,113900,2008
brb,21,2008
blr,627,2008
bel,289,2008
blz,62,2008
ben,11150,2008
btn,523,2008
bol,6506,2008
bih,255,2008
bwa,741,2008
bra,33110,2008
brn,26,2008
bgr,332,2008
bfa,25690,2008
bdi,11660,2008
khm,11260,2008
cmr,21940,2008
can,1319,2008
cpv,193,2008
caf,7255,2008
tcd,22080,2008
chl,1168,2008
chn,205700,2008
col,11050,2008
com,898,2008
cog,4303,2008
cri,494,2008
civ,29270,2008
hrv,146,2008
cub,383,2008
cyp,20,2008
cze,198,2008
prk,9373,2008
cod,162700,2008
dnk,172,2008
dji,861,2008
dom,4156,2008
ecu,3190,2008
egy,27180,2008
slv,940,2008
gnq,996,2008
eri,3032,2008
est,51,2008
eth,121600,2008
fji,149,2008
fin,115,2008
fra,1680,2008
gab,1099,2008
gmb,2067,2008
geo,1018,2008
deu,1686,2008
gha,22670,2008
grc,191,2008
grd,25,2008
gtm,4754,2008
gin,17040,2008
gnb,2910,2008
guy,316,2008
hti,6736,2008
hnd,3114,2008
hun,371,2008
isl,6,2008
ind,1004000,2008
idn,80140,2008
irn,26150,2008
irq,23690,2008
irl,189,2008
isr,318,2008
ita,1266,2008
jam,454,2008
jpn,1261,2008
jor,1993,2008
kaz,5066,2008
ken,50030,2008
kwt,295,2008
kgz,2138,2008
lao,3441,2008
lva,116,2008
lbn,499,2008
lso,2210,2008
lbr,6425,2008
lby,1364,2008
ltu,89,2008
lux,5,2008
mdg,23960,2008
mwi,17190,2008
mys,1748,2008
mdv,90,2008
mli,28460,2008
mlt,9,2008
mrt,4830,2008
mus,166,2008
mex,14730,2008
fsm,42,2008
mng,685,2008
mne,39,2008
mar,15090,2008
moz,37560,2008
mmr,49120,2008
nam,1034,2008
npl,22580,2008
nld,522,2008
nzl,245,2008
nic,1762,2008
ner,26870,2008
nga,298200,2008
nor,99,2008
omn,431,2008
pak,284100,2008
pan,707,2008
png,5306,2008
pry,2335,2008
per,7647,2008
phl,32790,2008
pol,1560,2008
prt,187,2008
qat,56,2008
kor,987,2008
mda,360,2008
rou,1322,2008
rus,9119,2008
rwa,14200,2008
lca,36,2008
vct,19,2008
wsm,47,2008
stp,167,2008
sau,6946,2008
sen,16040,2008
srb,565,2008
sle,9959,2008
sgp,48,2008
svk,176,2008
svn,39,2008
slb,221,2008
som,23980,2008
zaf,21320,2008
esp,1054,2008
lka,3165,2008
sdn,52530,2008
sur,115,2008
swz,638,2008
swe,175,2008
che,222,2008
syr,4693,2008
tjk,4286,2008
tha,9971,2008
mkd,149,2008
tgo,7020,2008
ton,25,2008
tto,484,2008
tun,1964,2008
tur,19150,2008
tkm,2339,2008
uga,45010,2008
ukr,3794,2008
are,295,2008
gbr,2399,2008
tza,59240,2008
usa,19260,2008
ury,401,2008
uzb,10890,2008
vut,94,2008
ven,5922,2008
vnm,12980,2008
yem,27280,2008
zmb,19560,2008
zwe,10760,2008
