geo,patent_applications_total,time
cub,213,1984
cub,229,1985
cub,259,1986
cub,238,1987
cub,342,1988
cub,304,1989
cub,260,1990
cub,24,1991
cub,20,1992
cub,14,1993
cub,152,1994
cub,137,1995
cub,4918,1996
cub,23270,1997
cub,34000,1998
cub,41040,1999
cub,58420,2000
cub,75690,2001
cub,89480,2002
cyp,56,1984
cyp,43,1985
cyp,30,1986
cyp,71,1987
cyp,50,1988
cyp,43,1990
cyp,53,1991
cyp,57,1992
cyp,4,1997
cyp,77370,1998
cyp,118800,1999
cyp,139700,2000
cyp,154400,2001
cyp,161600,2002
cze,11800,1993
cze,17860,1994
cze,20010,1995
cze,25480,1996
cze,30580,1997
cze,39200,1998
cze,45310,1999
cze,62640,2000
cze,79250,2001
cze,159200,2002
cheslo,1013,1984
cheslo,10660,1985
cheslo,10860,1986
cheslo,10840,1987
cheslo,9610,1988
cheslo,7598,1989
cheslo,7071,1990
cheslo,5934,1991
cheslo,10720,1992
cod,94,1984
cod,86,1986
cod,74,1988
cod,55,1994
cod,18,1995
cod,29,1996
dnk,6278,1984
dnk,8293,1985
dnk,8907,1986
dnk,8760,1987
dnk,11210,1988
dnk,10900,1989
dnk,39450,1990
dnk,39760,1991
dnk,44350,1992
dnk,47090,1993
dnk,55200,1994
dnk,62070,1995
dnk,74600,1996
dnk,109100,1997
dnk,146400,1998
dnk,161600,1999
dnk,200700,2000
dnk,232900,2001
dnk,254000,2002
dma,2,1995
dma,8500,1999
dma,52180,2000
dma,74310,2001
dma,89130,2002
dom,149,1986
ecu,120,1984
ecu,131,1986
ecu,99,1987
ecu,121,1988
ecu,120,1989
ecu,88,1991
ecu,107,1992
ecu,121,1993
ecu,339,1994
ecu,278,1995
ecu,361,1996
ecu,310,1997
ecu,490,1999
ecu,11,2000
ecu,28910,2001
ecu,85300,2002
egy,832,1984
egy,839,1985
egy,809,1986
egy,766,1987
egy,664,1988
egy,648,1989
egy,789,1990
egy,787,1991
egy,818,1992
egy,831,1993
egy,836,1994
egy,1101,1995
egy,1210,1996
egy,1633,1998
egy,1682,1999
egy,1615,2000
egy,1387,2001
egy,1425,2002
slv,96,1984
slv,56,1985
slv,53,1989
slv,54,1990
slv,36,1991
slv,108,1992
slv,85,1993
slv,86,1994
slv,67,1995
est,2600,1994
est,14770,1995
est,21160,1996
est,26640,1997
est,35500,1998
est,41760,1999
est,60240,2000
est,77170,2001
est,157900,2002
eth,3,1996
eth,4,1997
eth,12,1999
eth,7,2000
fji,20,1984
fji,18,1985
fji,17,1986
fin,5183,1984
fin,7017,1985
fin,7521,1986
fin,8374,1987
fin,9543,1988
fin,10850,1989
fin,12610,1990
fin,12100,1991
fin,14930,1992
fin,15650,1993
fin,19580,1994
fin,22720,1995
fin,64820,1996
fin,109400,1997
fin,146900,1998
fin,159000,1999
fin,198300,2000
fin,230400,2001
fin,251600,2002
fra,20200,1984
fra,56110,1985
fra,58850,1986
fra,62580,1987
fra,68380,1988
fra,74940,1989
fra,81880,1990
fra,79080,1991
fra,82040,1992
fra,82140,1993
fra,86280,1994
fra,89770,1995
fra,98510,1996
fra,112600,1997
fra,130000,1998
fra,138500,1999
fra,160200,2000
fra,175100,2001
fra,182000,2002
gmb,26,1986
gmb,16,1987
gmb,24,1988
gmb,30,1989
gmb,40,1990
gmb,62,1991
gmb,81,1992
gmb,98,1993
gmb,74,1994
gmb,46,1995
gmb,54,1996
gmb,200,1997
gmb,60270,1998
gmb,79700,1999
gmb,115400,2000
gmb,150100,2001
gmb,177100,2002
geo,428,1992
geo,1027,1993
geo,8169,1994
geo,15950,1995
geo,21410,1996
geo,26830,1997
geo,35730,1998
geo,41960,1999
geo,59370,2000
geo,76460,2001
geo,90080,2002
deu_east,13120,1984
deu_east,14010,1985
deu_east,13100,1986
deu_east,12860,1987
deu_east,12660,1988
deu_east,12050,1989
deu_east,7525,1990
deu,109200,1991
deu,115200,1992
deu,117800,1993
deu,127400,1994
deu,136600,1995
deu,155100,1996
deu,175600,1997
deu,202800,1998
deu,220800,1999
deu,262600,2000
deu,292400,2001
deu,310700,2002
deu_west,45210,1984
deu_west,83100,1985
deu_west,86110,1986
deu_west,88480,1987
deu_west,96000,1988
deu_west,102400,1989
deu_west,110300,1990
gha,15,1984
gha,9,1985
gha,47,1986
gha,35,1987
gha,39,1988
gha,36,1989
gha,62,1990
gha,87,1991
gha,101,1992
gha,158,1993
gha,114,1994
gha,42,1995
gha,33,1996
gha,34100,1997
gha,66170,1998
gha,80030,1999
gha,115500,2000
gha,150200,2001
gha,177400,2002
grc,3490,1984
grc,3158,1985
grc,5324,1986
grc,12790,1987
grc,13760,1988
grc,15540,1989
grc,18910,1990
grc,32360,1991
grc,35960,1992
grc,36910,1993
grc,41020,1994
grc,45150,1995
grc,52800,1996
grc,82440,1997
grc,111300,1998
grc,119800,1999
grc,140500,2000
grc,155300,2001
grc,163000,2002
grd,3330,1998
grd,34700,1999
grd,57010,2000
grd,75420,2001
grd,89410,2002
gtm,115,1984
gtm,302,1985
gtm,131,1986
gtm,86,1987
gtm,101,1988
gtm,84,1989
gtm,81,1990
gtm,95,1991
gtm,73,1992
gtm,81,1993
gtm,93,1994
gtm,62,1995
gtm,104,1996
gtm,135,1997
gtm,207,1998
gtm,231,1999
gtm,226,2000
gtm,265,2001
gnb,25,1997
gnb,15570,1998
gnb,1,1999
guy,5,1984
guy,17,1985
guy,17,1986
guy,3,1987
guy,14,1988
guy,10,1989
guy,6,1990
hti,13,1984
hti,21,1985
hti,24,1986
hti,18,1987
hti,5,1988
hti,8,1991
hti,9,1996
hti,6,1999
hnd,23,1984
hnd,28,1985
hnd,43,1987
hnd,27,1988
hnd,23,1990
hnd,19,1991
hnd,30,1992
hnd,47,1995
hnd,136,1996
hnd,151,1998
hnd,156,1999
hnd,139,2000
hnd,162,2001
hnd,168,2002
hun,4475,1984
hun,5224,1985
hun,5560,1986
hun,6311,1987
hun,6889,1988
hun,7067,1989
hun,9133,1990
hun,9950,1991
hun,10930,1992
hun,12780,1993
hun,17040,1994
hun,20890,1995
hun,24980,1996
hun,30100,1997
hun,38710,1998
hun,44970,1999
hun,62440,2000
hun,79200,2001
hun,92460,2002
isl,98,1984
isl,92,1985
isl,121,1986
isl,119,1987
isl,126,1988
isl,105,1989
isl,130,1990
isl,133,1991
isl,149,1992
isl,146,1993
isl,130,1994
isl,9331,1995
isl,20520,1996
isl,26300,1997
isl,35180,1998
