geo,patent_applications_total,time
lka,34970,1998
lka,41260,1999
lka,58930,2000
lka,76100,2001
lka,89760,2002
sdn,306,1985
sdn,622,1986
sdn,887,1987
sdn,1316,1988
sdn,1816,1989
sdn,3202,1990
sdn,4411,1991
sdn,5986,1992
sdn,8473,1993
sdn,16080,1994
sdn,28950,1995
sdn,39060,1996
sdn,49920,1997
sdn,67720,1998
sdn,80430,1999
sdn,115900,2000
sdn,150400,2001
sdn,177300,2002
swz,35,1984
swz,30,1985
swz,15,1988
swz,56,1989
swz,33,1990
swz,60,1991
swz,126,1992
swz,98,1993
swz,2440,1994
swz,15000,1995
swz,20320,1996
swz,25670,1997
swz,34540,1998
swz,40670,1999
swz,58030,2000
swz,75090,2001
swz,88380,2002
swe,6674,1984
swe,30250,1985
swe,32640,1986
swe,34660,1987
swe,39230,1988
swe,44030,1989
swe,49600,1990
swe,48570,1991
swe,52730,1992
swe,55640,1993
swe,63700,1994
swe,70560,1995
swe,83440,1996
swe,115000,1997
swe,149500,1998
swe,165100,1999
swe,204200,2000
swe,231500,2001
swe,256300,2002
che,6107,1984
che,28940,1985
che,31380,1986
che,33900,1987
che,38960,1988
che,43560,1989
che,49400,1990
che,48500,1991
che,52940,1992
che,55560,1993
che,63310,1994
che,69740,1995
che,78280,1996
che,112900,1997
che,147600,1998
che,162400,1999
che,201600,2000
che,233700,2001
che,254400,2002
syr,55,1995
syr,296,2000
syr,30,2002
tjk,7075,1994
tjk,15630,1995
tjk,19600,1996
tjk,24760,1997
tjk,33780,1998
tjk,40140,1999
tjk,58130,2000
tjk,75460,2001
tjk,89390,2002
tha,667,1984
tha,707,1985
tha,694,1986
tha,882,1987
tha,1119,1988
tha,1424,1989
tha,1940,1990
tha,1987,1991
tha,1962,1992
tha,3345,1993
tha,3928,1994
tha,4558,1996
tha,5443,1997
tha,5071,1998
tha,5665,2000
mkd,128,1993
mkd,236,1994
mkd,3184,1995
mkd,18990,1996
mkd,26150,1997
mkd,35130,1998
mkd,89420,1999
mkd,111700,2000
mkd,130100,2001
mkd,140600,2002
tto,67,1992
tto,91,1993
tto,7284,1994
tto,15540,1995
tto,20810,1996
tto,26340,1997
tto,34970,1998
tto,41240,1999
tto,58970,2000
tto,76050,2001
tto,89900,2002
tun,213,1984
tun,216,1985
tun,167,1986
tun,144,1989
tun,160,1990
tun,128,1991
tun,142,1993
tun,144,1994
tun,146,1995
tun,174,1996
tun,195,2001
tun,72600,2002
tur,600,1984
tur,593,1985
tur,726,1986
tur,898,1987
tur,900,1988
tur,1048,1989
tur,1228,1990
tur,1205,1991
tur,1252,1992
tur,1226,1993
tur,1367,1994
tur,1712,1995
tur,20040,1996
tur,28220,1997
tur,37390,1998
tur,43830,1999
tur,77270,2000
tur,229300,2001
tur,251000,2002
tkm,8420,1995
tkm,19010,1996
tkm,24640,1997
tkm,33700,1998
tkm,40110,1999
tkm,58060,2000
tkm,75440,2001
tkm,89330,2002
uga,28,1984
uga,33,1985
uga,33,1986
uga,37,1987
uga,47,1988
uga,46,1989
uga,59,1990
uga,74,1991
uga,96,1992
uga,104,1993
uga,80,1994
uga,20840,1995
uga,38500,1996
uga,49760,1997
uga,67610,1998
uga,80420,1999
uga,115900,2000
uga,150400,2001
uga,177300,2002
ukr,579,1992
ukr,19360,1993
ukr,19640,1994
ukr,22350,1995
ukr,26500,1996
ukr,32730,1997
ukr,41950,1998
ukr,48270,1999
ukr,65920,2000
ukr,84430,2001
ukr,90600,2002
ussr,1941,1984
ussr,168000,1985
ussr,173000,1986
ussr,182000,1987
ussr,176900,1988
ussr,151800,1989
ussr,123800,1990
ussr,30180,1991
are,8,1998
are,24220,1999
are,56160,2000
are,75410,2001
are,89670,2002
gbr,32830,1984
gbr,70180,1985
gbr,73420,1986
gbr,76510,1987
gbr,84180,1988
gbr,90230,1989
gbr,97890,1990
gbr,95530,1991
gbr,99240,1992
gbr,101200,1993
gbr,108400,1994
gbr,115800,1995
gbr,129400,1996
gbr,148200,1997
gbr,176200,1998
gbr,192900,1999
gbr,233200,2000
gbr,264700,2001
gbr,284900,2002
tza,30,1985
tza,37,1988
tza,23,1989
tza,14470,1999
tza,108900,2000
tza,148700,2001
tza,176800,2002
usa,111300,1984
usa,117000,1985
usa,122400,1986
usa,133800,1987
usa,147300,1988
usa,161700,1989
usa,176100,1990
usa,177400,1991
usa,187300,1992
usa,191400,1993
usa,209700,1994
usa,235400,1995
usa,223400,1996
usa,236700,1997
usa,262800,1998
usa,294700,1999
usa,331800,2000
usa,375700,2001
usa,381700,2002
ury,190,1984
ury,168,1985
ury,163,1986
ury,135,1987
ury,172,1988
ury,134,1989
ury,171,1991
ury,179,1992
ury,176,1993
ury,169,1994
ury,256,1995
ury,207,1996
ury,402,1997
ury,496,1998
ury,552,1999
ury,616,2000
ury,496,2002
uzb,3768,1993
uzb,12240,1994
uzb,16910,1995
uzb,22000,1996
uzb,27310,1997
uzb,35110,1998
uzb,42360,1999
uzb,59860,2000
uzb,77240,2001
uzb,90620,2002
ven,2234,1984
ven,1530,1985
ven,1574,1986
ven,1681,1987
ven,1367,1989
ven,1352,1990
ven,1361,1991
ven,1540,1992
ven,1675,1993
ven,1729,1994
ven,2004,1996
ven,2524,1997
ven,2348,2000
vnm,73,1985
vnm,65,1986
vnm,72,1988
vnm,70,1989
vnm,79,1990
vnm,62,1991
vnm,83,1992
vnm,5008,1993
vnm,12450,1994
vnm,16980,1995
vnm,22240,1996
vnm,27440,1997
vnm,35750,1998
vnm,42210,1999
vnm,59780,2000
vnm,76540,2001
vnm,90140,2002
yug,2257,1984
yug,2072,1985
yug,2287,1986
yug,2451,1987
yug,2406,1988
yug,2509,1989
yug,2481,1990
yug,2010,1991
zmb,79,1984
zmb,105,1985
zmb,133,1986
zmb,120,1987
zmb,109,1988
zmb,92,1989
zmb,105,1990
zmb,120,1991
zmb,161,1992
zmb,173,1993
zmb,90,1994
zmb,94,1995
zmb,99,1996
zmb,96,1997
zmb,93,1998
zmb,92,1999
zmb,10,2000
zmb,3186,2001
zmb,157700,2002
zwe,225,1984
zwe,250,1985
zwe,287,1986
zwe,263,1987
zwe,216,1988
zwe,219,1989
zwe,260,1990
zwe,270,1991
zwe,302,1992
zwe,293,1993
zwe,91,1994
zwe,233,1995
zwe,211,1996
zwe,21970,1997
zwe,66270,1998
zwe,80170,1999
zwe,115800,2000
zwe,150400,2001
zwe,177500,2002
