geo,data_quality_population,time
afg,5,1800
akr_a_dhe,5,1800
asm,5,1700
asm,4,1800
asm,4,1850
asm,2,1900
asm,2,1912
asm,2,1920
asm,2,1930
asm,2,1940
and,5,1800
and,5,1820
ago,5,1800
ago,5,1820
ago,2,1940
aia,5,1800
atg,5,1800
atg,2,1851
atg,2,1861
atg,2,1871
atg,2,1881
atg,2,1891
atg,2,1901
atg,2,1911
atg,2,1921
atg,2,1946
arg,5,1800
arm,5,1800
abw,5,1800
aus,5,1600
aus,5,1700
aze,5,1800
bhs,5,1800
bhs,2,1851
bhs,2,1861
bhs,2,1871
bhs,2,1881
bhs,2,1891
bhs,2,1901
bhs,2,1911
bhs,2,1921
bhs,2,1931
bhs,2,1943
bhr,5,1800
brb,5,1800
brb,2,1851
brb,2,1861
brb,2,1871
brb,2,1881
brb,2,1891
brb,2,1901
brb,2,1911
brb,2,1921
brb,2,1946
blr,5,1800
blz,5,1800
blz,2,1861
blz,2,1871
blz,2,1881
blz,2,1891
blz,2,1901
blz,2,1911
blz,2,1921
blz,2,1931
blz,2,1946
ben,5,1800
ben,5,1820
bmu,2,1843
bmu,2,1851
bmu,2,1861
bmu,2,1871
bmu,2,1881
bmu,2,1891
bmu,2,1901
bmu,2,1911
bmu,2,1921
bmu,2,1931
bmu,2,1939
btn,5,1800
bol,5,1800
bih,5,1800
bwa,5,1800
bwa,2,1904
bwa,2,1911
bwa,2,1921
bwa,2,1936
bwa,3,1946
bra,4,1600
bra,4,1700
vgb,5,1800
vgb,2,1841
vgb,2,1871
vgb,2,1881
vgb,2,1891
vgb,2,1901
vgb,2,1911
vgb,2,1921
vgb,2,1946
brn,5,1800
brn,2,1911
brn,2,1921
brn,2,1931
brn,2,1947
bfa,5,1800
bfa,5,1820
bdi,5,1800
bdi,5,1820
khm,5,1800
cmr,5,1800
cmr,5,1820
cmr,3,1926
cmr,3,1931
cmr,3,1936
cpv,5,1800
cpv,5,1820
cym,5,1800
cym,2,1891
cym,2,1911
cym,2,1921
cym,2,1943
caf,5,1800
caf,5,1820
caf,2,1936
tcd,5,1800
tcd,2,1936
chanisl,5,1800
chanisl,5,1820
chl,5,1800
cxr,2,1600
cxr,2,1888
cxr,4,1943
cck,2,1600
cck,2,1820
cck,3,1836
col,5,1800
com,5,1800
com,5,1820
cod,5,1800
cod,5,1820
cog,5,1800
cog,5,1820
cok,5,1700
cok,4,1800
cok,2,1902
cok,2,1906
cok,2,1911
cok,2,1916
cok,2,1921
cok,2,1926
cok,2,1936
cok,2,1945
cri,3,1700
cri,3,1751
cri,3,1778
cri,3,1801
cri,2,1824
cri,2,1836
cri,3,1844
cri,2,1864
cri,2,1875
cri,2,1883
cri,2,1892
civ,5,1800
civ,5,1820
hrv,5,1800
cub,2,1774
cub,2,1792
cub,2,1817
cub,2,1827
cub,2,1841
cub,2,1861
cub,2,1877
cub,2,1887
cyp,2,1881
cyp,2,1891
cyp,2,1901
cyp,2,1911
cyp,2,1921
cyp,2,1931
cyp,2,1946
cze,5,1800
dji,5,1800
dji,5,1820
dma,5,1800
dma,2,1844
dma,2,1861
dma,2,1871
dma,2,1881
dma,2,1891
dma,2,1901
dma,2,1911
dma,2,1921
dma,2,1946
dom,5,1800
deu_east,5,1800
ecu,5,1800
egy,3,1820
egy,3,1870
slv,5,1800
gnq,5,1800
gnq,5,1820
gnq,2,1920
gnq,2,1932
gnq,2,1942
eri,5,1800
est,5,1800
eth,5,1800
fro,5,1800
fro,5,1820
flk,5,1800
flk,4,1850
fji,5,1700
fji,4,1800
fji,2,1881
fji,2,1891
fji,2,1901
fji,2,1911
fji,2,1921
fji,2,1936
fji,2,1946
guf,5,1800
pyf,5,1700
pyf,4,1800
pyf,2,1926
pyf,2,1931
pyf,2,1936
pyf,2,1946
gab,5,1800
gab,5,1820
gmb,5,1800
gmb,5,1820
geo,5,1800
gha,5,1800
gha,5,1820
gib,5,1800
gib,5,1820
grl,5,1800
grl,5,1820
grd,5,1800
grd,2,1851
grd,2,1861
grd,2,1871
grd,2,1881
grd,2,1891
grd,2,1901
grd,2,1911
grd,2,1921
grd,2,1946
glp,5,1800
gum,2,1901
gum,2,1910
gum,2,1920
gum,2,1930
gum,2,1940
gtm,2,1771
gbg,5,1800
gbg,5,1820
gin,5,1800
gin,5,1820
gnb,5,1800
gnb,5,1820
guy,5,1800
hti,5,1800
hos,5,1800
hnd,2,1791
hnd,2,1801
hkg,5,1800
isl,5,1800
isl,5,1820
gbm,5,1800
gbm,5,1820
isr,5,1800
isr,4,1850
isr,4,1860
isr,3,1877
isr,3,1878
isr,3,1879
isr,3,1880
isr,3,1881
isr,3,1882
isr,3,1883
isr,3,1884
isr,3,1885
isr,3,1886
isr,3,1887
isr,3,1888
isr,3,1889
isr,3,1890
isr,3,1891
isr,3,1892
isr,3,1893
isr,3,1894
isr,3,1895
isr,3,1896
isr,3,1897
isr,3,1898
