malnutrition_weight_for_age_percent_of_children_under_5,geo,time
0.7,jor,2002
0.2,jor,2009
1.2,kaz,1999
1.7,kaz,2006
7.1,ken,1993
6.7,ken,2000
5.0,ken,2003
4.1,ken,2009
6.9,prk,2002
3.9,prk,2009
0.0,kor,2003
0.5,kwt,2001
0.5,kwt,2002
0.5,kwt,2003
0.6,kwt,2004
0.5,kwt,2005
0.5,kwt,2006
0.5,kwt,2007
0.5,kwt,2008
0.3,kwt,2009
1.8,kgz,1997
0.5,kgz,2006
15.4,lao,2000
9.8,lao,2006
0.6,lbn,1996
1.4,lbn,2004
4.6,lso,2000
4.7,lso,2004
2.8,lso,2009
8.6,lbr,2000
7.2,lbr,2007
0.9,lby,1995
2.0,lby,2007
0.6,mkd,1999
0.6,mkd,2005
11.2,mdg,1992
12.6,mdg,2004
9.0,mwi,1992
7.4,mwi,2000
5.6,mwi,2004
3.9,mwi,2006
3.6,mwi,2009
3.7,mwi,2010
2.4,mys,2006
8.6,mdv,1994
18.9,mdv,1997
6.7,mdv,2001
3.5,mdv,2009
12.5,mli,1987
19.9,mli,1996
11.9,mli,2001
11.3,mli,2006
21.7,mrt,1990
13.2,mrt,2000
7.3,mrt,2007
2.6,mrt,2008
4.0,mex,1989
1.3,mex,1999
0.6,mex,2006
0.5,mda,2005
1.6,mng,1997
3.3,mng,1999
3.9,mng,2000
0.6,mng,2004
1.6,mng,2005
1.1,mne,2005
3.6,mar,1987
2.4,mar,1992
2.2,mar,1997
3.2,mar,2003
0.8,mar,2011
7.9,moz,2003
5.1,moz,2008
9.5,mmr,2000
9.4,mmr,2003
5.6,mmr,2010
6.5,nam,1992
6.4,nam,2000
4.6,nam,2007
25.4,npl,1975
11.5,npl,1998
13.2,npl,2001
11.0,npl,2006
8.1,npl,2011
0.1,nld,1980
1.9,nic,1993
2.7,nic,1997
2.6,nic,1998
2.1,nic,2001
1.7,nic,2004
0.9,nic,2007
18.0,ner,1992
19.0,ner,2000
16.5,ner,2006
15.1,nga,1990
11.9,nga,2003
12.7,nga,2008
1.6,omn,1999
1.3,omn,2009
17.5,pak,1991
14.6,pak,1992
12.7,pak,2001
11.3,pak,2011
1.3,pan,1997
0.8,pan,2008
6.8,png,1983
5.2,png,2005
0.7,pry,1990
2.2,per,1992
1.4,per,1996
1.0,per,2000
0.6,per,2005
0.5,per,2008
4.8,phl,2003
4.3,phl,2008
0.0,prt,2001
0.8,rou,1999
0.9,rou,2000
0.9,rou,2001
0.8,rou,2002
6.9,rwa,1992
6.2,rwa,2000
4.9,rwa,2005
2.5,rwa,2010
3.0,stp,2000
4.3,stp,2008
1.0,sau,2005
7.8,sen,1993
7.0,sen,2000
3.9,sen,2005
5.8,sen,2011
0.6,srb,2005
9.7,sle,2000
11.1,sle,2005
8.0,sle,2008
1.9,sgp,1974
0.4,sgp,2000
6.0,slb,1970
3.5,slb,1989
2.4,slb,2007
13.1,som,2006
3.0,zaf,2003
5.4,zaf,2004
4.7,lka,2000
3.7,lka,2007
3.9,lka,2009
12.7,sdn,1993
15.6,sdn,1995
17.8,sdn,2000
16.4,sdn,2006
2.8,sur,2000
1.2,sur,2006
3.1,swz,2000
1.5,swz,2006
1.1,swz,2008
4.4,syr,1993
3.8,syr,2001
3.4,syr,2006
3.7,syr,2009
4.3,tjk,2005
6.0,tjk,2007
8.5,tza,1992
9.0,tza,1996
7.8,tza,1999
4.1,tza,2004
4.1,tza,2010
3.1,tha,1987
0.7,tha,2006
14.6,tls,2002
14.6,tls,2008
16.9,tls,2009
7.1,tgo,1988
8.6,tgo,2006
3.2,tgo,2008
0.5,tto,1987
1.0,tto,2000
6.5,tun,1974
2.9,tun,1994
0.9,tun,2006
2.4,tur,1993
2.0,tur,1998
0.8,tur,2004
0.3,tuv,2007
5.7,uga,1988
7.4,uga,1995
5.8,uga,2000
4.7,uga,2006
1.3,ukr,2000
0.2,usa,1991
0.2,usa,2001
5.4,uzb,1996
2.3,uzb,2002
1.4,uzb,2006
2.4,vut,2007
0.6,pse,2007
9.7,vnm,1993
7.9,vnm,1999
5.9,vnm,2000
5.1,vnm,2002
5.2,vnm,2003
5.0,vnm,2004
5.0,vnm,2005
5.0,vnm,2006
5.7,vnm,2007
3.8,vnm,2008
8.5,yem,1991
21.0,yem,1997
18.5,yem,2003
6.4,zmb,1992
6.2,zmb,1996
5.7,zmb,1999
7.4,zmb,2002
3.5,zmb,2007
1.7,zwe,1988
2.9,zwe,1994
3.0,zwe,1999
4.1,zwe,2005
2.2,zwe,2010
