malnutrition_weight_for_age_percent_of_children_under_5,geo,time
12.2,afg,2004
7.8,alb,2000
1.7,alb,2005
2.2,alb,2009
2.8,dza,1992
4.3,dza,1995
1.3,dza,2000
4.5,dza,2002
1.3,dza,2005
15.2,ago,1996
6.6,ago,2007
3.9,atg,1981
0.4,arg,2005
0.5,arm,1998
0.5,arm,2000
1.1,arm,2005
1.7,arm,2010
5.8,aze,2000
2.3,aze,2006
26.8,bgd,1991
25.9,bgd,1992
22.1,bgd,1993
23.3,bgd,1994
21.6,bgd,1995
20.3,bgd,1996
21.5,bgd,1997
17.3,bgd,1998
15.4,bgd,1999
14.4,bgd,2000
13.9,bgd,2001
12.4,bgd,2002
11.8,bgd,2003
14.1,bgd,2004
10.3,bgd,2005
10.3,bgd,2006
12.1,bgd,2007
1.6,brb,1981
0.5,blr,2005
1.5,blz,2006
6.9,ben,2001
6.3,ben,2006
3.3,btn,1999
1.7,btn,2008
3.2,btn,2010
1.5,bol,1998
1.6,bol,2003
1.0,bol,2008
1.2,bih,2000
0.6,bih,2006
3.6,bwa,2000
3.8,bwa,2007
1.1,bra,1989
1.0,bra,1996
0.9,bra,2003
0.3,bra,2007
1.0,bgr,2004
11.3,bfa,1993
15.0,bfa,1999
16.6,bfa,2003
20.1,bfa,2006
7.0,bfa,2009
14.2,bdi,2000
17.0,khm,1996
14.6,khm,2000
7.6,khm,2005
9.1,khm,2008
7.5,khm,2010
3.4,cmr,1990
7.3,cmr,1991
5.1,cmr,2004
5.7,cmr,2006
0.2,can,1971
7.6,caf,2000
11.8,caf,2006
14.8,tcd,1997
12.4,tcd,2000
15.0,tcd,2004
2.6,chn,1990
3.5,chn,1992
2.3,chn,1995
1.3,chn,1998
1.1,chn,2000
1.5,chn,2002
0.3,chn,2004
0.7,chn,2005
0.9,chn,2008
0.8,chn,2009
0.6,chn,2010
1.3,col,1995
1.1,col,2000
0.8,col,2005
0.6,col,2010
13.3,com,2000
17.6,cod,2001
13.4,cod,2007
3.4,cog,2005
5.6,civ,1998
5.4,civ,2006
11.1,civ,2007
0.0,hrv,1990
0.3,cze,2001
10.6,dji,2002
14.6,dji,2006
0.0,dma,1984
2.4,dom,1991
1.2,dom,1996
1.1,dom,2000
0.8,dom,2002
0.6,dom,2007
1.4,ecu,2004
4.5,egy,1991
2.7,egy,1993
3.6,egy,1995
1.1,egy,2000
2.5,egy,2003
1.7,egy,2005
1.9,egy,2008
2.1,slv,1988
1.3,slv,1993
1.5,slv,1998
0.7,slv,2003
1.3,slv,2008
3.0,gnq,1997
5.1,gnq,2000
4.7,gnq,2004
12.8,eri,2002
17.5,eth,2000
13.7,eth,2005
9.5,eth,2011
2.5,gab,2000
4.4,gmb,2000
3.9,gmb,2006
0.5,geo,2000
1.0,geo,2005
0.5,geo,2009
0.1,deu,2005
6.0,gha,1999
5.6,gha,2003
4.0,gha,2006
3.6,gha,2008
7.4,gtm,1968
7.8,gtm,1972
4.7,gtm,1977
8.0,gtm,1987
5.7,gtm,1988
6.8,gtm,1995
1.9,gtm,1998
5.4,gtm,1999
3.9,gtm,2002
0.0,gtm,2006
2.2,gtm,2009
7.6,gin,1999
7.9,gin,2005
7.9,gnb,2000
6.4,gnb,2006
3.9,gnb,2008
4.2,guy,2000
3.6,guy,2006
2.4,guy,2009
9.1,hti,1994
4.3,hti,2000
7.3,hti,2006
4.2,hnd,1996
2.3,hnd,2001
1.6,hnd,2006
0.3,hun,1984
24.3,ind,1993
20.0,ind,1999
17.4,ind,2006
7.2,idn,1989
8.1,idn,1992
12.0,idn,1995
10.9,idn,1998
8.9,idn,1999
6.1,idn,2000
4.8,idn,2001
8.4,idn,2002
8.6,idn,2003
4.1,idn,2004
9.6,idn,2005
5.1,idn,2007
4.4,idn,2010
3.1,irq,2000
2.5,irq,2006
0.8,jam,1994
1.1,jam,1995
1.6,jam,1996
1.1,jam,1997
0.8,jam,1998
0.2,jam,1999
2.1,jam,2000
1.5,jam,2001
0.8,jam,2002
1.4,jam,2004
1.0,jor,1990
0.8,jor,1997
