geo,self_employed_percent_of_labour_force,time
dza,29.3,2001
dza,27.8,2003
dza,31.7,2004
asm,2.2,1990
aia,13.7,1999
aia,19.0,2001
atg,17.8,1991
arg,29.6,1990
arg,28.7,1991
arg,28.6,1992
arg,29.9,1993
arg,28.2,1994
arg,27.9,1995
arg,27.5,1996
arg,26.7,1997
arg,26.5,1998
arg,26.2,1999
arg,26.4,2000
arg,27.1,2001
arg,27.2,2002
arg,24.6,2003
arg,24.5,2004
arg,24.3,2005
arg,23.1,2006
abw,7.4,1991
aus,16.2,1980
aus,15.5,1981
aus,15.7,1982
aus,15.6,1983
aus,15.8,1984
aus,15.4,1985
aus,15.1,1986
aus,14.9,1987
aus,14.9,1988
aus,14.3,1989
aus,14.3,1990
aus,14.7,1991
aus,15.1,1992
aus,15.4,1993
aus,14.9,1994
aus,14.5,1995
aus,14.2,1996
aus,14.3,1997
aus,13.9,1998
aus,13.7,1999
aus,13.3,2000
aus,13.2,2001
aus,13.4,2002
aus,13.0,2003
aus,12.8,2004
aus,12.6,2005
aus,12.2,2006
aus,11.8,2007
aut,17.1,1980
aut,16.7,1981
aut,16.0,1982
aut,16.0,1983
aut,15.3,1984
aut,10.5,1985
aut,10.4,1986
aut,10.4,1987
aut,10.4,1988
aut,10.5,1989
aut,10.5,1990
aut,10.2,1991
aut,10.2,1992
aut,10.0,1993
aut,10.5,1994
aut,10.8,1995
aut,10.6,1996
aut,10.5,1997
aut,10.7,1998
aut,10.6,1999
aut,10.4,2000
aut,10.7,2001
aut,10.7,2002
aut,10.6,2003
aut,11.7,2004
aut,11.8,2005
aut,12.0,2006
aut,12.0,2007
aze,26.7,2003
aze,48.2,2004
aze,49.4,2005
aze,59.0,2006
aze,58.2,2007
bhs,12.6,1993
bhs,13.9,1994
bhs,13.7,1995
bhs,15.8,1996
bhs,14.7,1997
bhs,14.5,1998
bhs,15.6,1999
bhs,13.8,2001
bhs,15.0,2002
bhs,14.2,2003
bhs,14.8,2004
bgd,29.6,1996
bgd,35.3,2000
bgd,65.1,2003
bgd,63.6,2005
brb,11.8,1990
brb,12.1,1991
brb,12.9,1992
brb,13.6,1993
brb,12.9,1994
brb,12.7,1995
brb,12.4,1996
brb,12.0,1997
brb,12.5,1998
brb,13.9,1999
brb,12.6,2000
brb,14.0,2001
brb,14.0,2002
brb,14.4,2003
brb,15.2,2004
bel,13.2,1980
bel,13.5,1981
bel,13.7,1982
bel,14.1,1983
bel,14.2,1984
bel,14.2,1985
bel,14.3,1986
bel,14.4,1987
bel,14.3,1988
bel,14.3,1989
bel,14.3,1990
bel,14.4,1991
bel,14.5,1992
bel,14.9,1993
bel,15.0,1994
bel,15.0,1995
bel,15.1,1996
bel,15.1,1997
bel,14.9,1998
bel,14.7,1999
bel,13.5,2005
bel,13.5,2006
blz,26.4,1993
blz,26.0,1994
blz,27.7,1995
blz,30.0,1996
blz,31.1,1997
blz,29.1,1998
blz,31.5,1999
blz,26.7,2005
btn,21.2,2005
bol,40.1,1989
bol,38.3,1990
bol,37.5,1991
bol,39.2,1992
bol,36.4,1993
bol,37.7,1994
bol,37.9,1995
bol,40.3,1996
bol,43.6,1997
bol,43.6,1999
bol,42.7,2000
bol,41.9,2001
bol,44.4,2002
bih,21.7,2006
bwa,53.8,1984
bwa,12.6,1994
bwa,10.9,1998
bwa,13.2,2000
bwa,15.9,2001
bwa,12.2,2003
bra,28.0,1990
bra,31.5,1992
bra,31.1,1993
bra,32.2,1995
bra,31.2,1996
bra,19.7,1997
bra,20.1,1998
bra,20.3,1999
bra,30.5,2001
bra,30.6,2002
bra,30.9,2003
bra,30.2,2004
bra,25.9,2005
bra,25.6,2006
vgb,11.0,1991
brn,4.6,1991
bgr,16.4,2001
bgr,13.1,2003
bgr,13.1,2004
bgr,12.5,2005
bgr,11.9,2006
bgr,11.2,2007
bfa,30.3,1985
bfa,26.3,1994
khm,41.3,2000
khm,40.9,2001
khm,41.2,2004
cmr,68.6,1996
cmr,59.3,2001
can,8.1,1980
can,8.0,1981
can,8.6,1982
can,8.9,1983
can,9.1,1984
can,9.7,1985
can,9.0,1986
can,13.3,1987
can,13.6,1988
can,13.3,1989
can,13.8,1990
can,14.4,1991
can,14.6,1992
can,15.2,1993
can,15.5,1994
can,15.4,1995
can,16.2,1996
can,16.7,1997
can,16.7,1998
can,16.6,1999
can,15.8,2000
can,15.0,2001
can,14.9,2002
can,15.1,2003
can,15.2,2004
can,15.4,2005
can,15.0,2006
can,15.4,2007
cpv,31.8,2000
cym,10.2,2006
cym,7.6,2007
tcd,65.6,1993
chl,25.2,1990
chl,27.5,1991
chl,25.0,1992
chl,27.1,1993
chl,24.8,1994
chl,27.6,1995
chl,27.3,1996
chl,27.2,1997
chl,28.4,1998
chl,28.5,1999
chl,28.2,2000
chl,29.4,2001
chl,29.4,2002
chl,29.7,2003
chl,29.6,2004
chl,27.8,2005
chl,27.0,2006
chl,26.2,2007
col,31.8,1991
col,30.7,1992
col,30.3,1993
col,29.2,1994
col,32.8,1995
col,32.5,1996
col,33.9,1997
col,34.9,1998
col,37.0,1999
col,38.0,2000
col,44.8,2001
col,44.2,2002
col,43.9,2003
col,45.4,2004
col,43.3,2005
col,42.3,2006
col,41.2,2007
cri,19.6,1980
cri,18.5,1981
cri,18.5,1982
cri,19.0,1983
cri,19.5,1984
cri,19.9,1985
cri,19.3,1986
cri,24.0,1987
cri,24.4,1988
cri,24.8,1989
cri,24.8,1990
cri,26.0,1991
cri,24.5,1992
cri,24.5,1993
cri,24.7,1994
cri,24.9,1995
cri,25.6,1996
cri,27.0,1997
cri,25.8,1998
cri,26.1,1999
cri,26.7,2000
cri,28.3,2001
cri,28.6,2002
cri,27.9,2003
cri,28.9,2004
cri,26.3,2005
cri,27.1,2006
cri,25.1,2007
hrv,20.7,1996
hrv,18.4,1997
hrv,18.5,1998
hrv,19.2,1999
hrv,18.9,2000
hrv,19.5,2001
hrv,19.0,2002
hrv,20.4,2003
hrv,20.8,2004
hrv,22.5,2005
hrv,20.8,2006
hrv,19.3,2007
cub,1.6,1981
cub,16.0,1995
cub,15.7,1996
cub,16.4,1997
cub,17.3,1998
cub,18.5,1999
cub,19.0,2000
cub,19.9,2001
cub,19.8,2002
cub,20.3,2003
cub,20.2,2004
cub,19.6,2005
cub,18.0,2006
cub,16.9,2007
cyp,20.8,1999
cyp,20.7,2000
cyp,20.4,2001
cyp,19.8,2002
cyp,20.2,2003
cyp,20.4,2004
cyp,20.5,2005
cyp,19.3,2006
cyp,18.6,2007
cze,12.7,1993
cze,12.8,1994
cze,13.3,1995
cze,13.5,1996
cze,13.5,1997
cze,14.5,1998
cze,15.0,1999
cze,15.5,2000
cze,15.4,2001
cze,16.2,2002
cze,17.0,2003
cze,16.7,2004
cze,15.7,2005
cze,15.8,2006
cze,15.8,2007
dnk,11.8,1981
dnk,11.7,1983
dnk,10.4,1984
dnk,9.9,1985
dnk,9.4,1986
dnk,9.3,1987
dnk,8.9,1988
dnk,9.3,1989
dnk,9.6,1990
dnk,9.1,1991
dnk,8.9,1992
dnk,9.1,1993
dnk,8.5,1994
dnk,8.3,1995
dnk,8.4,1996
dnk,7.9,1997
dnk,8.2,1998
dnk,8.3,1999
dnk,7.7,2000
dnk,8.0,2001
dnk,8.2,2002
dnk,8.1,2003
dnk,7.8,2004
dnk,7.8,2005
dnk,8.2,2006
dnk,8.2,2007
dji,17.7,1991
dma,33.4,1991
dma,31.9,1997
dma,38.9,1999
dma,29.4,2001
dom,37.1,1991
dom,39.0,1992
dom,36.9,1993
dom,35.2,1994
dom,37.5,1995
dom,35.9,1996
dom,42.4,1997
dom,44.4,1998
dom,45.8,1999
dom,41.5,2000
dom,43.4,2001
dom,44.5,2002
dom,44.1,2003
dom,42.9,2004
dom,43.8,2005
ecu,33.7,1988
ecu,35.2,1989
ecu,34.5,1990
ecu,34.6,1991
ecu,37.0,1992
ecu,36.9,1993
ecu,35.7,1994
ecu,34.9,1995
ecu,36.2,1996
ecu,36.0,1997
ecu,34.8,1998
ecu,35.0,1999
ecu,34.5,2000
ecu,33.9,2001
ecu,36.5,2002
ecu,34.3,2003
ecu,35.2,2004
ecu,34.3,2005
ecu,33.3,2006
egy,30.0,1993
egy,29.8,1994
egy,29.6,1995
egy,27.5,1996
egy,27.2,1997
egy,28.1,1998
egy,27.5,1999
egy,28.5,2000
egy,29.2,2001
egy,29.4,2002
egy,30.0,2003
egy,29.5,2004
egy,27.0,2005
egy,25.1,2006
slv,33.9,1993
slv,36.5,1994
slv,34.4,1995
slv,33.2,1996
slv,34.5,1997
slv,30.6,1998
slv,31.3,1999
slv,35.2,2000
slv,32.2,2001
slv,34.8,2002
slv,32.7,2003
slv,32.4,2004
slv,33.3,2005
slv,30.6,2006
gnq,38.3,1983
eri,19.3,1996
est,0.9,1989
est,1.3,1990
est,2.1,1991
est,3.4,1992
est,4.6,1993
est,5.4,1994
est,5.5,1995
est,6.0,1996
est,7.1,1997
est,7.8,1998
est,7.8,1999
est,8.3,2000
est,7.4,2001
est,7.5,2002
est,8.5,2003
est,9.1,2004
est,7.9,2005
est,7.8,2006
est,8.7,2007
eth,44.3,1999
eth,42.2,2004
eth,41.5,2005
eth,42.8,2006
fji,25.5,2005
fin,13.4,1980
fin,12.9,1981
fin,12.7,1982
fin,14.3,1983
fin,14.1,1984
fin,13.4,1985
fin,13.5,1986
fin,14.3,1987
fin,14.2,1988
fra,16.3,1980
fra,16.1,1981
fra,15.7,1982
fra,15.5,1983
fra,15.3,1984
fra,15.0,1985
fra,14.7,1986
fra,14.5,1987
fra,14.2,1988
fra,13.7,1989
fra,13.2,1990
fra,12.7,1991
fra,12.2,1992
fra,11.7,1993
fra,11.3,1994
fra,10.8,1995
fra,10.4,1996
fra,10.1,1997
fra,9.8,1998
fra,9.5,1999
fra,9.2,2000
fra,8.9,2001
fra,8.8,2002
fra,10.2,2003
fra,9.7,2004
fra,9.9,2005
fra,10.3,2006
fra,10.2,2007
gab,45.4,1993
geo,24.6,1998
geo,26.1,1999
geo,32.5,2000
geo,32.9,2001
geo,36.1,2002
geo,37.1,2003
geo,38.3,2004
geo,36.8,2005
geo,36.6,2006
geo,34.9,2007
deu,8.5,1980
deu,8.5,1981
deu,8.7,1982
deu,8.9,1983
deu,12.8,1984
deu,12.0,1985
deu,11.8,1986
deu,11.6,1987
deu,11.4,1988
deu,11.1,1989
deu,10.9,1990
deu,8.1,1991
deu,8.4,1992
deu,8.7,1993
deu,9.1,1994
deu,9.3,1995
deu,9.5,1996
deu,9.9,1997
deu,10.0,1998
deu,9.9,1999
deu,10.0,2000
deu,9.9,2001
deu,10.0,2002
deu,10.4,2003
deu,10.8,2004
deu,11.2,2005
deu,11.1,2006
deu,10.9,2007
grc,50.3,1980
grc,37.9,1981
grc,38.9,1982
grc,36.6,1983
grc,35.8,1984
grc,36.0,1985
grc,35.3,1986
grc,35.4,1987
grc,35.2,1988
grc,34.3,1989
grc,34.8,1990
grc,35.2,1991
grc,35.3,1992
grc,34.6,1993
grc,34.4,1994
grc,33.7,1995
grc,33.7,1996
grc,33.3,1997
grc,32.3,1998
grc,32.1,1999
grc,32.3,2000
grc,31.5,2001
grc,31.3,2002
grc,31.0,2003
grc,30.2,2004
grc,30.1,2005
grc,29.8,2006
grc,29.5,2007
grd,20.9,1988
grd,14.9,1991
grd,26.1,1996
grd,22.9,1998
gtm,36.5,1994
gtm,37.2,1998
gtm,35.4,2000
gtm,37.9,2002
guy,39.5,1992
hti,67.7,1990
hnd,40.1,1990
hnd,42.3,1991
hnd,40.1,1992
hnd,40.8,1994
hnd,41.1,1995
hnd,41.1,1996
hnd,41.4,1997
hnd,40.6,1998
hnd,40.2,1999
hnd,42.5,2001
hnd,41.2,2002
hnd,43.9,2003
hnd,39.8,2004
hnd,39.2,2005
hkg,10.5,1993
hkg,10.1,1994
hkg,10.2,1995
hkg,10.2,1996
hkg,9.7,1997
hkg,9.8,1998
hkg,10.2,1999
hkg,9.9,2000
