trade_balance_percent_of_gdp,geo,time
-2.514,aus,2005
-1.533,aus,2006
-1.238,aus,2007
-2.096,aus,2008
0.6072,aus,2009
-0.3095,aus,2010
-0.01411,aut,1960
1.103,aut,1961
1.215,aut,1962
0.5689,aut,1963
-0.1868,aut,1964
-0.6987,aut,1965
-1.508,aut,1966
-0.9,aut,1967
-0.3955,aut,1968
0.9707,aut,1969
0.1455,aut,1970
-0.09668,aut,1971
-0.2259,aut,1972
-0.4144,aut,1973
-1.137,aut,1974
-0.1908,aut,1975
-2.242,aut,1976
-4.263,aut,1977
-1.24,aut,1978
-1.345,aut,1979
-3.273,aut,1980
-2.191,aut,1981
-0.3918,aut,1982
-1.309,aut,1983
-0.8351,aut,1984
0.03917,aut,1985
0.2429,aut,1986
0.2153,aut,1987
-0.1615,aut,1988
-0.2353,aut,1989
0.197,aut,1990
-0.609,aut,1991
-1.087,aut,1992
-0.08896,aut,1993
-1.459,aut,1994
-0.951,aut,1995
-1.552,aut,1996
-0.5121,aut,1997
0.5767,aut,1998
1.174,aut,1999
1.747,aut,2000
2.195,aut,2001
4.76,aut,2002
3.493,aut,2003
3.778,aut,2004
3.984,aut,2005
5.061,aut,2006
5.729,aut,2007
5.756,aut,2008
4.75,aut,2009
4.308,aut,2010
4.625,aze,1990
4.454,aze,1991
31.61,aze,1992
-18.56,aze,1993
-5.907,aze,1994
-13.61,aze,1995
-26.03,aze,1996
-24.0,aze,1997
-31.83,aze,1998
-13.89,aze,1999
0.6633,aze,2000
3.605,aze,2001
-7.28,aze,2002
-23.54,aze,2003
-23.93,aze,2004
10.04,aze,2005
27.75,aze,2006
39.62,aze,2007
42.31,aze,2008
29.3,aze,2009
34.76,aze,2010
16.51,bhs,1977
15.15,bhs,1978
8.668,bhs,1979
7.504,bhs,1980
5.012,bhs,1981
6.235,bhs,1982
8.553,bhs,1983
5.281,bhs,1984
5.52,bhs,1985
5.913,bhs,1986
5.52,bhs,1987
-3.337,bhs,1989
-1.798,bhs,1990
-4.216,bhs,1991
-0.9675,bhs,1992
0.5734,bhs,1993
-2.359,bhs,1994
-5.367,bhs,1995
-9.781,bhs,1996
-5.265,bhs,1997
-8.097,bhs,1998
-1.695,bhs,1999
-2.489,bhs,2000
-3.553,bhs,2001
3.77,bhs,2002
2.049,bhs,2003
1.998,bhs,2004
-2.829,bhs,2005
-10.79,bhs,2006
-7.226,bhs,2007
-7.862,bhs,2008
-7.733,bhs,2009
-9.213,bhs,2010
8.868,bhr,1980
11.12,bhr,1981
12.2,bhr,1982
3.731,bhr,1983
2.642,bhr,1984
11.93,bhr,1985
13.9,bhr,1986
14.97,bhr,1987
17.84,bhr,1988
11.01,bhr,1989
20.95,bhr,1990
-10.64,bhr,1991
-12.36,bhr,1992
3.145,bhr,1993
7.208,bhr,1994
11.52,bhr,1995
11.71,bhr,1996
9.571,bhr,1997
0.7182,bhr,1998
15.9,bhr,1999
25.05,bhr,2000
21.85,bhr,2001
15.69,bhr,2002
18.22,bhr,2003
19.28,bhr,2004
23.1,bhr,2005
25.88,bhr,2006
25.38,bhr,2007
22.54,bhr,2008
0.6894,bgd,1960
-0.9176,bgd,1961
-0.06135,bgd,1962
-1.673,bgd,1963
-4.093,bgd,1964
-3.704,bgd,1965
-2.368,bgd,1966
-3.29,bgd,1967
-3.276,bgd,1968
-3.519,bgd,1969
-4.194,bgd,1970
-4.436,bgd,1971
-8.058,bgd,1972
-5.316,bgd,1973
-6.647,bgd,1974
-5.205,bgd,1975
-12.89,bgd,1976
-5.341,bgd,1977
-9.923,bgd,1978
-9.689,bgd,1979
-12.39,bgd,1980
-9.229,bgd,1981
-10.73,bgd,1982
-9.334,bgd,1983
-9.676,bgd,1984
-7.683,bgd,1985
-6.869,bgd,1986
-6.943,bgd,1987
-7.072,bgd,1988
-7.516,bgd,1989
-7.409,bgd,1990
-5.565,bgd,1991
-4.761,bgd,1992
-5.087,bgd,1993
-4.863,bgd,1994
-6.48,bgd,1995
-7.609,bgd,1996
-6.025,bgd,1997
-4.949,bgd,1998
-5.465,bgd,1999
-5.247,bgd,2000
-6.119,bgd,2001
-4.771,bgd,2002
-5.821,bgd,2003
-5.349,bgd,2004
-6.464,bgd,2005
-6.271,bgd,2006
-6.926,bgd,2007
-8.412,bgd,2008
-7.125,bgd,2009
-6.61,bgd,2010
-21.96,brb,1960
-13.77,brb,1961
-11.85,brb,1962
-5.775,brb,1963
-8.288,brb,1964
-10.12,brb,1965
-11.7,brb,1966
-9.568,brb,1967
-11.69,brb,1968
-16.35,brb,1969
-19.12,brb,1970
-12.66,brb,1971
-13.27,brb,1972
-11.6,brb,1973
-7.009,brb,1974
-10.03,brb,1975
-19.1,brb,1976
-11.51,brb,1977
-10.28,brb,1978
-10.73,brb,1979
-1.913,brb,1980
-9.288,brb,1981
-2.638,brb,1982
1.145,brb,1983
4.746,brb,1984
7.681,brb,1985
2.313,brb,1986
0.532,brb,1987
0.4711,brb,1988
-0.03502,brb,1989
-2.622,brb,1990
-2.688,brb,1991
9.002,brb,1992
6.18,brb,1993
8.056,brb,1994
5.72,brb,1995
4.187,brb,1996
-2.211,brb,1997
-2.061,brb,1998
-5.579,brb,1999
-6.571,brb,2000
-4.027,brb,2001
-5.906,brb,2002
-6.292,brb,2003
-10.99,brb,2004
-9.961,brb,2005
-4.245,brb,2006
-4.436,brb,2007
-4.146,brb,2008
-3.968,brb,2009
-5.057,brb,2010
2.309,blr,1990
3.444,blr,1991
1.449,blr,1992
-15.73,blr,1993
-12.83,blr,1994
-4.388,blr,1995
-4.075,blr,1996
-5.796,blr,1997
-4.855,blr,1998
-2.428,blr,1999
-3.188,blr,2000
-3.55,blr,2001
-3.747,blr,2002
-3.829,blr,2003
-6.364,blr,2004
0.7113,blr,2005
-4.172,blr,2006
-6.268,blr,2007
-7.724,blr,2008
-11.25,blr,2009
-13.71,blr,2010
-0.7,bel,1960
-0.7921,bel,1961
-0.01146,bel,1962
-0.9575,bel,1963
-0.3318,bel,1964
-0.02353,bel,1965
-0.7035,bel,1966
0.4192,bel,1967
0.4613,bel,1968
1.109,bel,1969
2.186,bel,1970
1.932,bel,1971
3.141,bel,1972
1.879,bel,1973
0.324,bel,1974
0.1292,bel,1975
0.1005,bel,1976
-0.9385,bel,1977
-1.068,bel,1978
-2.112,bel,1979
-3.306,bel,1980
-2.531,bel,1981
-2.139,bel,1982
0.1592,bel,1983
0.3575,bel,1984
0.8442,bel,1985
2.186,bel,1986
1.731,bel,1987
2.344,bel,1988
2.111,bel,1989
1.643,bel,1990
1.769,bel,1991
2.517,bel,1992
3.243,bel,1993
3.686,bel,1994
3.932,bel,1995
3.141,bel,1996
3.766,bel,1997
3.801,bel,1998
4.162,bel,1999
2.927,bel,2000
3.643,bel,2001
5.742,bel,2002
5.405,bel,2003
4.914,bel,2004
3.934,bel,2005
3.813,bel,2006
3.845,bel,2007
0.8561,bel,2008
2.73,bel,2009
2.701,bel,2010
-13.2,blz,1980
-21.95,blz,1981
-22.59,blz,1982
-15.93,blz,1983
-7.705,blz,1984
-12.81,blz,1985
-2.611,blz,1986
-2.133,blz,1987
-5.827,blz,1988
-9.39,blz,1989
2.155,blz,1990
-10.58,blz,1991
-3.2,blz,1992
-3.494,blz,1993
-2.607,blz,1994
-1.15,blz,1995
-0.2625,blz,1996
-2.928,blz,1997
-4.347,blz,1998
-12.3,blz,1999
-20.7,blz,2000
-18.23,blz,2001
-13.57,blz,2002
-12.78,blz,2003
-7.954,blz,2004
-8.03,blz,2005
-0.5198,blz,2006
-1.806,blz,2007
-7.96,blz,2008
-5.986,ben,1960
-4.951,ben,1961
-6.441,ben,1962
-7.805,ben,1963
-7.106,ben,1964
-7.638,ben,1965
-9.35,ben,1966
-12.11,ben,1967
-9.742,ben,1968
-9.655,ben,1969
-9.285,ben,1970
-10.05,ben,1971
-12.42,ben,1972
-10.29,ben,1973
-15.18,ben,1974
-18.88,ben,1975
-18.04,ben,1976
-18.6,ben,1977
-18.02,ben,1978
-19.51,ben,1979
-21.51,ben,1980
-28.03,ben,1981
-22.32,ben,1982
-17.81,ben,1983
-11.35,ben,1984
-13.0,ben,1985
-15.94,ben,1986
-15.68,ben,1987
-18.28,ben,1988
-11.31,ben,1989
-12.04,ben,1990
-12.55,ben,1991
-13.72,ben,1992
-14.24,ben,1993
-9.759,ben,1994
-12.89,ben,1995
-13.73,ben,1996
-12.8,ben,1997
-10.41,ben,1998
-12.69,ben,1999
-12.94,ben,2000
-12.71,ben,2001
-13.94,ben,2002
-12.84,ben,2003
-12.74,ben,2004
-12.65,ben,2005
-11.34,ben,2006
-15.32,ben,2007
-13.61,ben,2008
-14.36,ben,2009
-13.61,ben,2010
-12.62,bmu,2005
-6.315,bmu,2006
-10.23,bmu,2007
-9.798,bmu,2008
-34.77,btn,1981
-35.08,btn,1982
-35.84,btn,1983
-33.79,btn,1984
-37.28,btn,1985
-37.12,btn,1986
-16.11,btn,1987
-22.82,btn,1988
-10.47,btn,1989
-4.074,btn,1990
-8.177,btn,1991
-25.17,btn,1992
-12.96,btn,1993
-10.58,btn,1994
-5.142,btn,1995
-10.7,btn,1996
-10.9,btn,1997
-17.29,btn,1998
-20.69,btn,1999
-20.83,btn,2000
-20.81,btn,2001
-18.78,btn,2002
-18.19,btn,2003
-21.67,btn,2004
-23.69,btn,2005
-4.414,btn,2006
-2.31,btn,2007
-11.12,btn,2008
-7.226,btn,2009
0.24,bol,1970
-3.012,bol,1971
-2.907,bol,1972
-0.6054,bol,1973
8.495,bol,1974
-6.278,bol,1975
-2.21,bol,1976
-2.872,bol,1977
-7.513,bol,1978
-3.221,bol,1979
2.242,bol,1980
0.3123,bol,1981
-0.3396,bol,1982
4.278,bol,1983
-2.165,bol,1984
-3.793,bol,1985
-4.411,bol,1986
-4.949,bol,1987
-4.371,bol,1988
-0.6583,bol,1989
-1.149,bol,1990
-5.486,bol,1991
-9.019,bol,1992
-9.306,bol,1993
-5.534,bol,1994
-4.635,bol,1995
-4.693,bol,1996
-8.248,bol,1997
-12.88,bol,1998
-10.41,bol,1999
-9.048,bol,2000
-5.284,bol,2001
-6.081,bol,2002
-0.7664,bol,2003
4.813,bol,2004
3.454,bol,2005
9.006,bol,2006
7.529,bol,2007
6.946,bol,2008
2.818,bol,2009
6.863,bol,2010
-70.95,bih,1994
-51.06,bih,1995
-60.26,bih,1996
-44.96,bih,1997
-71.06,bih,1998
-66.53,bih,1999
-46.81,bih,2000
-47.53,bih,2001
-46.58,bih,2002
-52.88,bih,2003
-45.25,bih,2004
-40.22,bih,2005
-29.65,bih,2006
-36.64,bih,2007
-36.75,bih,2008
-22.77,bih,2009
-20.83,bih,2010
-13.37,bwa,1960
-15.31,bwa,1961
-16.91,bwa,1962
-18.35,bwa,1963
-19.77,bwa,1964
-18.9,bwa,1965
-21.68,bwa,1966
-26.16,bwa,1967
-39.89,bwa,1968
-29.79,bwa,1969
-36.26,bwa,1970
-28.41,bwa,1971
-23.17,bwa,1972
-23.13,bwa,1973
-23.85,bwa,1974
-20.2,bwa,1975
-15.94,bwa,1976
-18.41,bwa,1977
-16.46,bwa,1978
-11.13,bwa,1979
-13.38,bwa,1980
-21.83,bwa,1981
-14.71,bwa,1982
-0.4822,bwa,1983
2.849,bwa,1984
15.06,bwa,1985
19.2,bwa,1986
26.69,bwa,1987
26.59,bwa,1988
13.09,bwa,1989
5.263,bwa,1990
6.501,bwa,1991
6.608,bwa,1992
7.983,bwa,1993
10.52,bwa,1994
12.89,bwa,1995
16.36,bwa,1996
14.88,bwa,1997
5.946,bwa,1998
10.72,bwa,1999
12.06,bwa,2000
8.907,bwa,2001
11.14,bwa,2002
10.98,bwa,2003
7.336,bwa,2004
16.79,bwa,2005
16.35,bwa,2006
12.04,bwa,2007
-0.1396,bwa,2008
-11.17,bwa,2009
-7.095,bwa,2010
-0.05823,bra,1960
-0.06005,bra,1961
-1.32,bra,1962
-0.07455,bra,1963
0.7078,bra,1964
2.18,bra,1965
0.8331,bra,1966
0.0,bra,1967
-0.6099,bra,1968
0.06669,bra,1969
-0.4203,bra,1970
-1.725,bra,1971
-1.585,bra,1972
-1.23,bra,1973
-5.871,bra,1974
-3.967,bra,1975
-2.397,bra,1976
-0.6654,bra,1977
-1.189,bra,1978
-2.052,bra,1979
-2.253,bra,1980
-0.3791,bra,1981
-0.6648,bra,1982
2.413,bra,1983
5.623,bra,1984
5.153,bra,1985
2.462,bra,1986
3.267,bra,1987
5.196,bra,1988
3.468,bra,1989
1.238,bra,1990
0.763,bra,1991
2.483,bra,1992
1.407,bra,1993
0.3514,bra,1994
-1.518,bra,1995
-1.799,bra,1996
-2.2,bra,1997
-1.999,bra,1998
-1.405,bra,1999
-1.763,bra,2000
-1.315,bra,2001
1.514,bra,2002
2.912,bra,2003
3.877,bra,2004
3.608,bra,2005
2.903,bra,2006
1.518,bra,2007
0.19,bra,2008
-0.05585,bra,2009
-0.9937,bra,2010
72.7,brn,1974
66.63,brn,1975
75.4,brn,1976
78.55,brn,1977
80.54,brn,1978
80.92,brn,1979
81.7,brn,1980
79.43,brn,1981
72.12,brn,1982
69.29,brn,1983
26.6,brn,1989
24.54,brn,1990
26.51,brn,1991
9.963,brn,1992
3.0,brn,1993
2.675,brn,1994
3.89,brn,1995
-0.7071,brn,1996
-1.309,brn,1997
-6.932,brn,1998
7.413,brn,1999
31.54,brn,2000
30.33,brn,2001
25.5,brn,2002
33.32,brn,2003
37.01,brn,2004
42.88,brn,2005
46.51,brn,2006
39.96,brn,2007
50.68,brn,2008
5.019,bgr,1980
1.116,bgr,1981
1.066,bgr,1982
0.2086,bgr,1983
1.885,bgr,1984
-0.4071,bgr,1985
-3.436,bgr,1986
-1.837,bgr,1987
-0.3304,bgr,1988
-1.738,bgr,1989
-3.609,bgr,1990
4.274,bgr,1991
-5.827,bgr,1992
-7.628,bgr,1993
-0.625,bgr,1994
2.015,bgr,1995
2.583,bgr,1996
5.271,bgr,1997
1.011,bgr,1998
-4.593,bgr,1999
-5.337,bgr,2000
-9.422,bgr,2001
-8.09,bgr,2002
-10.33,bgr,2003
-11.46,bgr,2004
-15.09,bgr,2005
-17.59,bgr,2006
-19.72,bgr,2007
-20.51,bgr,2008
-8.833,bgr,2009
-1.903,bgr,2010
-10.98,bfa,1960
-10.36,bfa,1961
-10.17,bfa,1962
-10.09,bfa,1963
-8.72,bfa,1964
-6.724,bfa,1965
-6.597,bfa,1966
-8.999,bfa,1967
-9.083,bfa,1968
-10.72,bfa,1969
-10.69,bfa,1970
-14.42,bfa,1971
-14.89,bfa,1972
-16.61,bfa,1973
-16.15,bfa,1974
-22.8,bfa,1975
-18.8,bfa,1976
-22.48,bfa,1977
-20.28,bfa,1978
-21.04,bfa,1979
-22.31,bfa,1980
-22.16,bfa,1981
-23.43,bfa,1982
-21.69,bfa,1983
-17.8,bfa,1984
-21.1,bfa,1985
-19.98,bfa,1986
-16.72,bfa,1987
-16.13,bfa,1988
-14.9,bfa,1989
-13.49,bfa,1990
-12.9,bfa,1991
-10.68,bfa,1992
-11.72,bfa,1993
-10.83,bfa,1994
-12.47,bfa,1995
-17.05,bfa,1996
-15.79,bfa,1997
-15.32,bfa,1998
-14.49,bfa,1999
-16.11,bfa,2000
-13.88,bfa,2001
-12.36,bfa,2002
-12.93,bfa,2003
-13.54,bfa,2004
-15.63,bfa,2005
-15.28,bfa,2006
-0.8929,bdi,1960
-1.724,bdi,1961
-3.279,bdi,1962
-6.767,bdi,1963
2.013,bdi,1964
-2.186,bdi,1965
-2.216,bdi,1966
-1.085,bdi,1967
-3.071,bdi,1968
-2.436,bdi,1969
-0.9322,bdi,1970
-5.736,bdi,1971
-3.341,bdi,1972
-2.317,bdi,1973
-5.781,bdi,1974
-10.73,bdi,1975
-2.926,bdi,1976
0.3042,bdi,1977
-8.519,bdi,1978
-8.559,bdi,1979
-14.48,bdi,1980
-12.89,bdi,1981
-16.7,bdi,1982
-15.7,bdi,1983
-12.05,bdi,1984
-9.76,bdi,1985
-10.59,bdi,1986
-15.99,bdi,1987
-13.36,bdi,1988
-13.2,bdi,1989
-19.9,bdi,1990
-18.59,bdi,1991
-20.73,bdi,1992
-17.78,bdi,1993
-18.21,bdi,1994
-14.35,bdi,1995
-9.933,bdi,1996
-4.604,bdi,1997
-11.44,bdi,1998
-8.388,bdi,1999
-12.17,bdi,2000
-14.04,bdi,2001
-16.17,bdi,2002
-19.27,bdi,2003
-24.34,bdi,2004
-33.9,bdi,2005
-36.24,bdi,2006
-8.072,khm,1960
-5.778,khm,1961
-9.091,khm,1962
-3.529,khm,1963
-0.7299,khm,1964
-0.9868,khm,1965
-5.0,khm,1966
-1.187,khm,1967
-2.145,khm,1968
-3.597,khm,1969
-2.005,khm,1970
-16.61,khm,1993
-12.88,khm,1994
-15.4,khm,1995
-18.43,khm,1996
-11.7,khm,1997
-13.14,khm,1998
-13.09,khm,1999
-11.92,khm,2000
-8.67,khm,2001
-8.849,khm,2002
-10.04,khm,2003
-7.3,khm,2004
-8.663,khm,2005
-7.428,khm,2006
-7.616,khm,2007
-2.234,khm,2008
-6.697,khm,2009
-5.438,khm,2010
-0.5013,cmr,1965
-2.583,cmr,1966
-1.954,cmr,1967
-2.51,cmr,1968
0.5243,cmr,1969
1.54,cmr,1970
-4.14,cmr,1971
-5.694,cmr,1972
-3.303,cmr,1973
2.638,cmr,1974
-2.858,cmr,1975
-4.722,cmr,1976
-2.746,cmr,1977
-4.467,cmr,1978
-7.164,cmr,1979
0.7534,cmr,1980
-6.547,cmr,1981
4.303,cmr,1982
1.094,cmr,1983
2.485,cmr,1984
1.873,cmr,1985
0.5569,cmr,1986
-3.932,cmr,1987
0.07134,cmr,1988
2.938,cmr,1989
2.869,cmr,1990
5.359,cmr,1991
2.231,cmr,1992
0.6143,cmr,1993
4.217,cmr,1994
5.781,cmr,1995
4.99,cmr,1996
3.068,cmr,1997
3.724,cmr,1998
4.338,cmr,1999
3.591,cmr,2000
-1.294,cmr,2001
-0.7831,cmr,2002
0.3276,cmr,2003
-0.4302,cmr,2004
-1.016,cmr,2005
2.051,cmr,2006
0.8141,cmr,2007
-3.02,cmr,2008
-4.831,cmr,2009
-3.108,cmr,2010
-1.17,can,1960
-0.2989,can,1961
-0.01034,can,1962
0.8036,can,1963
1.033,can,1964
-0.117,can,1965
0.03076,can,1966
1.016,can,1967
1.215,can,1968
0.1025,can,1969
2.543,can,1970
1.646,can,1971
0.9062,can,1972
1.409,can,1973
0.1402,can,1974
-1.753,can,1975
-0.715,can,1976
-0.1738,can,1977
0.3724,can,1978
0.5608,can,1979
1.853,can,1980
0.7257,can,1981
3.895,can,1982
3.256,can,1983
3.525,can,1984
2.327,can,1985
0.9708,can,1986
1.18,can,1987
0.7707,can,1988
0.03238,can,1989
0.1308,can,1990
-0.5737,can,1991
-0.3725,can,1992
-0.001238,can,1993
1.182,can,1994
3.191,can,1995
4.026,can,1996
1.964,can,1997
2.004,can,1998
3.66,can,1999
5.753,can,2000
5.742,can,2001
4.414,can,2002
3.76,can,2003
4.312,can,2004
3.724,can,2005
2.51,can,2006
1.939,can,2007
1.523,can,2008
-1.687,can,2009
-1.879,can,2010
-30.54,cpv,1986
-24.95,cpv,1987
-26.47,cpv,1988
-34.18,cpv,1989
-30.99,cpv,1990
-30.43,cpv,1991
-37.98,cpv,1992
-36.01,cpv,1993
-40.51,cpv,1994
-40.0,cpv,1995
-32.15,cpv,1996
-30.36,cpv,1997
-35.11,cpv,1998
-38.44,cpv,1999
-33.51,cpv,2000
-32.54,cpv,2001
-36.0,cpv,2002
-36.04,cpv,2003
-37.56,cpv,2004
-28.79,cpv,2005
-27.55,cpv,2006
-34.95,cpv,2007
-33.19,cpv,2008
-32.16,cpv,2009
-28.01,cpv,2010
-10.91,caf,1960
-9.272,caf,1961
-13.11,caf,1962
-13.25,caf,1963
-12.36,caf,1964
-10.57,caf,1965
-14.18,caf,1966
-20.6,caf,1967
-5.319,caf,1968
-10.26,caf,1969
-9.624,caf,1970
-7.624,caf,1971
-8.878,caf,1972
-7.869,caf,1973
-15.6,caf,1974
-18.79,caf,1975
-7.14,caf,1976
-9.121,caf,1977
-10.47,caf,1978
-12.7,caf,1979
-15.86,caf,1980
-9.676,caf,1981
-12.05,caf,1982
-12.47,caf,1983
-12.11,caf,1984
-11.96,caf,1985
-14.02,caf,1986
-12.85,caf,1987
-10.38,caf,1988
-9.204,caf,1989
-12.86,caf,1990
-9.826,caf,1991
-12.61,caf,1992
-8.347,caf,1993
-5.714,caf,1994
-7.303,caf,1995
-3.726,caf,1996
-5.415,caf,1997
-8.238,caf,1998
-3.415,caf,1999
-4.35,caf,2000
-4.484,caf,2001
-4.633,caf,2002
-4.513,caf,2003
-6.171,caf,2004
-8.773,caf,2005
-7.876,caf,2006
-7.498,caf,2007
-12.93,caf,2008
-8.042,caf,2009
-3.648,tcd,1960
-4.646,tcd,1961
-5.599,tcd,1962
-6.264,tcd,1963
-7.602,tcd,1964
-4.313,tcd,1965
-4.051,tcd,1966
-3.802,tcd,1967
-3.744,tcd,1968
-4.492,tcd,1969
-5.79,tcd,1970
-5.145,tcd,1971
-4.819,tcd,1972
-7.771,tcd,1973
-8.413,tcd,1974
-11.45,tcd,1975
-10.3,tcd,1976
-13.02,tcd,1977
-11.54,tcd,1978
-16.86,tcd,1979
-11.92,tcd,1980
