geo,oil_production_total,time
dza,26480000,1965
dza,33870000,1966
dza,39080000,1967
dza,42900000,1968
dza,44780000,1969
dza,48210000,1970
dza,37100000,1971
dza,50100000,1972
dza,50890000,1973
dza,47360000,1974
dza,45750000,1975
dza,50600000,1976
dza,54050000,1977
dza,57740000,1978
dza,57550000,1979
dza,51750000,1980
dza,46830000,1981
dza,46850000,1982
dza,45870000,1983
dza,49470000,1984
dza,50000000,1985
dza,51800000,1986
dza,52640000,1987
dza,53570000,1988
dza,54660000,1989
dza,57480000,1990
dza,57680000,1991
dza,56630000,1992
dza,56670000,1993
dza,56380000,1994
dza,56600000,1995
dza,59340000,1996
dza,60330000,1997
dza,61780000,1998
dza,63930000,1999
dza,66790000,2000
dza,65750000,2001
dza,70890000,2002
dza,79000000,2003
dza,83550000,2004
dza,86440000,2005
dza,86200000,2006
dza,86480000,2007
dza,85620000,2008
dza,77850000,2009
dza,75500000,2010
dza,74310000,2011
ago,655000,1965
ago,631000,1966
ago,537000,1967
ago,750000,1968
ago,2458000,1969
ago,5065000,1970
ago,5721000,1971
ago,7057000,1972
ago,8175000,1973
ago,8541000,1974
ago,7791000,1975
ago,7564000,1976
ago,7062000,1977
ago,6469000,1978
ago,7200000,1979
ago,7428000,1980
ago,7158000,1981
ago,6410000,1982
ago,8790000,1983
ago,10070000,1984
ago,11450000,1985
ago,13930000,1986
ago,17510000,1987
ago,22320000,1988
ago,22640000,1989
ago,23380000,1990
ago,24510000,1991
ago,27150000,1992
ago,24810000,1993
ago,27420000,1994
ago,31170000,1995
ago,35360000,1996
ago,36500000,1997
ago,36000000,1998
ago,36700000,1999
ago,36850000,2000
ago,36550000,2001
ago,44600000,2002
ago,42830000,2003
ago,54460000,2004
ago,69040000,2005
ago,69640000,2006
ago,82530000,2007
ago,93480000,2008
ago,89060000,2009
ago,91970000,2010
ago,85240000,2011
arg,13760000,1965
arg,14640000,1966
arg,15960000,1967
arg,17490000,1968
arg,18110000,1969
arg,20000000,1970
arg,21570000,1971
arg,22220000,1972
arg,21600000,1973
arg,21140000,1974
arg,20260000,1975
arg,20410000,1976
arg,22060000,1977
arg,23210000,1978
arg,24280000,1979
arg,25270000,1980
arg,25740000,1981
arg,25570000,1982
arg,25670000,1983
arg,25140000,1984
arg,24160000,1985
arg,22870000,1986
arg,22570000,1987
arg,23720000,1988
arg,24230000,1989
arg,25440000,1990
arg,25880000,1991
arg,29040000,1992
arg,31070000,1993
arg,34510000,1994
arg,37460000,1995
arg,40820000,1996
arg,43390000,1997
arg,44030000,1998
arg,41820000,1999
arg,40430000,2000
arg,41540000,2001
arg,40900000,2002
arg,40240000,2003
arg,37790000,2004
arg,36240000,2005
arg,35770000,2006
arg,34940000,2007
arg,34120000,2008
arg,33780000,2009
arg,32550000,2010
arg,30290000,2011
aus,346200,1965
aus,445100,1966
aus,1039000,1967
aus,1934000,1968
aus,2226000,1969
aus,8705000,1970
aus,15260000,1971
aus,16280000,1972
aus,20390000,1973
aus,20180000,1974
aus,21620000,1975
aus,22140000,1976
aus,23420000,1977
aus,23190000,1978
aus,23280000,1979
aus,21840000,1980
aus,21270000,1981
aus,20970000,1982
aus,20420000,1983
aus,26680000,1984
aus,30850000,1985
aus,27580000,1986
aus,29280000,1987
aus,27780000,1988
aus,26200000,1989
aus,30360000,1990
aus,28740000,1991
aus,28270000,1992
aus,26400000,1993
aus,28390000,1994
aus,26680000,1995
aus,28220000,1996
aus,30060000,1997
aus,28610000,1998
aus,27840000,1999
aus,37490000,2000
aus,34530000,2001
aus,34310000,2002
aus,29710000,2003
aus,25920000,2004
aus,25580000,2005
aus,23800000,2006
aus,24710000,2007
aus,24360000,2008
aus,22580000,2009
aus,24630000,2010
aus,21050000,2011
aze,0,1965
aze,0,1966
aze,0,1967
aze,0,1968
aze,0,1969
aze,0,1970
aze,0,1971
aze,0,1972
aze,0,1973
aze,0,1974
aze,0,1975
aze,0,1976
aze,0,1977
aze,0,1978
aze,0,1979
aze,0,1980
aze,0,1981
aze,0,1982
aze,0,1983
aze,0,1984
aze,13230000,1985
aze,13050000,1986
aze,13910000,1987
aze,13740000,1988
aze,13160000,1989
aze,12500000,1990
aze,11770000,1991
aze,11200000,1992
aze,10250000,1993
aze,9563000,1994
aze,9162000,1995
aze,9100000,1996
aze,9027000,1997
aze,11450000,1998
aze,13850000,1999
aze,14070000,2000
aze,14980000,2001
aze,15430000,2002
aze,15530000,2003
aze,15640000,2004
aze,22400000,2005
aze,32470000,2006
aze,42780000,2007
aze,44750000,2008
aze,50630000,2009
aze,50840000,2010
aze,45610000,2011
bra,5033000,1965
bra,6147000,1966
bra,7739000,1967
bra,8505000,1968
bra,9277000,1969
bra,8800000,1970
bra,9203000,1971
bra,9015000,1972
bra,9150000,1973
bra,9521000,1974
bra,9324000,1975
bra,9083000,1976
bra,8740000,1977
bra,8687000,1978
bra,9006000,1979
bra,9881000,1980
bra,11530000,1981
bra,14060000,1982
bra,17840000,1983
bra,24920000,1984
bra,29420000,1985
bra,30960000,1986
bra,30780000,1987
bra,30090000,1988
bra,32150000,1989
bra,34090000,1990
bra,33700000,1991
bra,34170000,1992
bra,34780000,1993
bra,36240000,1994
bra,37570000,1995
bra,42450000,1996
bra,45500000,1997
bra,52620000,1998
bra,59480000,1999
bra,66770000,2000
bra,70110000,2001
bra,78600000,2002
bra,81350000,2003
bra,80780000,2004
bra,89330000,2005
bra,94200000,2006
bra,95500000,2007
bra,99240000,2008
bra,106000000,2009
bra,111700000,2010
bra,114600000,2011
brn,3965000,1965
brn,4761000,1966
brn,5158000,1967
brn,6070000,1968
brn,6153000,1969
brn,6750000,1970
brn,6402000,1971
brn,9062000,1972
brn,11430000,1973
brn,9740000,1974
brn,9167000,1975
brn,10620000,1976
brn,11100000,1977
brn,11740000,1978
brn,12740000,1979
brn,11720000,1980
brn,8464000,1981
brn,8676000,1982
brn,8676000,1983
brn,8351000,1984
brn,8103000,1985
brn,7993000,1986
brn,7496000,1987
brn,7254000,1988
brn,7221000,1989
brn,7320000,1990
brn,7930000,1991
brn,8850000,1992
brn,8464000,1993
brn,8663000,1994
brn,8464000,1995
brn,8015000,1996
brn,7894000,1997
brn,7596000,1998
brn,8852000,1999
brn,9425000,2000
brn,9896000,2001
brn,10240000,2002
brn,10460000,2003
brn,10270000,2004
brn,10060000,2005
brn,10770000,2006
brn,9461000,2007
brn,8527000,2008
brn,8191000,2009
brn,8394000,2010
brn,8074000,2011
can,43870000,1965
can,48210000,1966
can,52700000,1967
can,57120000,1968
can,62220000,1969
can,70070000,1970
can,75160000,1971
can,86710000,1972
can,100300000,1973
can,94390000,1974
can,81580000,1975
can,75300000,1976
can,75570000,1977
can,75190000,1978
can,86270000,1979
can,83270000,1980
can,75360000,1981
can,74560000,1982
can,78560000,1983
can,83820000,1984
can,85690000,1985
can,85740000,1986
can,90290000,1987
can,95090000,1988
can,92620000,1989
can,92760000,1990
can,93210000,1991
can,97160000,1992
can,102300000,1993
can,106700000,1994
can,111900000,1995
can,115500000,1996
can,120700000,1997
can,125100000,1998
can,121000000,1999
can,127000000,2000
can,126100000,2001
can,135000000,2002
can,142600000,2003
can,147600000,2004
can,144900000,2005
can,153400000,2006
can,158600000,2007
