geo,aged_25_54_unemployment_rate_percent,time
aus,5.8,1986
aus,5.9,1987
aus,5.2,1988
aus,4.6,1989
aus,5.1,1990
aus,7.3,1991
aus,8.0,1992
aus,8.3,1993
aus,7.3,1994
aus,6.4,1995
aus,6.4,1996
aus,6.4,1997
aus,6.0,1998
aus,5.4,1999
aus,5.0,2000
aus,5.3,2001
aus,5.1,2002
aus,4.8,2003
aus,4.2,2004
aus,3.9,2005
can,5.9,1981
can,8.9,1982
can,9.9,1983
can,9.7,1984
can,9.2,1985
can,8.3,1986
can,7.7,1987
can,6.9,1988
can,6.8,1989
can,7.3,1990
can,9.2,1991
can,10.0,1992
can,10.2,1993
can,9.3,1994
can,8.5,1995
can,8.6,1996
can,7.8,1997
can,7.0,1998
can,6.4,1999
can,5.7,2000
can,6.2,2001
can,6.5,2002
can,6.4,2003
can,6.0,2004
can,5.7,2005
cze,3.4,1993
cze,3.4,1994
cze,3.3,1995
cze,3.2,1996
cze,4.1,1997
cze,5.5,1998
cze,7.5,1999
cze,7.7,2000
cze,7.2,2001
cze,6.5,2002
cze,7.0,2003
cze,7.3,2004
cze,7.4,2005
est,12.9,2000
est,11.8,2001
est,10.0,2002
est,9.4,2003
est,8.9,2004
est,7.5,2005
fin,3.8,1981
fin,4.2,1982
fin,4.2,1983
fin,3.7,1984
fin,3.8,1985
fin,4.2,1986
fin,4.3,1987
fin,3.8,1988
fin,2.1,1989
fin,2.1,1990
fin,5.2,1991
fin,9.6,1992
fin,14.1,1993
fin,14.1,1994
fin,13.1,1995
fin,12.2,1996
fin,10.7,1997
fin,9.4,1998
fin,8.5,1999
fin,8.0,2000
fin,7.4,2001
fin,7.3,2002
fin,7.3,2003
fin,7.2,2004
fin,6.8,2005
fra,5.2,1981
fra,5.7,1982
fra,6.0,1983
fra,7.0,1984
fra,7.7,1985
fra,8.2,1986
fra,8.7,1987
fra,8.5,1988
fra,8.2,1989
fra,7.8,1990
fra,8.3,1991
fra,9.0,1992
fra,10.4,1993
fra,11.0,1994
fra,10.5,1995
fra,11.1,1996
fra,11.1,1997
fra,10.7,1998
fra,10.0,1999
fra,8.8,2000
fra,8.1,2001
fra,8.3,2002
fra,8.9,2003
fra,9.1,2004
fra,9.1,2005
deu,5.4,1991
deu,6.5,1992
deu,7.6,1993
deu,8.1,1994
deu,7.7,1995
deu,8.0,1996
deu,8.9,1997
deu,8.4,1998
deu,7.8,1999
deu,7.3,2000
deu,7.6,2001
deu,8.2,2002
deu,9.5,2003
deu,10.4,2004
deu,10.4,2005
hkg,2.2,1985
hkg,1.8,1986
hkg,1.1,1987
hkg,0.9,1988
