geo,traffic_deaths_men_per_100000_people,time
chl,49.35,1968
chl,38.61,1969
chl,33.07,1970
chl,39.76,1971
chl,41.0,1972
chl,30.92,1973
chl,22.45,1974
chl,18.56,1975
chl,16.34,1976
chl,16.87,1977
chl,22.01,1978
chl,22.61,1979
chl,24.93,1980
chl,23.65,1981
chl,18.52,1982
chl,15.47,1983
chl,14.06,1984
chl,12.39,1985
chl,12.03,1986
chl,12.54,1987
chl,13.06,1988
chl,13.65,1989
chl,13.22,1990
chl,16.86,1991
chl,19.55,1992
chl,21.24,1993
chl,21.5,1994
chl,19.72,1995
chl,19.65,1996
chl,20.41,1997
chl,21.6,1998
chl,17.57,1999
chl,23.15,2000
chl,20.52,2001
chl,20.6,2002
chl,22.8,2003
chl,22.32,2004
chn,29.37,2004
col,15.42,1953
col,12.5,1954
col,15.23,1955
col,14.84,1956
col,14.54,1957
col,16.88,1958
col,16.41,1959
col,15.18,1960
col,15.71,1961
col,22.09,1962
col,21.78,1963
col,22.95,1964
col,22.64,1965
col,22.05,1966
col,21.62,1967
col,23.55,1968
col,19.29,1969
col,23.54,1972
col,26.99,1974
col,26.88,1975
col,27.58,1976
col,28.47,1977
col,31.95,1984
col,30.1,1985
col,26.59,1986
col,24.37,1987
col,23.9,1988
col,22.4,1989
col,23.52,1990
col,25.01,1991
col,29.15,1992
col,30.32,1993
col,33.04,1994
col,33.73,1995
col,31.53,1996
col,29.53,1997
col,33.87,1998
col,29.79,1999
col,28.21,2000
col,28.03,2001
col,27.05,2002
col,24.32,2004
com,26.49,2004
cod,62.97,2004
cog,40.42,2004
cok,16.25,2004
cri,12.55,1962
cri,16.63,1963
cri,16.35,1964
cri,25.96,1965
cri,29.98,1966
cri,22.56,1967
cri,25.85,1968
cri,23.61,1969
cri,30.36,1970
cri,35.11,1971
cri,35.38,1972
cri,31.54,1973
cri,37.0,1974
cri,36.05,1975
cri,36.99,1976
cri,42.22,1977
cri,45.37,1978
cri,44.21,1979
cri,37.27,1980
cri,27.57,1981
cri,27.01,1982
cri,16.02,1983
cri,25.21,1984
cri,30.15,1985
cri,26.15,1986
cri,28.61,1987
cri,25.02,1988
cri,27.62,1989
cri,28.03,1990
cri,27.01,1991
cri,29.28,1992
cri,28.53,1993
cri,32.52,1994
cri,29.33,1995
cri,22.79,1996
cri,28.08,1997
cri,28.23,1998
cri,31.22,1999
cri,30.57,2000
cri,30.52,2001
cri,29.77,2002
cri,26.3,2003
cri,25.95,2004
civ,92.1,2004
hrv,33.34,1985
hrv,31.55,1986
hrv,30.34,1987
hrv,29.45,1988
hrv,28.66,1989
hrv,32.22,1990
hrv,28.75,1991
hrv,25.66,1992
hrv,18.98,1993
hrv,17.81,1994
hrv,19.36,1995
hrv,17.99,1996
hrv,18.44,1997
hrv,19.67,1998
hrv,18.05,1999
hrv,20.98,2000
hrv,18.47,2001
hrv,19.47,2002
hrv,22.64,2003
hrv,21.83,2004
cub,17.27,1964
cub,17.92,1968
cub,19.29,1969
cub,21.65,1970
cub,19.83,1971
cub,17.79,1972
cub,17.01,1973
cub,18.09,1974
cub,21.42,1975
cub,20.97,1976
cub,27.54,1977
cub,27.11,1992
cub,25.68,1993
cub,28.9,1994
cub,27.28,1995
cub,25.63,1996
cub,24.07,1997
cub,23.6,1998
cub,20.53,1999
cub,21.45,2000
cub,19.15,2001
cub,17.68,2002
cub,15.25,2003
cub,15.14,2004
cyp,15.89,1999
cyp,19.04,2000
cyp,24.84,2004
cze,13.94,1986
cze,14.38,1987
cze,15.44,1988
cze,16.74,1989
cze,19.33,1990
cze,19.89,1991
cze,22.61,1992
cze,21.59,1993
cze,20.62,1994
cze,19.0,1995
cze,17.62,1996
cze,18.25,1997
cze,16.46,1998
cze,13.52,1999
cze,14.72,2000
cze,13.03,2001
cze,13.61,2002
cze,13.29,2003
cze,12.29,2004
cheslo,12.02,1953
cheslo,13.6,1954
cheslo,15.1,1955
cheslo,17.86,1956
cheslo,17.91,1957
cheslo,17.36,1958
cheslo,24.49,1959
cheslo,23.5,1960
cheslo,22.93,1961
cheslo,22.23,1962
cheslo,22.1,1963
cheslo,26.5,1964
cheslo,25.97,1965
cheslo,26.58,1966
cheslo,27.76,1967
cheslo,34.77,1968
cheslo,38.07,1969
cheslo,32.23,1970
cheslo,33.04,1971
cheslo,31.54,1972
cheslo,30.54,1973
cheslo,28.13,1974
cheslo,27.22,1975
cheslo,29.13,1976
cheslo,27.11,1977
cheslo,26.51,1978
cheslo,23.1,1979
cheslo,20.92,1980
cheslo,19.34,1981
cheslo,17.48,1982
cheslo,17.59,1983
cheslo,16.04,1984
cheslo,16.99,1985
cheslo,15.72,1986
cheslo,15.54,1987
cheslo,16.41,1988
cheslo,17.89,1989
cheslo,21.64,1990
cheslo,22.38,1991
dnk,15.34,1951
dnk,15.33,1952
dnk,19.2,1953
dnk,24.08,1954
dnk,23.93,1955
dnk,22.51,1956
dnk,21.67,1957
dnk,22.86,1958
dnk,26.17,1959
dnk,24.85,1960
dnk,26.33,1961
dnk,26.18,1962
dnk,25.0,1963
dnk,27.84,1964
dnk,29.43,1965
dnk,31.03,1966
dnk,32.15,1967
dnk,33.96,1968
dnk,34.03,1969
dnk,32.56,1970
dnk,33.13,1971
dnk,31.53,1972
dnk,31.83,1973
dnk,22.16,1974
dnk,22.53,1975
dnk,22.49,1976
dnk,22.18,1977
dnk,23.51,1978
dnk,19.49,1979
dnk,17.91,1980
dnk,18.22,1981
dnk,17.24,1982
dnk,17.17,1983
dnk,16.53,1984
dnk,21.0,1985
dnk,18.62,1986
dnk,16.38,1987
dnk,18.06,1988
dnk,16.72,1989
dnk,15.06,1990
dnk,15.68,1991
dnk,15.27,1992
dnk,14.04,1993
dnk,13.75,1994
dnk,14.4,1995
dnk,13.5,1996
dnk,12.91,1997
dnk,13.08,1998
dnk,14.11,1999
dnk,11.81,2000
dnk,10.93,2001
dnk,10.32,2002
dnk,10.35,2003
dnk,8.862,2004
dji,57.47,2004
dma,12.89,2004
dom,80.62,2004
deu_east,22.94,1973
deu_east,21.75,1974
deu_east,25.25,1977
deu_east,18.32,1980
deu_east,18.47,1981
deu_east,17.47,1982
deu_east,16.63,1983
deu_east,16.9,1984
deu_east,16.15,1985
deu_east,15.59,1986
deu_east,15.53,1987
deu_east,16.47,1988
deu_east,16.86,1989
deu_east,29.18,1990
ecu,24.24,2004
egy,2.97,1970
egy,2.776,1971
egy,3.454,1972
egy,2.67,1973
egy,3.027,1974
egy,3.701,1975
egy,3.845,1976
egy,3.027,1977
egy,3.969,1978
egy,5.099,1979
egy,11.6,1980
egy,12.14,1987
egy,10.88,2000
egy,22.4,2004
slv,60.48,2004
gnq,60.82,2004
eri,31.11,2004
est,33.18,1981
est,36.25,1982
est,21.89,1985
est,25.32,1986
est,25.73,1987
est,30.72,1988
est,40.76,1989
est,53.66,1990
est,55.16,1991
est,33.42,1992
est,41.01,1993
est,46.27,1994
est,43.53,1995
est,25.97,1996
est,37.04,1997
est,35.99,1998
est,28.85,1999
est,24.68,2000
est,23.52,2001
est,25.87,2002
est,20.04,2003
est,18.92,2004
eth,42.81,2004
fji,7.596,2004
fin,12.74,1952
fin,14.6,1953
fin,15.43,1954
fin,17.31,1955
fin,19.64,1956
fin,20.66,1957
fin,21.69,1958
fin,24.29,1959
fin,29.02,1960
fin,29.8,1961
fin,31.83,1962
fin,34.06,1963
fin,36.74,1964
fin,38.04,1965
fin,38.16,1966
fin,36.91,1967
fin,33.74,1968
fin,34.28,1969
fin,35.69,1970
fin,38.4,1971
fin,37.6,1972
fin,35.28,1973
fin,26.42,1974
fin,27.86,1975
fin,24.0,1976
fin,21.96,1977
fin,19.66,1978
fin,19.39,1979
fin,17.46,1980
fin,17.01,1981
fin,15.95,1982
fin,16.73,1983
fin,14.68,1984
fin,15.39,1985
fin,16.56,1986
fin,14.93,1987
fin,18.17,1988
fin,20.73,1989
fin,18.2,1990
fin,16.42,1991
fin,15.42,1992
fin,12.4,1993
fin,12.92,1994
fin,12.03,1995
fin,10.95,1996
fin,10.9,1997
fin,10.66,1998
fin,11.0,1999
fin,9.487,2000
fin,11.49,2001
fin,10.91,2002
fin,9.829,2003
fin,9.389,2004
fra,12.45,1950
fra,15.21,1952
fra,20.4,1953
fra,28.82,1954
fra,30.79,1955
fra,30.92,1956
fra,31.72,1957
fra,29.07,1958
fra,29.03,1959
fra,27.97,1960
fra,30.56,1961
fra,32.39,1962
fra,32.62,1963
fra,35.15,1964
fra,38.04,1965
fra,37.99,1966
fra,41.18,1967
fra,43.67,1968
fra,33.32,1969
fra,33.82,1970
fra,37.01,1971
fra,39.76,1972
fra,37.27,1973
fra,33.21,1974
fra,32.4,1975
fra,34.16,1976
fra,31.76,1977
fra,29.68,1978
fra,29.61,1979
fra,29.59,1980
fra,29.41,1981
fra,29.47,1982
fra,28.95,1983
fra,28.84,1984
fra,25.73,1985
fra,27.0,1986
fra,24.2,1987
fra,26.02,1988
fra,26.18,1989
fra,25.63,1990
fra,24.02,1991
fra,22.3,1992
fra,21.67,1993
fra,20.16,1994
fra,19.75,1995
fra,18.82,1996
fra,18.96,1997
fra,20.14,1998
fra,19.93,1999
fra,18.61,2000
fra,18.5,2001
fra,17.76,2002
fra,14.64,2003
fra,13.01,2004
gab,42.31,2004
gmb,37.44,2004
geo,4.882,1981
geo,6.814,1982
geo,16.29,1985
geo,16.66,1986
geo,17.42,1987
geo,28.18,1988
geo,29.02,1989
geo,22.64,1990
geo,10.32,1991
geo,16.13,1992
geo,3.53,1994
geo,3.816,1995
geo,9.945,1996
geo,11.44,1997
geo,8.854,1998
geo,10.01,1999
geo,7.944,2000
geo,12.26,2001
geo,12.13,2004
deu,19.06,1990
deu,20.19,1991
deu,18.86,1992
deu,17.83,1993
deu,17.62,1994
deu,16.76,1995
deu,15.7,1996
deu,15.56,1997
deu,13.29,1998
deu,13.71,1999
deu,13.17,2000
deu,12.14,2001
deu,11.88,2002
deu,11.37,2003
deu,9.886,2004
gha,31.38,2004
grc,9.731,1961
grc,12.63,1962
grc,12.88,1963
grc,17.9,1964
grc,18.18,1965
grc,19.19,1966
grc,20.05,1967
grc,18.18,1968
grc,17.9,1969
grc,17.84,1970
grc,18.19,1971
grc,19.44,1972
grc,22.58,1973
grc,22.39,1974
grc,25.42,1975
grc,26.82,1976
grc,28.85,1977
grc,31.07,1978
grc,28.33,1979
grc,25.9,1980
grc,22.86,1981
grc,29.44,1982
grc,31.62,1983
grc,31.18,1984
grc,30.26,1985
grc,28.21,1986
grc,27.79,1987
grc,26.62,1988
grc,29.84,1989
grc,31.58,1990
grc,32.03,1991
grc,31.55,1992
grc,27.74,1993
grc,29.9,1994
grc,32.22,1995
grc,32.32,1996
grc,30.07,1997
grc,29.13,1998
grc,28.03,1999
grc,27.69,2000
grc,25.22,2001
grc,22.97,2002
grc,23.28,2003
grc,24.69,2004
grd,6.547,2004
gtm,23.4,1963
gtm,17.18,1964
gtm,16.16,1965
gtm,13.85,1966
gtm,10.9,1967
gtm,12.85,1968
gtm,13.47,1969
gtm,18.14,1970
gtm,15.66,1971
gtm,6.728,1974
gtm,11.23,1977
gtm,40.3,1979
gtm,37.3,1980
gtm,23.38,1981
gtm,2.309,1984
gtm,9.115,1986
gtm,11.35,1987
gtm,9.916,1988
gtm,8.848,1989
gtm,6.948,1990
gtm,9.493,1991
gtm,9.83,1992
gtm,11.21,1993
gtm,8.921,1994
gtm,10.38,1995
gtm,9.543,1996
gtm,11.06,1997
gtm,10.15,1998
gtm,6.407,1999
gtm,8.129,2000
gtm,6.978,2001
gtm,7.119,2002
gtm,7.427,2003
gtm,6.995,2004
gin,50.27,2004
gnb,48.04,2004
guy,44.85,2004
hti,11.96,2004
hnd,23.33,2004
hun,8.877,1955
hun,13.97,1956
hun,13.21,1957
hun,9.372,1958
hun,12.09,1959
hun,11.17,1960
hun,12.47,1961
hun,13.44,1962
hun,16.18,1963
hun,16.21,1964
hun,14.92,1965
hun,14.56,1966
hun,15.24,1967
hun,19.79,1968
hun,21.72,1969
hun,25.65,1970
hun,28.42,1971
hun,28.31,1972
hun,25.29,1973
hun,26.22,1974
hun,26.9,1975
hun,23.38,1976
hun,25.21,1977
hun,28.54,1978
hun,26.66,1979
hun,26.02,1980
hun,25.83,1981
hun,25.06,1982
hun,24.78,1983
hun,25.24,1984
hun,27.18,1985
hun,25.74,1986
hun,25.21,1987
hun,26.12,1988
hun,32.66,1989
hun,38.68,1990
hun,35.23,1991
hun,34.4,1992
hun,27.27,1993
hun,25.61,1994
hun,26.97,1995
hun,19.42,1996
hun,19.97,1997
hun,20.2,1998
hun,18.59,1999
hun,17.64,2000
hun,18.26,2001
hun,22.0,2002
hun,20.76,2003
hun,20.76,2004
isl,10.16,2004
ind,31.56,2004
idn,40.37,2004
irn,92.34,2004
irq,195.4,2004
irl,8.001,1950
irl,8.886,1951
irl,9.743,1952
irl,10.1,1953
irl,11.34,1954
irl,12.64,1955
irl,14.38,1956
irl,9.427,1957
irl,13.65,1958
irl,14.16,1959
irl,13.84,1960
irl,16.68,1961
irl,15.15,1962
irl,15.8,1963
irl,16.22,1964
irl,16.91,1965
irl,20.23,1966
irl,20.02,1967
irl,23.25,1968
irl,22.63,1969
irl,23.8,1970
irl,27.59,1971
irl,31.74,1972
irl,32.55,1973
irl,29.61,1974
irl,29.2,1975
irl,24.85,1976
irl,26.45,1977
irl,30.16,1978
irl,28.29,1979
irl,25.18,1980
irl,27.32,1981
irl,23.69,1982
irl,22.56,1983
irl,19.93,1984
irl,20.22,1985
irl,19.29,1986
irl,18.96,1987
irl,19.97,1988
irl,20.1,1989
irl,19.75,1990
irl,17.67,1991
irl,15.18,1992
irl,16.82,1993
irl,16.27,1994
irl,17.37,1995
irl,18.06,1996
irl,16.38,1997
irl,18.0,1998
irl,14.6,1999
irl,15.57,2000
irl,14.83,2001
irl,13.34,2002
irl,11.29,2003
irl,10.21,2004
isr,26.13,1975
isr,22.08,1976
isr,21.47,1977
isr,20.81,1978
isr,18.68,1979
isr,14.96,1980
isr,15.54,1981
isr,14.49,1982
isr,16.02,1983
isr,14.76,1984
isr,13.62,1985
isr,14.76,1986
isr,15.88,1987
isr,14.07,1988
isr,14.26,1989
isr,11.21,1990
isr,8.7,1991
isr,9.462,1992
isr,14.28,1993
isr,16.3,1994
isr,16.02,1995
isr,13.14,1996
isr,13.65,1997
isr,10.35,1998
isr,8.823,1999
isr,8.852,2000
isr,10.29,2001
isr,9.788,2002
isr,8.096,2003
isr,8.396,2004
ita,16.72,1951
ita,19.05,1952
ita,22.11,1953
ita,25.04,1954
ita,28.58,1955
ita,27.7,1956
ita,28.38,1957
ita,28.52,1958
ita,27.42,1959
ita,29.98,1960
ita,32.35,1961
ita,35.06,1962
ita,36.37,1963
ita,36.69,1964
ita,34.54,1965
ita,33.78,1966
ita,35.37,1967
ita,35.76,1968
ita,37.45,1969
ita,38.46,1970
ita,38.26,1971
ita,40.28,1972
ita,39.17,1973
ita,34.07,1974
ita,33.03,1975
ita,30.7,1976
ita,28.12,1977
ita,28.05,1978
ita,28.39,1979
ita,29.01,1980
ita,26.76,1981
ita,25.72,1982
ita,25.6,1983
ita,23.39,1984
ita,22.99,1985
ita,23.33,1986
ita,22.08,1987
ita,21.88,1988
ita,21.99,1989
ita,22.52,1990
ita,23.97,1991
ita,23.99,1992
ita,21.08,1993
ita,20.56,1994
ita,19.95,1995
ita,18.62,1996
ita,19.3,1997
ita,20.12,1998
ita,19.65,1999
ita,18.35,2000
ita,18.91,2001
ita,18.85,2002
ita,16.8,2003
ita,18.19,2004
jam,20.51,2004
jpn,5.666,1950
jpn,6.338,1951
jpn,7.334,1952
jpn,9.473,1953
jpn,11.23,1954
jpn,11.47,1955
jpn,12.75,1956
jpn,14.8,1957
jpn,16.74,1958
jpn,20.66,1959
jpn,24.99,1960
jpn,27.32,1961
jpn,25.11,1962
jpn,26.95,1963
jpn,29.24,1964
jpn,27.69,1965
jpn,30.5,1966
jpn,29.02,1967
jpn,29.54,1968
jpn,32.56,1969
jpn,33.45,1970
jpn,32.34,1971
jpn,30.65,1972
jpn,28.15,1973
jpn,22.86,1974
jpn,20.49,1975
jpn,18.51,1976
jpn,17.02,1977
jpn,16.74,1978
jpn,16.4,1979
jpn,16.16,1980
jpn,16.07,1981
jpn,16.51,1982
jpn,16.87,1983
jpn,16.17,1984
jpn,16.19,1985
jpn,15.52,1986
jpn,15.39,1987
jpn,16.19,1988
jpn,16.82,1989
jpn,16.57,1990
jpn,16.1,1991
jpn,16.11,1992
jpn,15.1,1993
jpn,14.47,1994
jpn,14.25,1995
jpn,13.15,1996
jpn,12.63,1997
jpn,12.09,1998
jpn,11.56,1999
jpn,11.36,2000
jpn,10.83,2001
jpn,10.02,2002
jpn,9.105,2003
jpn,8.585,2004
jor,45.8,2004
kaz,25.94,1981
kaz,27.59,1982
kaz,19.84,1985
kaz,18.62,1986
kaz,20.82,1987
kaz,31.45,1988
kaz,39.24,1989
kaz,37.4,1990
kaz,36.48,1991
kaz,34.32,1992
kaz,30.9,1993
kaz,22.59,1994
kaz,22.56,1995
kaz,20.35,1996
kaz,20.16,1997
kaz,23.4,1998
kaz,17.36,1999
kaz,20.25,2001
kaz,19.89,2002
kaz,21.93,2003
kaz,32.07,2004
ken,45.26,2004
kir,10.02,2004
prk,18.02,2004
kor,23.76,1985
kor,25.14,1986
kor,29.96,1987
kor,29.94,1988
kor,40.52,1989
kor,51.42,1990
kor,51.12,1991
kor,47.67,1992
kor,47.1,1993
kor,52.23,1994
kor,59.06,1995
kor,57.8,1996
kor,49.71,1997
kor,38.29,1998
kor,37.8,1999
kor,35.97,2000
kor,26.07,2002
kor,26.03,2003
kor,22.68,2004
kwt,73.89,1972
kwt,67.51,1975
kwt,65.49,1976
kwt,81.63,1977
kwt,77.26,1978
kwt,72.13,1979
kwt,75.7,1980
kwt,64.12,1981
kwt,67.55,1982
kwt,74.93,1983
kwt,55.34,1984
kwt,57.26,1985
kwt,44.49,1986
kwt,46.27,1987
kwt,40.73,1993
kwt,33.73,1994
kwt,35.63,1995
kwt,31.85,1996
kwt,39.63,1997
kwt,25.79,1998
kwt,30.87,1999
kwt,33.17,2000
kwt,27.91,2001
kwt,26.15,2002
kwt,26.68,2004
kgz,39.18,1981
kgz,36.06,1982
kgz,25.88,1985
kgz,25.87,1986
kgz,28.78,1987
kgz,33.33,1988
kgz,47.92,1989
kgz,44.29,1990
kgz,45.8,1991
kgz,31.63,1992
kgz,27.87,1993
kgz,19.65,1994
kgz,20.39,1995
kgz,20.32,1996
kgz,19.57,1997
kgz,14.61,1998
kgz,14.91,1999
kgz,15.02,2000
kgz,17.07,2001
kgz,21.16,2002
kgz,23.68,2003
kgz,25.72,2004
lao,39.91,2004
lva,46.58,1980
lva,46.97,1981
lva,43.55,1982
lva,46.93,1983
lva,42.57,1984
lva,35.02,1985
lva,30.66,1986
lva,33.14,1987
lva,38.6,1988
lva,56.51,1989
lva,63.95,1990
lva,66.03,1991
lva,51.86,1992
lva,47.85,1993
lva,58.15,1994
lva,48.98,1995
lva,39.18,1996
lva,33.19,1997
lva,43.57,1998
lva,39.96,1999
lva,41.4,2000
lva,34.81,2002
lva,31.54,2003
lva,29.23,2004
lbn,65.24,2004
lso,25.6,2004
lbr,54.79,2004
lby,37.6,2004
ltu,40.49,1981
ltu,43.09,1982
ltu,33.4,1985
ltu,28.43,1986
ltu,27.91,1987
ltu,41.6,1988
ltu,49.47,1989
ltu,47.5,1990
ltu,60.46,1991
ltu,39.9,1992
ltu,47.69,1993
ltu,36.57,1994
ltu,34.88,1995
ltu,33.77,1996
ltu,33.99,1997
ltu,41.14,1998
ltu,31.85,1999
ltu,33.56,2000
ltu,32.13,2001
ltu,31.42,2002
ltu,32.98,2003
ltu,33.0,2004
lux,17.87,2004
mkd,12.71,1991
mkd,12.33,1992
mkd,10.49,1993
mkd,8.17,1994
mkd,7.042,1995
mkd,11.3,1996
mkd,10.47,1997
mkd,10.38,1998
mkd,9.515,1999
mkd,7.973,2000
