geo,traffic_deaths_men_per_100000_people,time
afg,47.51,2004
alb,19.91,2004
dza,23.26,2004
and,19.42,2004
ago,110.9,2004
atg,13.77,2004
arg,21.19,1966
arg,25.59,1967
arg,26.95,1968
arg,29.91,1969
arg,30.85,1970
arg,24.42,1977
arg,22.27,1978
arg,22.08,1979
arg,21.84,1980
arg,21.01,1981
arg,18.5,1982
arg,18.69,1983
arg,18.02,1984
arg,13.98,1985
arg,16.11,1986
arg,15.58,1987
arg,15.14,1988
arg,15.37,1989
arg,14.49,1990
arg,15.08,1991
arg,16.2,1992
arg,17.73,1993
arg,19.13,1994
arg,17.36,1995
arg,17.15,1996
arg,15.89,1997
arg,18.53,1998
arg,17.03,1999
arg,15.21,2000
arg,15.3,2001
arg,13.22,2002
arg,13.43,2003
arg,13.52,2004
arm,19.97,2004
aus,37.48,1950
aus,42.44,1951
aus,40.55,1952
aus,37.27,1953
aus,38.36,1954
aus,40.0,1955
aus,38.52,1956
aus,39.89,1957
aus,39.65,1958
aus,39.67,1959
aus,40.57,1960
aus,39.81,1961
aus,39.81,1962
aus,39.22,1963
aus,41.56,1964
aus,43.32,1965
aus,42.69,1966
aus,43.56,1967
aus,44.34,1968
aus,44.86,1969
aus,47.12,1970
aus,46.0,1971
aus,40.75,1972
aus,43.35,1973
aus,42.23,1974
aus,41.39,1975
aus,38.05,1976
aus,39.79,1977
aus,38.49,1978
aus,36.11,1979
aus,34.7,1980
aus,32.57,1981
aus,32.01,1982
aus,26.16,1983
aus,25.82,1984
aus,26.96,1985
aus,25.75,1986
aus,23.87,1987
aus,24.55,1988
aus,23.88,1989
aus,19.28,1990
aus,17.48,1991
aus,15.83,1992
aus,15.6,1993
aus,14.85,1994
aus,14.72,1995
aus,15.32,1996
aus,13.1,1997
aus,13.07,1998
aus,12.98,1999
aus,13.45,2000
aus,13.1,2001
aus,12.59,2002
aus,11.25,2003
aus,10.44,2004
aut,17.71,1955
aut,36.81,1956
aut,50.83,1957
aut,45.95,1958
aut,48.69,1959
aut,45.85,1960
aut,36.3,1961
aut,32.74,1962
aut,39.66,1963
aut,42.37,1964
aut,38.53,1965
aut,43.07,1966
aut,50.62,1967
aut,51.79,1968
aut,49.16,1969
aut,52.58,1970
aut,59.06,1971
aut,60.74,1972
aut,55.61,1973
aut,50.99,1974
aut,50.19,1975
aut,43.83,1976
aut,44.41,1977
aut,43.46,1978
aut,42.18,1979
aut,38.31,1980
aut,37.37,1981
aut,37.53,1982
aut,38.31,1983
aut,36.34,1984
aut,29.59,1985
aut,27.57,1986
aut,27.31,1987
aut,27.61,1988
aut,28.29,1989
aut,26.85,1990
aut,25.73,1991
aut,21.84,1992
aut,22.76,1993
aut,23.88,1994
aut,20.94,1995
aut,17.51,1996
aut,19.31,1997
aut,15.32,1998
aut,17.21,1999
aut,16.77,2000
aut,15.65,2001
aut,15.26,2002
aut,15.01,2003
aut,14.11,2004
aze,21.75,1981
aze,20.5,1982
aze,18.99,1985
aze,25.05,1986
aze,22.04,1987
aze,27.32,1988
aze,28.6,1989
aze,27.53,1990
aze,25.41,1991
aze,26.74,1992
aze,20.81,1993
aze,3.403,1994
aze,5.522,1995
aze,9.684,1996
aze,8.986,1997
aze,9.334,1998
aze,7.703,1999
aze,8.765,2000
aze,8.718,2004
bhs,31.96,2004
bhr,10.55,1985
bhr,20.59,1987
bhr,18.29,1988
bhr,16.36,1997
bhr,22.01,1998
bhr,17.52,2000
bhr,16.7,2001
bhr,24.24,2004
bgd,23.8,2004
brb,23.68,2004
blr,25.47,1981
blr,23.58,1982
blr,16.89,1985
blr,17.55,1986
blr,19.3,1987
blr,26.5,1988
blr,35.16,1989
blr,38.42,1990
blr,39.13,1991
blr,35.04,1992
blr,27.59,1993
blr,26.64,1994
blr,27.78,1995
blr,25.48,1997
blr,28.06,1998
blr,26.9,1999
blr,22.92,2000
blr,23.09,2001
blr,33.16,2002
blr,33.71,2003
blr,34.04,2004
bel,16.89,1954
bel,18.0,1955
bel,19.53,1956
bel,22.93,1957
bel,25.29,1958
bel,25.52,1959
bel,30.38,1960
bel,29.39,1961
bel,28.47,1962
bel,29.95,1963
bel,35.87,1964
bel,36.82,1965
bel,35.89,1966
bel,37.73,1967
bel,39.32,1968
bel,39.81,1969
bel,43.79,1970
bel,42.81,1971
bel,43.58,1972
bel,41.34,1973
bel,37.59,1974
bel,34.42,1975
bel,35.92,1976
bel,34.36,1977
bel,35.65,1978
bel,33.71,1979
bel,36.52,1980
bel,33.55,1981
bel,31.12,1982
bel,32.07,1983
bel,29.22,1984
bel,26.35,1985
bel,29.8,1986
bel,27.66,1987
bel,26.56,1988
bel,26.41,1989
bel,26.67,1990
bel,25.68,1991
bel,23.77,1992
bel,25.16,1993
bel,26.98,1994
bel,23.5,1995
bel,22.2,1998
bel,21.86,1999
bel,17.11,2004
blz,73.46,2004
ben,37.31,2004
btn,25.83,2004
bol,31.44,2004
bih,7.033,2004
bwa,36.1,2004
bra,30.6,1982
bra,28.25,1983
bra,30.18,1984
bra,32.65,1985
bra,40.1,1986
bra,35.5,1987
bra,34.85,1988
bra,35.15,1989
bra,34.03,1990
bra,32.35,1991
bra,30.31,1992
bra,30.19,1993
bra,31.12,1994
bra,35.33,1995
bra,33.01,1996
bra,35.0,1997
bra,30.27,1998
bra,28.38,1999
bra,27.15,2000
bra,28.18,2001
bra,29.27,2002
bra,29.1,2003
bra,30.8,2004
brn,22.88,2004
bgr,10.17,1964
bgr,11.49,1965
bgr,20.37,1966
bgr,21.49,1967
bgr,21.95,1968
bgr,19.94,1969
bgr,19.84,1970
bgr,20.92,1971
bgr,21.05,1972
bgr,20.09,1973
bgr,17.67,1974
bgr,20.11,1975
bgr,18.31,1976
bgr,19.33,1977
bgr,19.86,1978
bgr,20.78,1979
bgr,19.68,1980
bgr,19.49,1981
bgr,21.15,1982
bgr,17.37,1983
bgr,19.03,1984
bgr,18.48,1985
bgr,17.14,1986
bgr,18.76,1987
bgr,18.12,1988
bgr,19.33,1989
bgr,24.77,1990
bgr,16.52,1991
bgr,20.14,1992
bgr,19.36,1993
bgr,21.47,1994
bgr,19.6,1995
bgr,15.76,1996
bgr,14.8,1997
bgr,15.26,1998
bgr,16.06,1999
bgr,15.59,2000
bgr,17.5,2001
bgr,16.36,2002
bgr,15.76,2003
bgr,16.32,2004
bfa,50.92,2004
bdi,73.15,2004
khm,32.1,2004
cmr,43.3,2004
can,25.9,1950
can,29.96,1951
can,31.55,1952
can,32.58,1953
can,29.01,1954
can,30.47,1955
can,34.87,1956
can,35.88,1957
can,32.78,1958
can,33.0,1959
can,32.56,1960
can,34.31,1961
can,37.26,1962
can,37.37,1963
can,39.8,1964
can,40.08,1965
can,42.06,1966
can,40.83,1967
can,39.81,1968
can,40.87,1969
can,36.92,1970
can,38.14,1971
can,42.48,1972
can,42.0,1973
can,40.04,1974
can,36.33,1975
can,31.62,1976
can,31.45,1977
can,30.33,1978
can,33.65,1979
can,30.8,1980
can,30.88,1981
can,22.76,1982
can,23.3,1983
can,22.07,1984
can,21.91,1985
can,21.39,1986
can,22.83,1987
can,21.79,1988
can,21.97,1989
can,19.06,1990
can,17.73,1991
can,15.77,1992
can,15.99,1993
can,14.54,1994
can,14.1,1995
can,13.39,1996
can,13.02,1997
can,12.25,1998
can,12.68,1999
can,11.83,2000
can,11.52,2001
can,11.79,2002
can,11.4,2003
can,11.4,2004
cpv,28.04,2004
caf,60.92,2004
tcd,54.45,2004
chl,8.173,1955
chl,12.49,1956
chl,13.94,1957
chl,13.77,1958
chl,12.62,1959
chl,16.35,1960
chl,18.33,1961
chl,11.54,1962
chl,13.75,1963
chl,11.29,1964
chl,11.55,1965
chl,32.39,1966
chl,14.74,1967
