burns_deaths_per_100000_people,geo,time
1.267,per,2002
1.065,per,2004
0.1992,phl,2002
0.1896,phl,2004
0.9212,pol,2002
1.061,pol,2004
0.8669,prt,2002
0.7015,prt,2004
0.0,qat,2002
0.0,qat,2004
1.516,kor,2002
0.8741,kor,2004
2.582,mda,2002
3.073,mda,2004
1.815,rou,2002
1.406,rou,2004
7.937,rus,2002
7.296,rus,2004
5.363,rwa,2002
6.018,rwa,2004
2.513,kna,2002
2.639,kna,2004
1.321,lca,2002
2.666,lca,2004
3.826,vct,2002
3.376,vct,2004
4.465,wsm,2002
4.33,wsm,2004
0.0,smr,2002
0.0,smr,2004
4.213,stp,2002
5.356,stp,2004
0.6874,sau,2002
0.7051,sau,2004
6.452,sen,2002
5.056,sen,2004
0.5205,scg,2002
0.5918,scg,2004
0.9147,syc,2002
0.8829,syc,2004
9.819,sle,2002
7.638,sle,2004
0.1512,sgp,2002
0.06329,sgp,2004
0.4715,svk,2002
0.8571,svk,2004
0.583,svn,2002
0.2936,svn,2004
4.081,slb,2002
3.789,slb,2004
6.203,som,2002
8.16,som,2004
5.276,zaf,2002
9.8,zaf,2004
0.3701,esp,2002
0.3618,esp,2004
1.577,lka,2002
1.404,lka,2004
4.881,sdn,2002
5.269,sdn,2004
1.773,sur,2002
2.184,sur,2004
4.797,swz,2002
6.226,swz,2004
0.6972,swe,2002
0.8165,swe,2004
0.3262,che,2002
0.3383,che,2004
3.51,syr,2002
3.098,syr,2004
1.539,tjk,2002
1.947,tjk,2004
0.6506,tha,2002
0.7561,tha,2004
0.541,mkd,2002
0.6182,mkd,2004
9.119,tls,2002
6.648,tls,2004
6.544,tgo,2002
4.907,tgo,2004
3.613,ton,2002
3.862,ton,2004
0.7151,tto,2002
1.414,tto,2004
4.839,tun,2002
3.224,tun,2004
0.9747,tur,2002
0.6369,tur,2004
8.447,tkm,2002
7.863,tkm,2004
8.019,tuv,2002
7.702,tuv,2004
5.112,uga,2002
6.159,uga,2004
3.837,ukr,2002
4.703,ukr,2004
2.339,are,2002
1.474,are,2004
0.6323,gbr,2002
0.5777,gbr,2004
4.849,tza,2002
4.959,tza,2004
1.124,usa,2002
0.9737,usa,2004
1.17,ury,2002
1.233,ury,2004
1.884,uzb,2002
2.18,uzb,2004
4.166,vut,2002
4.004,vut,2004
0.4097,ven,2002
0.4906,ven,2004
4.762,vnm,2002
4.121,vnm,2004
5.82,yem,2002
6.045,yem,2004
3.292,zmb,2002
5.195,zmb,2004
3.51,zwe,2002
6.469,zwe,2004
