geo,liver_cancer_deaths_per_100000_men,time
afg,3.5,2002
alb,6.6,2002
dza,0.8,2002
ago,5.2,2002
arg,1.76,1979
arg,1.29,1980
arg,1.22,1981
arg,5.19,1982
arg,4.78,1983
arg,4.83,1984
arg,4.54,1985
arg,4.87,1986
arg,4.92,1987
arg,4.65,1988
arg,5.14,1989
arg,5.03,1990
arg,5.0,1991
arg,4.98,1992
arg,5.25,1993
arg,4.91,1994
arg,4.78,1995
arg,4.99,1996
arg,5.32,1997
arg,4.85,1998
arg,4.92,1999
arg,4.9,2000
arg,4.76,2001
arg,4.58,2002
arm,4.3,2002
aus,1.24,1982
aus,1.49,1983
aus,1.71,1984
aus,1.96,1985
aus,1.6,1986
aus,1.79,1987
aus,1.67,1988
aus,1.89,1989
aus,1.76,1990
aus,1.97,1991
aus,2.11,1992
aus,2.25,1993
aus,2.22,1994
aus,2.38,1995
aus,2.21,1996
aus,2.4,1997
aus,3.28,1998
aus,3.3,1999
aus,3.69,2000
aus,3.79,2001
aus,3.69,2002
aut,3.23,1980
aut,3.29,1981
aut,3.41,1982
aut,3.56,1983
aut,4.04,1984
aut,4.03,1985
aut,4.27,1986
aut,3.5,1987
aut,2.47,1988
aut,2.42,1989
aut,3.51,1990
aut,4.04,1991
aut,3.33,1992
aut,3.98,1993
aut,3.67,1994
aut,3.62,1995
aut,4.18,1996
aut,4.62,1997
aut,4.27,1998
aut,4.37,1999
aut,4.02,2000
aut,4.23,2001
aut,6.87,2002
aze,3.3,2002
bhs,4.6,2002
bhr,4.0,2002
bgd,1.2,2002
brb,3.9,2002
blr,4.5,2002
bel,4.5,2002
blz,5.0,2002
ben,15.1,2002
btn,2.5,2002
bol,3.5,2002
bih,6.8,2002
bwa,4.4,2002
bra,1.25,1979
bra,1.19,1980
bra,1.3,1981
bra,0.92,1982
bra,0.98,1983
bra,0.93,1984
bra,1.42,1985
bra,1.74,1986
bra,1.31,1987
bra,1.22,1988
bra,1.22,1989
bra,1.14,1990
bra,1.07,1991
bra,1.08,1992
bra,1.03,1993
bra,1.01,1994
bra,1.15,1995
bra,3.97,1996
bra,4.05,1997
bra,3.96,1998
bra,3.96,1999
bra,4.28,2000
bra,4.23,2001
bra,4.36,2002
brn,9.0,2002
bgr,7.3,2002
bfa,23.8,2002
bdi,20.8,2002
khm,14.2,2002
cmr,40.7,2002
can,1.11,1958
can,1.03,1959
can,1.24,1960
can,1.06,1961
can,0.99,1962
can,1.04,1963
can,1.02,1964
can,1.18,1965
can,1.46,1966
can,1.47,1967
can,1.47,1968
can,1.38,1979
can,1.35,1980
can,1.15,1981
can,1.18,1982
can,1.15,1983
can,1.65,1984
can,1.57,1985
can,1.66,1986
can,1.68,1987
can,1.87,1988
can,1.75,1989
can,1.46,1990
can,1.43,1991
can,1.56,1992
can,1.69,1993
can,1.78,1994
can,1.59,1995
can,1.54,1996
can,1.74,1997
can,1.96,1998
can,1.95,1999
can,3.67,2000
can,4.05,2001
can,3.82,2002
cpv,15.1,2002
caf,27.3,2002
tcd,27.3,2002
chl,2.35,1980
chl,2.1,1981
chl,1.87,1982
chl,5.34,1983
chl,5.14,1984
chl,4.86,1985
chl,5.21,1986
chl,3.71,1987
chl,2.06,1988
chl,2.06,1989
chl,2.41,1990
chl,2.21,1991
chl,2.1,1992
chl,2.0,1993
chl,1.87,1994
chl,2.47,1995
chl,2.34,1996
chl,5.73,1997
chl,6.66,1998
chl,5.61,1999
chl,5.28,2000
chl,4.53,2001
chl,5.21,2002
chn,35.3,2002
col,5.76,1984
col,1.66,1985
col,1.96,1986
col,2.1,1987
col,2.17,1988
col,1.17,1989
col,1.58,1990
col,1.86,1991
col,2.02,1992
col,1.46,1993
col,1.67,1994
col,2.03,1995
col,2.26,1996
col,5.13,1997
col,4.9,1998
col,5.45,1999
col,4.91,2001
col,4.91,2002
com,20.8,2002
cod,29.6,2002
cog,16.1,2002
cri,3.36,1980
cri,2.92,1981
cri,5.41,1982
cri,6.13,1983
cri,5.27,1984
cri,6.18,1985
cri,3.94,1986
cri,6.56,1987
cri,8.05,1988
cri,7.29,1989
cri,5.71,1990
cri,2.52,1991
cri,4.11,1992
cri,2.46,1993
cri,2.77,1994
cri,2.0,1995
cri,2.15,1996
cri,6.35,1997
cri,6.55,1998
cri,5.49,1999
cri,5.36,2000
cri,6.55,2001
cri,6.84,2002
civ,12.6,2002
hrv,6.5,1995
hrv,6.09,1996
hrv,7.11,1997
hrv,6.89,1998
hrv,6.81,1999
hrv,6.32,2000
hrv,7.21,2001
hrv,7.24,2002
cub,1.53,1979
cub,1.46,1980
cub,1.4,1981
cub,1.49,1982
cub,1.4,1983
cub,1.08,1984
cub,1.44,1985
cub,1.21,1986
cub,1.45,1987
cub,1.74,1988
cub,1.8,1989
cub,1.81,1990
cub,1.75,1994
cub,1.75,1997
cub,1.54,1998
cub,1.19,2000
cub,3.97,2001
cub,4.34,2002
cyp,3.6,2002
cze,4.01,1986
cze,4.02,1987
cze,4.0,1988
cze,4.55,1989
cze,3.74,1990
cze,4.0,1991
cze,4.0,1992
cze,3.21,1993
cze,7.7,1994
cze,8.59,1995
cze,8.26,1996
cze,8.52,1997
cze,8.02,1998
cze,7.71,1999
cze,7.66,2000
cze,7.33,2001
cze,7.73,2002
cheslo,4.76,1987
cheslo,4.88,1988
cheslo,5.21,1989
cheslo,4.79,1990
cheslo,4.57,1991
dnk,3.02,1961
dnk,2.9,1962
dnk,3.95,1963
dnk,3.61,1964
dnk,3.58,1965
dnk,2.99,1966
dnk,3.07,1967
dnk,2.39,1968
dnk,3.76,1994
dnk,3.87,1995
dnk,3.39,1996
dnk,3.05,1997
dnk,3.67,1998
dnk,3.29,1999
dnk,3.53,2000
dnk,3.76,2001
dnk,3.99,2002
dji,20.8,2002
dom,4.11,1980
dom,4.77,1981
dom,3.26,1982
dom,3.09,1983
dom,2.78,1984
dom,1.57,1985
dom,1.04,1986
dom,1.0,1987
dom,0.76,1988
dom,0.46,1989
dom,0.96,1990
dom,0.61,1991
dom,0.46,1992
dom,0.54,1994
dom,0.48,1995
dom,4.26,1996
