geo,population_aged_5_9_years_female_percent,time
afg,13.4,1950
afg,13.97,1955
afg,13.45,1960
afg,13.74,1965
afg,14.04,1970
afg,14.35,1975
afg,14.55,1980
afg,14.66,1985
afg,14.9,1990
afg,15.05,1995
afg,15.27,2000
afg,15.35,2005
afg,15.09,2010
afg,14.5,2015
afg,14.35,2020
afg,14.16,2025
afg,13.78,2030
afg,13.17,2035
afg,12.41,2040
afg,11.64,2045
afg,10.96,2050
alb,12.46,1950
alb,12.13,1955
alb,13.27,1960
alb,14.46,1965
alb,14.38,1970
alb,12.96,1975
alb,11.76,1980
alb,11.51,1985
alb,10.48,1990
alb,10.93,1995
alb,9.916,2000
alb,8.848,2005
alb,6.596,2010
alb,6.469,2015
alb,6.71,2020
alb,6.701,2025
alb,6.243,2030
alb,5.562,2035
alb,5.078,2040
alb,5.067,2045
alb,5.142,2050
dza,13.15,1950
dza,13.41,1955
dza,13.83,1960
dza,14.62,1965
dza,15.34,1970
dza,15.23,1975
dza,14.8,1980
dza,14.64,1985
dza,14.75,1990
dza,13.24,1995
dza,11.66,2000
dza,9.003,2005
dza,8.745,2010
dza,8.87,2015
dza,8.74,2020
dza,8.198,2025
dza,7.346,2030
dza,6.531,2035
dza,6.07,2040
dza,5.928,2045
dza,5.968,2050
ago,12.83,1950
ago,12.69,1955
ago,13.86,1960
ago,14.26,1965
ago,14.55,1970
ago,14.65,1975
ago,14.53,1980
ago,14.88,1985
ago,15.06,1990
ago,15.22,1995
ago,15.34,2000
ago,14.65,2005
ago,14.84,2010
ago,13.92,2015
ago,13.74,2020
ago,13.29,2025
ago,12.63,2030
ago,11.87,2035
ago,11.13,2040
ago,10.51,2045
ago,9.961,2050
arg,10.13,1950
arg,10.21,1955
arg,10.23,1960
arg,9.967,1965
arg,9.561,1970
arg,9.241,1975
arg,9.514,1980
arg,10.53,1985
arg,9.592,1990
arg,9.283,1995
arg,9.016,2000
arg,8.487,2005
arg,7.868,2010
arg,7.697,2015
arg,7.423,2020
arg,7.05,2025
arg,6.646,2030
arg,6.267,2035
arg,5.918,2040
arg,5.806,2045
arg,5.68,2050
arm,8.006,1950
arm,9.693,1955
arm,12.2,1960
