geo,population_aged_0_4_years_male_percent,time
afg,17.43,1950
afg,16.81,1955
afg,17.14,1960
afg,17.48,1965
afg,17.82,1970
afg,18.03,1975
afg,18.2,1980
afg,18.51,1985
afg,18.74,1990
afg,18.98,1995
afg,18.97,2000
afg,18.46,2005
afg,17.63,2010
afg,17.33,2015
afg,16.92,2020
afg,16.24,2025
afg,15.27,2030
afg,14.16,2035
afg,13.1,2040
afg,12.18,2045
afg,11.37,2050
alb,14.45,1950
alb,15.83,1955
alb,17.68,1960
alb,17.11,1965
alb,15.28,1970
alb,14.24,1975
alb,12.92,1980
alb,12.25,1985
alb,11.97,1990
alb,10.84,1995
alb,9.764,2000
alb,7.398,2005
alb,7.353,2010
alb,7.668,2015
alb,7.683,2020
alb,7.083,2025
alb,6.231,2030
alb,5.709,2035
alb,5.643,2040
alb,5.76,2045
alb,5.652,2050
dza,15.66,1950
dza,16.83,1955
dza,18.6,1960
dza,19.72,1965
dza,20.29,1970
dza,19.4,1975
dza,18.14,1980
dza,17.64,1985
dza,15.4,1990
dza,13.04,1995
dza,10.02,2000
dza,9.738,2005
dza,9.82,2010
dza,9.586,2015
dza,8.906,2020
dza,7.906,2025
dza,6.996,2030
dza,6.492,2035
dza,6.341,2040
dza,6.366,2045
dza,6.251,2050
ago,17.27,1950
ago,18.58,1955
ago,19.09,1960
ago,19.49,1965
ago,19.47,1970
ago,19.34,1975
ago,19.79,1980
ago,20.01,1985
ago,20.11,1990
ago,19.97,1995
ago,18.91,2000
ago,18.69,2005
ago,17.31,2010
ago,16.87,2015
ago,16.08,2020
ago,15.05,2025
ago,13.94,2030
ago,12.93,2035
ago,12.08,2040
ago,11.34,2045
ago,10.64,2050
arg,11.24,1950
arg,11.23,1955
arg,10.99,1960
arg,10.61,1965
arg,10.4,1970
arg,10.87,1975
arg,12.04,1980
arg,11.01,1985
arg,10.63,1990
arg,10.28,1995
arg,9.62,2000
arg,8.897,2005
arg,8.678,2010
arg,8.327,2015
arg,7.87,2020
arg,7.384,2025
arg,6.937,2030
arg,6.543,2035
arg,6.408,2040
arg,6.262,2045
arg,6.089,2050
arm,11.37,1950
arm,16.22,1955
arm,18.13,1960
arm,16.64,1965
arm,12.2,1970
arm,11.17,1975
arm,11.2,1980
arm,11.83,1985
arm,11.51,1990
arm,9.751,1995
arm,7.261,2000
arm,7.832,2005
arm,8.466,2010
arm,8.538,2015
arm,7.744,2020
arm,6.765,2025
arm,6.246,2030
arm,6.14,2035
arm,6.174,2040
arm,6.108,2045
arm,5.788,2050
abw,18.75,1950
abw,21.05,1955
abw,17.39,1960
abw,14.81,1965
abw,11.11,1970
abw,10.0,1975
abw,9.677,1980
abw,10.0,1985
abw,9.375,1990
abw,7.5,1995
abw,6.818,2000
abw,6.122,2005
abw,6.0,2010
abw,5.769,2015
abw,5.66,2020
abw,5.882,2025
