geo,private_share_of_total_health_spending_percent,time
jor,40.16,2007
jor,38.12,2008
jor,29.7,2009
jor,32.34,2010
kaz,36.19,1995
kaz,36.6,1996
kaz,35.88,1997
kaz,36.13,1998
kaz,47.66,1999
kaz,49.14,2000
kaz,43.45,2001
kaz,46.58,2002
kaz,45.55,2003
kaz,41.98,2004
kaz,38.07,2005
kaz,41.51,2006
kaz,47.84,2007
kaz,41.52,2008
kaz,40.79,2009
kaz,40.61,2010
ken,53.62,1995
ken,59.91,1996
ken,61.15,1997
ken,55.6,1998
ken,60.15,1999
ken,53.73,2000
ken,55.27,2001
ken,57.18,2002
ken,56.63,2003
ken,58.15,2004
ken,57.77,2005
ken,58.7,2006
ken,57.62,2007
ken,60.3,2008
ken,56.66,2009
ken,55.7,2010
kir,4.987,1995
kir,5.01,1996
kir,4.516,1997
kir,5.631,1998
kir,5.136,1999
kir,5.402,2000
kir,5.057,2001
kir,5.018,2002
kir,5.247,2003
kir,4.966,2004
kir,5.929,2005
kir,14.34,2006
kir,16.53,2007
kir,15.68,2008
kir,15.33,2009
kir,17.67,2010
kor,61.52,1995
kor,58.28,1996
kor,55.63,1997
kor,50.99,1998
kor,49.83,1999
kor,51.37,2000
kor,45.08,2001
kor,46.29,2002
kor,47.57,2003
kor,47.41,2004
kor,47.09,2005
kor,44.69,2006
kor,44.18,2007
kor,44.05,2008
kor,41.82,2009
kor,41.03,2010
kwt,18.13,1995
kwt,20.55,1996
kwt,20.12,1997
kwt,21.0,1998
kwt,20.62,1999
kwt,24.03,2000
kwt,18.62,2001
kwt,20.2,2002
kwt,19.77,2003
kwt,20.28,2004
kwt,20.2,2005
kwt,18.95,2006
kwt,21.32,2007
kwt,21.75,2008
kwt,14.56,2009
kwt,19.63,2010
kgz,42.38,1995
kgz,50.29,1996
kgz,48.23,1997
kgz,48.63,1998
kgz,51.52,1999
kgz,55.72,2000
kgz,58.86,2001
kgz,60.45,2002
kgz,62.11,2003
kgz,59.17,2004
kgz,59.11,2005
kgz,53.84,2006
kgz,50.85,2007
kgz,51.6,2008
kgz,46.96,2009
kgz,43.81,2010
lao,40.28,1995
lao,41.98,1996
lao,42.13,1997
lao,56.61,1998
lao,69.03,1999
lao,64.93,2000
lao,72.02,2001
lao,73.08,2002
lao,73.98,2003
lao,82.7,2004
lao,87.18,2005
lao,86.59,2006
lao,88.03,2007
lao,75.34,2008
lao,71.7,2009
lao,66.71,2010
lva,33.73,1995
lva,42.23,1996
lva,44.23,1997
lva,40.76,1998
lva,41.65,1999
lva,45.61,2000
lva,48.79,2001
lva,47.86,2002
lva,47.18,2003
lva,43.42,2004
lva,42.94,2005
lva,35.91,2006
lva,39.26,2007
lva,37.53,2008
lva,38.35,2009
lva,38.86,2010
lbn,71.68,1995
lbn,70.37,1996
lbn,69.76,1997
lbn,72.47,1998
lbn,70.93,1999
lbn,67.4,2000
lbn,62.67,2001
lbn,56.46,2002
lbn,59.44,2003
lbn,57.0,2004
lbn,54.37,2005
lbn,57.4,2006
lbn,58.38,2007
lbn,56.63,2008
lbn,58.09,2009
lbn,60.84,2010
lso,53.44,1995
lso,51.0,1996
lso,55.2,1997
lso,52.06,1998
lso,51.45,1999
lso,48.79,2000
lso,41.93,2001
lso,44.54,2002
lso,41.59,2003
lso,42.61,2004
lso,46.65,2005
lso,39.95,2006
lso,33.6,2007
lso,29.9,2008
lso,25.7,2009
lso,23.76,2010
lbr,72.17,1998
lbr,70.92,1999
lbr,73.56,2000
lbr,70.62,2001
lbr,78.46,2002
lbr,77.24,2003
lbr,74.13,2004
lbr,69.35,2005
lbr,72.19,2006
lbr,76.31,2007
lbr,67.0,2008
lbr,65.48,2009
lbr,67.46,2010
lby,50.41,1995
lby,51.23,1996
lby,54.91,1997
lby,47.98,1998
lby,49.8,1999
lby,42.79,2000
lby,35.41,2001
lby,35.24,2002
lby,36.46,2003
lby,36.95,2004
lby,38.22,2005
lby,38.95,2006
lby,34.12,2007
lby,29.68,2008
lby,33.88,2009
lby,31.22,2010
ltu,25.85,1995
ltu,29.6,1996
ltu,27.48,1997
ltu,24.05,1998
ltu,25.09,1999
ltu,30.29,2000
ltu,27.35,2001
ltu,25.09,2002
ltu,23.99,2003
ltu,32.44,2004
ltu,32.22,2005
ltu,30.48,2006
ltu,27.01,2007
ltu,27.6,2008
ltu,26.57,2009
ltu,26.51,2010
lux,7.563,1995
lux,7.195,1996
lux,7.517,1997
lux,7.581,1998
lux,10.21,1999
lux,14.93,2000
lux,15.75,2001
lux,14.47,2002
lux,15.78,2003
lux,15.19,2004
lux,15.08,2005
lux,14.87,2006
lux,15.88,2007
lux,15.95,2008
lux,15.98,2009
lux,15.59,2010
mkd,41.48,1995
mkd,41.36,1996
mkd,39.83,1997
mkd,36.01,1998
mkd,40.36,1999
mkd,42.5,2000
mkd,41.2,2001
mkd,41.21,2002
mkd,41.48,2003
mkd,40.48,2004
mkd,38.2,2005
mkd,34.92,2006
mkd,35.74,2007
mkd,31.81,2008
mkd,33.51,2009
mkd,36.25,2010
mdg,46.4,1995
mdg,40.86,1996
mdg,38.64,1997
mdg,39.66,1998
mdg,38.91,1999
mdg,33.51,2000
mdg,30.76,2001
mdg,32.87,2002
mdg,35.9,2003
mdg,34.62,2004
mdg,33.56,2005
mdg,33.03,2006
mdg,33.77,2007
mdg,31.3,2008
mdg,35.47,2009
mdg,39.72,2010
mwi,62.08,1995
mwi,72.91,1996
mwi,68.99,1997
mwi,66.26,1998
mwi,65.06,1999
mwi,54.16,2000
mwi,56.22,2001
mwi,39.61,2002
mwi,27.87,2003
mwi,26.86,2004
mwi,26.08,2005
mwi,31.11,2006
mwi,35.67,2007
mwi,37.56,2008
mwi,34.85,2009
mwi,39.82,2010
mys,39.81,1995
mys,38.43,1996
mys,40.74,1997
mys,40.77,1998
mys,41.05,1999
mys,41.04,2000
mys,38.99,2001
mys,40.19,2002
mys,38.34,2003
mys,43.0,2004
mys,47.97,2005
mys,44.15,2006
mys,45.3,2007
mys,44.8,2008
mys,44.29,2009
mys,44.49,2010
mdv,38.66,1995
mdv,43.0,1996
mdv,44.05,1997
mdv,44.39,1998
mdv,42.63,1999
mdv,41.51,2000
mdv,41.93,2001
mdv,41.93,2002
mdv,47.78,2003
mdv,43.7,2004
mdv,35.71,2005
mdv,34.84,2006
mdv,34.63,2007
mdv,30.62,2008
mdv,39.33,2009
mdv,39.51,2010
mli,47.74,1995
mli,60.42,1996
mli,63.88,1997
mli,65.55,1998
mli,69.92,1999
mli,67.11,2000
mli,55.07,2001
mli,59.81,2002
mli,55.89,2003
mli,50.77,2004
mli,53.49,2005
mli,51.8,2006
mli,51.98,2007
mli,53.5,2008
mli,52.76,2009
mli,53.42,2010
mlt,32.49,1995
mlt,31.58,1996
mlt,30.47,1997
mlt,29.7,1998
mlt,30.17,1999
mlt,27.53,2000
mlt,30.64,2001
mlt,30.4,2002
mlt,29.97,2003
mlt,31.42,2004
mlt,31.33,2005
mlt,30.64,2006
mlt,33.05,2007
mlt,35.11,2008
mlt,35.21,2009
mlt,34.52,2010
mhl,17.21,1995
mhl,14.37,1996
mhl,13.6,1997
mhl,14.64,1998
mhl,14.54,1999
mhl,12.04,2000
mhl,14.02,2001
mhl,14.92,2002
mhl,16.83,2003
mhl,16.53,2004
mhl,17.24,2005
mhl,16.43,2006
mhl,16.48,2007
mhl,17.9,2008
mhl,16.03,2009
mhl,16.77,2010
mrt,40.97,1995
mrt,51.14,1996
mrt,49.1,1997
mrt,40.45,1998
mrt,32.33,1999
mrt,33.5,2000
mrt,40.11,2001
mrt,33.39,2002
mrt,36.46,2003
mrt,34.87,2004
mrt,37.27,2005
mrt,37.85,2006
mrt,42.1,2007
mrt,48.44,2008
mrt,47.23,2009
mrt,46.89,2010
mus,45.31,1995
mus,45.93,1996
mus,45.77,1997
mus,45.27,1998
mus,45.98,1999
mus,47.95,2000
mus,48.16,2001
mus,48.52,2002
mus,45.76,2003
mus,45.27,2004
mus,52.34,2005
mus,58.14,2006
mus,63.87,2007
mus,66.11,2008
mus,62.87,2009
mus,58.3,2010
mex,57.87,1995
mex,58.59,1996
mex,55.29,1997
mex,53.98,1998
mex,52.19,1999
mex,53.44,2000
mex,55.19,2001
mex,56.16,2002
mex,55.83,2003
mex,54.84,2004
mex,54.97,2005
mex,54.78,2006
mex,54.6,2007
mex,53.02,2008
mex,51.66,2009
fsm,4.826,1995
fsm,5.456,1996
fsm,6.174,1997
fsm,6.939,1998
fsm,6.387,1999
fsm,6.146,2000
fsm,5.589,2001
fsm,6.062,2002
fsm,5.102,2003
fsm,4.667,2004
fsm,6.612,2005
fsm,7.465,2006
fsm,7.128,2007
fsm,9.633,2008
fsm,9.305,2009
fsm,8.843,2010
mda,35.76,1995
mda,34.66,1996
mda,35.74,1997
mda,43.77,1998
mda,50.71,1999
mda,51.45,2000
mda,54.91,2001
mda,49.9,2002
mda,52.39,2003
mda,50.71,2004
mda,54.38,2005
mda,55.59,2006
mda,54.8,2007
mda,52.77,2008
mda,51.48,2009
mda,54.21,2010
mco,10.46,1995
mco,10.46,1996
mco,10.77,1997
mco,11.88,1998
mco,12.44,1999
mco,12.9,2000
mco,12.6,2001
mco,12.82,2002
mco,11.88,2003
mco,11.95,2004
mco,11.81,2005
mco,12.03,2006
mco,12.67,2007
mco,12.29,2008
mco,12.03,2009
mco,11.95,2010
mng,20.52,1995
mng,16.56,1996
mng,17.82,1997
mng,16.88,1998
mng,17.55,1999
mng,18.11,2000
mng,15.77,2001
mng,21.39,2002
mng,20.67,2003
mng,14.18,2004
mng,21.08,2005
mng,27.89,2006
mng,34.02,2007
mng,43.43,2008
mng,45.15,2009
mng,44.91,2010
mne,28.99,1995
mne,29.15,1996
mne,28.86,1997
mne,28.98,1998
mne,29.52,1999
mne,30.94,2000
mne,29.51,2001
mne,31.4,2002
mne,27.03,2003
mne,28.08,2004
mne,30.78,2005
mne,31.95,2006
mne,30.77,2007
mne,29.59,2008
mne,28.71,2009
mne,32.83,2010
mar,67.77,1995
mar,68.13,1996
mar,72.02,1997
mar,70.78,1998
mar,71.16,1999
mar,70.58,2000
mar,67.83,2001
mar,74.03,2002
mar,73.44,2003
mar,72.59,2004
mar,71.63,2005
mar,67.24,2006
mar,63.69,2007
mar,63.13,2008
mar,61.25,2009
mar,62.04,2010
moz,32.86,1995
moz,39.12,1996
moz,35.13,1997
moz,34.81,1998
moz,31.19,1999
moz,27.62,2000
moz,27.51,2001
moz,24.83,2002
moz,27.16,2003
moz,30.32,2004
moz,25.54,2005
moz,27.16,2006
moz,26.74,2007
moz,28.73,2008
moz,26.95,2009
moz,28.26,2010
mmr,81.12,1995
mmr,84.25,1996
mmr,86.08,1997
mmr,89.91,1998
mmr,89.48,1999
mmr,86.56,2000
mmr,88.2,2001
mmr,84.76,2002
mmr,87.67,2003
mmr,86.49,2004
mmr,91.02,2005
mmr,85.62,2006
mmr,88.28,2007
mmr,88.97,2008
mmr,88.67,2009
mmr,87.82,2010
nam,29.01,1995
nam,27.64,1996
nam,28.65,1997
nam,27.56,1998
nam,26.67,1999
nam,31.08,2000
nam,43.74,2001
nam,41.99,2002
nam,42.94,2003
nam,50.45,2004
nam,51.09,2005
nam,56.54,2006
nam,45.62,2007
nam,45.43,2008
nam,45.03,2009
nam,41.62,2010
nru,21.65,1995
nru,18.09,1996
nru,16.69,1997
nru,14.03,1998
nru,16.98,1999
nru,18.52,2000
nru,19.34,2001
nru,20.09,2002
nru,25.08,2003
nru,18.8,2004
nru,24.27,2005
nru,22.71,2006
nru,16.63,2007
nru,25.42,2008
nru,31.51,2009
nru,31.49,2010
npl,82.71,1995
npl,82.58,1996
npl,79.38,1997
npl,76.98,1998
npl,80.44,1999
npl,78.28,2000
npl,71.42,2001
npl,71.84,2002
npl,73.46,2003
npl,70.86,2004
npl,68.62,2005
npl,62.67,2006
npl,66.48,2007
npl,62.88,2008
npl,61.9,2009
npl,65.41,2010
nld,28.96,1995
nld,33.82,1996
nld,32.18,1997
nld,35.85,1998
nld,37.29,1999
nld,36.92,2000
nld,37.19,2001
nld,37.54,2002
nld,30.76,2003
nld,31.35,2004
nld,31.42,2005
nld,16.2,2006
nld,16.47,2007
nld,16.46,2008
nld,14.27,2009
nld,13.62,2010
nzl,22.83,1995
nzl,23.32,1996
nzl,22.71,1997
nzl,22.96,1998
nzl,22.52,1999
nzl,21.98,2000
nzl,23.58,2001
nzl,22.1,2002
nzl,21.66,2003
nzl,20.37,2004
nzl,20.33,2005
nzl,19.93,2006
nzl,17.6,2007
nzl,17.16,2008
nzl,16.97,2009
nzl,16.78,2010
nic,35.6,1995
nic,40.79,1996
nic,51.09,1997
nic,50.73,1998
nic,54.21,1999
nic,46.54,2000
nic,46.08,2001
nic,47.59,2002
nic,43.39,2003
nic,44.67,2004
nic,43.54,2005
nic,45.15,2006
nic,45.15,2007
nic,45.15,2008
nic,45.2,2009
ner,60.13,1995
ner,62.52,1996
ner,56.11,1997
ner,56.25,1998
ner,56.3,1999
ner,56.19,2000
ner,51.35,2001
ner,51.06,2002
ner,53.65,2003
ner,52.83,2004
ner,50.01,2005
ner,47.5,2006
ner,50.36,2007
ner,48.17,2008
ner,49.72,2009
ner,49.12,2010
nga,74.45,1995
nga,79.24,1996
nga,76.49,1997
nga,73.86,1998
nga,70.88,1999
nga,66.54,2000
nga,68.65,2001
nga,74.42,2002
nga,77.6,2003
nga,67.31,2004
nga,70.83,2005
nga,66.02,2006
nga,60.43,2007
nga,58.83,2008
nga,64.94,2009
nga,62.11,2010
niu,1.61,1995
niu,1.334,1996
niu,1.527,1997
niu,1.647,1998
niu,1.41,1999
niu,1.545,2000
niu,0.4,2001
niu,1.401,2002
niu,1.087,2003
niu,0.8456,2004
niu,0.9504,2005
niu,0.7838,2006
niu,0.7582,2007
niu,0.741,2008
niu,0.7011,2009
niu,0.7019,2010
nor,18.6,1995
nor,18.62,1996
nor,18.61,1997
nor,17.74,1998
nor,17.37,1999
nor,17.45,2000
nor,16.38,2001
nor,16.47,2002
nor,16.24,2003
nor,16.39,2004
nor,16.45,2005
nor,16.17,2006
nor,15.85,2007
nor,15.71,2008
nor,15.9,2009
nor,16.1,2010
omn,16.04,1995
omn,16.06,1996
omn,17.03,1997
omn,18.44,1998
omn,18.34,1999
omn,18.25,2000
omn,17.94,2001
omn,16.49,2002
omn,17.11,2003
omn,18.08,2004
omn,17.65,2005
omn,19.41,2006
omn,19.84,2007
omn,23.61,2008
omn,21.22,2009
omn,19.87,2010
pak,74.32,1995
pak,72.88,1996
pak,74.95,1997
pak,79.87,1998
pak,80.96,1999
pak,78.75,2000
pak,79.52,2001
pak,71.83,2002
pak,76.67,2003
pak,75.33,2004
pak,74.44,2005
pak,70.01,2006
pak,69.32,2007
pak,66.52,2008
pak,65.16,2009
pak,61.52,2010
plw,22.99,1995
plw,20.97,1996
plw,21.63,1997
plw,28.42,1998
plw,29.9,1999
plw,33.71,2000
plw,19.63,2001
plw,19.16,2002
plw,16.22,2003
plw,18.36,2004
plw,20.57,2005
plw,19.17,2006
plw,21.56,2007
plw,22.73,2008
plw,22.05,2009
plw,22.69,2010
pan,32.04,1995
pan,35.56,1996
pan,31.53,1997
pan,33.29,1998
pan,33.72,1999
pan,31.93,2000
pan,32.92,2001
pan,30.95,2002
pan,33.63,2003
pan,29.65,2004
pan,30.44,2005
pan,32.57,2006
pan,35.8,2007
pan,30.87,2008
pan,25.23,2009
pan,24.9,2010
png,13.78,1995
png,13.98,1996
png,19.46,1997
png,16.86,1998
png,17.59,1999
png,18.26,2000
png,17.21,2001
png,20.27,2002
png,20.96,2003
png,19.46,2004
png,20.32,2005
png,22.36,2006
png,28.01,2007
png,24.52,2008
png,29.35,2009
png,28.45,2010
pry,64.04,1995
pry,58.29,1996
pry,60.78,1997
pry,55.12,1998
pry,55.39,1999
pry,60.12,2000
pry,65.14,2001
pry,66.81,2002
pry,66.89,2003
pry,65.2,2004
pry,62.05,2005
pry,58.93,2006
pry,59.55,2007
pry,59.08,2008
pry,60.99,2009
pry,63.59,2010
per,45.6,1995
per,45.29,1996
per,47.95,1997
per,43.99,1998
per,43.44,1999
per,41.3,2000
per,42.07,2001
per,42.38,2002
per,41.31,2003
per,41.2,2004
per,40.59,2005
per,43.7,2006
per,41.5,2007
per,37.7,2008
per,42.3,2009
per,45.98,2010
phl,60.47,1995
phl,59.02,1996
phl,56.95,1997
phl,57.07,1998
phl,55.8,1999
phl,52.43,2000
phl,55.83,2001
phl,59.99,2002
phl,59.77,2003
phl,60.19,2004
phl,60.77,2005
phl,64.62,2006
phl,65.23,2007
phl,67.62,2008
phl,64.88,2009
phl,64.66,2010
pol,27.11,1995
pol,26.61,1996
pol,28.04,1997
pol,34.62,1998
pol,28.87,1999
pol,29.97,2000
pol,28.1,2001
pol,28.84,2002
pol,30.05,2003
pol,31.37,2004
pol,30.6,2005
pol,29.98,2006
pol,29.11,2007
pol,27.69,2008
pol,27.68,2009
pol,27.38,2010
prt,37.38,1995
prt,34.74,1996
prt,34.31,1997
prt,32.89,1998
prt,32.43,1999
prt,33.98,2000
prt,33.88,2001
prt,32.16,2002
prt,32.03,2003
prt,32.88,2004
prt,32.93,2005
prt,33.89,2006
prt,34.26,2007
prt,34.91,2008
prt,32.16,2009
prt,31.85,2010
qat,37.36,1995
qat,33.06,1996
qat,31.31,1997
qat,33.4,1998
qat,32.81,1999
qat,31.2,2000
qat,27.78,2001
qat,27.73,2002
qat,17.9,2003
qat,18.25,2004
qat,18.66,2005
qat,19.32,2006
qat,19.84,2007
qat,20.53,2008
qat,21.58,2009
qat,22.55,2010
rou,31.31,1995
rou,35.42,1996
rou,30.18,1997
rou,38.11,1998
rou,34.51,1999
rou,32.31,2000
rou,34.11,2001
rou,33.33,2002
rou,15.2,2003
rou,24.93,2004
rou,19.15,2005
rou,20.14,2006
rou,17.71,2007
rou,17.95,2008
rou,21.02,2009
rou,21.89,2010
rus,26.12,1995
rus,28.56,1996
rus,29.21,1997
rus,34.91,1998
rus,38.14,1999
rus,40.12,2000
rus,41.34,2001
rus,41.05,2002
rus,41.19,2003
rus,40.42,2004
rus,38.02,2005
rus,36.77,2006
rus,35.82,2007
rus,35.69,2008
rus,36.65,2009
rus,37.92,2010
rwa,63.51,1995
rwa,59.7,1996
rwa,60.1,1997
rwa,51.64,1998
rwa,54.67,1999
rwa,60.83,2000
rwa,51.12,2001
rwa,47.73,2002
rwa,47.26,2003
rwa,46.43,2004
rwa,43.56,2005
rwa,53.54,2006
rwa,52.97,2007
rwa,52.61,2008
rwa,51.36,2009
rwa,49.93,2010
kna,40.65,1995
kna,41.5,1996
kna,41.8,1997
kna,40.2,1998
kna,43.18,1999
kna,39.59,2000
kna,40.34,2001
kna,42.68,2002
kna,43.52,2003
kna,46.61,2004
kna,45.36,2005
kna,42.28,2006
kna,47.03,2007
kna,51.13,2008
kna,50.9,2009
kna,39.43,2010
lca,35.88,1995
lca,35.52,1996
lca,39.31,1997
lca,38.18,1998
lca,38.41,1999
lca,38.09,2000
lca,38.34,2001
lca,40.54,2002
lca,45.46,2003
lca,43.5,2004
lca,47.38,2005
lca,51.33,2006
lca,52.47,2007
lca,48.92,2008
lca,37.03,2009
lca,39.5,2010
vct,15.21,1995
vct,15.38,1996
vct,17.41,1997
vct,18.93,1998
vct,16.69,1999
vct,17.83,2000
vct,19.12,2001
vct,17.83,2002
vct,17.94,2003
vct,18.82,2004
vct,19.15,2005
vct,18.03,2006
vct,17.87,2007
vct,15.2,2008
vct,15.68,2009
vct,13.55,2010
wsm,29.13,1995
wsm,25.56,1996
wsm,27.27,1997
wsm,24.94,1998
wsm,23.71,1999
wsm,23.25,2000
wsm,24.98,2001
wsm,20.0,2002
wsm,20.4,2003
wsm,18.06,2004
wsm,18.66,2005
wsm,15.04,2006
wsm,14.11,2007
wsm,14.24,2008
wsm,14.66,2009
wsm,12.34,2010
smr,13.34,1995
smr,13.58,1996
smr,14.8,1997
smr,14.63,1998
smr,13.99,1999
smr,14.03,2000
smr,13.98,2001
smr,10.81,2002
smr,14.25,2003
smr,13.44,2004
smr,14.28,2005
smr,14.63,2006
smr,14.43,2007
smr,14.83,2008
smr,14.64,2009
smr,14.64,2010
stp,67.81,1995
stp,75.99,1996
stp,68.77,1997
stp,65.36,1998
stp,59.44,1999
stp,61.92,2000
stp,63.1,2001
stp,63.56,2002
stp,48.85,2003
stp,53.43,2004
stp,47.09,2005
stp,53.73,2006
stp,55.79,2007
stp,57.03,2008
stp,59.87,2009
stp,61.74,2010
sau,47.93,1995
sau,45.4,1996
sau,42.66,1997
sau,41.79,1998
sau,32.06,1999
sau,28.35,2000
sau,27.86,2001
sau,28.09,2002
sau,28.02,2003
sau,28.34,2004
sau,27.24,2005
sau,26.7,2006
sau,29.24,2007
sau,35.4,2008
sau,37.61,2009
sau,37.14,2010
sen,67.47,1995
sen,63.66,1996
sen,65.06,1997
sen,64.7,1998
sen,63.0,1999
sen,63.18,2000
sen,62.84,2001
sen,61.48,2002
sen,61.26,2003
sen,62.53,2004
sen,44.66,2005
sen,42.8,2006
sen,43.91,2007
sen,45.85,2008
sen,45.53,2009
sen,44.51,2010
srb,29.07,1995
srb,29.07,1996
srb,28.15,1997
srb,29.9,1998
srb,29.96,1999
srb,30.01,2000
srb,31.53,2001
srb,27.35,2002
srb,29.06,2003
srb,31.15,2004
srb,34.0,2005
srb,37.0,2006
srb,38.63,2007
srb,38.02,2008
srb,38.14,2009
srb,38.13,2010
syc,14.85,1995
syc,12.39,1996
syc,13.75,1997
syc,15.76,1998
syc,16.0,1999
syc,17.3,2000
syc,14.86,2001
syc,12.86,2002
syc,10.1,2003
syc,8.032,2004
syc,6.796,2005
syc,6.582,2006
syc,7.942,2007
syc,7.512,2008
syc,7.278,2009
syc,8.127,2010
sle,90.59,1995
sle,90.94,1996
sle,88.77,1997
sle,90.65,1998
sle,88.52,1999
sle,86.75,2000
sle,85.74,2001
sle,85.49,2002
sle,70.94,2003
sle,89.31,2004
sle,87.42,2005
sle,88.49,2006
sle,92.76,2007
sle,90.45,2008
sle,89.49,2009
sle,88.67,2010
sgp,49.46,1995
sgp,51.01,1996
sgp,51.49,1997
sgp,45.85,1998
sgp,47.49,1999
sgp,48.65,2000
sgp,54.94,2001
sgp,62.76,2002
sgp,64.27,2003
sgp,69.31,2004
sgp,69.56,2005
sgp,69.93,2006
sgp,70.24,2007
sgp,68.09,2008
sgp,63.88,2009
sgp,63.7,2010
svk,11.48,1995
svk,11.32,1996
svk,8.321,1997
svk,8.414,1998
svk,10.36,1999
svk,10.61,2000
svk,10.71,2001
svk,10.94,2002
svk,11.68,2003
svk,26.23,2004
svk,25.6,2005
svk,31.68,2006
svk,33.15,2007
svk,32.24,2008
svk,34.31,2009
svk,34.15,2010
svn,22.3,1995
svn,23.82,1996
svn,24.97,1997
svn,24.48,1998
svn,24.34,1999
svn,25.99,2000
svn,26.71,2001
svn,26.63,2002
svn,28.12,2003
svn,26.89,2004
svn,27.85,2005
svn,27.73,2006
svn,27.74,2007
svn,26.56,2008
svn,26.59,2009
svn,26.34,2010
slb,7.187,1995
slb,7.788,1996
slb,7.201,1997
slb,7.118,1998
slb,6.833,1999
slb,5.429,2000
slb,4.133,2001
slb,4.191,2002
slb,8.029,2003
slb,8.328,2004
slb,5.914,2005
slb,7.252,2006
slb,7.601,2007
slb,8.838,2008
slb,6.47,2009
slb,6.611,2010
som,56.52,1995
som,55.56,1996
som,54.55,1997
som,53.89,1998
som,55.03,1999
som,55.21,2000
som,55.38,2001
zaf,60.7,1995
zaf,64.07,1996
zaf,61.21,1997
zaf,60.63,1998
zaf,60.69,1999
zaf,59.52,2000
zaf,60.53,2001
zaf,61.31,2002
zaf,60.54,2003
zaf,63.57,2004
zaf,61.7,2005
zaf,60.09,2006
zaf,59.17,2007
zaf,57.85,2008
zaf,56.23,2009
zaf,55.9,2010
esp,27.82,1995
esp,27.64,1996
esp,27.53,1997
esp,27.8,1998
esp,27.97,1999
esp,28.38,2000
esp,28.8,2001
esp,28.71,2002
esp,29.75,2003
esp,29.6,2004
esp,29.43,2005
esp,28.7,2006
esp,28.52,2007
esp,27.39,2008
esp,26.37,2009
esp,27.19,2010
lka,53.2,1995
lka,53.6,1996
lka,54.77,1997
lka,49.75,1998
lka,52.39,1999
lka,51.19,2000
lka,53.94,2001
lka,56.77,2002
lka,56.75,2003
lka,52.29,2004
lka,51.87,2005
lka,51.06,2006
lka,50.65,2007
lka,53.23,2008
lka,53.76,2009
lka,55.25,2010
sdn,86.52,1995
sdn,75.97,1996
sdn,77.6,1997
sdn,76.66,1998
sdn,80.29,1999
sdn,72.74,2000
sdn,72.37,2001
sdn,71.79,2002
sdn,70.31,2003
sdn,67.96,2004
sdn,65.63,2005
sdn,66.83,2006
sdn,66.78,2007
sdn,66.88,2008
sdn,72.48,2009
sdn,70.18,2010
sur,48.36,1995
sur,57.57,1996
sur,56.85,1997
sur,46.72,1998
sur,48.75,1999
sur,51.23,2000
sur,51.96,2001
sur,50.28,2002
sur,49.32,2003
sur,51.61,2004
sur,48.8,2005
sur,48.89,2006
sur,50.33,2007
sur,53.97,2008
sur,49.01,2009
sur,52.2,2010
swz,42.9,1995
swz,43.41,1996
swz,45.05,1997
swz,47.71,1998
swz,43.65,1999
swz,43.71,2000
swz,42.59,2001
swz,40.12,2002
swz,34.97,2003
swz,39.71,2004
swz,38.57,2005
swz,35.53,2006
swz,37.16,2007
swz,35.68,2008
swz,33.54,2009
swz,36.34,2010
swe,13.35,1995
swe,13.07,1996
swe,14.18,1997
swe,14.21,1998
swe,14.27,1999
swe,15.11,2000
swe,18.86,2001
swe,18.58,2002
swe,17.99,2003
swe,18.63,2004
swe,18.84,2005
swe,18.87,2006
swe,18.64,2007
swe,18.5,2008
swe,18.51,2009
swe,18.9,2010
che,46.44,1995
che,45.53,1996
che,45.05,1997
che,45.34,1998
che,44.86,1999
che,44.57,2000
che,43.07,2001
che,42.26,2002
che,41.65,2003
che,41.61,2004
che,40.54,2005
che,40.88,2006
che,40.73,2007
che,40.5,2008
che,40.28,2009
che,40.98,2010
syr,60.32,1995
syr,64.47,1996
syr,64.56,1997
syr,61.73,1998
syr,61.63,1999
syr,59.55,2000
syr,55.79,2001
syr,54.23,2002
syr,51.75,2003
syr,52.03,2004
syr,49.5,2005
syr,51.46,2006
syr,50.95,2007
syr,53.47,2008
syr,54.0,2009
syr,54.0,2010
tjk,58.53,1995
tjk,58.23,1996
tjk,55.93,1997
tjk,67.93,1998
tjk,73.16,1999
tjk,79.61,2000
tjk,79.29,2001
tjk,79.76,2002
tjk,79.59,2003
tjk,78.06,2004
tjk,76.35,2005
tjk,76.92,2006
tjk,77.84,2007
tjk,75.44,2008
tjk,75.06,2009
tjk,73.34,2010
tza,57.19,1995
tza,59.94,1996
tza,56.48,1997
tza,58.55,1998
tza,60.17,1999
tza,56.62,2000
tza,54.55,2001
tza,55.36,2002
tza,50.52,2003
tza,55.65,2004
tza,53.05,2005
tza,41.12,2006
tza,35.86,2007
tza,38.3,2008
tza,33.86,2009
tza,32.68,2010
tha,52.99,1995
tha,52.82,1996
tha,46.05,1997
tha,45.18,1998
tha,45.11,1999
tha,43.85,2000
tha,43.62,2001
tha,36.48,2002
tha,36.21,2003
tha,35.09,2004
tha,35.61,2005
tha,27.3,2006
tha,23.67,2007
tha,23.85,2008
tha,25.41,2009
tha,24.96,2010
tls,10.98,1995
tls,15.99,1996
tls,9.987,1997
tls,16.47,1998
tls,31.89,1999
tls,25.14,2000
tls,27.7,2001
tls,27.77,2002
tls,25.53,2003
tls,35.0,2004
tls,25.44,2005
tls,21.69,2006
tls,25.69,2007
tls,30.28,2008
tls,33.94,2009
tls,44.17,2010
tgo,65.36,1995
